kepid,plnt num,kname,dispos,GB_vif,RF_vif,LR,DT,eb,_merge
7609674,1,K03128.01,CAND,-,-,-,0.594,No,left_only
11124436,1,K04442.01,CAND,-,-,-,0.586,No,left_only
7106173,1,K03083.01,CAND,-,-,-,0.575,No,left_only
9411317,2,-,-,-,-,-,0.574,No,both
7446631,1,K02598.01,CAND,-,-,-,0.572,No,left_only
5003670,2,K04524.02,CAND,-,-,-,0.569,No,left_only
10514430,4,-,-,-,-,-,0.568,No,left_only
11200405,2,-,-,-,-,-,0.567,No,both
4857058,1,K03061.01,CAND,-,-,-,0.565,No,left_only
11081504,1,K04287.01,CAND,-,-,-,0.565,No,left_only
2973386,1,K03034.01,CAND,-,-,-,0.565,No,left_only
5211199,2,K02158.02,CAND,-,-,-,0.563,No,left_only
9957627,1,K00592.01,CAND,-,-,-,0.563,No,left_only
10141900,2,K01082.02,CAND,-,-,-,0.558,No,left_only
10597693,1,K02958.01,CAND,-,-,-,0.555,No,left_only
7918478,1,K04209.01,CAND,-,-,-,0.553,No,left_only
3559860,1,K03440.01,FP,-,-,-,0.551,No,left_only
9836563,1,K04421.01,CAND,-,-,-,0.551,No,left_only
9020114,1,K03088.01,CAND,-,-,-,0.549,No,left_only
5428657,1,K06130.01,CAND,-,-,-,0.549,No,left_only
10874215,1,K02305.01,CAND,-,-,-,0.548,No,left_only
10265898,2,K00732.02,CAND,-,-,-,0.546,No,left_only
8827575,1,K03052.01,CAND,-,-,-,0.544,No,left_only
11125797,1,K03371.01,CAND,-,-,-,0.543,No,left_only
7512982,2,K01480.02,CAND,-,-,-,0.543,No,left_only
6131236,1,K01051.01,CAND,-,-,-,0.542,No,left_only
8804283,2,K01276.02,CAND,-,-,-,0.537,No,left_only
4172805,1,K04427.01,CAND,-,-,-,0.536,No,left_only
5106313,1,K02878.01,CAND,-,-,-,0.536,No,left_only
12061969,1,K02061.01,FP,-,-,-,0.536,No,left_only
8390826,1,-,-,-,-,-,0.535,No,left_only
5450814,2,-,-,-,-,-,0.531,No,both
4860678,2,K01602.02,CAND,-,-,-,0.53,No,left_only
7107802,2,K02420.02,CAND,-,-,-,0.527,No,left_only
9002538,1,K03196.01,CAND,-,-,-,0.527,No,left_only
5897826,3,-,-,-,-,-,0.527,No,both
5544450,2,K03226.02,CAND,-,-,-,0.526,No,left_only
6945786,1,K03136.01,CAND,-,-,-,0.526,No,left_only
9716028,1,K04273.01,CAND,-,-,-,0.525,No,left_only
6061773,1,K02001.01,CAND,-,-,-,0.525,No,left_only
11599038,2,K01437.02,FP,-,-,-,0.521,No,left_only
8624520,1,K01816.01,CAND,-,-,-,0.521,No,both
5103942,2,-,-,-,-,-,0.521,No,left_only
2019477,1,K06093.01,FP,-,-,-,0.52,No,left_only
4061149,1,K01201.01,CAND,-,-,-,0.52,No,left_only
5436338,1,K02835.01,CAND,-,-,-,0.519,No,left_only
4060229,1,K04570.01,CAND,-,-,-,0.515,No,left_only
9288237,1,K03114.01,CAND,-,-,-,0.514,No,left_only
9896018,3,K02579.03,CAND,-,-,-,0.513,No,left_only
6026737,1,K02949.01,CAND,-,-,-,0.511,No,left_only
6153407,1,K03179.01,CAND,-,-,-,0.508,No,left_only
8838950,1,K02421.01,CAND,-,-,-,0.507,No,left_only
11869052,1,K00120.01,CAND,-,-,-,0.506,No,both
8963721,1,K02233.01,FP,-,-,-,0.506,No,left_only
5351250,5,K00408.05,FP,-,-,-,0.503,No,left_only
5542466,2,K01590.02,CAND,-,-,-,0.502,No,left_only
11517719,2,-,-,-,-,-,0.501,No,both
9650989,1,K03095.01,CAND,-,-,-,0.501,No,left_only
2986833,1,K04875.01,CAND,-,-,-,0.501,No,left_only
10666592,2,-,-,-,-,-,0.498,No,left_only
4547603,1,K02855.01,CAND,-,-,-,0.497,No,left_only
5906426,1,K02377.01,CAND,-,-,-,0.496,No,left_only
7288444,1,K03482.01,CAND,-,-,-,0.496,No,left_only
7377033,1,K00882.01,FP,-,-,-,0.494,No,both
6792908,1,K04341.01,CAND,-,-,-,0.494,No,left_only
6268648,2,K01613.02,CAND,-,-,-,0.494,No,both
1849702,1,K02538.01,CAND,-,-,-,0.493,No,left_only
8409588,1,K00690.01,FP,-,-,-,0.49,No,both
9032900,2,-,-,-,-,-,0.481,No,both
4770365,3,K01475.03,CAND,-,-,-,0.48,No,left_only
12301181,2,K02059.02,CAND,-,-,-,0.476,No,both
2852941,1,K04298.01,CAND,-,-,-,0.476,No,left_only
7222086,1,K01701.01,CAND,-,-,-,0.469,No,left_only
12164634,2,-,-,-,-,-,0.466,No,both
11246161,1,K02796.01,CAND,-,-,-,0.465,No,left_only
3448132,2,-,-,-,-,-,0.462,No,left_only
4739229,2,-,-,-,-,-,0.456,No,left_only
8313667,1,K01145.01,CAND,-,-,-,0.455,No,left_only
11509792,1,-,-,-,-,-,0.436,No,left_only
3338885,2,K01845.02,CAND,-,-,-,0.434,No,left_only
3437940,2,-,-,-,-,-,0.424,No,left_only
10863286,2,-,-,-,-,-,0.423,No,both
10018866,2,-,-,-,-,-,0.41,No,left_only
8264404,2,-,-,-,-,-,0.406,No,left_only
2984632,2,-,-,-,-,-,0.405,No,left_only
5689351,6,-,-,-,-,-,0.375,No,left_only
8631751,1,K02453.01,CAND,-,-,-,0.373,No,left_only
9897838,1,-,-,-,-,-,0.372,No,left_only
5384713,5,-,-,-,-,-,0.368,No,both
4769931,1,K04058.01,FP,-,-,-,0.36,No,left_only
