kepid,plnt num,kname,dispos,GB_vif,RF_vif,LR,DT,eb,_merge
5124667,1,K01822.01,CAND,0.722,0.82,0.512,0.736,No,left_only
10016874,1,K00426.01,CAND,0.717,0.96,0.85,0.809,No,left_only
10710755,2,-,-,0.716,0.389,0.86,0.903,No,both
9719636,2,-,-,0.715,-,-,-,No,both
5114623,8,-,-,0.708,-,-,-,No,left_only
5446285,3,-,-,0.7,-,-,0.418,No,left_only
4069213,2,-,-,0.687,-,-,0.664,No,both
6060277,2,-,-,0.683,-,-,-,No,left_only
4665571,2,K02393.02,CAND,0.681,0.821,-,0.699,No,left_only
9697131,1,K02706.01,CAND,0.679,0.736,0.803,0.682,No,left_only
10419211,2,-,-,0.678,-,-,-,No,both
4912650,1,K05098.01,CAND,0.66,-,0.526,0.516,No,left_only
5773121,1,K04002.01,CAND,0.658,0.86,0.549,0.652,No,left_only
4932348,2,-,-,0.655,-,-,-,No,both
9413313,1,-,-,0.637,-,-,-,No,left_only
6149910,1,K02469.01,CAND,0.613,-,-,-,No,left_only
3634755,2,-,-,0.606,-,-,-,No,left_only
5810113,2,-,-,0.596,-,-,-,No,left_only
3218908,4,-,-,0.585,0.514,0.591,0.626,No,left_only
11285136,2,-,-,0.584,-,-,-,No,both
3547091,2,-,-,0.575,-,-,-,No,both
10657664,2,-,-,0.561,-,-,-,No,both
8329629,2,-,-,0.559,-,-,-,No,left_only
8753896,2,-,-,0.555,-,0.574,0.528,No,left_only
7363829,1,-,-,0.553,-,0.525,-,No,left_only
9202151,1,K01393.01,CAND,0.55,-,-,-,No,left_only
8292150,2,-,-,0.537,-,-,-,No,left_only
10527135,2,-,-,0.536,-,-,-,No,left_only
10152836,2,-,-,0.535,-,0.463,0.555,No,both
2720354,2,-,-,0.533,-,-,-,No,both
5966810,1,K03909.01,CAND,0.528,0.87,0.631,0.599,No,left_only
3834322,2,-,-,0.525,0.375,0.496,0.562,No,both
6462874,2,K01231.02,FP,0.522,-,-,-,No,left_only
5092266,1,K03045.01,CAND,0.521,0.98,0.535,0.627,No,left_only
3097352,2,-,-,0.513,-,-,0.813,No,both
12017140,2,-,-,0.512,-,-,0.702,No,both
6593150,1,K03037.01,CAND,0.51,-,-,0.51,No,left_only
6606934,2,-,-,0.508,-,0.493,-,No,both
11391018,2,-,-,0.5,-,-,-,No,left_only
9791509,3,-,-,0.474,-,-,-,No,left_only
11252617,2,K06236.02,FP,0.466,-,-,-,No,both
3342467,2,-,-,0.458,-,-,-,No,left_only
5816165,1,K01043.01,FP,0.436,0.471,-,0.688,No,left_only
6209347,5,-,-,0.414,-,-,-,No,both
9149789,2,-,-,0.393,-,0.423,-,No,both
8456679,2,K00102.02,FP,-,-,0.972,0.951,No,left_only
8480285,1,K00691.01,CAND,-,0.503,0.971,0.948,No,left_only
8804455,2,K02159.02,FP,-,-,0.963,0.986,No,left_only
10788461,1,K03925.01,CAND,-,-,0.959,0.571,No,left_only
8644365,1,K03384.01,CAND,-,-,0.948,0.943,No,left_only
8804845,1,K02039.01,CAND,-,-,0.945,0.919,No,left_only
3831053,1,K00388.01,CAND,-,0.642,0.944,0.966,No,left_only
12505076,1,K02154.01,CAND,-,-,0.944,0.971,No,left_only
4149450,1,K01864.01,CAND,-,-,0.943,0.992,No,left_only
5709725,2,K00555.02,CAND,-,0.516,0.937,0.919,No,left_only
5374854,2,K00645.02,CAND,-,-,0.93,0.94,No,left_only
3247268,2,K01089.02,CAND,-,-,0.927,0.886,No,left_only
11098013,1,K02712.01,CAND,-,-,0.924,0.939,No,left_only
3641726,1,K00804.01,CAND,-,-,0.917,0.847,No,left_only
7938496,1,K00900.01,CAND,-,-,0.916,0.853,No,left_only
6364215,2,K02404.02,FP,-,-,0.915,0.82,No,left_only
5972334,2,K00191.02,CAND,-,-,0.915,0.933,No,left_only
8934495,1,K00524.01,CAND,-,-,0.91,0.689,No,left_only
11566064,2,K00353.02,CAND,-,-,0.909,0.809,No,left_only
11030475,1,K02248.01,CAND,-,-,0.907,0.875,No,left_only
9605514,1,K00945.01,CAND,-,-,0.905,0.893,No,left_only
5965819,1,K03319.01,CAND,-,0.508,0.903,0.89,No,both
5531953,1,K01681.01,CAND,-,-,0.903,0.844,No,left_only
9605514,2,K00945.02,CAND,-,-,0.903,0.85,No,left_only
5972334,3,K00191.03,CAND,-,-,0.9,0.935,No,left_only
3642741,1,K00242.01,FP,-,-,0.899,0.852,No,left_only
10867062,1,K01303.01,CAND,-,-,0.896,0.901,No,left_only
