kepid,tce_plnt_num,kepoi_name,koi_disposition,DT
5629353,3,K06132.03,CANDIDATE,0.791
7124026,1,K02275.01,FALSE POSITIVE,0.791
4458082,2,K02303.02,CANDIDATE,0.791
7449554,1,K02357.01,CANDIDATE,0.79
3859628,1,K01191.01,CANDIDATE,0.788
2438502,2,,,0.786
10350571,2,K01175.02,CANDIDATE,0.785
4770365,2,K01475.02,CANDIDATE,0.785
11253711,1,K01972.01,CANDIDATE,0.785
6198182,1,K02636.01,CANDIDATE,0.782
10363115,1,K03908.01,CANDIDATE,0.781
4140813,1,K02117.01,CANDIDATE,0.779
5716932,1,K02358.01,CANDIDATE,0.778
4173026,1,K02172.01,CANDIDATE,0.778
8013439,3,K02352.03,CANDIDATE,0.778
8558011,1,K00577.01,CANDIDATE,0.777
5872150,3,,,0.777
10015937,1,K01720.01,CANDIDATE,0.777
3450040,1,K04205.01,CANDIDATE,0.775
8410415,1,K02291.01,CANDIDATE,0.773
7051180,1,K00064.01,CANDIDATE,0.771
9772531,1,K00950.01,CANDIDATE,0.77
10676824,1,K00599.01,CANDIDATE,0.77
3128552,3,K02055.03,CANDIDATE,0.77
3122872,1,K03203.01,CANDIDATE,0.769
11904734,1,K01764.01,CANDIDATE,0.768
11189127,2,,,0.768
7135852,1,K00875.01,CANDIDATE,0.767
9595686,1,K00944.01,CANDIDATE,0.767
7779077,1,K01842.01,CANDIDATE,0.767
7362696,2,,,0.766
5787131,1,K02927.01,CANDIDATE,0.766
8414216,1,K07036.01,FALSE POSITIVE,0.766
5794570,2,K02675.02,CANDIDATE,0.764
10354039,1,K01159.01,CANDIDATE,0.763
10917681,1,K01963.01,CANDIDATE,0.763
12105051,1,K00141.01,CANDIDATE,0.762
11810124,1,K03344.01,CANDIDATE,0.761
10485250,2,,,0.761
10875007,1,K04149.01,CANDIDATE,0.76
6946199,2,K01359.02,CANDIDATE,0.759
10793172,1,K02871.01,CANDIDATE,0.758
8458207,2,,,0.758
