kepid,tce_plnt_num,kepoi_name,koi_disposition,LR,RF,mean
10904857,2,,,0.8456670676516821,0.8349514563106796,0.8403092619811808
6698670,2,,,0.8262908220057831,0.8505747126436781,0.8384327673247306
3102000,2,,,0.8225156070586537,0.85,0.8362578035293269
9071386,2,,,0.9557347910162326,0.7142857142857143,0.8350102526509735
2449431,1,K02009.01,CANDIDATE,0.8617891736066127,0.797979797979798,0.8298844857932053
11404644,2,,,0.8650993866331309,0.7901234567901234,0.8276114217116272
5872150,3,,,0.7644297479998605,0.89,0.8272148739999303
5356593,2,,,0.7771429691605319,0.8695652173913043,0.8233540932759181
8043714,2,,,0.8020655920383682,0.84375,0.8229077960191842
9288786,2,,,0.8185703160155532,0.8265306122448979,0.8225504641302255
5042210,1,K02462.01,CANDIDATE,0.8040819916961566,0.8409090909090909,0.8224955413026238
10616571,3,,,0.7323452707670752,0.9108910891089108,0.821618179937993
4242147,1,K01934.01,CANDIDATE,0.7611137928356011,0.8817204301075269,0.821417111471564
5031857,2,K01573.02,CANDIDATE,0.8769722445751735,0.7604166666666666,0.8186944556209201
4851464,2,,,0.8824296542030498,0.7476635514018691,0.8150466028024594
7023960,2,,,0.7987292897870781,0.8279569892473118,0.813343139517195
11126381,1,K01863.01,CANDIDATE,0.7762990019730766,0.8476190476190476,0.8119590247960621
5534941,1,K02332.01,CANDIDATE,0.8316332904763761,0.7894736842105262,0.8105534873434512
3734868,2,,,0.7763001305792985,0.8446601941747572,0.8104801623770279
8263545,1,K02822.01,CANDIDATE,0.8168236576037807,0.7755102040816326,0.7961669308427066
11030475,2,,,0.8155084133732633,0.768421052631579,0.7919647330024211
4814502,1,K04004.01,CANDIDATE,0.6538374800121222,0.9120879120879122,0.7829626960500171
5978559,1,K02321.01,CANDIDATE,0.6938113560937421,0.8585858585858586,0.7761986073398004
8460600,2,,,0.8185565801118446,0.7093023255813954,0.7639294528466201
7362696,2,,,0.6840100259407587,0.8269230769230769,0.7554665514319178
1571511,2,,,0.6171820468376605,0.8876404494382023,0.7524112481379315
10418797,2,,,0.6792573456188787,0.8172043010752688,0.7482308233470738
6428794,1,K04054.01,CANDIDATE,0.605039660594524,0.8854166666666666,0.7452281636305953
8480285,1,K00691.01,CANDIDATE,0.9706059530954252,0.5117647058823529,0.741185329488889
10287248,2,,,0.7927059633197556,0.6880733944954128,0.7403896789075842
5980783,1,K02967.01,CANDIDATE,0.6618718417441881,0.8160919540229885,0.7389818978835883
9346253,2,,,0.6532485487871321,0.8148148148148148,0.7340316818009734
9836959,1,K01715.01,CANDIDATE,0.6935971864072472,0.7653061224489796,0.7294516544281133
2718778,1,K02489.01,CANDIDATE,0.5945184382973211,0.8604651162790697,0.7274917772881955
8804455,2,K02159.02,FALSE POSITIVE,0.9631232278940268,0.4883720930232558,0.7257476604586413
6666233,2,,,0.7256424078009663,0.7232142857142857,0.724428346757626
5709725,2,K00555.02,CANDIDATE,0.9370637135299164,0.5095541401273885,0.7233089268286524
8686150,2,,,0.8086598135356285,0.6176470588235294,0.713153436179579
4650733,1,K01659.01,CANDIDATE,0.6547082816906069,0.7714285714285715,0.7130684265595892
5965819,1,K03319.01,CANDIDATE,0.9031617174083559,0.5180722891566265,0.7106170032824912
9934208,2,,,0.6896679783229224,0.7111111111111111,0.7003895447170168
10485250,2,,,0.8131157973766397,0.5833333333333334,0.6982245653549866
5966810,1,K03909.01,CANDIDATE,0.6315795877947815,0.7634408602150538,0.6975102240049176
4840513,2,,,0.5123855563835257,0.8823529411764706,0.6973692487799981
8458207,2,,,0.7686034634326087,0.625,0.6968017317163043
9995771,1,K03470.01,CANDIDATE,0.6357360034184112,0.7560975609756097,0.6959167821970105
9150827,1,K01408.01,CANDIDATE,0.8821728072301218,0.5088757396449705,0.6955242734375462
5770074,1,K01928.01,CANDIDATE,0.8883864633488309,0.5,0.6941932316744155
5372966,2,,,0.4862363044862637,0.9,0.6931181522431319
3231341,5,,,0.5635392198748351,0.8222222222222222,0.6928807210485286
5020319,1,K00635.01,CANDIDATE,0.8670179681962125,0.5139664804469274,0.6904922243215699
5213230,1,K03474.01,CANDIDATE,0.5889775768928888,0.7872340425531915,0.6881058097230401
10710755,2,,,0.8600168612424115,0.5128205128205129,0.6864186870314621
7449554,1,K02357.01,CANDIDATE,0.7238620429965221,0.6415094339622641,0.6826857384793932
5775129,1,K02802.01,CANDIDATE,0.5510716847255812,0.8125000000000001,0.6817858423627907
7670943,1,K00269.01,CANDIDATE,0.8632907873054132,0.5,0.6816453936527066
8651389,1,K01754.01,CANDIDATE,0.5370941025896343,0.8247422680412371,0.6809181853154357
11189127,2,,,0.6241858869026454,0.7281553398058253,0.6761706133542353
12115188,2,,,0.6341366909210191,0.7142857142857143,0.6742112026033666
5092266,1,K03045.01,CANDIDATE,0.5332154523392915,0.8018867924528301,0.6675511223960608
9632895,2,,,0.8555739771296719,0.4782608695652174,0.6669174233474446
5780885,2,,,0.7860518124174964,0.5087719298245614,0.6474118711210289
8655354,2,,,0.6894800326673048,0.6,0.6447400163336524
9697131,1,K02706.01,CANDIDATE,0.8027826504201552,0.4736842105263158,0.6382334304732356
5773121,1,K04002.01,CANDIDATE,0.5496782501744428,0.7090909090909091,0.629384579632676
5095635,1,K02607.01,CANDIDATE,0.4837274057557107,0.77,0.6268637028778554
6432345,1,K02757.01,CANDIDATE,0.4841621609912262,0.768421052631579,0.6262916068114026
9230021,1,K03429.01,CANDIDATE,0.7371919507971323,0.5067567567567568,0.6219743537769445
10973664,2,K00601.02,CANDIDATE,0.7101584910221652,0.5118110236220472,0.6109847573221062
7375348,2,K00266.02,CANDIDATE,0.5797202299176747,0.6296296296296297,0.6046749297736522
11968463,3,K02433.03,CANDIDATE,0.6534795479063804,0.5499999999999999,0.6017397739531902
10337517,1,K01165.01,CANDIDATE,0.6983165214477457,0.5029940119760479,0.6006552667118967
10923260,2,,,0.7095740057734335,0.4883720930232558,0.5989730493983447
10186945,2,,,0.6129080188140981,0.5849056603773585,0.5989068395957282
8074805,2,,,0.6726638144331313,0.5,0.5863319072165656
4547480,2,,,0.6576193104145388,0.5,0.5788096552072695
8823868,2,,,0.5945761103967815,0.559322033898305,0.5769490721475432
6805146,2,,,0.6507628537507634,0.5,0.5753814268753816
8162789,1,K00521.01,CANDIDATE,0.6594996191528503,0.4791666666666667,0.5693331429097584
3757778,2,,,0.6547187681497697,0.4666666666666667,0.5606927174082181
4862625,2,,,0.6829119213260991,0.41935483870967744,0.5511333800178883
3218908,4,,,0.5907071523591455,0.5094339622641509,0.5500705573116482
11192235,1,K02329.01,CANDIDATE,0.6734703893051158,0.425531914893617,0.5495011520993665
3112129,2,,,0.5075413224047096,0.5800000000000001,0.5437706612023548
12009347,2,,,0.507406615372606,0.5777777777777778,0.5425921965751919
9451127,2,,,0.5920771315593105,0.4871794871794872,0.5396283093693989
2444412,1,K00103.01,CANDIDATE,0.5657305967522877,0.5,0.5328652983761438
11394027,1,K00349.01,CANDIDATE,0.5588872852353763,0.5029940119760479,0.5309406486057121
11601584,4,K01831.04,CANDIDATE,0.5292949889824128,0.5090909090909091,0.5191929490366609
9714123,2,,,0.5735590486227273,0.4375,0.5055295243113637
3834322,2,,,0.4958251364221801,0.5079365079365079,0.501880822179344
12170648,2,,,0.5588506237012855,0.4153846153846154,0.4871176195429504
6889235,2,,,0.53571770848166,0.4142857142857143,0.4750017113836872
8242681,2,,,0.4603620657073251,0.4821428571428572,0.47125246142509114
5360082,2,,,0.5386492785895824,0.3768115942028986,0.45773043639624056
2438502,2,,,0.4733546659256581,0.4107142857142857,0.4420344758199719
6387450,2,,,0.4216497531601384,0.4615384615384615,0.44159410734929994
9149789,2,,,0.4224187178412575,0.3620689655172413,0.3922438416792494
6762829,5,,,0.4064454521120085,0.3684210526315789,0.3874332523717937
