kepid,tce_plnt_num,kepoi_name,koi_disposition,XGB_vif,bLR,mean
11754430,2,K03403.02,CANDIDATE,0.63346714,0.9797061211018234,0.8065866305509117
1026957,1,K00958.01,CANDIDATE,0.73285586,0.8788702159678119,0.805863037983906
8892910,2,,,0.83100414,0.7771910647461997,0.8040976023730999
5356593,2,,,0.7769446999999999,0.8312294144355405,0.8040870572177703
4851464,2,,,0.8027076,0.8047904964273186,0.8037490482136593
5770074,1,K01928.01,CANDIDATE,0.70872587,0.8973762406006319,0.803051055300316
5020319,1,K00635.01,CANDIDATE,0.6154596999999999,0.9891593348137756,0.8023095174068877
8686150,2,,,0.7865093000000001,0.8172703483862725,0.8018898241931363
10676824,1,K00599.01,CANDIDATE,0.621421,0.9789037791449722,0.8001623895724861
11709124,2,,,0.8846458,0.7005503728619059,0.792598086430953
7670943,1,K00269.01,CANDIDATE,0.67688024,0.8979837103419129,0.7874319751709564
11187837,1,K00252.01,CANDIDATE,0.60041595,0.9654467816880044,0.7829313658440022
11126381,1,K01863.01,CANDIDATE,0.74693346,0.805476210535626,0.776204835267813
7023960,2,,,0.9236243,0.6281022441046882,0.7758632720523441
9649222,2,,,0.73493016,0.8144421962830907,0.7746861781415453
5780885,2,,,0.732506,0.8166020310473305,0.7745540155236652
9837661,3,K02715.03,CANDIDATE,0.60455173,0.9371698530888204,0.7708607915444101
11394027,1,K00349.01,CANDIDATE,0.57187897,0.9685945986758944,0.7702367843379472
11657614,1,K03370.01,CANDIDATE,0.5782217,0.9600011875154713,0.7691114437577355
3097926,1,K02186.01,CANDIDATE,0.7878258,0.7494062484791,0.76861602423955
10337517,1,K01165.01,CANDIDATE,0.7762488000000001,0.7590626062290607,0.7676557031145304
7287415,1,K01369.01,CANDIDATE,0.5734531999999999,0.9532005125648976,0.7633268562824487
11465950,1,K02620.01,CANDIDATE,0.7724310999999999,0.7516499644410083,0.7620405322205042
5270698,2,,,0.8404578000000001,0.6779904637305371,0.7592241318652686
8678594,2,K01261.02,CANDIDATE,0.61090076,0.9068714519236089,0.7588861059618044
3247268,2,K01089.02,CANDIDATE,0.57054514,0.9466489031465488,0.7585970215732745
6041734,2,,,0.8994131999999999,0.6176121073487651,0.7585126536743825
5342473,1,K02297.01,CANDIDATE,0.58906996,0.9176919649159794,0.7533809624579897
5972334,2,K00191.02,CANDIDATE,0.5119840999999999,0.9907571039176006,0.7513706019588002
