kepid,tce_plnt_num,pca
2018261.0,4.0,-342114220.9690372
2017803.0,1.0,-358747269.57090765
2014991.0,7.0,-395336947.6813412
2014991.0,9.0,-488633243.848044
2014991.0,8.0,-451836995.6122999
2017224.0,1.0,-484804776.00763506
2016979.0,1.0,541861789.609087
2018261.0,2.0,-523190966.9939149
2018261.0,7.0,-465839207.37117386
2018261.0,5.0,-566578700.5589439
2018261.0,6.0,-328281699.3427328
2018642.0,1.0,-116657407.6512999
2018906.0,1.0,-285649860.216927
2018685.0,1.0,-463910182.9778403
2018906.0,4.0,-328268917.87118363
2018906.0,5.0,-201643125.40454045
2018906.0,9.0,-439400872.871765
2018906.0,6.0,-328079158.82327306
2018906.0,7.0,-113851544.86346537
2019297.0,2.0,-262802956.64135516
2018906.0,8.0,-387081767.1792917
2019297.0,1.0,-133201429.9535728
2018906.0,10.0,-258439739.57124245
2019076.0,1.0,1814773739.2909276
2140782.0,1.0,-471701989.919095
2020437.0,1.0,-489340609.25796473
2021440.0,1.0,27227609.905456282
2019477.0,2.0,-452569150.40745515
2140389.0,1.0,1814773737.7761254
2140360.0,1.0,755845675.1590838
2019477.0,1.0,-416700508.2954762
2021440.0,2.0,-63043740.76117197
2021100.0,1.0,-281288104.4923905
2140782.0,2.0,-536387800.4738097
2021100.0,2.0,-298941876.7902464
2140782.0,3.0,-313316457.0837846
2141387.0,4.0,-325119453.15919006
2140782.0,5.0,-386774741.00697595
2141783.0,1.0,-91816690.4249257
2141938.0,1.0,-34774826.02708394
2141387.0,3.0,-358639542.075632
2140782.0,6.0,-400992594.2274407
2142183.0,1.0,-389148515.1354392
2140782.0,4.0,-362078579.8037382
2141938.0,2.0,-150415061.50429818
2141387.0,5.0,-585710162.2598233
2141387.0,1.0,-403227017.7993568
2141387.0,2.0,-585709308.9610144
2156514.0,1.0,91630407.55594888
2156998.0,1.0,-485615018.54476243
2157247.0,1.0,383120176.03670883
2142730.0,1.0,-366385450.81659675
2156089.0,1.0,-438033757.5836223
2142183.0,3.0,-317773861.69706094
2142183.0,4.0,-191412132.06347808
2142522.0,1.0,26283196.87935331
2142183.0,2.0,-472904396.3727408
2156906.0,1.0,-502869119.8470304
2157247.0,4.0,-380029053.5565559
2158190.0,2.0,-403505695.00388265
2158208.0,1.0,304916878.25239813
2157247.0,3.0,-554097064.9120775
2159486.0,2.0,-484605058.11946136
2157489.0,1.0,-93733516.03185311
2157489.0,2.0,-481283616.68182236
2158190.0,3.0,-409812129.6642489
2158190.0,1.0,97486998.20498602
2157247.0,2.0,180700138.2210749
2159486.0,1.0,-487606493.639721
2159852.0,1.0,603546406.4214985
2159700.0,1.0,-145684978.8931921
2161623.0,2.0,-585709310.7555766
2161949.0,1.0,-164929521.77116123
2162268.0,1.0,-179387042.03501752
2159852.0,2.0,609485463.3715327
2161536.0,1.0,147658386.0022586
2161949.0,2.0,-267045310.2269223
2161623.0,1.0,-585709308.7250528
2162268.0,3.0,-566071367.7295083
2162635.0,1.0,-416356421.48264533
2162994.0,1.0,-585709308.602486
2162268.0,4.0,-432275870.0167582
2162904.0,1.0,42948918.572215736
2164165.0,1.0,826612464.532092
2164169.0,1.0,-57900677.63827807
2163457.0,1.0,-459152385.8006713
2167444.0,2.0,-512081561.3853546
2166206.0,1.0,255838704.2032377
2165352.0,1.0,867004254.1157595
2165002.0,1.0,448648154.5107906
2167444.0,1.0,-128016275.67559956
2165352.0,2.0,1108241152.5983913
2164791.0,3.0,-314634996.53328663
2165002.0,2.0,-74124810.92641923
2166200.0,1.0,1814773737.4515393
2164791.0,2.0,-514038558.13107055
2166218.0,1.0,-55387256.95667478
2167600.0,3.0,-411595157.763159
2167600.0,4.0,-310372937.78336746
2167444.0,10.0,-387165343.3074976
2167600.0,1.0,-336308140.8455409
2167600.0,7.0,-289469375.55200684
2167444.0,7.0,-369889277.2190406
2167444.0,9.0,-420947719.93011683
2167600.0,5.0,-452860859.56842875
