kepid,tce_plnt_num,kepoi_name,bGB
11754430,2,K03403.02,0.8659767575071456
9838975,2,,0.8659435442620901
11968463,3,K02433.03,0.8643062943746818
5972334,2,K00191.02,0.8635234956779467
5792202,3,K00841.03,0.862937256540238
5872150,3,,0.8628394443839145
5370302,2,,0.8621620729291248
4770365,2,K01475.02,0.85993265817221
6041734,2,,0.8546380962394309
6548898,4,,0.8513565803423473
10793172,1,K02871.01,0.8512240957343974
3231341,5,,0.8504749750881602
5035972,2,,0.8503300800820666
7670943,1,K00269.01,0.8498076330346359
6462874,3,,0.8494852286878318
5972334,3,K00191.03,0.8488970236847202
9288786,2,,0.8483366598176786
8078502,1,K03383.01,0.8435874199694703
3247268,2,K01089.02,0.8430019576157333
2449431,1,K02009.01,0.8405906640778132
5471769,2,,0.8401729992577033
9896018,1,K02579.01,0.8401374253382548
6432345,1,K02757.01,0.8399733914749775
3648437,1,K01861.01,0.8385068142793739
9851271,1,K02003.01,0.8383202750912444
10227914,1,,0.8382737912685545
11599038,1,K01437.01,0.8378252501718632
4173026,1,K02172.01,0.8373594617242429
5211199,1,K02158.01,0.8372194505629038
4140813,1,K02117.01,0.8364402489962064
10265898,2,K00732.02,0.8356449558933201
4149450,1,K01864.01,0.8350333926142565
9472000,1,K02082.01,0.8317911539608203
2444769,3,,0.8314615105570544
7968451,1,,0.8309445507926468
5544450,1,K03226.01,0.8301096947564929
7017274,1,K03209.01,0.8282739439845486
3967326,1,K02084.01,0.8281356417223512
11253711,1,K01972.01,0.8280105785356926
7879384,1,,0.827211100516817
10904857,2,,0.8256585024295798
11030475,2,,0.8244979586177253
8608544,3,,0.824068509506854
9008737,1,,0.8212817935466571
6356692,1,K02948.01,0.8210663304919286
7376983,1,K01358.01,0.8204793396559413
9269281,1,K01398.01,0.8171347182167837
10973664,2,K00601.02,0.8171305708670935
10676824,1,K00599.01,0.815888470775183
11657614,1,K03370.01,0.8155449589739057
7939330,1,K01581.01,0.8151223553092124
9006186,2,K02169.02,0.8142052474139035
6762829,2,,0.8135147910134113
4770365,1,K01475.01,0.811919323355508
5775129,1,K02802.01,0.8103421707387244
7938496,1,K00900.01,0.8088603867641742
10134152,1,K02056.01,0.8067780558378379
12120307,3,K02597.03,0.8056698580968059
11874577,1,K02779.01,0.8026505197943663
5794570,2,K02675.02,0.8007194842702565
9100953,2,K04500.02,0.8003471679377046
4846856,1,K02900.01,0.7992702190782934
6467363,1,K02840.01,0.7983621985430767
5270698,2,,0.7975008710781766
8869507,1,,0.7974898047301628
5787131,1,K02927.01,0.7963844293239982
5786676,1,K00650.01,0.7960109714016788
7183745,2,K02521.02,0.7947233590718218
6719086,1,K01357.01,0.7947065105116446
6058816,1,K03500.01,0.7941299753438333
10005758,2,K01783.02,0.7930707967598715
3109930,1,K01112.01,0.7925510832282593
10713616,1,K01311.01,0.7919135181940906
5942808,1,K02250.01,0.7917953154795858
11297236,1,K01857.01,0.7886239929291232
5342473,1,K02297.01,0.7880591228980454
3218908,4,,0.7872695668376952
9823487,1,K01489.01,0.7835873109818086
8678594,2,K01261.02,0.7835800862043409
12504988,2,,0.7828077961871296
3940418,1,K00810.01,0.7817568628154382
7941635,2,K05449.02,0.7814042014605407
5436013,1,K02471.01,0.7804738340455909
5716932,1,K02358.01,0.7798738576193005
5978559,1,K02321.01,0.778570781886553
8804455,2,K02159.02,0.7784614384034699
2854181,1,K02232.01,0.7783749060565306
10471621,1,K02554.01,0.7782267719483228
11853878,2,K01833.02,0.7779047354708241
7664421,1,,0.7772999201671421
7287415,1,K01369.01,0.7758480597880615
12203082,2,,0.7756432170603409
6428794,1,K04054.01,0.7749004158716025
8838950,1,K02421.01,0.7747845837551407
10091110,3,,0.7728347511970541
1026957,1,K00958.01,0.7700794821839324
6803202,1,K00177.01,0.7698223333050482
10875007,1,K04149.01,0.7697053532602574
4242147,1,K01934.01,0.7685844368932727
8804845,1,K02039.01,0.7661925558778391
8780959,2,K03741.02,0.765696273075094
5031857,2,K01573.02,0.76415808976828
8935810,1,K01395.01,0.7639023596971748
9244756,1,K01969.01,0.7637048869479346
12406807,1,K03091.01,0.7626601137061249
5978361,1,K00558.01,0.7612826763323277
5376836,2,,0.760422487944999
9475552,2,K02694.02,0.7596680320950446
7810483,1,K01943.01,0.7592719591923364
8742590,1,K01281.01,0.7591697019924577
12115188,2,,0.7590311462693399
12156347,1,K02588.01,0.7583987557057387
6666233,2,,0.7581561514185359
4385148,1,K02942.01,0.7579639650191631
8827575,2,K03052.02,0.7575957324206475
7877978,1,K02760.01,0.7575187349964994
11098013,1,K02712.01,0.753899233965869
7605600,2,,0.7532239414427909
7700622,1,K00315.01,0.7527902255548514
1717722,2,K03145.02,0.752125423135463
9098590,2,,0.7514133933504463
6779726,1,K03375.01,0.7512779132379018
9532710,1,K02364.01,0.7508726525570739
5531953,1,K01681.01,0.7502645634375524
9702006,1,K04372.01,0.7487877615603871
6131659,3,,0.7483459164053283
12120943,1,K01458.01,0.7482980321100905
7762723,1,K02663.01,0.7480990033146971
11718144,1,K02310.01,0.7464189456777592
4851530,2,K01884.02,0.7459575606113124
3098810,1,K01878.01,0.7453309599882305
12009347,2,,0.7449376606076943
3561464,2,K03398.02,0.7449369661520214
7138446,4,,0.7447774679025325
7446631,1,K02598.01,0.7444859617213464
11967788,1,K04021.01,0.7444817945053146
10485250,2,,0.7444232481756647
12785320,2,K00298.02,0.7440804625731148
11705004,1,K02199.01,0.7440577183007757
4466677,2,K01338.02,0.7433223185876376
3831053,1,K00388.01,0.7430914846104322
2438513,1,K01944.01,0.742818136579359
9837661,3,K02715.03,0.7405554099005601
