kepid,tce_plnt_num,kepoi_name,koi_disposition,CANDIDATE,CONFIRMED,FALSE POSITIVE,y_pred
9597854,1,K07201.01,FALSE POSITIVE,1.4093686150374174e-06,6.040282853865944e-07,0.9999979866030995,FALSE POSITIVE
9602431,1,K07202.01,FALSE POSITIVE,0.0017558195611009496,1.379957829640439e-07,0.998244042443116,FALSE POSITIVE
9602538,1,K07203.01,FALSE POSITIVE,0.00022844421305816043,4.36979058926391e-07,0.9997711188078829,FALSE POSITIVE
9630640,1,K07204.01,FALSE POSITIVE,0.0005386339822950721,9.448719290488619e-07,0.9994604211457758,FALSE POSITIVE
9635520,1,K07205.01,CANDIDATE,0.9999647363310318,2.8191746101574967e-05,7.071922866628185e-06,CANDIDATE
9635529,1,K07206.01,FALSE POSITIVE,1.1561555529684259e-05,2.1448451456573314e-07,0.9999882239599557,FALSE POSITIVE
9637299,1,K07207.01,FALSE POSITIVE,9.86453577555753e-05,4.923955536471782e-09,0.9999013497182888,FALSE POSITIVE
9640123,1,K07209.01,CANDIDATE,0.9999888559069035,1.092507597296499e-05,2.190171236571335e-07,CANDIDATE
9640921,1,K07210.01,FALSE POSITIVE,8.785211471252901e-06,3.9983905199864254e-07,0.9999908149494766,FALSE POSITIVE
9640921,2,K07210.02,FALSE POSITIVE,0.0003994310333605512,1.9684105838610662e-05,0.9995808848608009,FALSE POSITIVE
9641031,1,K07211.01,FALSE POSITIVE,3.2133788914818894e-05,8.694281743293739e-07,0.9999669967829108,FALSE POSITIVE
9641103,1,K07212.01,FALSE POSITIVE,9.985040791773443e-07,2.318503987359861e-05,0.9999758164560472,FALSE POSITIVE
9644411,1,K07213.01,FALSE POSITIVE,3.3407786662779805e-05,2.195702613621764e-10,0.9999665919937669,FALSE POSITIVE
9644683,1,K07214.01,FALSE POSITIVE,8.203012400911119e-05,6.634644568644078e-06,0.9999113352314223,FALSE POSITIVE
9651602,1,K07215.01,CANDIDATE,0.9999995762373686,2.2974406346738112e-07,1.9401856807291263e-07,CANDIDATE
9652166,1,K07216.01,FALSE POSITIVE,0.00044554068471573064,1.4017371334538021e-08,0.9995544452979129,FALSE POSITIVE
9652632,1,K07217.01,FALSE POSITIVE,1.666521737600402e-06,1.7416897552986596e-09,0.9999983317365726,FALSE POSITIVE
9655424,1,K07218.01,FALSE POSITIVE,0.0003790698806178745,1.0424432227206846e-05,0.9996105056871549,FALSE POSITIVE
9658089,1,K07220.01,CANDIDATE,0.9998870742363556,9.897215596005234e-05,1.3953607684511445e-05,CANDIDATE
9665503,1,K07221.01,FALSE POSITIVE,3.844612343242195e-05,2.1939573174053385e-07,0.9999613344808358,FALSE POSITIVE
9673173,1,K07222.01,FALSE POSITIVE,2.34856853690235e-05,3.165119146261501e-08,0.9999764826634396,FALSE POSITIVE
9674320,1,K07223.01,CANDIDATE,0.9999918093709356,4.45583203966464e-06,3.7347970246839834e-06,CANDIDATE
9711751,1,K07225.01,FALSE POSITIVE,0.0005333841705379843,1.4212507310431395e-06,0.999465194578731,FALSE POSITIVE
9762514,1,K07227.01,FALSE POSITIVE,7.349074640424116e-06,0.00016113403956141418,0.9998315168857981,FALSE POSITIVE
9762519,1,K07228.01,FALSE POSITIVE,5.4899261125897154e-05,4.137348243586139e-08,0.9999450593653917,FALSE POSITIVE
9777062,1,K07229.01,FALSE POSITIVE,8.003635433566178e-05,1.686287545129874e-09,0.9999199619593768,FALSE POSITIVE
9786821,1,K07230.01,FALSE POSITIVE,0.00040720409399824814,1.4478126785850002e-09,0.9995927944581892,FALSE POSITIVE
