kepid,tce_plnt_num,kepoi_name,bDT
10450536,6,,1.0
10450536,7,,1.0
10450889,1,,1.0
10332789,2,,1.0
10420301,2,,1.0
10333254,1,,1.0
10333254,2,,1.0
10471914,2,,1.0
10468794,1,,1.0
10360907,3,,1.0
10415087,1,,1.0
10485250,2,,1.0
10275409,1,,1.0
10395312,8,,1.0
10337072,1,,1.0
10405926,2,,1.0
10352603,4,,1.0
10425482,1,,1.0
10328476,5,,1.0
10427996,2,,1.0
7115925,6,,1.0
7269623,2,,1.0
7375348,2,K00266.02,1.0
4488796,2,,1.0
3452996,3,,1.0
4571780,2,,1.0
4366913,2,,1.0
4375408,10,,1.0
4381649,1,,1.0
4351367,1,,1.0
4450976,1,,1.0
4477104,1,,1.0
4646848,1,,1.0
4355503,2,,1.0
4636464,2,,1.0
4247991,1,,1.0
4649238,2,,1.0
4489829,2,,1.0
4569590,7,,1.0
4482231,1,,1.0
4446044,1,,1.0
4349442,4,,1.0
4359851,1,,1.0
4364460,1,,1.0
4570949,2,,1.0
4464394,1,,1.0
3452996,2,,1.0
3452996,1,,1.0
3222183,3,,1.0
3222183,2,,1.0
3937814,2,,1.0
3560301,9,,1.0
3734868,2,,1.0
3760002,1,,1.0
3655115,1,,1.0
3323887,3,,1.0
3323887,4,,1.0
3130548,2,,1.0
3231341,5,,1.0
3122188,5,,1.0
3223460,2,,1.0
3458715,1,,1.0
3534076,1,,1.0
3218908,4,,1.0
3534576,1,,1.0
3241344,2,,1.0
3455094,4,,1.0
3247777,1,,1.0
3340070,1,,1.0
3340070,2,,1.0
3340313,2,,1.0
4142768,3,,1.0
4261467,1,,1.0
7219502,2,,1.0
4927985,1,,1.0
5219708,1,,1.0
5220979,2,,1.0
5098444,2,,1.0
5114623,8,,1.0
5200521,1,,1.0
5103942,2,,1.0
4735826,2,,1.0
4927048,1,,1.0
4773155,5,,1.0
4773851,2,,1.0
4768668,2,,1.0
4261467,2,,1.0
4774574,2,,1.0
4840513,2,,1.0
4756725,1,,1.0
4851464,2,,1.0
4917786,1,,1.0
4826257,2,,1.0
4847832,4,,1.0
4856630,2,,1.0
4831769,1,,1.0
4843592,2,,1.0
5175986,2,,1.0
5175668,1,,1.0
5112438,1,,1.0
5120793,2,,1.0
4273425,1,,1.0
4261467,3,,1.0
4157933,4,,1.0
4263127,1,,1.0
4181749,2,,1.0
4263801,6,,1.0
4149684,2,,1.0
3963203,2,,1.0
4054968,2,,1.0
4077442,1,,1.0
4178654,1,,1.0
4042026,2,,1.0
4069213,2,,1.0
4157052,2,,1.0
4180346,2,,1.0
5217910,2,,1.0
5035972,2,,1.0
5213157,3,,1.0
5077629,2,,1.0
5119143,2,,1.0
5078939,2,,1.0
3661206,1,,1.0
3558981,2,,1.0
3757778,2,,1.0
5398002,1,K03213.01,1.0
7584650,1,K02631.01,1.0
8263545,1,K02822.01,1.0
8617363,1,K02945.01,1.0
5108946,1,K02955.01,1.0
5980783,1,K02967.01,1.0
6438099,1,K02976.01,1.0
5092266,1,K03045.01,1.0
9119568,1,K03087.01,1.0
11518201,1,K03104.01,1.0
4076976,1,K03124.01,1.0
5213230,1,K03474.01,1.0
3561700,5,,1.0
2581316,2,K03681.02,1.0
5966810,1,K03909.01,1.0
9091755,1,K04052.01,1.0
8951205,1,K04099.01,1.0
6129694,1,K04131.01,1.0
9514372,1,K04242.01,1.0
7450747,1,K04267.01,1.0
9716028,1,K04273.01,1.0
7749002,1,K04325.01,1.0
5096053,1,K04331.01,1.0
11465950,1,K02620.01,1.0
2718778,1,K02489.01,1.0
6149910,1,K02469.01,1.0
5042210,1,K02462.01,1.0
3831053,1,K00388.01,1.0
10016874,1,K00426.01,1.0
5786676,1,K00650.01,1.0
2440757,1,K00792.01,1.0
7678434,2,K00892.02,1.0
1026957,1,K00958.01,1.0
2574338,1,K01030.01,1.0
5816165,1,K01043.01,1.0
6131236,1,K01051.01,1.0
6359798,1,K01121.01,1.0
10794087,1,K01316.01,1.0
11760959,1,K01484.01,1.0
4650733,1,K01659.01,1.0
8552719,2,K01792.02,1.0
5124667,1,K01822.01,1.0
11126381,1,K01863.01,1.0
5978559,1,K02321.01,1.0
11192235,1,K02329.01,1.0
