kepid,tce_plnt_num,kepoi_name,bGB,bLR,mean
2581316,2,K03681.02,0.9256967669439558,0.7422147793146718,0.8339557731293138
11874577,1,K02779.01,0.8026505197943663,0.8652231874186257,0.8339368536064959
6946199,2,K01359.02,0.9096057973266632,0.7547333807785528,0.832169589052608
9244756,1,K01969.01,0.7637048869479346,0.9001894879371053,0.8319471874425199
2718778,1,K02489.01,0.7134089965720294,0.9495030773235704,0.8314560369477999
2574338,1,K01030.01,0.7089864587432149,0.9497521988758866,0.8293693288095507
11810124,1,K03344.01,0.8811463133460048,0.7759477284252102,0.8285470208856075
9003401,1,K02319.01,0.7317359907402872,0.920132491319337,0.825934241029812
6467363,1,K02840.01,0.7983621985430767,0.8535028111126279,0.8259325048278523
7700622,1,K00315.01,0.7527902255548514,0.8976684411360173,0.8252293333454344
1026957,1,K00958.01,0.7700794821839324,0.8787782784163064,0.8244288803001194
11599038,1,K01437.01,0.8378252501718632,0.8109101198431373,0.8243676850075002
2449431,1,K02009.01,0.8405906640778132,0.8078709549221029,0.8242308094999581
5787131,1,K02927.01,0.7963844293239982,0.8493540938082768,0.8228692615661375
10337517,1,K01165.01,0.8866680036274727,0.7588767781924489,0.8227723909099608
7183745,2,K02521.02,0.7947233590718218,0.8489715252809064,0.8218474421763641
9266431,1,K00704.01,0.7067259012766602,0.9353290947125328,0.8210274979945965
9936080,1,K04431.01,0.6848475585089924,0.953053614603716,0.8189505865563542
4770365,2,K01475.02,0.85993265817221,0.7707823695445948,0.8153575138584024
7948784,1,K01968.01,0.7091788992931491,0.9187326365227388,0.813955767907944
10118816,1,K01085.01,0.7216927286042412,0.9053109138489972,0.8135018212266192
10091110,3,,0.7728347511970541,0.8531126483414971,0.8129736997692756
11856178,1,K06246.01,0.6993998690671106,0.9263332882881246,0.8128665786776176
3937519,2,K00221.02,0.6469919000189949,0.9743160035501508,0.8106539517845728
7941200,1,K00092.01,0.7182501481351884,0.8995938042730782,0.8089219762041333
5372966,2,,0.8869141033312976,0.7286454747345525,0.807779789032925
5534941,1,K02332.01,0.6448740993429165,0.9697479154681828,0.8073110074055496
9636135,2,K01498.02,0.6903951544300893,0.9241288972763152,0.8072620258532022
6719086,1,K01357.01,0.7947065105116446,0.8184634460487739,0.8065849782802093
9006186,2,K02169.02,0.8142052474139035,0.7969976655157851,0.8056014564648444
5716932,1,K02358.01,0.7798738576193005,0.8307566350808202,0.8053152463500604
3734868,2,,0.6384086010534729,0.9703571169793598,0.8043828590164164
3642741,1,K00242.01,0.6831041539669065,0.9252190615342276,0.8041616077505671
7097965,1,K02083.01,0.6650537914566232,0.9425127564001462,0.8037832739283848
8935810,1,K01395.01,0.7639023596971748,0.8410944924306669,0.8024984260639209
8456679,2,K00102.02,0.6305026820943921,0.9725595184134136,0.8015311002539028
4770365,1,K01475.01,0.811919323355508,0.7887483604640907,0.8003338419097994
11967788,2,K04021.02,0.6449448822853532,0.955039483567078,0.7999921829262155
11098013,1,K02712.01,0.753899233965869,0.8460793883156654,0.7999893111407672
11253711,1,K01972.01,0.8280105785356926,0.7623887426797811,0.7951996606077368
8410415,1,K02291.01,0.7077706356844127,0.8822965809525316,0.7950336083184721
5972334,3,K00191.03,0.8488970236847202,0.7353052261885279,0.7921011249366241
11852982,1,K00247.01,0.6208424140727202,0.9631138490326188,0.7919781315526695
7364176,1,K00373.01,0.9027611570768208,0.6810732595271839,0.7919172083020023
10793172,1,K02871.01,0.8512240957343974,0.7324885053985398,0.7918563005664686
4548098,1,K04157.01,0.6831204575364349,0.9005002202335172,0.791810338884976
9411166,2,,0.9555188702178246,0.6215238606863143,0.7885213654520694
8321314,1,K02293.01,0.6879863926713932,0.8801275034330878,0.7840569480522405
6364215,2,K02404.02,0.6308558023241572,0.9333309337100408,0.7820933680170989
11771430,1,K02582.01,0.6795176058878281,0.8843941667988515,0.7819558863433398
7810483,1,K01943.01,0.7592719591923364,0.8045371221306341,0.7819045406614853
11618601,1,K03022.01,0.6999430774630335,0.8619367545003265,0.78093991598168
7377343,1,K05384.01,0.6283220871645521,0.9324284665332919,0.780375276848922
4365645,1,K01738.01,0.6664364209067115,0.8896173337850612,0.7780268773458864
