kepid,KOI,Morph,Mult,BJD0,BJD0 Err,Period,Period Err,Kepmag,Teff,RA,Dec
9002076, ,0.85,1,54953.989731,0.028952,0.481405,4E-07,12.256,6434,283.087,45.3904
9002237,1389,0.15,1,54967.799459,0.017254,4.350088,8.8E-06,14.855,5772,283.1891,45.3642
9004380, ,0.97,1,54964.60001,0.013059,0.250333,1E-07,14.238,6070,284.2739,45.3593
9005043, ,0.72,1,55002.139462,0.016323,0.320238,3E-07,15.779,5141,284.6322,45.3317
9005854, ,0.27,1,54968.458209,0.024533,3.780454,7.2E-06,15.569,5190,285.0313,45.3805
9007918, ,0.52,1,54954.746682,0.023254,1.387207,1.7E-06,11.658,6939,286.0084,45.356
9016295,925,0.05,1,54984.654842,0.02716,19.974483,7.8E-05,15.217,5819,289.7275,45.3677
9016693, ,-1,1,55002.583038,,26.368027,0.000116,11.635,7020,289.8839,45.3041
9020289, ,0.94,1,54964.859201,0.022983,0.384028,3E-07,14.741,5997,291.2254,45.3256
9020426, ,0.59,1,54965.445795,0.019065,0.913393,9E-07,14.55,5732,291.2793,45.3068
9021397, ,0.8,1,54964.808064,0.048589,0.426211,3E-07,14.97,5301,291.625,45.3629
9024857, ,0.01,1,54993.600906,0.018365,35.026594,0.000176,15.496,5109,292.8785,45.3444
9025914,3596,0.14,1,54998.832866,0.136462,11.320321,0.000103,16.756,5900,293.2633,45.3494
9026766, ,0.76,1,54964.846798,0.015238,0.272128,2E-07,14.998,4880,293.5784,45.3099
9027841,4266,0.48,1,55001.924897,0.005856,0.504,4E-07,15.498,4760,293.9522,45.3183
9028024, ,0.86,1,54968.540428,0.204568,3.857863,7.4E-06,14.426,5494,294.0102,45.3746
9028474,3510,0,1,55010.672516,0.046925,124.936579,0.00105,12.338,5653,294.1595,45.3759
9029486, ,0.2,1,54965.329793,0.025326,6.277161,1.5E-05,13.63,5368,294.4729,45.3897
9030447,1401,0.9,1,55066.558072,0.076492,0.566698,5E-07,13.44,6693,294.79,45.3916
9030509, ,0.88,1,54964.962189,0.024075,0.401785,3E-07,14.48,5172,294.8102,45.3933
9030817, ,0.88,1,54966.356406,0.497911,2.026223,2.9E-06,13.81,6266,294.9231,45.327
9032671, ,0.7,1,54953.798542,0.013539,0.249608,1E-07,12.982,4807,295.51,45.3124
9032900,134,0.22,1,54985.471559,0.841239,67.524223,0.000441,13.675,6156,295.5866,45.365
9048145,6063,0.15,1,54970.340771,0.033053,8.667826,2.38E-05,13.089,6484,299.398,45.3182
9051716, ,0.94,1,55002.19995,0.077916,1.390816,1.7E-06,13.839,6579,300.3513,45.3452
9051723, ,0.74,1,54964.699116,0.020893,0.403448,3E-07,15.292,5213,300.352,45.3071
9053086,3751,0.56,1,55000.314343,0.020244,1.274841,4.5E-06,14.034,5961,300.7217,45.3067
9071104, ,0.82,1,54964.762894,0.023329,0.385213,3E-07,13.651,5959,282.986,45.408
9071373, ,0.81,1,54953.991362,0.108608,0.421769,3E-07,13.069,,283.1591,45.4156
9071386,23,0.36,1,54955.78203,0.042372,4.693306,9.7E-06,12.291,6324,283.1663,45.4031
9075704, ,0.68,1,54999.890308,0.025619,0.513152,9E-07,16.235,7556,285.5646,45.4943
9077796, ,0.72,1,54964.645249,0.010138,0.23808,1E-07,15.439,3516,286.7326,45.4959
9083523, ,0.65,1,54954.484907,0.043032,0.918421,9E-07,12.709,,289.7392,45.4583
9084778,1631,0.5,1,54964.649261,0.009975,0.592244,5E-07,15.653,4787,290.2809,45.4643
9085955, ,0.99,1,55002.043321,0.020273,0.359248,3E-07,15.419,5914,290.7479,45.4621
9087918, ,0.78,1,54964.861915,0.025417,0.445607,3E-07,14.486,5675,291.4839,45.4172
9091810, ,0.7,1,54953.601177,0.019527,0.479721,4E-07,12.755,4807,292.95,45.42
9092303, ,0.95,1,55000.755038,0.860544,2.577164,4.1E-06,13.59,8180,293.1318,45.4422
