kepid,plnt num,kname,dispos,GB_vif_cap2,LR
10252275,2,K03130.02,CAND,-,0.703
12105051,1,K00141.01,CAND,-,0.703
7941200,1,K00092.01,CAND,-,0.702
11754430,2,K03403.02,CAND,-,0.7
2446113,1,K00379.01,FP,-,0.697
10337517,1,K01165.01,CAND,-,0.697
12156347,1,K02588.01,CAND,-,0.696
5542466,1,K01590.01,CAND,-,0.695
10118816,1,K01085.01,CAND,-,0.693
7287683,1,K01622.01,CAND,-,0.692
11752906,2,K00253.02,CAND,-,0.691
8257205,2,K01986.02,CAND,-,0.691
12121570,1,K02290.01,CAND,-,0.691
10055126,3,K01608.03,CAND,-,0.689
7294743,1,K02516.01,CAND,-,0.688
5531953,2,K01681.02,FP,-,0.688
10387742,1,K02583.01,CAND,-,0.688
11599264,2,-,-,-,0.688
7522911,1,K01705.01,CAND,-,0.688
6956216,2,-,-,-,0.687
12061238,1,K01502.01,FP,-,0.687
6975129,3,K01628.03,FP,-,0.685
10514430,3,-,-,-,0.685
9489524,4,K02029.04,CAND,-,0.683
10363115,1,K03908.01,CAND,-,0.682
11138155,1,K00760.01,CAND,-,0.681
8494542,1,K02204.01,CAND,-,0.679
10386922,1,K00289.01,CAND,-,0.679
11771430,1,K02582.01,CAND,-,0.679
11462341,1,K02124.01,CAND,-,0.677
9692128,1,K02769.01,FP,-,0.677
8018547,1,K00902.01,CAND,-,0.676
6543893,2,K01627.02,CAND,-,0.674
6609270,1,K03090.01,CAND,-,0.674
9489524,3,K02029.03,CAND,-,0.673
5283542,1,K00827.01,FP,-,0.673
11922778,1,K03408.01,CAND,-,0.671
3229150,1,K02150.01,CAND,-,0.671
8261920,2,K02174.02,CAND,-,0.668
9898447,1,K02803.01,CAND,-,0.668
8984831,4,-,-,-,0.667
6721523,5,-,-,-,0.667
5480766,5,-,-,-,0.666
10074466,1,K01917.01,CAND,-,0.663
9700145,4,-,-,-,0.661
5629353,3,K06132.03,CAND,-,0.66
8162789,1,K00521.01,CAND,-,0.659
6862721,1,K01982.01,CAND,-,0.657
8630788,3,K01258.03,CAND,-,0.657
7202957,1,K02687.01,CAND,-,0.657
11818607,1,K02467.01,CAND,-,0.656
