kepid,tce_plnt_num,kepoi_name,koi_disposition,XGB_vif
6593150,1,K03037.01,CANDIDATE,0.6123654000000001
3648437,1,K01861.01,CANDIDATE,0.6120065
11967788,2,K04021.02,CANDIDATE,0.6116607
6356692,1,K02948.01,CANDIDATE,0.6094498
10350571,2,K01175.02,CANDIDATE,0.60926455
10793172,1,K02871.01,CANDIDATE,0.60732543
9071593,2,K02257.02,CANDIDATE,0.6068045999999999
3450040,1,K04205.01,CANDIDATE,0.60673535
11138155,1,K00760.01,CANDIDATE,0.60654104
9266431,1,K00704.01,CANDIDATE,0.6057875
5773121,1,K04002.01,CANDIDATE,0.6014758000000001
7377343,1,K05384.01,CANDIDATE,0.60061866
3323887,2,,,0.6004819
8236479,1,,,0.5999275
11821363,1,K01494.01,CANDIDATE,0.5995286999999999
5092266,1,K03045.01,CANDIDATE,0.5991711
11030475,1,K02248.01,CANDIDATE,0.5975093
12156347,1,K02588.01,CANDIDATE,0.5962744000000001
8742590,1,K01281.01,CANDIDATE,0.5941353
7269881,2,,,0.59311795
6867588,1,K02571.01,CANDIDATE,0.59301287
7749773,1,K02848.01,CANDIDATE,0.592684
10923260,2,,,0.59255326
6504534,3,,,0.5905829
3440118,1,K03876.01,CANDIDATE,0.58807015
2438502,2,,,0.5877334
6805146,2,,,0.5876696
10713616,1,K01311.01,CANDIDATE,0.5872853
7941635,2,K05449.02,FALSE POSITIVE,0.5872359
6762829,4,,,0.5868584
7879433,1,K02527.01,CANDIDATE,0.58583206
6707942,2,,,0.5857095
7733731,1,K04022.01,CANDIDATE,0.5848021999999999
8686150,2,,,0.58290696
10055126,3,K01608.03,CANDIDATE,0.582349
11285136,2,,,0.5798308000000001
9896018,1,K02579.01,CANDIDATE,0.577692
8110767,1,K02504.01,CANDIDATE,0.57676834
6975129,3,K01628.03,FALSE POSITIVE,0.5757475999999999
5905822,1,K02801.01,CANDIDATE,0.57441723
6441738,1,K01246.01,CANDIDATE,0.5743924
5003117,2,,,0.57242453
2574338,1,K01030.01,CANDIDATE,0.5720575
5980783,1,K02967.01,CANDIDATE,0.5718012
5531953,1,K01681.01,CANDIDATE,0.5708340999999999
5695524,1,K01897.01,CANDIDATE,0.5686209
8630788,3,K01258.03,CANDIDATE,0.56776804
8233504,1,,,0.567707
10363115,1,K03908.01,CANDIDATE,0.5672213
11810124,1,K03344.01,CANDIDATE,0.56683755
3937519,2,K00221.02,CANDIDATE,0.56611335
9205938,2,K02162.02,CANDIDATE,0.5643229000000001
11853878,2,K01833.02,CANDIDATE,0.5634216999999999
10657664,2,,,0.5633954999999999
7270230,2,,,0.5630742
11192235,1,K02329.01,CANDIDATE,0.5630170999999999
6614926,2,,,0.56292135
10141900,1,K01082.01,CANDIDATE,0.5607651
5446285,2,,,0.5607586999999999
8013439,3,K02352.03,CANDIDATE,0.55858165
3112129,2,,,0.55596596
1872821,1,K02351.01,CANDIDATE,0.5554495
6058816,1,K03500.01,CANDIDATE,0.554308
6500206,1,K02451.01,FALSE POSITIVE,0.553796
6300348,1,K00212.01,CANDIDATE,0.5532551
10094670,1,K01984.01,CANDIDATE,0.55308765
6383785,2,K00239.02,CANDIDATE,0.55092967
10471621,1,K02554.01,CANDIDATE,0.5508841999999999
6719086,1,K01357.01,CANDIDATE,0.5500978
11465950,1,K02620.01,CANDIDATE,0.54973406
4665571,2,K02393.02,CANDIDATE,0.54955703
7679812,1,K03943.01,CANDIDATE,0.54931104
3109930,1,K01112.01,CANDIDATE,0.54918385
9405595,1,K02125.01,CANDIDATE,0.54874676
5966810,1,K03909.01,CANDIDATE,0.5483148
10875007,1,K04149.01,CANDIDATE,0.5445773
9661979,1,K02132.01,CANDIDATE,0.54286134
9307509,1,K02096.01,CANDIDATE,0.54151106
5542466,1,K01590.01,CANDIDATE,0.53987575
12644769,2,,,0.53961277
9772531,1,K00950.01,CANDIDATE,0.5377031
11076400,1,K02759.01,CANDIDATE,0.53729564
9117416,2,K03425.02,CANDIDATE,0.53686285
8613535,1,K02263.01,CANDIDATE,0.5366364
4862625,2,,,0.536148
6706287,3,,,0.53479165
5787131,1,K02927.01,CANDIDATE,0.5347348000000001
7097965,1,K02083.01,CANDIDATE,0.5343677
4473226,1,K02229.01,CANDIDATE,0.5334904
7522911,1,K01705.01,CANDIDATE,0.5325279
9425139,1,K01411.01,CANDIDATE,0.5320062
8547429,1,K02658.01,CANDIDATE,0.52915287
7386827,1,K01704.01,CANDIDATE,0.5284920999999999
3561464,2,K03398.02,CANDIDATE,0.528049
2440757,1,K00792.01,FALSE POSITIVE,0.5272014
3122913,1,K02490.01,CANDIDATE,0.52683306
7017274,1,K03209.01,CANDIDATE,0.5263892
9017682,1,K01630.01,CANDIDATE,0.5255643
12017140,2,,,0.5241417
5544450,1,K03226.01,CANDIDATE,0.52356577
11718144,1,K02310.01,CANDIDATE,0.52341443
7810483,1,K01943.01,CANDIDATE,0.5232959
6198182,1,K02636.01,CANDIDATE,0.5223431
10788461,1,K03925.01,CANDIDATE,0.5200785
7948784,1,K01968.01,CANDIDATE,0.5200087999999999
8261920,3,K02174.03,CANDIDATE,0.51949346
5124667,1,K01822.01,CANDIDATE,0.5192161
9714123,2,,,0.5189568
7256914,2,K04136.02,CANDIDATE,0.51810086
7256914,1,K04136.01,CANDIDATE,0.5180971999999999
10597693,1,K02958.01,CANDIDATE,0.51650536
6187341,2,,,0.51276535
5621333,1,K03341.01,CANDIDATE,0.5126271
4912650,1,K05098.01,CANDIDATE,0.5120800999999999
3098810,1,K01878.01,CANDIDATE,0.5113918
10793172,2,K02871.02,CANDIDATE,0.5113607
11601584,3,K01831.03,CANDIDATE,0.51038486
3757778,2,,,0.5096635
10514430,4,,,0.50838727
9832208,1,K02553.01,CANDIDATE,0.5082930999999999
6946199,2,K01359.02,CANDIDATE,0.50781196
10583180,2,,,0.5078064
11244682,1,K03933.01,CANDIDATE,0.5077689999999999
10419211,2,,,0.5076055
11752906,2,K00253.02,CANDIDATE,0.5072930999999999
11253711,1,K01972.01,CANDIDATE,0.5071554
9664276,1,K03460.01,CANDIDATE,0.5051532999999999
8458207,2,,,0.5039170000000001
6342333,1,K02065.01,CANDIDATE,0.50264454
3629967,1,K01901.01,CANDIDATE,0.5007771
7186665,2,,,0.5002681999999999
3239671,1,K02066.01,CANDIDATE,0.5001623
7941200,1,K00092.01,CANDIDATE,0.49864024
6131236,1,K01051.01,CANDIDATE,0.4984309
8505920,1,K02094.01,CANDIDATE,0.4982892
5963582,1,K02479.01,CANDIDATE,0.49798950000000003
2446113,1,K00379.01,FALSE POSITIVE,0.49697742
5042210,1,K02462.01,CANDIDATE,0.49655914
9898447,1,K02803.01,CANDIDATE,0.49607652
9100953,2,K04500.02,CANDIDATE,0.49521509999999996
11030711,1,K01429.01,CANDIDATE,0.4947289000000001
7051180,1,K00064.01,CANDIDATE,0.49441388
9086154,1,K04060.01,CANDIDATE,0.4930748
11450414,3,K01992.03,FALSE POSITIVE,0.49294877
6185476,2,,,0.49236614
12302530,3,,,0.49058583
2975770,2,K01788.02,FALSE POSITIVE,0.48835242
6349881,2,,,0.48648202
4147444,1,K03880.01,FALSE POSITIVE,0.48484206
11673686,2,,,0.48407087
5774557,2,,,0.47766992
9098590,2,,,0.47696692
4247991,1,,,0.4761254
6279388,3,,,0.47594342
3425851,1,K00268.01,CANDIDATE,0.47548255
6750902,2,,,0.47226277
9674608,2,,,0.47180352
12251779,2,,,0.46927407
6362386,2,,,0.46801922
10152836,2,,,0.46553773
2720354,2,,,0.4577526
8242681,2,,,0.44986102
6364215,2,K02404.02,FALSE POSITIVE,0.44605678
9491205,3,,,0.43841696
4947556,1,K03936.01,FALSE POSITIVE,0.43208409999999997
6889235,2,,,0.42952913
10002261,1,K00959.01,CANDIDATE,0.4282845
9953617,2,,,0.42115486
3663173,1,K02750.01,CANDIDATE,0.41917577
8655354,2,,,0.4177517
11774303,1,K02269.01,FALSE POSITIVE,0.41716516
7202957,1,K02687.01,CANDIDATE,0.41714996
9279865,3,,,0.41216072
2853780,1,K02081.01,CANDIDATE,0.40823007
8695779,2,,,0.40380309999999997
5816165,1,K01043.01,FALSE POSITIVE,0.38724467
11013201,1,K00972.01,CANDIDATE,0.37455535
8176564,1,K02720.01,CANDIDATE,0.35788205
