kepid,tce_plnt_num,kepoi_name,koi_disposition,GB_vif_cap2
2694337,3,,,0.847
11909839,2,,,0.842
12170648,2,,,0.835
9528420,2,,,0.831
4862625,5,,,0.826
9279865,3,,,0.826
4078693,2,,,0.818
10186945,2,,,0.809
5983348,2,,,0.805
12164634,6,,,0.804
5092266,1,K03045.01,CANDIDATE,0.799
5103942,2,,,0.786
6593150,1,K03037.01,CANDIDATE,0.786
9941662,2,,,0.786
12454613,1,,,0.764
8617363,1,K02945.01,CANDIDATE,0.762
8651389,1,K01754.01,CANDIDATE,0.759
9414097,3,,,0.759
8823868,2,,,0.758
10583180,2,,,0.735
8561063,4,,,0.734
6614926,2,,,0.717
4049124,2,,,0.704
7199060,1,K04152.01,CANDIDATE,0.689
8416523,2,,,0.682
5014753,2,,,0.68
5077629,2,,,0.67
11285136,2,,,0.67
7024530,2,,,0.665
9697131,1,K02706.01,CANDIDATE,0.665
10681550,3,,,0.651
8233504,1,,,0.65
5360082,2,,,0.647
11189284,3,,,0.643
2832589,1,K01942.01,CANDIDATE,0.629
11513486,1,K04748.01,CANDIDATE,0.619
1720673,1,,,0.617
9028474,4,,,0.609
4547480,2,,,0.604
8415004,4,,,0.603
8753896,2,,,0.598
7363829,1,,,0.582
9119568,7,,,0.575
9716028,1,K04273.01,CANDIDATE,0.574
3112129,2,,,0.572
9411317,2,,,0.564
7051984,2,,,0.555
7269881,2,,,0.552
5966810,1,K03909.01,CANDIDATE,0.545
5876805,2,,,0.542
9963461,2,,,0.537
8230809,2,,,0.528
11517719,2,,,0.528
10252275,1,K03130.01,CANDIDATE,0.523
5446285,2,,,0.522
10973664,2,K00601.02,CANDIDATE,0.515
11442465,2,,,0.513
10657664,2,,,0.511
7450747,1,K04267.01,CANDIDATE,0.51
10843431,1,K07378.01,CANDIDATE,0.501
5780460,2,,,0.5
11654267,1,,,0.464
4168016,1,,,0.439
6579806,2,,,0.392
7751562,2,,,0.363
