kepid,tce_plnt_num,kepoi_name,koi_disposition,DT_vif,bLR,mean
5972334,3,K00191.03,CANDIDATE,0.6588536377300239,0.7350852965058671,0.6969694671179455
5374838,1,K05155.01,CANDIDATE,0.8805320435308344,0.5118181114099063,0.6961750774703703
10319385,1,K01169.01,CANDIDATE,0.6509616419684701,0.7389717490024117,0.6949666954854409
5601258,1,K02191.01,CANDIDATE,0.6588536377300239,0.729334697166903,0.6940941674484635
10134152,1,K02056.01,CANDIDATE,0.6791416886100061,0.7074010836145881,0.6932713861122971
11192235,1,K02329.01,CANDIDATE,0.6278668735988964,0.7560067969413764,0.6919368352701364
12156347,1,K02588.01,CANDIDATE,0.8064968450572564,0.5730751266348812,0.6897859858460689
9636135,2,K01498.02,CANDIDATE,0.4541893734033083,0.9242893088174003,0.6892393411103543
5906694,1,K04069.01,CANDIDATE,0.7933162510375691,0.5799492514413587,0.6866327512394639
9605514,2,K00945.02,CANDIDATE,0.7933162510375691,0.5795912210081313,0.6864537360228502
11754430,2,K03403.02,CANDIDATE,0.3903627594364573,0.9797061211018234,0.6850344402691404
2854181,1,K02232.01,CANDIDATE,0.8064968450572564,0.5625698164672029,0.6845333307622297
8043714,2,,,0.6980306345733042,0.6669951953627862,0.6825129149680451
10028352,1,K01957.01,CANDIDATE,0.6401913124079637,0.7199858484655997,0.6800885804367817
5716932,1,K02358.01,CANDIDATE,0.5282851569427203,0.8310842793344284,0.6796847181385743
4061149,1,K01201.01,CANDIDATE,0.5282851569427203,0.8266942380433849,0.6774896974930527
3128552,3,K02055.03,CANDIDATE,0.6791416886100061,0.6744014640627767,0.6767715763363914
5602588,2,,,0.4603396556376201,0.8904826643971646,0.6754111600173923
8078502,1,K03383.01,CANDIDATE,0.6791416886100061,0.6712063738304994,0.6751740312202528
6383785,2,K00239.02,CANDIDATE,0.5624616054136518,0.7858607748257489,0.6741611901197003
10354039,1,K01159.01,CANDIDATE,0.6947181392343725,0.6517392124479715,0.6732286758411721
4471747,1,K01656.01,CANDIDATE,0.5282851569427203,0.8177035815742089,0.6729943692584646
6889235,2,,,0.5031712473572939,0.8395598733518919,0.6713655603545929
11030475,2,,,0.6345439090058722,0.7076831308936312,0.6711135199497518
8013419,1,K00901.01,CANDIDATE,0.7878999678388204,0.5473136824341431,0.6676068251364817
8087812,1,K04343.01,CANDIDATE,0.5796454841432533,0.7487430763772414,0.6641942802602474
3648437,1,K01861.01,CANDIDATE,0.7774353092968247,0.5481309651617836,0.6627831372293042
12009347,2,,,0.7878999678388204,0.5343355233842484,0.6611177456115345
6677841,3,,,0.757085020242915,0.5606982324124874,0.6588916263277012
9030537,1,K01892.01,CANDIDATE,0.8064968450572564,0.5109983133885467,0.6587475792229016
2161536,1,K02130.01,CANDIDATE,0.8064968450572564,0.5059987134675994,0.6562477792624279
7446631,1,K02598.01,CANDIDATE,0.6588536377300239,0.653500592133094,0.656177114931559
11074178,2,K01889.02,CANDIDATE,0.6588536377300239,0.6521434062471243,0.6554985219885741
5436013,1,K02471.01,CANDIDATE,0.7220272521275892,0.5882069631719771,0.6551171076497831
4173026,1,K02172.01,CANDIDATE,0.6791416886100061,0.630344220906261,0.6547429547581336
9532710,1,K02364.01,FALSE POSITIVE,0.5470802492954947,0.7619414884660867,0.6545108688807907
7017274,1,K03209.01,CANDIDATE,0.7536692480069209,0.5509120277184774,0.6522906378626991
10418797,2,,,0.5282851569427203,0.7739845534181503,0.6511348551804352
10525049,1,K04252.01,CANDIDATE,0.6049382716049383,0.6940964807197183,0.6495173761623283
7377343,1,K05384.01,CANDIDATE,0.3663868208458737,0.93248249035303,0.6494346555994519
1872821,1,K02351.01,CANDIDATE,0.6278668735988964,0.670795088618434,0.6493309811086652
8558011,1,K00577.01,CANDIDATE,0.6057516339869282,0.6922437429909127,0.6489976884889205
