kepid,tce_plnt_num,kepoi_name,koi_disposition,bLR
7935997,1,,,0.7877385107190992
10597693,1,K02958.01,FALSE POSITIVE,0.7870278585863902
6383785,2,K00239.02,FALSE POSITIVE,0.7861544633828834
8073806,1,K02411.01,FALSE POSITIVE,0.7830764604654923
8892910,2,,,0.7760131412027627
11810124,1,K03344.01,FALSE POSITIVE,0.7759477284252102
10418797,2,,,0.7739123620676891
2164169,1,K01029.01,FALSE POSITIVE,0.77116618799374
4770365,2,K01475.02,FALSE POSITIVE,0.7707823695445948
7987866,1,K02363.01,FALSE POSITIVE,0.7701315940878409
11177543,1,K01648.01,FALSE POSITIVE,0.7694315405946595
8430964,1,K03078.01,FALSE POSITIVE,0.7690088991402281
7100673,5,K04032.05,FALSE POSITIVE,0.767680605278831
4242147,1,K01934.01,FALSE POSITIVE,0.7664468853087624
7017372,1,K03689.01,FALSE POSITIVE,0.7647207049967508
12645057,1,K04497.01,FALSE POSITIVE,0.7632998871696531
11253711,1,K01972.01,FALSE POSITIVE,0.7623887426797811
5724810,1,,,0.7623416913483665
11297236,1,K01857.01,FALSE POSITIVE,0.76202867619293
9532710,1,K02364.01,FALSE POSITIVE,0.7619512526157783
11122894,3,K01426.03,FALSE POSITIVE,0.7617744802562607
3122913,1,K02490.01,FALSE POSITIVE,0.7617657030185379
9592705,1,K00288.01,FALSE POSITIVE,0.7610800628631474
4857213,1,K02120.01,FALSE POSITIVE,0.7609206908297338
10337517,1,K01165.01,FALSE POSITIVE,0.7588767781924489
9230021,3,,,0.7587272700619554
11337141,1,K01649.01,FALSE POSITIVE,0.7572305142904788
8953059,2,,,0.7566530450144389
11192235,1,K02329.01,FALSE POSITIVE,0.7561895420533006
6946199,2,K01359.02,FALSE POSITIVE,0.7547333807785528
11465950,1,K02620.01,FALSE POSITIVE,0.7515320140895467
3097926,1,K02186.01,FALSE POSITIVE,0.7494156844135751
8087812,1,K04343.01,FALSE POSITIVE,0.7493538066755996
6593150,1,K03037.01,FALSE POSITIVE,0.7472048046616873
3663173,1,K02750.01,FALSE POSITIVE,0.744993767804951
10793172,2,K02871.02,FALSE POSITIVE,0.7439962190595311
10867062,1,K01303.01,FALSE POSITIVE,0.743843501103538
2581316,2,K03681.02,FALSE POSITIVE,0.7422147793146718
7877978,1,K02760.01,FALSE POSITIVE,0.7415725041038146
9513168,1,K07182.01,FALSE POSITIVE,0.7414451031350686
11718144,1,K02310.01,FALSE POSITIVE,0.7406248178126518
3109930,1,K01112.01,FALSE POSITIVE,0.7398495261124997
9661979,1,K02132.01,FALSE POSITIVE,0.7396468280252546
8823868,2,,,0.7393629700687092
10973583,2,,,0.7390004970598067
10319385,1,K01169.01,FALSE POSITIVE,0.7387142975726172
5213230,1,K03474.01,FALSE POSITIVE,0.7378185645705895
10485250,2,,,0.7368942825565543
9872292,1,K01537.01,FALSE POSITIVE,0.7361001445764483
8934495,1,K00524.01,FALSE POSITIVE,0.7357679753895119
9664276,1,K03460.01,FALSE POSITIVE,0.7353326047349242
5972334,3,K00191.03,FALSE POSITIVE,0.7353052261885279
4770174,1,K02971.01,FALSE POSITIVE,0.7335680888030516
3745559,1,K03423.01,FALSE POSITIVE,0.7327364510037869
10793172,1,K02871.01,FALSE POSITIVE,0.7324885053985398
10363115,1,K03908.01,FALSE POSITIVE,0.7314916196322199
2440757,1,K00792.01,FALSE POSITIVE,0.7306363810890382
5601258,1,K02191.01,FALSE POSITIVE,0.7294947678743346
5372966,2,,,0.7286454747345525
12406749,1,K01476.01,FALSE POSITIVE,0.7233548154059208
10843431,1,K07378.01,FALSE POSITIVE,0.7218205347984781
10028352,1,K01957.01,FALSE POSITIVE,0.7200009161682593
11752906,1,K00253.01,FALSE POSITIVE,0.7176525022196991
9714123,2,,,0.7108086663972571
11030475,2,,,0.7081031997502665
5942808,1,K02250.01,FALSE POSITIVE,0.7077775490551477
10134152,1,K02056.01,FALSE POSITIVE,0.7075276151292679
3102000,2,,,0.706377603140546
7899070,1,K02683.01,FALSE POSITIVE,0.7041684186043307
10788461,1,K03925.01,FALSE POSITIVE,0.7035545543997793
12105051,1,K00141.01,FALSE POSITIVE,0.7009382615213963
9269281,1,K01398.01,FALSE POSITIVE,0.7006963610418682
11709124,2,,,0.7003044107598149
10525049,1,K04252.01,FALSE POSITIVE,0.6950791786225824
5621333,1,K03341.01,FALSE POSITIVE,0.6948384994183472
5978559,1,K02321.01,FALSE POSITIVE,0.6948301170870319
8558011,1,K00577.01,FALSE POSITIVE,0.6923133137899169
9346253,2,,,0.6874213159884749
6609270,1,K03090.01,FALSE POSITIVE,0.6858178302478071
5003117,2,,,0.6850108621739084
3098810,1,K01878.01,FALSE POSITIVE,0.6837541490969197
11408935,2,,,0.6836925420217017
5031857,1,K01573.01,FALSE POSITIVE,0.6813803377894156
7364176,1,K00373.01,FALSE POSITIVE,0.6810732595271839
5621586,1,K02415.01,FALSE POSITIVE,0.679987149723541
5219234,3,K01563.03,FALSE POSITIVE,0.6787388806737479
5270698,2,,,0.6777434510830838
8230809,2,,,0.6771921000704547
5728283,2,,,0.6768070098181114
6058816,1,K03500.01,FALSE POSITIVE,0.6765399381577359
3128552,3,K02055.03,FALSE POSITIVE,0.6742869444524728
9697131,1,K02706.01,FALSE POSITIVE,0.6735261489610033
8078502,1,K03383.01,FALSE POSITIVE,0.6722261926724971
12785320,2,K00298.02,FALSE POSITIVE,0.6722034361882324
9714550,1,K03048.01,FALSE POSITIVE,0.6713862309921751
9957627,1,K00592.01,FALSE POSITIVE,0.6713304792942563
1872821,1,K02351.01,FALSE POSITIVE,0.6699827022978465
12469800,1,K02543.01,FALSE POSITIVE,0.6699456781101145
8043714,2,,,0.6663967676184186
8547429,1,K02658.01,FALSE POSITIVE,0.6662964872159414
6862721,1,K01982.01,FALSE POSITIVE,0.6569853588110134
8684730,1,K00319.01,FALSE POSITIVE,0.6562515462005474
9896018,2,K02579.02,FALSE POSITIVE,0.6537700115725054
7446631,1,K02598.01,FALSE POSITIVE,0.6535398561698856
6500206,2,,,0.6530768769262927
11074178,2,K01889.02,FALSE POSITIVE,0.6521487472820355
4665571,1,K02393.01,FALSE POSITIVE,0.6518583616898834
10354039,1,K01159.01,FALSE POSITIVE,0.6515556652237829
11350118,1,K04509.01,FALSE POSITIVE,0.6492362320195598
5436338,1,K02835.01,FALSE POSITIVE,0.6475649919198183
4650733,1,K01659.01,FALSE POSITIVE,0.6474157105696905
8379705,1,K02507.01,FALSE POSITIVE,0.6463856090563015
5980783,1,K02967.01,FALSE POSITIVE,0.6459290381414661
5621333,2,K03341.02,FALSE POSITIVE,0.6459092639110516
11705004,1,K02199.01,FALSE POSITIVE,0.6389036411278424
10480915,1,K02040.01,FALSE POSITIVE,0.6370955222343793
3757778,2,,,0.6341223746979058
9896018,1,K02579.01,FALSE POSITIVE,0.6338274668914324
5042210,1,K02462.01,FALSE POSITIVE,0.6335850718510854
3558849,2,,,0.6330316853084417
12352520,1,K03094.01,FALSE POSITIVE,0.6324641295676601
9414417,1,K00974.01,FALSE POSITIVE,0.6314663120879407
11404644,2,,,0.6313168078461517
8845026,2,,,0.6308198119222199
4173026,1,K02172.01,FALSE POSITIVE,0.6292344238111516
5384713,5,,,0.6289460295475412
7023960,2,,,0.6273239492255815
11622985,1,K02550.01,FALSE POSITIVE,0.6261503001315474
10922659,1,K03335.01,FALSE POSITIVE,0.6241349333034963
4951877,1,K00501.01,FALSE POSITIVE,0.6236212676134032
8261920,2,K02174.02,FALSE POSITIVE,0.6233177874744342
6291837,1,K00308.01,FALSE POSITIVE,0.6232708945872681
9411166,2,,,0.6215238606863143
8753896,2,,,0.6214545519802515
6041734,2,,,0.6171490704933388
12017109,1,K02106.01,FALSE POSITIVE,0.6148785850974396
9307509,1,K02096.01,FALSE POSITIVE,0.6126900857245882
7051180,1,K00064.01,FALSE POSITIVE,0.6091648675680206
8554498,1,K00005.01,FALSE POSITIVE,0.6070377099116964
8142942,1,K01985.01,FALSE POSITIVE,0.6046448523083692
7762723,1,K02663.01,FALSE POSITIVE,0.6033287443514321
11462341,1,K02124.01,FALSE POSITIVE,0.6024791172991187
12061969,2,K02061.02,FALSE POSITIVE,0.601228392467575
8261920,3,K02174.03,FALSE POSITIVE,0.6002676829288531
7661065,1,K02307.01,FALSE POSITIVE,0.5999534513682847
4548011,2,K04288.02,FALSE POSITIVE,0.5987942469632777
7679812,1,K03943.01,FALSE POSITIVE,0.5987396005926371
7767559,1,K00895.01,FALSE POSITIVE,0.5986074525061524
5080636,2,K01843.02,FALSE POSITIVE,0.5973444025095402
8624520,1,K01816.01,FALSE POSITIVE,0.5962171647593026
8456679,1,K00102.01,FALSE POSITIVE,0.5958603036969599
6955671,1,K03329.01,FALSE POSITIVE,0.5954122018966256
5031857,2,K01573.02,FALSE POSITIVE,0.5937661150488596
7463685,1,K02890.01,FALSE POSITIVE,0.5933380648452484
5892169,1,,,0.5927070263122853
12115188,2,,,0.5915704137750271
5773121,1,K04002.01,FALSE POSITIVE,0.5909874261199393
5436013,1,K02471.01,FALSE POSITIVE,0.5884343043601754
10141900,1,K01082.01,FALSE POSITIVE,0.5868448971882274
7939330,1,K01581.01,FALSE POSITIVE,0.5858683646334094
2985587,1,K02807.01,FALSE POSITIVE,0.5841440533338262
7825899,3,K00896.03,FALSE POSITIVE,0.5835403374409719
7449554,1,K02357.01,FALSE POSITIVE,0.5831445351873102
9571186,1,K03313.01,FALSE POSITIVE,0.5830201907286159
10387742,1,K02583.01,FALSE POSITIVE,0.5813628151944253
10186945,2,,,0.5800697913918771
9605514,2,K00945.02,FALSE POSITIVE,0.5793825959915203
5906694,1,K04069.01,FALSE POSITIVE,0.5790532020325663
5195172,1,K01671.01,FALSE POSITIVE,0.5781957057764661
9117416,2,K03425.02,FALSE POSITIVE,0.5772762918423886
4860678,2,K01602.02,FALSE POSITIVE,0.5768015482111655
7972785,2,,,0.5765476213216232
5710069,1,K03396.01,FALSE POSITIVE,0.5743473131734057
12156347,1,K02588.01,FALSE POSITIVE,0.5739751758308661
12121570,1,K02290.01,FALSE POSITIVE,0.5722197217519456
7199397,1,K00075.01,FALSE POSITIVE,0.5720714954388872
10471621,1,K02554.01,FALSE POSITIVE,0.5688270024365742
2854181,1,K02232.01,FALSE POSITIVE,0.5624321152977318
9083354,3,,,0.5618043207506365
9100953,2,K04500.02,FALSE POSITIVE,0.5610317312246073
5709725,2,K00555.02,FALSE POSITIVE,0.5606034777304572
6677841,3,,,0.5605511726687487
3127817,2,,,0.559285179882514
9285265,2,K03410.02,FALSE POSITIVE,0.5586773130032441
10583180,2,,,0.5569226224879442
9579208,1,K03165.01,FALSE POSITIVE,0.5567867030367616
3231341,5,,,0.5564361612059767
7017274,1,K03209.01,FALSE POSITIVE,0.5519224369000428
5953297,1,K02733.01,FALSE POSITIVE,0.5506254571065851
5531953,3,K01681.03,FALSE POSITIVE,0.5502317519845512
7023960,1,K00187.01,FALSE POSITIVE,0.5497996458080857
10395543,1,K00531.01,FALSE POSITIVE,0.5493204622706311
10656508,1,K00211.01,FALSE POSITIVE,0.5487331192446058
10200627,1,K06217.01,FALSE POSITIVE,0.548277923143291
8013419,1,K00901.01,FALSE POSITIVE,0.5472491199194747
3648437,1,K01861.01,FALSE POSITIVE,0.54685602864247
10005758,2,K01783.02,FALSE POSITIVE,0.5460262922399699
8241079,1,K03020.01,FALSE POSITIVE,0.5380179256990442
9153823,1,K06195.01,FALSE POSITIVE,0.5377864200985529
7287683,1,K01622.01,FALSE POSITIVE,0.534830835307607
9052363,2,,,0.5343855147253005
5617510,3,,,0.534290461525479
11818607,1,K02467.01,FALSE POSITIVE,0.5339021987249992
12009347,2,,,0.5338593215734542
9147012,1,K05625.01,FALSE POSITIVE,0.5332378120641911
4164922,2,K03864.02,FALSE POSITIVE,0.5324368115703448
9886224,2,,,0.5320847306712577
7103919,1,K04310.01,FALSE POSITIVE,0.5299111881295033
5211199,1,K02158.01,FALSE POSITIVE,0.5296312846679248
9283156,1,K02657.01,FALSE POSITIVE,0.5294728185708695
9009953,1,K04014.01,FALSE POSITIVE,0.5294413417844366
6762829,5,,,0.5290818644744969
7256914,2,K04136.02,FALSE POSITIVE,0.5285096237650002
3122872,1,K03203.01,FALSE POSITIVE,0.5274215821136989
8880123,1,K03493.01,FALSE POSITIVE,0.5257047294002907
6805146,2,,,0.5256879102837781
11967788,1,K04021.01,FALSE POSITIVE,0.524615681768495
