kepid,tce_plnt_num,kepoi_name,koi_disposition,LR,RF,_merge
3757778,2,,,0.6547187681497697,0.4666666666666667,both
4650733,1,K01659.01,CANDIDATE,0.6547082816906069,0.7714285714285715,both
4814502,1,K04004.01,CANDIDATE,0.6538374800121222,0.9120879120879122,both
11968463,3,K02433.03,CANDIDATE,0.6534795479063804,0.5499999999999999,both
9346253,2,,,0.6532485487871321,0.8148148148148148,both
6805146,2,,,0.6507628537507634,0.5,both
9995771,1,K03470.01,CANDIDATE,0.6357360034184112,0.7560975609756097,both
12115188,2,,,0.6341366909210191,0.7142857142857143,both
5966810,1,K03909.01,CANDIDATE,0.6315795877947815,0.7634408602150538,both
11189127,2,,,0.6241858869026454,0.7281553398058253,both
1571511,2,,,0.6171820468376605,0.8876404494382023,both
10186945,2,,,0.6129080188140981,0.5849056603773585,both
6428794,1,K04054.01,CANDIDATE,0.605039660594524,0.8854166666666666,both
8823868,2,,,0.5945761103967815,0.559322033898305,both
2718778,1,K02489.01,CANDIDATE,0.5945184382973211,0.8604651162790697,both
9451127,2,,,0.5920771315593105,0.4871794871794872,both
3218908,4,,,0.5907071523591455,0.5094339622641509,both
5213230,1,K03474.01,CANDIDATE,0.5889775768928888,0.7872340425531915,both
7375348,2,K00266.02,CANDIDATE,0.5797202299176747,0.6296296296296297,both
9714123,2,,,0.5735590486227273,0.4375,both
2444412,1,K00103.01,CANDIDATE,0.5657305967522877,0.5,both
3231341,5,,,0.5635392198748351,0.8222222222222222,both
11394027,1,K00349.01,CANDIDATE,0.5588872852353763,0.5029940119760479,both
12170648,2,,,0.5588506237012855,0.4153846153846154,both
5775129,1,K02802.01,CANDIDATE,0.5510716847255812,0.8125000000000001,both
5773121,1,K04002.01,CANDIDATE,0.5496782501744428,0.7090909090909091,both
5360082,2,,,0.5386492785895824,0.3768115942028986,both
8651389,1,K01754.01,CANDIDATE,0.5370941025896343,0.8247422680412371,both
6889235,2,,,0.53571770848166,0.4142857142857143,both
5092266,1,K03045.01,CANDIDATE,0.5332154523392915,0.8018867924528301,both
11601584,4,K01831.04,CANDIDATE,0.5292949889824128,0.5090909090909091,both
4840513,2,,,0.5123855563835257,0.8823529411764706,both
3112129,2,,,0.5075413224047096,0.5800000000000001,both
12009347,2,,,0.507406615372606,0.5777777777777778,both
3834322,2,,,0.4958251364221801,0.5079365079365079,both
5372966,2,,,0.4862363044862637,0.9,both
6432345,1,K02757.01,CANDIDATE,0.4841621609912262,0.768421052631579,both
5095635,1,K02607.01,CANDIDATE,0.4837274057557107,0.77,both
2438502,2,,,0.4733546659256581,0.4107142857142857,both
8242681,2,,,0.4603620657073251,0.4821428571428572,both
9149789,2,,,0.4224187178412575,0.3620689655172413,both
6387450,2,,,0.4216497531601384,0.4615384615384615,both
6762829,5,,,0.4064454521120085,0.3684210526315789,both
