kepid,tce_plnt_num,kepoi_name,koi_disposition,DT,bLR,mean
8176650,2,,,0.8728162508267984,0.9757764496390876,0.924296350232943
5376836,2,,,0.8698311962002491,0.975010634854859,0.922420915527554
9288786,2,,,0.8969135424240845,0.9466557274422804,0.9217846349331824
9838975,2,,,0.8793999639923272,0.9637848503951092,0.9215924071937183
7975727,2,,,0.8533320791761159,0.9880985930043652,0.9207153360902405
9150827,1,K01408.01,CANDIDATE,0.8642682420836694,0.9749210073277068,0.9195946247056881
9266431,1,K00704.01,CANDIDATE,0.9000095896829432,0.9353536393437208,0.917681614513332
7938496,1,K00900.01,CANDIDATE,0.8534163957275229,0.9816855727536504,0.9175509842405867
9823487,1,K01489.01,CANDIDATE,0.8823605205741751,0.9523545895772424,0.9173575550757087
3247268,2,K01089.02,CANDIDATE,0.8848924881063163,0.9466489031465488,0.9157706956264325
11187837,1,K00252.01,CANDIDATE,0.8609568683809828,0.9654467816880044,0.9132018250344935
7097965,1,K02083.01,CANDIDATE,0.8795666372732212,0.9424784073774052,0.9110225223253132
5531953,1,K01681.01,CANDIDATE,0.8428435139497878,0.9689641353192432,0.9059038246345155
7670943,1,K00269.01,CANDIDATE,0.9027387559393272,0.8979837103419129,0.9003612331406201
3342592,2,,,0.9356837847952238,0.8639791462110773,0.8998314655031505
3937519,2,K00221.02,CANDIDATE,0.8247125960980956,0.9743776838151276,0.8995451399566116
11852982,1,K00247.01,CANDIDATE,0.8355479792195488,0.9631620633674436,0.8993550212934962
8552719,2,K01792.02,FALSE POSITIVE,0.888481813187555,0.909302867653159,0.898892340420357
6356692,1,K02948.01,CANDIDATE,0.8089984104746291,0.987889045714822,0.8984437280947255
7584650,1,K02631.01,CANDIDATE,0.8849997710500841,0.9108807975270121,0.8979402842885481
11030475,1,K02248.01,CANDIDATE,0.8750281940473825,0.9140922251587094,0.8945602096030459
3940418,1,K00810.01,CANDIDATE,0.8251574681476034,0.960826031689759,0.8929917499186812
9995771,1,K03470.01,CANDIDATE,0.8210038811445235,0.9640796463490624,0.892541763746793
11098013,1,K02712.01,CANDIDATE,0.9384984010543334,0.8463937614770929,0.8924460812657131
3641726,1,K00804.01,CANDIDATE,0.8486429203060709,0.9359356613080098,0.8922892908070403
7202957,2,K02687.02,CANDIDATE,0.9525092704601996,0.8283338976904796,0.8904215840753396
6300348,1,K00212.01,CANDIDATE,0.8985595343000673,0.8822361383090727,0.8903978363045699
10904857,2,,,0.8794518795987949,0.8986947458657927,0.8890733127322938
3642741,1,K00242.01,FALSE POSITIVE,0.8521384221287455,0.9252774875578031,0.8887079548432744
4365645,1,K01738.01,CANDIDATE,0.8850171978578442,0.8895716938459513,0.8872944458518977
8678594,2,K01261.02,CANDIDATE,0.8634458885081104,0.9068714519236089,0.8851586702158596
6762829,2,,,0.8377454871409833,0.9250462161484321,0.8813958516447077
8263545,1,K02822.01,CANDIDATE,0.8889742318714515,0.8706926078524811,0.8798334198619664
6364215,2,K02404.02,FALSE POSITIVE,0.8209136139451909,0.933383407251822,0.8771485105985064
5786676,1,K00650.01,CANDIDATE,0.8099881135723846,0.9435437788958112,0.876765946234098
9244756,1,K01969.01,CANDIDATE,0.8490888271430039,0.900314392846847,0.8747016099949254
10676824,1,K00599.01,CANDIDATE,0.7697216899895891,0.9789037791449722,0.8743127345672806
7377343,1,K05384.01,CANDIDATE,0.8128446721046295,0.93248249035303,0.8726635812288297
5872150,3,,,0.7755573216136604,0.9611761917685856,0.8683667566911231
5342473,1,K02297.01,CANDIDATE,0.8189537334442426,0.9176919649159794,0.8683228491801109
7135852,1,K00875.01,CANDIDATE,0.7663080760374491,0.9682301182307534,0.8672690971341013
10016874,1,K00426.01,CANDIDATE,0.8102614998806398,0.9242254286209176,0.8672434642507787
5794570,2,K02675.02,CANDIDATE,0.7657273357630886,0.9684982804434334,0.8671128081032611
4814502,1,K04004.01,CANDIDATE,0.8689427597045105,0.8649848966620733,0.8669638281832919
4548098,1,K04157.01,CANDIDATE,0.8320810339706949,0.9002276290164605,0.8661543314935777
11568987,2,K00354.02,CANDIDATE,0.7402832926886047,0.9909135693583936,0.8655984310234992
9904006,2,K02135.02,CANDIDATE,0.7440966691010241,0.9852430983636034,0.8646698837323137
10118816,1,K01085.01,CANDIDATE,0.8241637319038511,0.9049291565627732,0.8645464442333122
4851464,2,,,0.9212345088873382,0.8047904964273186,0.8630125026573283
9230021,1,K03429.01,CANDIDATE,0.7359319869472021,0.9897759047032908,0.8628539458252464
11821363,1,K01494.01,CANDIDATE,0.799438035645862,0.9249201674719448,0.8621791015589034
9405595,1,K02125.01,CANDIDATE,0.8226367651022365,0.8961116000884211,0.8593741825953287
11657614,1,K03370.01,CANDIDATE,0.7570801819557016,0.9600011875154713,0.8585406847355864
10875007,1,K04149.01,CANDIDATE,0.7607412040277034,0.9533421092600306,0.857041656643867
11874577,1,K02779.01,CANDIDATE,0.8441554629252769,0.8657167830153188,0.8549361229702979
8505920,1,K02094.01,CANDIDATE,0.8354780013680185,0.8735844529369116,0.854531227152465
