"koi_disposition","kepid","kepoi_name","tcet_model_chisq","wst_depth","boot_mesmean","tce_fwm_sra","tce_fwm_pdeco","tce_slogg_sn"
"FALSE POSITIVE",8397446,"K01135.01",44810,62.2,-0.2006,20.09333,0.0005176,16.72
"FALSE POSITIVE",8386035,"K01136.01",79760,13.98,-1,0,0.000331,11.92
"FALSE POSITIVE",8332986,"K01137.01",69290,232.3,-1.7498,20.113988,0.02864,64.2857142857143
"FALSE POSITIVE",8415745,"K01138.01",57810,151.1,-0.083721,18.99985,0.007766,21.4761904761905
"FALSE POSITIVE",8378634,"K01139.01",84270,45.27,-0.25558,19.754905,0,31
"CANDIDATE",8397675,"K01140.01",68290,7.773,-0.5448,20.09841,-0.0002653,4.23809523809524
"CANDIDATE",8346392,"K01141.01",68760,76.38,-0.079525,18.848266,3.598e-05,157
"CANDIDATE",8288947,"K01142.01",67110,36.13,-0.1602,19.165147,-3.445e-05,41.7272727272727
"FALSE POSITIVE",8312852,"K01143.01",67660,43.29,-0.055154,19.753721,0.004983,22.7
"FALSE POSITIVE",8302450,"K01144.01",67840,33.29,-0.18123,19.524007,0.0001433,25.3333333333333
"CANDIDATE",8313667,"K01145.01",71670,47.72,-0.13865,19.769922,0.0001773,36.5
"CANDIDATE",8351704,"K01146.01",68090,46.65,0.044481,19.041902,3.417e-06,69.4285714285714
"FALSE POSITIVE",8299955,"K01147.01",68570,9.158,-0.014263,19.454942,-0.00522,23.6666666666667
"CANDIDATE",8410727,"K01148.01",67470,15.54,-0.044796,18.813333,-3.709e-07,28
"CANDIDATE",8410727,"K01148.02",63610,30.39,-0.056777,18.813347,-0.0001407,28
"CANDIDATE",8278371,"K01150.01",68310,4.636,-0.26412,18.784414,-2.439e-05,39.9090909090909
"CANDIDATE",8280511,"K01151.01",67380,21.85,-0.13682,18.866846,0,56.25
"CANDIDATE",8280511,"K01151.02",64360,14.32,-0.17067,18.866885,0,56.25
"CANDIDATE",8280511,"K01151.03",60830,13.9,-0.085277,18.866843,0,56.25
"CANDIDATE",8280511,"K01151.04",56550,16.31,-0.10955,18.866929,0,56.25
"CANDIDATE",8280511,"K01151.05",54920,10.39,-0.099807,18.866906,0,56.25
"FALSE POSITIVE",10287248,"K01152.01",586500,6931,-0.028874,19.779707,-0.0324,119.5
"FALSE POSITIVE",10351767,"K01153.01",217900,382.1,-1,19.754679,0,20.1363636363636
"CANDIDATE",10295951,"K01154.01",191200,256.5,-0.18705,19.940189,0.0001983,12.40625
"FALSE POSITIVE",10342041,"K01155.01",124800,0,-1,19.522209,0.0003443,65.7142857142857
"FALSE POSITIVE",10514770,"K01156.01",69510,255.3,-0.20292,18.768222,-0.002869,44.9
"FALSE POSITIVE",10342065,"K01157.01",131700,0,-1.1834,19.522759,-0.0003293,4.12048192771084
"FALSE POSITIVE",10352945,"K01158.01",44150,49.58,-0.092976,19.779244,-0.002294,23.421052631579
"CANDIDATE",10354039,"K01159.01",53450,130.8,0.0080465,19.800988,-0.0006135,44.7
"CANDIDATE",10330115,"K01160.01",72180,89.4,-0.077942,19.176887,-0.001349,46.2
"CANDIDATE",10426656,"K01161.01",53880,27.9,-0.2928,19.941832,-4.652e-05,33.6153846153846
"CANDIDATE",10426656,"K01161.02",48950,41.62,-0.18663,19.941838,0.0001048,33.6153846153846
"CANDIDATE",10426656,"K01161.03",47410,13.71,-0.35441,19.941858,2.134e-05,33.6153846153846
"CANDIDATE",10528068,"K01162.01",67430,36.94,-0.34609,19.257887,1.739e-05,27.125
"CANDIDATE",10468940,"K01163.01",67880,25.81,-0.15271,19.420154,0.0001568,33.6923076923077
"CANDIDATE",10468940,"K01163.02",62160,49.68,-0.01621,19.420135,-0.0001244,33.6923076923077
"FALSE POSITIVE",10341831,"K01164.01",77210,25.92,-0.69389,19.515817,-0.0001463,119.75
"CANDIDATE",10337517,"K01165.01",66190,24.98,-0.061564,19.404196,-0.0001095,64.2857142857143
"CANDIDATE",10337517,"K01165.02",64350,14.71,-0.11065,19.404208,2.242e-05,64.2857142857143
"CANDIDATE",10351231,"K01166.01",54670,73.25,-0.022947,19.742178,0.0004496,20.3181818181818
"FALSE POSITIVE",10485179,"K01167.01",52880,37.47,-0.74221,19.808829,8.995e-05,46.2
"CANDIDATE",10319385,"K01169.01",68120,3.941,-0.49889,18.770059,1.672e-05,34.6153846153846
"CANDIDATE",10482160,"K01170.01",53750,44.97,0.0061113,19.748843,-8.169e-05,32.8571428571429
"FALSE POSITIVE",10341913,"K01172.01",68370,3.337,-0.46377,19.518379,-2.041e-05,13.2758620689655
"FALSE POSITIVE",10480921,"K01173.01",54530,14.82,-0.39045,19.719727,-0.0008745,22.1
"CANDIDATE",10350571,"K01175.01",55200,17.6,0.003627,19.728044,1.264e-05,20.5
"CANDIDATE",10350571,"K01175.02",50700,25.03,-0.0014239,19.728045,1.328e-05,20.5
"FALSE POSITIVE",10350571,"K01175.03",47600,63.39,-0.6661,19.728038,0.0001855,20.5
"CANDIDATE",3749365,"K01176.01",75360,85.79,-0.11381,19.471208,0.001201,39.6666666666667
"FALSE POSITIVE",3547091,"K01177.01",89070,1502,-0.088542,19.471895,-0.00323,42.0909090909091
"FALSE POSITIVE",3869825,"K01178.01",52820,771.1,-1,19.742259,0.0006009,19.7727272727273
"FALSE POSITIVE",3655332,"K01179.01",4097000,14380,-1,19.595021,-0.0754,19.1904761904762
"FALSE POSITIVE",4042026,"K01180.01",83820,2319,-0.19547,19.124617,0.008985,56.5
"FALSE POSITIVE",3344419,"K01181.01",142300,86.39,-1,0,0,24.3333333333333
"FALSE POSITIVE",3865567,"K01182.01",59480,533.5,-0.025735,19.685943,0.02671,23.5263157894737
"FALSE POSITIVE",3544689,"K01183.01",198600,23.14,-0.063241,19.430096,-0.08322,26.6470588235294
"FALSE POSITIVE",4037164,"K01184.01",101100,145.4,-2.0092,19.005291,0,67.1428571428571
"FALSE POSITIVE",3443790,"K01185.01",110400,344.1,0.075575,19.431773,-0.000322,11.53125
"FALSE POSITIVE",3966912,"K01186.01",55400,-80.96,-0.098373,19.649401,0.006339,26.6470588235294
"FALSE POSITIVE",3848972,"K01187.01",85790,171.8,-2.4755,19.404749,8.543e-05,38.25
"FALSE POSITIVE",3860441,"K01188.01",55210,23.37,-0.19499,19.604218,-0.003474,30.5333333333333
"FALSE POSITIVE",3765771,"K01189.01",55890,18.11,-0.1027,19.729397,0.001264,17.4090909090909
"FALSE POSITIVE",3557341,"K01190.01",47470,99.5,-0.77288,19.641323,-0.0008259,28.625
"CANDIDATE",3859628,"K01191.01",43970,74.08,-0.0032138,19.591577,0.0001107,40.9090909090909
"FALSE POSITIVE",3644071,"K01192.02",92340,51.84,-1.8341,19.402296,-0.02479,21.75
"CANDIDATE",3942446,"K01193.01",68540,215.5,-0.20876,19.192538,0.0002091,23.1052631578947
"CANDIDATE",3554031,"K01194.01",44960,154,-0.039605,19.586974,-0.001282,94.4
"FALSE POSITIVE",3554031,"K01194.02",43010,123.5,-0.051915,19.586972,-0.0002433,94.4
"CANDIDATE",3554031,"K01194.03",39920,156.5,0.04744,19.586971,0.0006551,94.4
"FALSE POSITIVE",3644523,"K01195.01",75390,2635,-0.87702,19.411114,0.0004128,22.45
"FALSE POSITIVE",3348082,"K01196.01",69350,35.19,-0.10837,19.528521,0,19.3809523809524
"CANDIDATE",3348082,"K01196.02",60960,37.35,-0.15403,19.528178,0,19.3809523809524
"CANDIDATE",3348082,"K01196.03",57470,99.5,-0.10216,19.528193,0,19.3809523809524
"FALSE POSITIVE",3853673,"K01197.01",68270,36.84,-0.43495,19.490105,0.001476,26.8235294117647
"CANDIDATE",3447722,"K01198.01",67750,53.25,-0.059551,19.49865,-0.0001137,28.1333333333333
"CANDIDATE",3447722,"K01198.02",63960,66.99,-0.062602,19.498643,0.0001216,28.1333333333333
"CANDIDATE",3447722,"K01198.03",62370,32.67,0.033298,19.498631,0.0004495,28.1333333333333
"CANDIDATE",3859079,"K01199.01",54460,117.9,-0.18883,19.582941,0,92.4
"CANDIDATE",4061149,"K01201.01",67710,53.76,-0.041976,19.50513,-0.0003483,80.6666666666667
"CANDIDATE",3444588,"K01202.01",73800,169.6,-0.81137,19.446187,-1.093e-05,155.666666666667
"CANDIDATE",3962243,"K01203.01",54140,94.59,-0.022483,19.571223,-0.001055,34.4615384615385
"CANDIDATE",3962243,"K01203.02",52770,110.8,-0.013727,19.571195,0.0006955,34.4615384615385
"CANDIDATE",3962243,"K01203.03",51010,144.7,-0.014163,19.571248,-6.438e-05,34.4615384615385
"CANDIDATE",3438507,"K01204.01",68760,38.29,0.060475,19.33337,-0.0001036,20.1818181818182
"CANDIDATE",3869014,"K01205.01",53990,37.73,-0.063072,19.731683,3.759e-05,12.2
"CANDIDATE",3732821,"K01207.01",67940,71.78,0.112,19.127773,0.000591,50.2222222222222
"CANDIDATE",3962357,"K01210.01",54010,20.42,-0.035278,19.573042,0.0002096,27.8666666666667
"FALSE POSITIVE",3858704,"K01211.01",54070,10.05,-0.062752,19.578889,0.003816,28.1333333333333
"CANDIDATE",3749134,"K01212.01",68230,28.1,0.071918,19.467131,0.0001771,39.4545454545455
"FALSE POSITIVE",3556220,"K01213.01",54290,3.394,-0.72772,0,-0.008728,17.9130434782609
"CANDIDATE",3660924,"K01214.01",53540,17.46,-0.11009,19.681063,0.0001093,24.1111111111111
"CANDIDATE",3939150,"K01215.01",67700,13.11,-0.12257,19.105543,9.551e-05,18.9047619047619
