"koi_disposition","kepid","kepoi_name","tce_time0bk","tce_num_transits","tce_full_conv","tce_cap_stat","tce_fwm_pdeco","tce_steff_sn","tce_fwm_prao_sn"
"CANDIDATE",9958962,"K00593.02",208.503,13,1,11.17,0.000647,30.1708542713568,-0.206954436450839
"CANDIDATE",9958962,"K00593.03",147.612,25,1,9.826,-0.0002088,30.1708542713568,-2.51111111111111
"CANDIDATE",9958962,"K00593.04",168.315,5,1,2.574,0.0006132,30.1708542713568,-1.21642512077295
"CANDIDATE",10388286,"K00596.01",131.752,797,1,43.64,-0.0001773,40.3186813186813,2.55934959349593
"CANDIDATE",10600261,"K00597.01",142.326,77,1,19.53,5.714e-05,67.0481927710843,0.61605504587156
"CANDIDATE",10600261,"K00597.02",133.061,622,1,14.54,-6.051e-05,67.0481927710843,-0.591941747572816
"CANDIDATE",10600261,"K00597.03",164.902,26,1,16.82,0.0002474,67.0481927710843,0.061717791411043
"CANDIDATE",10656823,"K00598.01",137.94,164,1,27.42,-0.0008193,33.4591194968553,-2.05625
"CANDIDATE",10656823,"K00598.02",153.816,36,1,6.637,-0.000402,33.4591194968553,-1.29571428571429
"CANDIDATE",10676824,"K00599.01",134.489,164,1,29.03,0.0002689,30.46,-0.106601307189542
"CANDIDATE",10718726,"K00600.01",134.412,303,1,26.31,0.0001206,73.8717948717949,-0.10021897810219
"CANDIDATE",10973664,"K00601.01",134.355,243,1,22.18,-3.967e-05,32.2210526315789,2.2256
"CANDIDATE",10973664,"K00601.02",143.191,108,1,18.77,0.0002257,32.2210526315789,0.19210843373494
"CANDIDATE",10973664,"K00601.03",132.468,1039,1,17.21,0.0001397,32.2210526315789,-0.370514603616133
"CANDIDATE",12459913,"K00602.01",138.536,105,1,22.74,5.925e-05,30.3543689320388,-0.320062893081761
"FALSE POSITIVE",2441151,"K00603.01",132.216,612,1,-24.03,0.01807,75.3287671232877,-24.824
"FALSE POSITIVE",3970233,"K00604.01",133.16,133,1,471.8,0.00125,33.748427672956,-2.25142857142857
"CANDIDATE",4832837,"K00605.01",132.929,508,1,48.62,3.017e-05,13.2626262626263,2.06612903225806
"CANDIDATE",4832837,"K00605.02",131.951,256,1,6.977,0.0001057,13.2626262626263,-1.15766423357664
"FALSE POSITIVE",5014753,"K00606.01",134.002,339,1,270.5,0.004003,26.1551724137931,0
"CANDIDATE",5441980,"K00607.01",132.228,117,1,207.8,0.0002925,74.1948051948052,0.0294435483870968
"FALSE POSITIVE",5562784,"K00608.01",142.239,54,1,29.82,-0.002467,33.6015037593985,-27.2037735849057
"FALSE POSITIVE",5608566,"K00609.01",132.451,300,1,148.3,0.0003234,30.8238341968912,1.14763636363636
"CANDIDATE",5686174,"K00610.01",138.001,73,1,24.26,0,45.5777777777778,3.09411764705882
