"koi_disposition","kepid","kepoi_name","tce_plnt_num","tce_sradius","tce_fwm_stat","tce_fwm_pdeco"
"FALSE POSITIVE",9205993,"K07145.01",1,1.637,0,-0.05023
"FALSE POSITIVE",9207508,"K07146.01",1,1.649,0,0
"FALSE POSITIVE",9210828,"K07147.01",1,0.655,0,0
"CANDIDATE",9221627,"K07148.01",1,1.207,8.5378,-0.0008675
"FALSE POSITIVE",9236858,"K07149.01",1,1.309,551720,-0.02168
"FALSE POSITIVE",9243795,"K07150.01",1,2.736,924.13,0.001049
"FALSE POSITIVE",9266285,"K07151.01",1,0.709,207340,0.01013
"FALSE POSITIVE",9278021,"K07152.01",1,3.514,2533.2,0.001299
"FALSE POSITIVE",9284741,"K07153.01",1,0.802,46745,-0.05617
"FALSE POSITIVE",9286728,"K07154.01",1,0.753,4.3694,5.665e-05
"FALSE POSITIVE",9291368,"K07155.01",1,3.07,0,0
"FALSE POSITIVE",9291368,"K07155.02",2,3.07,0,0
"FALSE POSITIVE",9291748,"K07156.01",1,0.65,38719,-0.08987
"CANDIDATE",9301564,"K07157.01",1,1.292,6.8784,-0.000288
"FALSE POSITIVE",9328852,"K07159.01",1,0.463,0,-0.0006032
"FALSE POSITIVE",9328864,"K07160.01",1,0.911,367.36,0.0002055
"FALSE POSITIVE",9334490,"K07161.01",1,0.695,7904.4,0.008756
"CANDIDATE",9340411,"K07162.01",1,3.355,5.98,-3.044e-05
"FALSE POSITIVE",9344623,"K07163.01",1,1.105,19052,-0.01873
"FALSE POSITIVE",9353182,"K07164.01",1,1.536,0,0.0006858
"FALSE POSITIVE",9357275,"K07165.01",1,2.094,4968,-0.001914
"FALSE POSITIVE",9357375,"K07166.01",1,0.544,0.31209,-4.556e-05
"FALSE POSITIVE",9392702,"K07167.01",1,1.143,0,0
"FALSE POSITIVE",9394920,"K07168.01",1,4.699,5.101,0.0001331
"CANDIDATE",9397900,"K07169.01",1,1.305,11.436,2.343e-05
"FALSE POSITIVE",9411943,"K07170.01",1,1.087,7290,0.006297
"FALSE POSITIVE",9412462,"K07171.01",1,0.916,0,0
"FALSE POSITIVE",9418994,"K07172.01",1,4.062,3685,-0.004378
"FALSE POSITIVE",9451096,"K07173.01",1,1.663,0,0
"CANDIDATE",9458266,"K07174.01",1,0.566,12.017,6.589e-05
"FALSE POSITIVE",9466042,"K07175.01",1,1.488,8.3723,3.494e-05
"FALSE POSITIVE",9468296,"K07176.01",1,0.753,23.804,-0.0001571
"FALSE POSITIVE",9474222,"K07177.01",1,1.554,0,0
"FALSE POSITIVE",9474969,"K07178.01",1,1.692,4420.3,0.004118
"FALSE POSITIVE",9509207,"K07181.01",1,1.414,16464,0.009272
"CANDIDATE",9513168,"K07182.01",1,0.684,1.8587,0.000713
"FALSE POSITIVE",9520700,"K07183.01",1,0.989,0,0
"FALSE POSITIVE",9529294,"K07184.01",1,1.284,295.21,-0.0003896
"FALSE POSITIVE",9529856,"K07185.01",1,2.415,13278,-0.01317
"FALSE POSITIVE",9536048,"K07186.01",1,1.258,149.01,0.0004807
"FALSE POSITIVE",9540450,"K07187.01",1,1.064,0,0
"FALSE POSITIVE",9540675,"K07188.01",1,1.109,7.3929,-6.182e-05
"FALSE POSITIVE",9541163,"K07189.01",1,0.898,2.6014,-1.158e-05
"FALSE POSITIVE",9541567,"K07190.01",1,2.227,3.7813,-1.444e-05
"FALSE POSITIVE",9569866,"K07191.01",1,0.717,0,0.1051
"FALSE POSITIVE",9579192,"K07192.01",1,2.214,320.36,-1.08e-05
"FALSE POSITIVE",9579789,"K07193.01",1,0.84,26.671,0.0003175
"FALSE POSITIVE",9592855,"K07196.01",1,2.274,778950,0.01229
"CANDIDATE",9596064,"K07197.01",1,0.764,3.5248,0.0003033
"CANDIDATE",9596187,"K07198.01",1,1.02,64.492,-0.0001317
"FALSE POSITIVE",9597095,"K07200.01",1,1,1816,0.0009548
"FALSE POSITIVE",9597854,"K07201.01",1,0.852,2330.6,0.00484
"FALSE POSITIVE",9602431,"K07202.01",1,0.633,3.8616,-3.651e-05
"FALSE POSITIVE",9602538,"K07203.01",1,0.818,15.081,-0.0001553
"FALSE POSITIVE",9630640,"K07204.01",1,1.589,4.7874,0.0001222
"CANDIDATE",9635520,"K07205.01",1,1.426,563.93,-0.007215
"FALSE POSITIVE",9635529,"K07206.01",1,1.225,0,0
"FALSE POSITIVE",9637299,"K07207.01",1,1.213,0,0
"CANDIDATE",9640123,"K07209.01",1,3.6,0.5136,1.966e-05
"FALSE POSITIVE",9640921,"K07210.01",1,0.949,4.624,0.0002379
"FALSE POSITIVE",9640921,"K07210.02",2,0.949,5.277,0.0008954
"FALSE POSITIVE",9641031,"K07211.01",1,1.176,0,0.2733
"FALSE POSITIVE",9641103,"K07212.01",1,0.737,0.41842,-1.409e-05
"FALSE POSITIVE",9644411,"K07213.01",1,0.666,44.196,0.00118
"FALSE POSITIVE",9644683,"K07214.01",1,0.797,0,0
"CANDIDATE",9651602,"K07215.01",1,0.809,7.9099,0.0002413
"FALSE POSITIVE",9652166,"K07216.01",1,1.631,0,0
"FALSE POSITIVE",9652632,"K07217.01",1,1.497,14029,-0.003319
"FALSE POSITIVE",9655424,"K07218.01",1,0.929,49.249,-2.846e-05
"CANDIDATE",9658089,"K07220.01",1,0.946,2.7228,-5.259e-05
"FALSE POSITIVE",9665503,"K07221.01",1,0.648,0,0
"FALSE POSITIVE",9673173,"K07222.01",1,1.278,2423.1,-0.001106
"CANDIDATE",9674320,"K07223.01",1,0.715,5.4625,0.0001522
"FALSE POSITIVE",9711751,"K07225.01",1,1.326,280.38,-0.000297
"FALSE POSITIVE",9762514,"K07227.01",1,0.696,419.51,-0.0008035
"FALSE POSITIVE",9762519,"K07228.01",1,0.777,1410.9,0.001421
"FALSE POSITIVE",9777062,"K07229.01",1,2.916,1967.7,0.0009519
"FALSE POSITIVE",9786821,"K07230.01",1,1.598,0,0
"FALSE POSITIVE",9790965,"K07231.01",1,1.921,670.43,0.0008068
"CANDIDATE",9811915,"K07232.01",1,0.796,0,0
"FALSE POSITIVE",9818732,"K07233.01",1,1.153,0,0
"FALSE POSITIVE",9821078,"K07234.01",1,0.68,0,0.09031
"CANDIDATE",9837013,"K07236.01",1,1.196,12.982,-3.526e-05
"FALSE POSITIVE",9850387,"K07238.01",1,2.121,0,-0.0002434
"FALSE POSITIVE",9850912,"K07239.01",1,0.998,44.999,-0.001206
"FALSE POSITIVE",9873869,"K07241.01",1,1.181,5704.4,0.004018
"FALSE POSITIVE",9881258,"K07242.01",1,1.025,646.9,0.0004736
"FALSE POSITIVE",9899153,"K07243.01",1,0.828,0,0
"FALSE POSITIVE",9899193,"K07244.01",1,1.681,62.021,-6.875e-05
"FALSE POSITIVE",9899410,"K07245.01",1,16.49,46.722,-1.081e-05
"FALSE POSITIVE",9899421,"K07246.01",1,12.58,74.399,4.726e-05
"FALSE POSITIVE",9899577,"K07247.01",1,0.763,34.125,-0.0001437
"FALSE POSITIVE",9899583,"K07248.01",1,0.997,54.21,-8.046e-05
"FALSE POSITIVE",9906489,"K07249.01",1,1.159,26.038,-5.745e-05
"CANDIDATE",9909965,"K07252.01",1,1.054,2.8782,-1.72e-06
"FALSE POSITIVE",9913481,"K07253.01",1,3.682,9293,-0.001972
"FALSE POSITIVE",9913798,"K07254.01",1,0.7,1712200,0.1522
"FALSE POSITIVE",9934208,"K07256.01",1,0.573,137.64,0.003131
"FALSE POSITIVE",9936698,"K07257.01",1,1.526,51.638,-0.0003884
"CANDIDATE",9943009,"K07258.01",1,1.53,5.4106,-3.149e-05
"CANDIDATE",9944201,"K07259.01",1,0.625,1259.8,0.001634
"FALSE POSITIVE",9944421,"K07260.01",1,0.778,3234.3,-0.006542
"FALSE POSITIVE",9945280,"K07261.01",1,1.472,477.29,-0.0003568
"FALSE POSITIVE",9953736,"K07262.01",1,1.56,7.8149,-5.183e-06
"FALSE POSITIVE",9958053,"K07263.01",1,2.593,77.101,-7.985e-05
