"koi_disposition","kepid","kepoi_name","tce_plnt_num","tce_ingress","tce_model_chisq","tce_insol","tce_sradius","tce_mesmedian","tce_minmesd","tce_bin_oedp_stat","tce_albedo","tce_rb_tcount3","tce_fwm_stat","tce_fwm_srao","tce_fwm_pdeco","tce_impact_sn","tce_duration_sn","tce_depth_sn","tce_sma_sn","tce_insol_sn","tce_smet_sn","tce_fwm_srao_sn","tce_fwm_sdeco_sn","tce_fwm_pdeco_sn","tce_dicco_msky_sn"
"FALSE POSITIVE",7115661,"K03174.01",1,0.0007433,46660,5552.88,1,-2.231,0.3543,1.646e-06,0,0,0,0,0,0.0116949400409476,0.00911068702290076,0.00173584235753595,18.6804008908686,9.3396350180809,1.06666666666667,0,0,0,2.83426086956522
"FALSE POSITIVE",4909707,"K03175.01",1,0.7341,23440,1431.74,1.229,-2.615,1.505,0.001021,13.79,0,0,0.7283,-0.00021,73.7746710526316,79.7439010928359,24.25048669695,4.26746061282719,2.71878619851503,-0.0666666666666667,3.35622119815668,3.27333333333333,-3.5,3.39522727272727
"CANDIDATE",6153407,"K03179.01",1,0.08704,2961,224.52,0.972,-0.02465,4.097,0.0008602,22.34,0,9.5359,2.76,3.154e-05,3.19290231904427,7.43669480231008,16.2920857017927,7.75283640356228,4.60932046807637,0,2.60377358490566,-1.05127582017011,0.514518760195759,0.413396946564886
"CANDIDATE",4735826,"K03184.01",1,0.1169,9588,326.86,1.376,-0.1101,1.989,0.807,40.28,0,2.2095,0.2204,-1.582e-05,2.27230935640887,25.3311851056212,10.9251101321586,5.43202846975089,3.24555654850561,0.8,0.251598173515982,0.502475247524752,-0.703111111111111,1.2612676056338
"FALSE POSITIVE",3240406,"K03185.01",1,0.02259,47970,27016.91,2.152,-1.724,0.3825,0.3495,0.4176,0,3.9222,-0.8942,-5.229e-06,1.81233933161954,32.3187108325873,11.0954516335682,7.2896,4.851791525095,0.5,-1.04707259953162,0.644537037037037,-0.558653846153846,3.46187943262411
"FALSE POSITIVE",4663658,"K03187.01",1,0.01563,37730,134801.78,2.449,1.628,0.4271,0.2927,1.623,0,0,-1.177,-4.591e-06,0.00405801182765418,29.1456077015644,8.60823215872076,3.39907746142834,2.1213266362404,0.116666666666667,-0.989075630252101,0.66551724137931,-0.54589774078478,2.6268022181146
"FALSE POSITIVE",7457278,"K03188.01",1,0.1757,17560,101.55,1.002,-0.07632,-1.648,0.1055,236,0,7.5539,-1.457,1.988e-05,0.740871934604905,84.6913580246913,11.0262793914246,5.58521560574949,3.40771812080537,0,-1.80993788819876,-0.644051446945338,0.801612903225806,4.51818181818182
"CANDIDATE",5985713,"K03190.01",1,0.1087,3445,248.26,1.207,-0.07699,5.963,0.5998,35.17,0,25.961,2.003,0.0001124,1.94932871372889,6.96969696969697,11.8015388697267,5.99785407725322,3.5710586881473,-1.46666666666667,1.55271317829457,-2.2811320754717,2.39148936170213,3.13687664041995
"CANDIDATE",10467815,"K03191.02",2,0.2298,633.5,32.7,3.218,0.01688,-11.78,3.572,6444,0,6.7656,0.7235,-0.0001617,0.0972268310026072,17.9869524697111,8.02083333333333,2.46413199426112,1.53377110694184,0.107692307692308,0.911209068010076,1.46674182638106,-1.31463414634146,0.259699519230769
"FALSE POSITIVE",7430876,"K03193.01",1,1.401,532.7,25.05,1,0.01427,11.32,5.843,72.73,0,129.55,-4.478,-0.004681,6.82283737024222,9.22924901185771,16.5233415233415,241859.339063067,0,1.06666666666667,-6.08423913043478,4.54860186418109,-4.29449541284404,1.90304
