"koi_disposition","kepid","kepoi_name","tce_incl","tce_impact","tce_slogg_prov","tce_albedo_stat","tce_fwm_pdeco","tce_ingress_sn"
"FALSE POSITIVE",8104030,"K03269.01",88.92,0.9755,7,1.806,0.0002799,73.1878409976617
"FALSE POSITIVE",6612327,"K03270.01",82.57,0.9999,7,0.6629,0.08115,16.0272373540856
"CANDIDATE",7285757,"K03271.01",85.85,0.9949,7,0.1849,0.0005153,6.34914308489438
"CANDIDATE",7285757,"K03271.02",85.11,0.8865,7,0.7225,2.603e-05,0.146489859594384
"FALSE POSITIVE",4948730,"K03272.01",79.48,1,7,0.3394,0.000814,4.41690408357075
"FALSE POSITIVE",5211922,"K03273.01",87.61,0.9136,7,3.968,-0.01079,4.8680618744313
"CANDIDATE",5280587,"K03274.01",88.38,0.8623,7,1.856,-0.0001471,0.861739745403112
"FALSE POSITIVE",5303346,"K03275.01",87.26,0.9991,7,1.637,0.05011,112.487804878049
"FALSE POSITIVE",3858879,"K03276.01",80.7,0.9982,7,1.306,0.001524,73.5034850348504
"CANDIDATE",3120904,"K03277.01",88.58,0.8449,23,1.172,7.494e-05,0.256503527336861
"FALSE POSITIVE",3342467,"K03278.01",89.58,0.7112,7,1.782,0.0005947,0.482237339380196
"CANDIDATE",3544640,"K03279.01",88.84,0.7567,7,0.8855,0.0002465,0.187235649546828
"CANDIDATE",10653179,"K03280.01",89.23,0.7675,7,1.014,0.0002459,0.224352331606218
"CANDIDATE",11177676,"K03281.01",89.09,0.7077,26,0.6456,-0.0001214,0.15424091233072
"CANDIDATE",12066569,"K03282.01",89.46,0.7056,54,1.072,-0.0004697,0.237453484863723
"CANDIDATE",6497146,"K03284.01",88.81,0.8395,71,0.9213,0.0004304,0.215135608048994
"FALSE POSITIVE",8625813,"K03285.01",88.37,0.9463,7,3.609,-0.01475,1.80888664478667
"CANDIDATE",8016691,"K03286.01",88.06,0.8006,7,0.6714,-0.0002406,0.162466960352423
"CANDIDATE",6584273,"K03287.01",87.6,0.9067,7,2.067,-9.108e-05,1.65807050092764
"CANDIDATE",5768816,"K03288.01",88.72,0.8655,7,1.767,0.0001589,1.77120195241001
"FALSE POSITIVE",5360974,"K03289.01",87.81,0.9888,7,0.3128,-0.008819,9.2195690157251
"FALSE POSITIVE",4936990,"K03290.01",85.69,0.999,7,2.221,0.003465,186.137982353566
"FALSE POSITIVE",6233483,"K03291.01",83.99,0.9975,7,1.971,-0.06832,370.643056849953
"FALSE POSITIVE",5392871,"K03292.01",81.98,0.9686,7,2.428,-0.005268,5.35097719869707
"FALSE POSITIVE",3858851,"K03293.01",81.61,0.9997,7,1.202,-0.006693,91.0734322403691
"FALSE POSITIVE",3858917,"K03294.01",80.64,0.9992,7,1.553,-0.008058,111.040308239478
"FALSE POSITIVE",4466356,"K03295.01",83.73,0.9901,18,0.5381,0.0003366,10.1663467690339
"CANDIDATE",9447166,"K03296.01",88.58,0.9188,26,2.275,0.0006744,0.775628196575495
"FALSE POSITIVE",9643043,"K03297.01",88.63,0.9948,7,1.463,0.07997,95.3555281545417
"CANDIDATE",8151055,"K03298.01",88.79,0.891,7,1.598,-0.0007688,0.489893885800909
"FALSE POSITIVE",7177555,"K03299.01",88.33,0.751,7,8.206,0,6.79286926994907
"FALSE POSITIVE",7889486,"K03300.01",85.21,0.8041,7,1.752,0.0007608,0.525558534405719
"FALSE POSITIVE",7889486,"K03300.02",88.74,0.8403,7,0.7725,0.0001201,0.165590551181102
"CANDIDATE",8301878,"K03301.01",86.22,0.9731,7,1.8,-1.227e-06,0.956183562354161
"FALSE POSITIVE",8233802,"K03302.01",89.5,0.774,7,0.9893,-0.002454,0.218867924528302
"CANDIDATE",7510820,"K03303.01",88.74,0.7611,7,1.011,-0.0002505,0.258864541832669
"FALSE POSITIVE",9307105,"K03304.01",83.26,1,7,1.27,-0.05677,15.9508881922675
"CANDIDATE",6880517,"K03305.01",89.4,0.5994,7,1.129,0.001027,0.290625
"CANDIDATE",6615511,"K03306.01",87.9,0.815,7,1.038,-0.0001363,0.222534142640364
"CANDIDATE",6131130,"K03307.01",87.24,0.8107,7,0.5295,0.000653,0.11982683982684
"CANDIDATE",3632089,"K03308.01",87.25,0.8285,7,1.532,0.0001361,0.562159956474429
"CANDIDATE",3632089,"K03308.02",77.21,0.9013,7,1.036,-3.036e-05,0.233555370524563
"CANDIDATE",5563300,"K03309.01",89.83,0.668,7,1.786,0.001265,1.56210078069553
"CANDIDATE",12253769,"K03310.01",85.35,0.9531,23,2.431,-8.586e-05,1.40490916119057
"CANDIDATE",12735830,"K03311.01",88.6,0.9765,26,0.5191,0.0008231,7.03983516483516
"CANDIDATE",11905409,"K03312.01",87.24,0.9055,7,1.426,0.0009656,0.337863247863248
"CANDIDATE",9571186,"K03313.01",89.34,0.9212,7,1.429,-0.0007717,0.379040745752518
"FALSE POSITIVE",9838060,"K03314.01",88.8,0.9005,7,3.294,0.007052,358.404662174467
"CANDIDATE",8554701,"K03315.01",88.17,0.8973,7,1.38,-1.55e-06,0.308194580476657
"CANDIDATE",9031209,"K03316.01",88.94,0.8011,7,2.221,-0.0008129,1.50951997854653
"FALSE POSITIVE",7130418,"K03317.01",87.67,0.9147,7,1.506,0.08555,0.473876774476804
"CANDIDATE",8331612,"K03318.01",87.32,0.806,7,1.191,0.0007627,0.272380952380952
"CANDIDATE",8331612,"K03318.02",89.08,0.8968,7,1.671,0.0005291,0.479897348160821
"CANDIDATE",5965819,"K03319.01",81.27,0.8687,26,1.196,-7.823e-05,0.642011326583147
"CANDIDATE",5965819,"K03319.02",86.48,0.813,26,1.483,0.0002692,0.425104705592511
"CANDIDATE",5965819,"K03319.03",74.09,0.8831,26,0.8142,-5.028e-06,0.222853467681424
"FALSE POSITIVE",6690171,"K03320.01",89.62,0.8224,7,3.008,0.001034,273.373746794124
"FALSE POSITIVE",6859801,"K03321.01",85.07,0.9503,7,4.78,0,255.566127497621
"FALSE POSITIVE",7767733,"K03322.01",88.6,0.9204,7,2.441,-0.00355,900
"CANDIDATE",5193659,"K03323.01",82.19,0.9796,26,1.618,-8.231e-05,9.12405699916178
"CANDIDATE",4271474,"K03324.01",88.59,0.7709,7,0.8214,0.0005943,0.190205371248025
"FALSE POSITIVE",5130983,"K03325.01",88.36,1,7,0.4741,-0.004602,1.67835968379447
"FALSE POSITIVE",11093538,"K03326.01",85.39,0.966,7,1.973,0.1657,106.860936923644
"FALSE POSITIVE",11044779,"K03327.01",86.23,0.9753,7,2.771,-0.03092,352.797795676134
"FALSE POSITIVE",4634135,"K03328.01",88.65,0.9939,7,1.822,0.005321,126.551724137931
"CANDIDATE",6955671,"K03329.01",79.36,0.9851,7,0.6349,0.0006149,7.66637089618456
"CANDIDATE",4736644,"K03330.01",86.59,0.8957,26,1.058,-0.0003911,0.252886247877759
"FALSE POSITIVE",5876805,"K03331.01",87.14,0.6763,7,2.71,0.03294,286.510263929619
"FALSE POSITIVE",5818068,"K03332.01",84.58,0.9903,7,1.73,-0.1175,95.1712887438825
"FALSE POSITIVE",12208887,"K03333.01",89.97,0.1,7,0,0.001216,-1.177
"FALSE POSITIVE",11147814,"K03334.01",89.81,0.7682,7,2.844,0.003203,1475.91836734694
"CANDIDATE",10922659,"K03335.01",88.56,0.7352,7,0.9418,-4.864e-05,0.191672975018925
"FALSE POSITIVE",8892720,"K03336.01",89.21,0.6837,7,2.722,-0.1003,206.148055207026
"CANDIDATE",7692093,"K03337.01",86.85,0.8134,7,0.5989,0.0001312,0.134296296296296
"FALSE POSITIVE",7692093,"K03337.02",88.73,0.9184,7,1.912,-0.0008298,0.713804713804714
"FALSE POSITIVE",8263752,"K03338.01",83.23,1,7,2.048,-0.07342,209.212880143113
"FALSE POSITIVE",8263752,"K03338.02",84.03,1,7,0.02807,-0.03884,33.2343663017257
"CANDIDATE",7772914,"K03339.01",87.17,0.9493,7,2.047,0.0005521,2.43725617685306
"CANDIDATE",3529290,"K03340.01",85.51,0.8478,7,1.126,0.0001269,0.228697413895841
"CANDIDATE",3529290,"K03340.02",79.25,0.939,7,1.174,-5.022e-05,0.379282868525896
"CANDIDATE",5621333,"K03341.01",84.75,0.9174,26,1.747,-3.355e-05,0.85944070647603
"CANDIDATE",5621333,"K03341.02",81.67,0.8936,26,0.998,2.457e-05,0.259942979330007
"FALSE POSITIVE",5392897,"K03342.01",89.19,0.3437,7,2.569,-0.01249,430.942334739803
"CANDIDATE",3236705,"K03343.01",89.75,0.7084,26,0.488,-9.816e-06,0.110530482977039
"CANDIDATE",11810124,"K03344.01",82.59,0.8417,26,0.5493,0.0001329,0.135380980507974
"CANDIDATE",11810124,"K03344.02",85.99,0.8848,26,0.9541,-0.000433,0.231853785900783
"CANDIDATE",11810124,"K03344.03",89.63,0.7281,26,0.8342,0.001713,0.195501592356688
"CANDIDATE",11303322,"K03345.01",88.55,0.7552,7,0.8373,0.0001316,0.164419171405361
"CANDIDATE",11241912,"K03346.01",81.43,0.9752,48,2.13,7.641e-06,2.1797520661157
"CANDIDATE",8824737,"K03347.01",87.69,0.8583,7,0.8671,0.0005282,0.18862995088306
"CANDIDATE",9349757,"K03348.01",88.38,0.8809,26,1.672,-0.000318,0.448899967486724
"CANDIDATE",9349757,"K03348.02",87.68,0.7781,26,0.4757,0.0006065,0.103347578347578
"CANDIDATE",8636333,"K03349.01",88.56,0.8842,7,1.548,3.282e-05,1.21340986172711
"FALSE POSITIVE",7136958,"K03350.01",88.26,0.8981,7,2.249,0.001015,1653.52318364367
"FALSE POSITIVE",1995732,"K03351.01",89.02,0.9092,7,3.799,-0.00984,945.709828393136
"CANDIDATE",8081239,"K03352.01",87.15,0.843,7,0.664,-0.0004223,0.142757936507937
"CANDIDATE",7091432,"K03353.01",84.39,0.9504,7,2.274,0.0002064,0.919098573281453
"CANDIDATE",9845909,"K03354.01",86.48,0.8736,7,0.5576,0.0001549,0.111308466548253
"CANDIDATE",9221528,"K03355.01",86.15,0.8684,7,1.053,0.0001944,0.265885416666667
"CANDIDATE",6368230,"K03356.01",87.56,0.7999,7,1.053,-9.976e-05,0.226328310864393
"FALSE POSITIVE",7115291,"K03357.01",89.22,0.9035,7,1.7,-0.003407,687.76060829041
"CANDIDATE",4263529,"K03358.01",89.46,0.695,7,1.87,-5.341e-05,1.00788643533123
"FALSE POSITIVE",10711551,"K03359.01",89.84,0.1,7,0,-0.1918,-1.177
"FALSE POSITIVE",7866921,"K03360.01",88.84,0.737,7,5.886,-0.05028,41.2936436884512
"CANDIDATE",6619815,"K03361.01",89.05,0.7416,7,1.297,-0.0004208,0.347829937998228
"FALSE POSITIVE",3098197,"K03362.01",86.09,0.9333,7,1.706,-0.2379,443.926553672316
"CANDIDATE",11651712,"K03363.01",87.93,0.8648,7,1.391,-0.0001689,0.381494203520824
"FALSE POSITIVE",11081512,"K03364.01",86.98,0.9013,7,0.9914,0,0.239672642244739
"CANDIDATE",11455428,"K03365.01",87.83,0.8746,7,1.121,-0.0001718,0.55950385517935
"FALSE POSITIVE",10484409,"K03366.01",87.21,0.857,7,0.5008,0.00825,0.105304212168487
"CANDIDATE",10935993,"K03367.01",87.03,0.9645,7,1.814,-9.008e-05,1.28490141590578
"CANDIDATE",5257082,"K03368.01",88.72,0.6921,7,0.6776,0.000129,0.136511885019348
"FALSE POSITIVE",5796185,"K03369.01",89.65,0.7703,7,1.871,0.3317,742.114236999148
"CANDIDATE",11657614,"K03370.01",84.04,0.9,26,1.065,-0.0002324,0.311778290993072
"CANDIDATE",11657614,"K03370.02",88.7,0.8648,26,0.6859,-0.0009004,0.16575
"CANDIDATE",11125797,"K03371.01",89.18,0.8552,26,1.004,-0.0002314,0.22572202166065
"CANDIDATE",11125797,"K03371.02",87.24,0.8935,26,0.7651,5.432e-05,0.165882616487455
"CANDIDATE",9785921,"K03372.01",88.03,0.7832,7,1.245,-0.0003161,0.288836772983114
"FALSE POSITIVE",9785921,"K03372.02",88.53,0.9176,7,1.91,0.0001007,0.857524487978629
"FALSE POSITIVE",3102000,"K03373.01",90,0.003207,7,3.337,-0.00638,44.0210656753408
"CANDIDATE",6705026,"K03374.01",83.36,0.8892,26,0.9331,0.0002583,0.184761045987376
"CANDIDATE",6705026,"K03374.02",88.05,0.796,26,0.858,0.000108,0.164352574102964
"CANDIDATE",6779726,"K03375.01",89.28,0.6997,7,1.064,0.0001692,0.236647173489279
"CANDIDATE",5553959,"K03377.01",88.51,0.8375,7,0.6674,0.0001026,0.13814010028871
"FALSE POSITIVE",4376629,"K03378.01",89.23,0.8578,18,0.5344,-0.002776,0.101789077212806
"CANDIDATE",2995392,"K03379.01",85.11,0.9618,7,1.81,0.0004755,2.18568869216988
"FALSE POSITIVE",3120308,"K03380.01",84.4,0.9003,7,1.509,-0.001181,0.445495140530602
"FALSE POSITIVE",3958301,"K03381.02",89.94,0.2867,7,1.161,0.009369,0.232731376975169
"FALSE POSITIVE",9991621,"K03382.01",86.95,0.8666,7,1.001,-0.004957,0.233102081268583
"CANDIDATE",8078502,"K03383.01",88.4,0.8418,7,1.634,0.0006999,0.455079217148183
"CANDIDATE",8644365,"K03384.01",85.58,0.8918,32,1.686,-3.044e-05,0.668136714443219
"CANDIDATE",8644365,"K03384.02",88.2,0.9097,32,0.7101,7.325e-06,0.129998226006741
"FALSE POSITIVE",9489947,"K03385.01",89.46,0.9032,7,1.853,-0.002174,589.468168718889
"FALSE POSITIVE",6960487,"K03386.01",89.1,0.9024,7,0.9136,0.005054,832.097850259451
"FALSE POSITIVE",6309264,"K03387.01",87.82,0.8988,7,0.7026,-0.0004707,0.14070932922128
"FALSE POSITIVE",3858988,"K03388.01",79.1,0.9984,7,0.7512,0.0003632,37.0884146341463
"CANDIDATE",3848966,"K03389.01",80.06,0.9756,26,1.838,0.0001491,1.74065934065934
"FALSE POSITIVE",10798605,"K03390.01",89.42,1,7,2.623,0.02404,115.118912797282
"CANDIDATE",9452897,"K03391.01",86.74,0.9831,7,0.458,-0.001058,7.34722222222222
"FALSE POSITIVE",9714123,"K03392.01",89.89,0.1712,7,2.547,-0.005693,221.505011041277
"CANDIDATE",9085563,"K03393.01",88.66,0.7834,26,1.122,0.0005643,0.257627118644068
"CANDIDATE",7748487,"K03394.01",85.27,0.8851,7,1.498,-0.000132,0.361030741410488
"CANDIDATE",3219037,"K03395.01",84.6,0.9069,7,0.9369,-0.0002513,0.190409899458623
"CANDIDATE",5710069,"K03396.01",86.36,0.9516,7,1.988,7.185e-05,1.35680304471931
"CANDIDATE",6200810,"K03397.01",88.38,0.8954,7,1.471,0.0003568,0.389073170731707
"CANDIDATE",3561464,"K03398.01",88.23,0.7172,26,1.606,-5.257e-06,0.893184130213632
"CANDIDATE",3561464,"K03398.02",75.87,0.9523,26,1.28,-5.227e-05,1.86146536634159
"CANDIDATE",3561464,"K03398.03",75.9,0.9067,26,0.7512,6.208e-05,0.316055962691539
"FALSE POSITIVE",6359802,"K03399.01",86.99,1,7,1.495,-0.013,4.26454242311967
"FALSE POSITIVE",9328641,"K03400.01",84.27,0.9131,7,5.409,-0.0002358,4.52048916541515
"CANDIDATE",9966219,"K03401.01",87.24,0.7754,26,0.585,-0.0001176,0.126131511528608
"FALSE POSITIVE",3757778,"K03402.01",89.93,0.07054,7,2.546,-0.01723,191.711802494017
"CANDIDATE",11754430,"K03403.01",87.17,0.8189,32,1.968,-2.727e-06,0.824661810613944
"CANDIDATE",11754430,"K03403.02",77.7,0.8602,32,1.032,-6.039e-06,0.265817348983682
"CANDIDATE",8409295,"K03404.01",88.99,0.8392,26,1.522,1.456e-05,0.376128538638103
"FALSE POSITIVE",8211605,"K03405.01",85.33,1,7,0.1601,-0.002416,0.0371433572553825
"CANDIDATE",7131760,"K03407.01",88.93,0.9414,7,1.945,-0.0002406,2.0803853680566
"CANDIDATE",11922778,"K03408.01",88.78,0.7582,7,1.352,-0.0005233,0.334199134199134
"FALSE POSITIVE",9468382,"K03409.01",78.33,0.9692,7,0.5945,-0.0716,3.55991402471789
"CANDIDATE",9285265,"K03410.01",84.74,0.8628,26,1.443,-0.0001767,0.391561938958707
"CANDIDATE",9285265,"K03410.02",87.35,0.9203,26,1.807,-0.0002805,0.86076817558299
"FALSE POSITIVE",6025124,"K03411.01",89.29,0.9377,7,0.7874,0.001289,82.6039058587882
"CANDIDATE",5780930,"K03412.01",87.36,0.8887,7,0.7513,0.0001746,0.487459283387622
"FALSE POSITIVE",4164393,"K03413.01",89.19,0.8998,7,0.4627,0.004068,2184.06423718345
"FALSE POSITIVE",6023859,"K03414.01",89.5,0.9069,54,2.257,0.002446,264.68850698174
"CANDIDATE",3433668,"K03415.01",84.97,0.917,32,1.405,6.484e-06,0.429914293613492
"CANDIDATE",2849140,"K03416.01",81.39,0.8619,7,1.384,0.000128,0.37576
"CANDIDATE",7503885,"K03417.01",88.36,0.9232,7,2.09,0.000195,1.59589454618636
"CANDIDATE",3629330,"K03418.01",87.55,0.9501,7,2.177,-0.0005181,2.14923291492329
"FALSE POSITIVE",11519134,"K03419.01",89.59,0.9101,5,-2.541,0.003296,1547.80361757106
"CANDIDATE",7289338,"K03420.01",85.4,0.9057,26,1.166,0.0002387,0.277512355848435
"CANDIDATE",7289338,"K03420.02",80.45,0.9,26,0.7564,5.523e-05,0.162285336856011
"FALSE POSITIVE",5004909,"K03421.01",85.3,0.9156,18,2.618,7.284e-05,1.05537974683544
"FALSE POSITIVE",5898983,"K03422.01",86.02,0.9684,4,1.352,1.85e-05,4.23784804152902
"CANDIDATE",3745559,"K03423.01",88.91,0.9061,7,1.367,0.0005667,0.746663308990179
"FALSE POSITIVE",8356054,"K03424.01",89.94,0.1,7,0,-0.03722,-0.6727
"CANDIDATE",9117416,"K03425.01",81.78,0.9615,13,1.371,-9.874e-06,2.06928492034087
"CANDIDATE",9117416,"K03425.02",73.25,0.897,13,0.7087,4.62e-05,0.265332592180841
"CANDIDATE",9117416,"K03425.03",81.66,0.9537,13,0.9607,-5.633e-05,0.23647577092511
"FALSE POSITIVE",5900235,"K03426.01",88.86,0.7662,7,1.084,5.953e-06,0.213066465256798
"FALSE POSITIVE",9907505,"K03427.01",89.18,0.8975,7,2.476,-0.2358,924.867413081909
"CANDIDATE",9027909,"K03428.01",89,0.7458,26,0.8717,4.057e-07,0.18694109297374
"CANDIDATE",9230021,"K03429.01",83.78,0.8738,26,1.043,7.318e-05,0.268363636363636
"CANDIDATE",9230021,"K03429.02",85.63,0.9347,26,1.503,-0.0004679,0.357786259541985
"CANDIDATE",7697103,"K03430.01",84.94,0.8894,7,1.01,0.0007893,0.217060702875399
"FALSE POSITIVE",9267996,"K03431.01",84.63,0.8937,7,1.425,0.0002745,1.7543206593991
"CANDIDATE",8738775,"K03432.01",87.52,0.9045,26,1.404,0.0002065,0.729693486590038
"CANDIDATE",7093401,"K03433.01",89.46,0.9467,7,0.6439,-0.000334,8.61280685803351
"CANDIDATE",8628665,"K03434.01",85.61,0.9078,26,0.7259,0.0002745,0.142618384401114
"FALSE POSITIVE",3945802,"K03435.01",87.55,0.893,7,1.377,-0.0004366,0.324214103653356
"CANDIDATE",6265665,"K03436.01",89.17,0.7195,7,0.8468,1.953e-05,0.211892675852067
"CANDIDATE",4645174,"K03437.01",84.4,0.8974,26,1.211,-8.902e-05,0.329795158286778
"CANDIDATE",4645174,"K03437.02",88.84,0.8526,26,0.6076,0.0003271,0.12178148921364
"CANDIDATE",6599975,"K03438.01",85.41,0.8933,26,1.407,-9.192e-05,0.315468466130288
"CANDIDATE",4282191,"K03439.01",88.37,0.7427,7,1.572,8.768e-05,0.427905117270789
"FALSE POSITIVE",3559860,"K03440.01",86,0.9513,26,2.279,-0.0006382,1.32582461786002
"FALSE POSITIVE",3559860,"K03440.02",89.51,0.6482,26,0.3197,-0.001591,0.0663750475465957
"FALSE POSITIVE",10651945,"K03441.01",88.72,0.8993,7,1.606,-0.00753,596.308186195827
"FALSE POSITIVE",9837586,"K03442.01",84.56,0.9414,15,0.5062,0.2272,75.8753366679492
"CANDIDATE",7288306,"K03443.01",89.71,0.4529,7,0.6018,0.0002409,0.134319526627219
"CANDIDATE",5384713,"K03444.01",89.55,0.9846,26,0.6114,-0.001247,23.0841878035618
"FALSE POSITIVE",5384713,"K03444.02",81.09,0.9064,26,0.8141,-6.1e-05,0.181618224666143
"CANDIDATE",5384713,"K03444.03",86.57,0.918,26,1.054,-0.0002411,0.235288159627266
"FALSE POSITIVE",5384713,"K03444.04",89.77,0.8297,26,1.133,-0.00065,0.307273838630807
"CANDIDATE",11860395,"K03445.01",88.08,0.837,26,2.069,5.104e-05,1.22263797942002
"FALSE POSITIVE",2852528,"K03446.01",85.71,0.9144,7,1.662,-0.0007408,0.4
"CANDIDATE",3348216,"K03448.01",88,0.9371,26,2.071,-0.0001976,0.675775216823096
"FALSE POSITIVE",10798838,"K03449.01",89.27,0.9754,7,1.779,0.001246,507.176105508146
"FALSE POSITIVE",8560940,"K03450.01",77.94,0.999,7,0.202,-0.0002728,9.15815925867756
"CANDIDATE",10793576,"K03451.01",86.39,0.8715,7,0.9018,2.541e-05,0.178372352285396
"FALSE POSITIVE",7021177,"K03452.01",89.95,0.1,7,0,-0.02252,-0.6727
"FALSE POSITIVE",4932689,"K03453.01",87.56,0.7211,7,0.6418,0.02153,0.11606914212548
"FALSE POSITIVE",7122259,"K03454.01",88.48,0.7203,7,2.556,0,3381.07202680067
"CANDIDATE",6947668,"K03455.01",87.16,0.7957,7,0.5995,3.3e-05,0.128129298486933
"CANDIDATE",6364582,"K03456.01",88.26,0.8719,23,0.9688,6.209e-05,0.232835123773937
"FALSE POSITIVE",9834257,"K03457.01",82.72,1,5,1.132,0.02798,22.1366849960723
"CANDIDATE",6118370,"K03458.01",82.84,0.8983,7,1.429,0.0001147,0.460932203389831
"CANDIDATE",2717158,"K03459.01",83.63,0.9483,7,1.883,0.0003041,0.829111666072066
"CANDIDATE",9664276,"K03460.01",88.41,0.7646,26,1.158,0.0002393,0.265586206896552
"FALSE POSITIVE",2437112,"K03461.01",85.58,0.9389,7,3.493,0.006533,1.01561144839549
"FALSE POSITIVE",2437112,"K03461.02",88.34,0.7412,7,0.3721,0.004629,0.0953307392996109
"CANDIDATE",9967009,"K03462.01",83.48,0.8138,26,0.8244,-0.0001931,0.190929203539823
"CANDIDATE",9967009,"K03462.02",87.95,0.6542,26,0.5708,0.0004002,0.131578947368421
"CANDIDATE",5294945,"K03463.01",87.51,0.8427,7,0.9932,5.616e-05,0.22443661971831
"FALSE POSITIVE",11874338,"K03464.01",84.8,1,7,0.3309,-4.942e-05,2.57742703990471
"CANDIDATE",9763612,"K03465.01",84.91,0.963,26,1.837,9.429e-05,0.783866523802235
"FALSE POSITIVE",9468384,"K03466.01",89.36,0.2095,7,2.602,-0.4031,601.876675603217
"FALSE POSITIVE",7121885,"K03467.01",89.46,0.4632,7,2.466,0.01772,170.538611291369
"CANDIDATE",5213404,"K03468.01",83.31,0.9132,26,1.388,0.0001006,0.52263986013986
"CANDIDATE",4844470,"K03469.01",89.24,0.6668,7,1.238,-0.0002878,0.329613733905579
"CANDIDATE",9995771,"K03470.01",87.59,0.7895,26,0.707,0.0004649,0.223031203566122
"CANDIDATE",9995771,"K03470.02",85.83,0.8053,26,0.7509,-0.000429,0.160582010582011
"FALSE POSITIVE",11875511,"K03471.01",89.41,1,7,0.7,0.002041,1.36526479750779
"CANDIDATE",9536108,"K03472.01",87.42,0.8775,7,0.6724,-0.0004346,0.121514671861683
"CANDIDATE",8905246,"K03473.01",88.8,0.9401,7,0.7091,0.0001739,1.93205128205128
"CANDIDATE",5213230,"K03474.01",88.13,0.8565,26,1.488,-0.0001098,0.370016611295681
"FALSE POSITIVE",5986209,"K03476.01",89.95,0.1,7,0,0.4736,-0.8409
"FALSE POSITIVE",9226339,"K03477.01",87.76,0.8356,48,0.7874,-0.0007415,0.164432931636446
"CANDIDATE",7742408,"K03478.01",87.05,0.9573,7,0.9417,0.0003175,1.37875574407918
"FALSE POSITIVE",6525209,"K03479.01",89.18,0.4892,7,5.952,0.0358,612.265917602996
"FALSE POSITIVE",6525209,"K03479.02",89.56,0.5187,7,1.044,0.01032,133.929849677881
"CANDIDATE",9843517,"K03480.01",80.91,0.9565,7,2.097,0.0001965,0.818849040867389
"CANDIDATE",8812045,"K03481.01",86.72,0.7685,26,1.001,9.326e-05,0.263346613545817
"CANDIDATE",7288444,"K03482.01",85.89,0.8508,26,0.8626,-7.026e-05,0.191560866318148
"CANDIDATE",3101923,"K03483.01",89.38,0.7309,26,0.5006,0.0002149,0.0990268767377201
"CANDIDATE",10881457,"K03484.01",89.34,0.5923,26,1.021,-0.0003423,0.219246615656268
"FALSE POSITIVE",5471289,"K03485.01",53.37,0.9667,7,2.551,-0.0002739,4.56633499170813
"CANDIDATE",8121328,"K03486.01",82.61,0.8905,7,1.432,2.511e-05,0.667924935289042
"FALSE POSITIVE",9783760,"K03487.01",89.81,0.7815,7,2.343,0.1673,111.48097826087
"FALSE POSITIVE",9528430,"K03489.01",89.85,0.1114,5,1.963,0.00175,420.378837361202
"FALSE POSITIVE",8882847,"K03490.01",83.38,0.9994,13,0.2789,0.0002916,12.8449066992964
"FALSE POSITIVE",12164634,"K03491.01",89.57,0.5071,7,2.602,-0.000449,565.735414954807
"FALSE POSITIVE",5193077,"K03492.01",87.4,0.9,5,1.06,-0.004496,0.208058459352481
"CANDIDATE",8880123,"K03493.01",88.85,0.7126,26,0.8563,0.0001668,0.187338129496403
"CANDIDATE",8231667,"K03494.01",89.62,0.7591,7,0.5905,0.0007147,0.14005905511811
"CANDIDATE",9474756,"K03495.01",85.8,0.8635,26,0.743,-9.548e-05,0.155092592592593
"CANDIDATE",9474756,"K03495.02",81.69,0.9044,26,0.6557,-0.000382,0.128642901813634
"CANDIDATE",7517261,"K03496.01",86.47,0.806,13,1.648,-9.411e-05,0.564088498811483
"CANDIDATE",7517261,"K03496.02",79.24,0.8991,13,1.451,1.84e-05,0.369261213720317
"CANDIDATE",8424002,"K03497.01",87.54,0.9634,13,3.101,5.896e-05,2.44925792218211
"FALSE POSITIVE",8635938,"K03498.01",76.88,1,5,0.3903,-0.0002197,6.7761304670126
"FALSE POSITIVE",5471688,"K03499.01",50.08,0.9733,7,3.61,-0.0008708,4.67676767676768
"CANDIDATE",6058816,"K03500.01",88.36,0.7761,5,1.657,-5.691e-05,0.960496183206107
"CANDIDATE",6058816,"K03500.02",74.67,0.9001,5,0.8679,-4.915e-05,0.206828885400314
"FALSE POSITIVE",6286161,"K03501.01",89.56,0.222,7,2.913,-0.2159,387.595552466991
"FALSE POSITIVE",5385471,"K03502.01",62.33,0.9303,7,3.318,0.0007852,7.41573033707865
"CANDIDATE",6368175,"K03503.01",86.31,0.8925,7,1.014,-0.0001897,0.187896995708154
"FALSE POSITIVE",5471158,"K03504.01",55.68,0.961,7,2.62,-0.0004668,4.56203840472674
"FALSE POSITIVE",4847843,"K03505.01",85.03,0.9996,7,0.3217,0.08775,29.5538847117794
"FALSE POSITIVE",8719419,"K03506.01",87.8,0.9999,7,-5.725,-0.0002114,895.917193789534
"CANDIDATE",6697817,"K03508.01",89.64,0.8493,26,1.11,0.0004715,0.232278889606198
"FALSE POSITIVE",3439096,"K03509.01",67.39,0.914,29,-7.585,0.0002766,1.25986354197568
"FALSE POSITIVE",9028474,"K03510.01",89.77,0.7195,5,2.109,-0.1412,346.481481481481
"FALSE POSITIVE",3644542,"K03511.01",89.72,0.3643,7,1.482,-0.09324,1222.40896358543
"FALSE POSITIVE",6182849,"K03512.01",89.77,0.1,7,0,0,-1.009
"FALSE POSITIVE",9851142,"K03513.01",88.8,0.2281,56,2.604,-0.3099,3717.11266022037
"FALSE POSITIVE",7117003,"K03514.01",89.98,0.1,7,0,-0.002133,-4.434
