"koi_disposition","kepid","kepoi_name","tce_incl","tce_impact","tce_slogg_prov","tce_albedo_stat","tce_fwm_pdeco","tce_ingress_sn"
"CANDIDATE",8804845,"K02039.02",87.09,0.2562,26,0.3801,-2.534e-05,0.150136370928927
"CANDIDATE",10480915,"K02040.01",89.02,0.8934,32,1.639,0.0004605,0.398848272408613
"FALSE POSITIVE",5024482,"K02041.01",66.18,0.8981,13,0.2997,-0.0005004,0.182413470533209
"CANDIDATE",9111849,"K02042.01",89.15,0.8111,5,1.107,6.952e-05,1.38395415472779
"CANDIDATE",3448130,"K02043.01",89.22,0.694,26,2.168,0.0004417,0.646200222116452
"CANDIDATE",9656252,"K02044.01",87.69,0.7949,26,2.239,0.0006382,0.905813097866078
"CANDIDATE",6026438,"K02045.01",84.42,0.8644,7,1.594,0.0001025,0.4714311960316
"CANDIDATE",6026438,"K02045.02",88.42,0.7619,7,0.6668,-0.0001191,0.178503184713376
"CANDIDATE",6026438,"K02045.03",87.93,0.8177,7,0.5422,-0.0001314,0.139398180545836
"CANDIDATE",10663396,"K02046.01",85.48,0.6786,26,1.754,-1.935e-05,1.33544129777289
"CANDIDATE",11457726,"K02047.01",83.6,0.8534,18,1.562,-0.0001025,0.36212017363491
"CANDIDATE",8956206,"K02048.01",85.67,0.8734,16,1.881,8.548e-05,0.555505210693249
"CANDIDATE",9649706,"K02049.01",65.26,0.8989,26,-1.056,4.898e-05,0.568697342838626
"FALSE POSITIVE",6307083,"K02050.01",87.75,0.9997,26,0.507,0.005184,13.9594765723934
"CANDIDATE",6307083,"K02050.02",88.87,0.8861,26,1.386,0.0005329,0.364302651433499
"CANDIDATE",7265298,"K02051.01",87.35,0.8045,26,2.265,-9.676e-05,0.966505246166263
"CANDIDATE",7265298,"K02051.02",75.37,0.9764,26,2.466,0.0004038,1.73008849557522
"CANDIDATE",3248501,"K02052.01",85.39,0.9146,7,1.921,-0.0002284,1.05865102639296
