"koi_disposition","kepid","kepoi_name","tce_plnt_num","tce_incl","tce_impact","tce_ingress","tce_model_chisq","tce_insol","tce_sradius","tce_slogg_prov","tcet_model_chisq","wst_depth","tce_mesmedian","tce_mesmad","tce_minmesd","tce_bin_oedp_stat","tce_rminmes","tce_albedo","tce_albedo_stat","boot_mesmean","tce_rb_tcount3","tce_fwm_stat","tce_fwm_sra","tce_fwm_srao","tce_fwm_pdeco","tce_impact_sn","tce_duration_sn","tce_ingress_sn","tce_depth_sn","tce_sma_sn","tce_insol_sn","tce_slogg_sn","tce_smet_sn","tce_fwm_srao_sn","tce_fwm_sdeco_sn","tce_fwm_pdeco_sn","tce_dicco_msky_sn"
"FALSE POSITIVE",11811454,"K07481.01",1,78.09,0.9305,2.194,121000,4539.31,1.947,13,4123000,26080,-61.5,103.6,1.267,0,0.1327,2.022,0.6926,-1,0,1681.2,19.35982,0.08445,-0.0007221,102.557037363606,5552.18216318786,5551.61943319838,3753.72023809524,2.25047801147228,1.34596179733969,9.09302325581395,-1.46666666666667,411.951219512195,364.383561643836,-0.0596776859504132,0.566835066864785
"FALSE POSITIVE",11817750,"K07482.01",1,80.98,1,2.385,31290,2131.22,1.95,7,8225000,20.92,-0.05623,0.8245,2.181,7270,0.000476,0.01363,-173.3,-0.12065,0,11465,19.588455,-0.09841,-0.003393,280.662363177098,188.686708860759,188.686708860759,59.6424010217114,4.29704918032787,2.75255401862399,23.8235294117647,-0.114285714285714,-81.3305785123967,-60.6086956521739,-0.0492452830188679,0.455778443113773
"FALSE POSITIVE",11854636,"K07484.01",1,89.72,0.7503,0.07876,378.1,15.69,0.886,7,53570,244.5,0.01725,0.6218,-8.192,0.6257,0.416,870.3,0.3108,0.0087149,0,0.404,19.073515,-0.2036,-0.0004499,0.186224869694713,1.30128840436075,0.0651447477253929,7.48932038834951,4.51774530271399,2.91094619666048,25.2222222222222,0.133333333333333,-0.108877005347594,0.609245283018868,-0.357063492063492,1.67914110429448
"FALSE POSITIVE",11855538,"K07485.01",1,76.49,0.8686,0.06738,9132,4177.81,1.874,5,57620,9.821,0.05463,0.8767,0.6625,3.51,0.3054,3.994,0.8883,0.014472,0,14.328,19.113997,1.105,-5.852e-05,2.18901209677419,13.7417721518987,0.329486552567237,8.16577664267471,3.01660839160839,1.8271478053986,11.96875,-4.22857142857143,1.35250917992656,1.77691453940067,-1.84605678233438,4.92903225806452
"FALSE POSITIVE",11858541,"K07486.01",1,83.53,0.9923,2.083,8090,291.35,1.071,7,1422000,9395,-0.08697,2.701,3.159,1.188,0.08779,14.57,2.145,-1,0,292.46,19.242408,7.959e-05,0.0008771,91.204044117647,1787.21578721579,1787.98283261803,1230.61293599729,3.48783382789318,2.25241592578276,17.9166666666667,-0.533333333333333,0.0254281150159744,2.01897590361446,0.210841346153846,0.569895052473763
"FALSE POSITIVE",11873166,"K07487.01",1,81.91,0.7001,1.336,50270,1849.21,0.997,7,3334000,-13120,14.99,354.9,0.9103,1.169e-06,0.3808,0,0,-1,0,45.048,19.746237,0.09362,0.0001448,531.183611532625,2316.56548135299,2317.03087062088,1231.20008297894,3.80623346074684,2.47840188707062,21.2857142857143,-0.228571428571429,161.135972461274,308.14332247557,0.00272693032015066,0.0516521739130435
"FALSE POSITIVE",11873171,"K07488.01",1,57.4,0.906,0.08491,26860,5782.11,1.005,7,67760,28.81,-1.467,0.8666,0.3761,0.01269,0.4362,4.641,0.4906,-0.87177,0,188.47,19.746251,-7.314,0.0009342,1.11288539491463,2.78063210337848,0.112582869265447,5.27190827190827,4.22216441207076,2.69442904075118,23.4736842105263,-1.08571428571429,-3.62079207920792,-6.70142180094787,6.86911764705882,6.09009497964722
"CANDIDATE",11904704,"K07489.01",1,68.43,0.9,0.04316,22060,3197.21,0.881,7,55090,3.777,-0.9611,0.8622,0.3594,0.01855,0.2833,0.3844,-0.115,-0.49791,1,7.0081,19.069121,-3.61,1.894e-05,2.06043956043956,5.13924794359577,0.219197562214322,5.93386454183267,8.04939835338822,4.49918381131969,44.8,0.533333333333333,-2.42281879194631,-0.0202207792207792,0.164695652173913,2.25513089005236
"FALSE POSITIVE",11906217,"K07490.01",1,89.47,0.9507,1.574,1036,3.89,0.56,7,316800,15630,-0.06181,0.7414,6.933,0.2783,0.0412,350.9,1.729,-0.076848,0,167.32,19.137281,-0.1149,-0.005807,5.28754171301446,1203.74617737003,1203.36391437309,186.572700296736,15.1755852842809,6.48333333333333,93.8,-3.06666666666667,-20.9671532846715,25.5185185185185,-0.0240954356846473,0.724439461883408
"FALSE POSITIVE",11913052,"K07491.01",1,75.81,0.9,0.2479,9392,8392.06,7.7,29,62560,30.81,-0.2897,0.7238,1.146,0.002171,0.3066,0.5065,-1.307,-0.07009,0,364.84,19.403003,0.1716,0.0006914,3.48837209302326,6.6625266146203,0.365526393394279,11.2152501985703,5.5013501350135,4.28675925973223,100,0.65,0.403764705882353,-10.9469026548673,10.786271450858,4.44132352941176
"FALSE POSITIVE",11913071,"K07492.01",1,85.63,0.5494,2.283,28500,12523.71,3.065,7,117300000,35370,-4.603,46.45,1.748,0,0.09613,3.447,0.9982,-1,0,566660,19.404117,0.8037,0.1464,7916.4265129683,25083.4525512637,3938.92339544513,17534.8837209302,2.27027027027027,1.36584394947874,8.97619047619048,-0.45,3464.22413793103,-3497.4358974359,13.1891891891892,9.74872122762148
"FALSE POSITIVE",11922648,"K07494.01",1,78.74,0.6787,0.03974,20040,825.49,0.812,7,86820,17.13,-0.1309,0.3816,0.775,2.885,0.2377,17.24,0.9936,-0.1736,0,86.676,19.729974,0.8322,-0.0003767,0.47930790960452,14.8940464177598,0.254254638515675,7.66675892610019,4.40822225790911,2.91229493737873,25.3888888888889,-0.866666666666667,0.687768595041322,5.26592592592593,-5.01597869507324,2.37604060913706
"FALSE POSITIVE",11922782,"K07495.01",1,83.93,0.4438,1.318,867400,2662.79,1.465,18,6.42e+08,-11.37,-0.06651,0.9617,0.3063,0,0.0002144,0,0,-1,0,176820,19.733811,-0.552,0.02061,849.21546115576,4432.27726982777,1262.45210727969,2405.50426754921,4.27759864885613,2.60963180022933,18.5454545454545,-1.2,-1595.37572254335,370.346153846154,0.53671875,0.807324503311258
"FALSE POSITIVE",11923819,"K07496.01",1,88.84,0.7523,4.591,5801,308.22,2.379,18,26370000,83490,-0.4632,1.03,11.39,0.006583,0.239,151.1,2.627,-1.3973,0,153380,19.764283,-0.1266,0.06987,56.1837191934279,5416.5191740413,5415.83107231332,4222.99922299922,3.71197924174715,1.76377682403434,20,1.8,-346.849315068493,-712.340425531915,1.06185410334347,2.80699404761905
"FALSE POSITIVE",11959569,"K07497.01",1,89.86,0.1,3.528,-1,41.55,1.935,5,193600000,189300,-0.6454,14.73,18.78,0,0.2244,0,0,-1,0,9780.3,19.292945,-0.01841,0.01474,-0.1,-12,-3.528,0,-0.2604,-41.55,11.5,0.56,-77.3529411764706,-580.968858131488,1.14263565891473,0.134684131736527
"FALSE POSITIVE",11966557,"K07498.01",1,89.92,0.1,2.281,-1,12.65,0.977,7,284600,130700,-0.181,0.7609,35.23,0,0.1921,0,0,-1,0,788.79,19.56536,0.1445,0.04562,-0.1,-9,-2.281,0,-0.2955,-12.65,22.15,-0.933333333333334,28.1676413255361,38.6713286713287,0.170861423220974,0.325381231671554
"FALSE POSITIVE",11967004,"K07499.01",1,83.66,0.727,1.042,35350,2109.66,1.161,7,82320,822.7,-0.2603,2.465,1.039,17.93,0.01081,0.4211,-3.597,-1,0,8845.5,19.578713,-0.1191,0.002593,866.404480991539,1660.31073446328,136.817226890756,1428.42193386354,3.69677493400666,2.4856668198367,21.9,-0.466666666666667,-102.672413793103,112.647058823529,0.192074074074074,0.335472263868066
"FALSE POSITIVE",11968490,"K07500.01",1,59.62,0.9,1.094,234900,18154.19,1.456,13,469300,8.341,-3.766,0.878,0.2832,257600,0.001379,0.0009383,-447.7,-1,1,171.04,19.623344,0.01149,-0.0002526,295.275590551181,943.534482758621,943.103448275862,1218.76543209877,3.98302604623939,2.46905082486706,19.8571428571429,-1,8.32608695652174,10.4113924050633,-0.133650793650794,0.588080357142857
"FALSE POSITIVE",11970288,"K07501.01",1,51.58,1,20.52,13610,571.65,2.888,5,74050,103.7,-0.08447,0.689,1.628,6.629e-06,0.1645,6.754,1.222,-1,0,0,19.680833,-0.1702,0,234.576589256392,4.72110408280621,4.71941122355106,1.5770673334524,3.30811424248156,2.02182216877697,13.3571428571429,-0.6,-5.69230769230769,-11.6829268292683,0,0.290939947780679
"FALSE POSITIVE",12004679,"K07502.01",1,89.5,0.1,0.8329,-1,562.36,0.854,7,97050000,-15.47,-0.2964,1.365,-0.4479,0,0.000225,0,0,-1,0,965.28,19.095042,-0.1268,-0.00341,-0.1,-2.5,-0.8329,-282900,-0.03386,-562.36,28.0625,-1.06666666666667,-451.245551601423,323.264604810997,-0.0379310344827586,0.0395487256371814
"FALSE POSITIVE",12004680,"K07503.01",1,83.52,0.6846,0.04354,7564,453.94,0.81,7,53390,46.16,-0.3762,0.7756,0.3854,1.183,0.2638,40.98,0.5569,-0.13512,0,70.594,19.095145,0.3601,-0.0009486,0.243890274314215,7.50868329649511,0.124613623354322,6.32262051915946,5.48761367199749,3.50505752451548,32.7142857142857,-0.466666666666667,0.174805825242718,4.96806282722513,-4.83979591836735,8.07019607843137
"FALSE POSITIVE",12013615,"K07505.01",1,89.43,0.1,1.372,-1,1196.65,1.643,7,112800000,21.36,0.1259,0.4686,-0.9876,0,6.576e-05,0,0,-1,0,0,19.463098,0.1054,0.0003915,-0.1,-4.5,-1.372,0,-0.05221,-1196.65,12.3030303030303,-0.0666666666666667,306.395348837209,215.164835164835,0.0241666666666667,0.0103857571214393
"CANDIDATE",12016243,"K07506.01",1,82.94,0.8636,0.3754,2998,112.22,0.999,7,35070,58.78,-0.06759,0.7187,8.853,0.222,0.2862,140.1,1.11,-0.14294,0,5.4595,19.566318,-1.955,0.0002599,1.66204772902233,5.35294117647059,0.258718125430737,9.70096300050684,3.55752816660976,2.3062063296342,20.3181818181818,-0.133333333333333,-1.50384615384615,-0.892763157894737,0.893127147766323,0.907935483870968
"FALSE POSITIVE",12022517,"K07507.01",1,82.28,0.9906,1.715,12380,423.73,0.861,7,522600,19830,-2.281,4.078,1.617,7.249,0.08167,15.97,2.555,-0.25252,0,678.16,19.758368,0.3421,0.006272,24.0378548895899,995.644599303136,995.934959349594,448.37962962963,4.42438158856069,2.85359283453431,25,-1.33333333333333,46.4809782608696,74.4656917885264,0.204967320261438,0.655223880597015
"FALSE POSITIVE",12022718,"K07508.01",1,79.21,0.9807,1.692,9271,276.19,0.874,7,139200,30.5,-0.0953,0.6992,2.563,149.3,0.004628,0.5658,-1.342,-0.10216,0,12.033,19.762913,0.4206,0.0002118,54.4530816213215,134.112519809826,134.072900158479,240.276976341604,3.88864786695589,2.49968322925152,21.6190476190476,-0.533333333333333,10.4626865671642,8.40509259259259,0.666037735849057,1.66756373937677
"CANDIDATE",12067960,"K07510.01",1,83.04,0.9002,0.1791,5199,186.68,0.853,7,68140,29.47,-0.1264,0.7432,1.269,1.144,0.3493,38.55,0.6485,-0.11184,0,8.178,19.649425,3.979,6.863e-05,1.25954946131244,2.46090909090909,0.134257871064468,8.50991501416431,5.13886536833192,3.20811135934009,28.4375,-0.333333333333333,2.47142857142857,-0.184514285714286,0.260950570342205,1.60260770975057
"FALSE POSITIVE",12071006,"K07511.01",1,88.75,0.1,1.792,-1,3253.35,2.692,18,988100,49130,-15.64,25.62,3.453,0,0.05205,0,0,-1,0,0,19.740335,0.03974,0,-0.1,-12,-1.792,-33820,-0.08156,-3253.35,24.1875,0.4,129.025974025974,-289.226519337016,0,0.248398203592814
"FALSE POSITIVE",12105785,"K07512.01",1,87.38,0.9645,4.07,3325,131.75,2.734,5,118300,1321,-0.1257,0.82,14.64,1.227,0.01428,10.41,1.781,-0.07008,0,6371,19.232501,0.2468,0.005178,134.932848349189,837.017994858612,836.931935019535,1360.55469953775,3.03868174835917,1.93096878206068,12.7241379310345,-0.4,38.622848200313,10.3373493975904,5.98612716763006,9.05372023809524
"FALSE POSITIVE",12157983,"K07514.01",1,68.79,0.6744,0.02786,47090,3638.71,0.816,7,112100,14.56,-0.04799,1.264,0.2966,8.84,0.2276,3.236,1.102,-0.47948,0,430.55,19.377358,1.955,0.000545,0.834860113889577,28.7154756685664,0.453450520833333,14.4196088392177,4.68738835298321,3.05576223787969,26.8823529411765,-0.8,2.95317220543807,-12.9585561497326,12.8235294117647,122.38423028786
"FALSE POSITIVE",12164751,"K07515.01",1,88.34,0.1,1.599,-1,1372.38,1.108,7,2056000,262.8,1.159,3.908,1.512,0,0.0008068,0,0,-1,0,0,19.625827,-0.01335,0,-0.1,-7.5,-1.599,0,-0.0357,-1372.38,21.45,-2.53333333333333,-33.7121212121212,99.7584541062802,0,0.232578710644678
"FALSE POSITIVE",12217907,"K07516.01",1,89.24,0.3999,5.242,4892,17.19,0.932,7,5484000,36510,-0.5718,1.189,13.97,0.1392,0.05447,634.2,2.4,-0.1015,0,7880,19.751425,0.4701,0.0294,860,6151.32924335378,1602.56802201162,6225.02305564095,3.55571847507331,2.26184210526316,19.6086956521739,-0.466666666666667,465.445544554455,390.176991150443,0.788203753351206,0.227230538922156
