"koi_disposition","kepid","kepoi_name","tce_chisq1","tce_steff_prov","boot_fap","tce_fwm_pdeco"
"CANDIDATE",9425139,"K01411.01",99.76,23,0,-0.0004089
"CANDIDATE",8950853,"K01412.01",216.9,23,1.5657e-308,-0.0001782
"CANDIDATE",9006449,"K01413.01",770.1,5,1.5374e-106,0.0001717
"CANDIDATE",9006449,"K01413.02",418.5,5,6.3629e-58,-0.0001315
"CANDIDATE",9006449,"K01413.03",176.8,5,1.0672e-35,-8.071e-05
"FALSE POSITIVE",8916492,"K01414.01",2577,13,1.1307e-205,-0.0002587
"CANDIDATE",11517719,"K01416.01",25740,5,-1,0.001166
"FALSE POSITIVE",11599264,"K01417.01",806,8,0,-0.005211
"FALSE POSITIVE",11100657,"K01418.01",665.7,8,0,-0.01464
"FALSE POSITIVE",11125936,"K01419.01",6161,5,0,-0.001059
"CANDIDATE",11026304,"K01420.01",464.9,8,0,-0.002646
"CANDIDATE",11497958,"K01422.01",1032,41,1.6031e-231,0.0001286
"CANDIDATE",11497958,"K01422.02",276.3,41,2.1872e-132,0.0005738
"CANDIDATE",11497958,"K01422.03",560.8,41,1.1295e-33,-0.0007481
"CANDIDATE",11497958,"K01422.04",144.3,41,1.679e-25,-0.0001048
"CANDIDATE",11497958,"K01422.05",74.38,41,2.4376e-19,-0.0005012
"CANDIDATE",11177707,"K01423.01",65.99,26,0,-0.0001142
"CANDIDATE",11611600,"K01424.01",6742,5,0,-8.188e-05
"CANDIDATE",11254382,"K01425.01",3833,26,0,0.0002722
"CANDIDATE",11122894,"K01426.01",907.2,15,0,0.0004408
"CANDIDATE",11122894,"K01426.02",633.4,15,0,-0.0002943
"CANDIDATE",11122894,"K01426.03",396.4,15,0,4.091e-05
"CANDIDATE",11129738,"K01427.01",2366,41,3.078e-155,0.0001213
"CANDIDATE",11129738,"K01427.02",1132,41,8.656e-17,-0.0006159
"CANDIDATE",11401182,"K01428.01",9007,26,0,0.0001188
"CANDIDATE",11030711,"K01429.01",45.23,26,8.17389999999999e-296,-0.0005006
"CANDIDATE",11176127,"K01430.01",769.8,15,9.91139999999999e-224,-4.565e-05
"CANDIDATE",11176127,"K01430.02",85.87,15,6.9327e-99,0.000718
"CANDIDATE",11176127,"K01430.03",325.3,15,1.3766e-62,-4.143e-05
"CANDIDATE",11075279,"K01431.01",462,23,0,6.251e-05
"CANDIDATE",11014932,"K01432.01",1100,15,1.3425e-177,-0.0001757
"CANDIDATE",11014932,"K01432.02",508,15,2.5315e-47,0.0003431
"CANDIDATE",11014932,"K01432.03",2498,15,2.5779e-46,8.669e-05
"CANDIDATE",11014932,"K01432.04",139,15,2.6803e-28,-0.000317
"CANDIDATE",11288505,"K01433.01",338.2,5,1.383e-84,-0.0006531
"CANDIDATE",11493431,"K01434.01",2879,26,2.0744e-70,0.0005602
"CANDIDATE",11037335,"K01435.01",221.9,5,0,-0.0001196
"CANDIDATE",11037335,"K01435.02",755.8,5,3.1097e-169,-0.0002048
"CANDIDATE",11389771,"K01436.01",2533,5,4.1722e-98,9.709e-05
"CANDIDATE",11389771,"K01436.02",461.9,5,6.3976e-84,-0.0003092
"CANDIDATE",11389771,"K01436.03",888.8,5,4.9668e-47,-9.139e-05
"CANDIDATE",11599038,"K01437.01",838.2,5,5.2651e-35,0.0002584
"FALSE POSITIVE",11599038,"K01437.02",642.4,5,3.3699e-14,-0.000561
"FALSE POSITIVE",11599038,"K01437.03",317,5,1.5865e-12,0.000201
"CANDIDATE",11193263,"K01438.01",1064,23,1.68e-232,6.053e-05
"CANDIDATE",11027624,"K01439.01",3312,23,0,4.637e-05
"CANDIDATE",11032227,"K01440.01",1011,5,5.0858e-65,-0.000303
"CANDIDATE",11356260,"K01441.01",913,5,3.5043e-76,0.0003239
"CANDIDATE",11600889,"K01442.01",9200,20,1.2242e-88,-8.307e-07
"FALSE POSITIVE",11197126,"K01443.01",1844,5,6.0043e-168,-0.0002601
"CANDIDATE",11043167,"K01444.01",152.5,23,3.8471e-137,-1.418e-05
"CANDIDATE",11336883,"K01445.01",921.1,23,1.2271e-158,-3.727e-05
"FALSE POSITIVE",12506351,"K01446.01",864600,5,0,-0.0006095
"FALSE POSITIVE",7622486,"K01447.01",292500,13,-1,-0.001924
"FALSE POSITIVE",7622486,"K01447.02",8983,13,-1,0.000115
"CANDIDATE",9705459,"K01448.01",174400,5,0,0.002256
"FALSE POSITIVE",7802136,"K01449.01",191700,5,0,0.01687
"CANDIDATE",7532973,"K01450.01",49280,5,-1,-0.0005687
"FALSE POSITIVE",9632895,"K01451.01",278400,5,0,-0.001182
"FALSE POSITIVE",7449844,"K01452.01",17870,26,0,-0.0001907
"FALSE POSITIVE",7842610,"K01453.01",27010,5,0,-0.01825
"FALSE POSITIVE",7830637,"K01454.01",51050,5,0,0.003667
"FALSE POSITIVE",4760746,"K01455.01",1472,8,0,-0.004042
"CANDIDATE",7832356,"K01456.01",1092,8,0,0.001287
"CANDIDATE",9643874,"K01457.01",2724,8,0,-0.006047
"CANDIDATE",12120943,"K01458.01",1283,8,0,-0.004107
"FALSE POSITIVE",9761199,"K01459.01",7861,41,2.7414e-135,-0.0008825
"FALSE POSITIVE",7751571,"K01460.01",983.3,8,0,-0.03221
"FALSE POSITIVE",9579499,"K01461.01",1655,5,0,-0.002015
"FALSE POSITIVE",11913013,"K01462.01",1459,14,2.0305e-245,-0.0109
"FALSE POSITIVE",7672940,"K01463.01",9378,13,0,0.0001085
"FALSE POSITIVE",7838655,"K01464.01",5116,8,0,-0.01585
"FALSE POSITIVE",11702948,"K01465.01",1164,5,0,0.000469
"CANDIDATE",9512981,"K01466.01",616,26,0,-0.001591
"FALSE POSITIVE",7770450,"K01467.01",5359,8,2.2917e-169,0.002518
"FALSE POSITIVE",9851226,"K01468.01",848.4,5,0,-0.0002673
"FALSE POSITIVE",7543649,"K01469.01",2432,8,0,0.01933
"CANDIDATE",9480310,"K01470.01",352,8,0,0.002651
"FALSE POSITIVE",11858748,"K01471.01",4602,5,1.8466e-286,-0.002632
"CANDIDATE",7761545,"K01472.01",235,26,0,-7.477e-05
"CANDIDATE",7499398,"K01473.01",282.2,8,0,-0.003931
"CANDIDATE",12365184,"K01474.01",2922,60,0,-7.4e-05
"CANDIDATE",4770365,"K01475.01",4146,46,5.2626e-178,0.0001895
"CANDIDATE",4770365,"K01475.02",530.9,46,2.6749e-122,0.0004277
"CANDIDATE",4770365,"K01475.03",1276,46,2.1337e-27,0.0003412
"CANDIDATE",12406749,"K01476.01",141.3,5,2.9071e-293,0.000189
"CANDIDATE",7811397,"K01477.01",532.3,26,0,0.002091
"CANDIDATE",12403119,"K01478.01",311.7,23,0,-0.0003904
"FALSE POSITIVE",9842890,"K01479.01",1015,8,2.6516e-235,0.002179
"CANDIDATE",7512982,"K01480.01",397.1,26,6.24899999999999e-293,0.0002162
"CANDIDATE",7512982,"K01480.02",1060,26,5.3603e-16,-0.0005887
"CANDIDATE",9597806,"K01481.01",1197,8,0,0.0003148
"FALSE POSITIVE",7812167,"K01482.01",378.9,8,1.8043e-204,0.02985
"FALSE POSITIVE",11909686,"K01483.01",453.1,26,0,-0.0006783
"FALSE POSITIVE",11760959,"K01484.01",1941,8,6.23139999999999e-288,-2.041e-05
"FALSE POSITIVE",9692345,"K01485.01",11580,5,5.1775e-122,0.001292
"CANDIDATE",7898352,"K01486.01",219.7,15,0,-0.001036
"CANDIDATE",7898352,"K01486.02",269.1,15,1.5668e-176,-0.0003309
"FALSE POSITIVE",12062667,"K01487.01",3184,5,4.31319999999999e-291,0.007167
"CANDIDATE",9589323,"K01488.01",1862,5,1.9604e-296,-0.0001655
"CANDIDATE",9823487,"K01489.01",446.7,5,1.5468e-157,-4.312e-05
"FALSE POSITIVE",9602514,"K01490.01",1820,5,1.8222e-140,0.0003626
"CANDIDATE",9726659,"K01491.01",1473,8,9.73609999999999e-162,0.0007929
"FALSE POSITIVE",12108312,"K01492.01",14530,5,1.3872e-24,-0.0004129
"FALSE POSITIVE",9842906,"K01493.01",1112,8,3.3059e-174,0.0006604
"CANDIDATE",11821363,"K01494.01",392.9,8,4.4641e-67,0.0002409
"CANDIDATE",7629518,"K01495.01",533.3,5,0,-4.513e-05
"FALSE POSITIVE",4828341,"K01496.01",184.7,8,0,0.0001167
"FALSE POSITIVE",11774387,"K01497.01",15490,5,3.4452e-32,0.000685
"CANDIDATE",9636135,"K01498.01",1279,5,9.13509999999999e-194,0.0005191
"CANDIDATE",9636135,"K01498.02",2867,5,1.4167e-40,-5.128e-05
"CANDIDATE",7841925,"K01499.01",557,5,0,0.0002512
"CANDIDATE",7841925,"K01499.02",1224,5,3.9336e-28,0.0004131
"CANDIDATE",7841925,"K01499.03",8512,5,6.0197e-19,-1.393e-05
"FALSE POSITIVE",9719634,"K01500.01",2300,5,6.71229999999999e-232,0.02466
"CANDIDATE",7439316,"K01501.01",3162,5,1.0554e-120,-0.0003382
"FALSE POSITIVE",12061238,"K01502.01",4503,5,6.78489999999999e-213,-0.0005686
"CANDIDATE",12400538,"K01503.01",65.47,31,0,-0.0002135
"FALSE POSITIVE",9641018,"K01504.01",4095,5,0,0.0003498
"CANDIDATE",9813499,"K01505.01",1532,5,1.079e-119,0.0008402
"CANDIDATE",12254792,"K01506.01",224.6,5,1.1837e-208,1.829e-05
"CANDIDATE",12020218,"K01507.01",303.1,5,1.7453e-162,0.0001577
"CANDIDATE",7690844,"K01508.01",327.7,5,8.65289999999999e-146,-0.0007564
"FALSE POSITIVE",9535080,"K01509.01",1771,5,0,1.11e-05
"CANDIDATE",11870545,"K01510.01",9035,5,4.0964e-159,0.0007571
"CANDIDATE",7901948,"K01511.01",3234,5,1.7774e-229,1.604e-05
"FALSE POSITIVE",11955499,"K01512.01",695.7,5,2.4874e-194,-0.000799
"FALSE POSITIVE",9784222,"K01513.01",8029,5,1.6931e-35,0
"FALSE POSITIVE",9520668,"K01514.01",5702,5,2.9596e-70,0.004139
"CANDIDATE",7871954,"K01515.01",3962,46,1.6881e-257,-0.0001122
"CANDIDATE",7871954,"K01515.02",963.2,46,2.9514e-89,-0.0003936
"CANDIDATE",12418724,"K01516.01",413.6,5,3.7609e-242,9.214e-05
"CANDIDATE",7456001,"K01517.01",213,5,0,-0.0004691
"CANDIDATE",7549209,"K01518.01",307.6,5,2.9903e-162,0.0003235
"CANDIDATE",7663405,"K01519.01",1551,26,7.583e-63,-0.0002114
"CANDIDATE",7663405,"K01519.02",122.6,26,5.641e-17,-0.0002278
"CANDIDATE",9765975,"K01520.01",442.3,26,1.002e-263,-3.571e-05
"CANDIDATE",9818462,"K01521.01",305.6,26,1.0682e-130,0.0001614
"CANDIDATE",12266636,"K01522.01",229.1,5,2.213e-209,3.513e-05
"CANDIDATE",12266636,"K01522.02",623.4,5,8.2574e-18,0.0001166
"FALSE POSITIVE",9850893,"K01523.01",677.6,5,1.2228e-76,0.0002872
"FALSE POSITIVE",4826110,"K01524.01",5887,5,9.7119e-18,0.001387
"CANDIDATE",7869917,"K01525.01",1151,5,5.4385e-190,2.587e-06
"CANDIDATE",7869917,"K01525.02",573.8,5,1.0075e-29,-7.947e-07
"CANDIDATE",9824805,"K01526.01",1680,5,1.0498e-59,-5.255e-05
"CANDIDATE",7768451,"K01527.01",43.93,31,1.2576e-134,0.0007147
"CANDIDATE",7691260,"K01528.01",1970,5,1.233e-104,0.0001096
"CANDIDATE",9821454,"K01529.01",420.5,5,5.5949e-92,6.063e-05
"CANDIDATE",9821454,"K01529.02",656,5,5.5492e-36,4.077e-05
"CANDIDATE",11954842,"K01530.01",407.4,23,1.7625e-242,-0.0001113
"CANDIDATE",11764462,"K01531.01",1423,23,1.6932e-186,-2.789e-05
"CANDIDATE",11656246,"K01532.01",392.6,23,0,-5.718e-05
"CANDIDATE",7808587,"K01533.01",1310,26,1.3484e-152,-1.323e-05
"CANDIDATE",4741126,"K01534.01",419.9,23,5.6941e-149,-2.675e-05
"CANDIDATE",4741126,"K01534.02",942.7,23,1.6318e-40,-5.545e-05
"CANDIDATE",11669125,"K01535.01",169.7,23,1.7173e-191,-0.0001554
"CANDIDATE",12159249,"K01536.01",2089,23,5.582e-87,3.93e-06
"CANDIDATE",9872292,"K01537.01",762.1,0,2.7086e-77,-2.003e-05
"FALSE POSITIVE",9963461,"K01538.01",1153000,13,0,0
"CANDIDATE",8081482,"K01539.01",232900,5,-1,-0.002047
"FALSE POSITIVE",5649956,"K01540.01",285800,5,0,0.001653
"CANDIDATE",4840513,"K01541.01",66370,5,0,-0.009686
"FALSE POSITIVE",8113154,"K01542.01",8997,5,-1,-0.0006264
"FALSE POSITIVE",5270698,"K01543.01",44500,18,0,-0.000252
"FALSE POSITIVE",5024450,"K01544.01",95500,8,0,-0.0003788
"CANDIDATE",5282049,"K01545.01",1939,8,0,0.0281
"FALSE POSITIVE",5282049,"K01545.02",850.6,8,3.6856e-29,0.0007096
"CANDIDATE",5475431,"K01546.01",18210,5,2.6489e-158,-0.0007506
"CANDIDATE",5283458,"K01547.01",481.2,8,0,0.003895
"FALSE POSITIVE",9940565,"K01548.01",40280,5,0,0.002241
"FALSE POSITIVE",8053552,"K01549.01",2172,5,0,-0.0006291
"FALSE POSITIVE",8111381,"K01550.01",8580,5,0,-0.004452
"FALSE POSITIVE",5444549,"K01551.01",2076,8,0,-0.0138
"CANDIDATE",7984047,"K01552.01",227.4,8,0,0.02055
"CANDIDATE",7951018,"K01553.01",202.4,5,0,-0.0001458
"FALSE POSITIVE",9899355,"K01554.01",5898,8,2.5658e-55,-0.0006089
"FALSE POSITIVE",12644774,"K01555.01",434.8,8,0,0.04454
"FALSE POSITIVE",9902856,"K01556.01",728.5,5,0,-0.0329
"CANDIDATE",5371776,"K01557.01",2038,15,0,0.0003913
"CANDIDATE",5371776,"K01557.02",562.2,15,0,0.0002281
"CANDIDATE",5371776,"K01557.03",967.3,15,8.06509999999999e-242,0.0007872
"CANDIDATE",5371776,"K01557.04",3370,15,2.3115e-90,-8.78e-06
"FALSE POSITIVE",10019763,"K01558.01",870,8,0,0.002887
"FALSE POSITIVE",9899280,"K01559.01",5723,5,1.0901e-117,0.000442
"FALSE POSITIVE",8046659,"K01560.01",420.6,5,0,-0.003626
"FALSE POSITIVE",4940438,"K01561.01",794.2,5,0,0.0006126
"FALSE POSITIVE",5308663,"K01562.01",8950,8,2.3462e-52,-0.001665
"CANDIDATE",5308663,"K01562.02",243.9,8,2.5753e-16,0.0004604
"CANDIDATE",5219234,"K01563.01",1294,15,0,0.0001861
"CANDIDATE",5219234,"K01563.02",751.3,15,2.1239e-157,-6.211e-05
"CANDIDATE",5219234,"K01563.03",1824,15,1.0297e-54,7.468e-05
"CANDIDATE",5219234,"K01563.04",251.5,15,4.992e-43,0.0002651
"CANDIDATE",5184584,"K01564.01",133.6,5,0,0.0004572
"FALSE POSITIVE",5636648,"K01565.01",8541,5,3.2449e-19,-0.0009512
"FALSE POSITIVE",5564247,"K01566.01",3715,8,1.9416e-37,0.003523
"CANDIDATE",5438099,"K01567.01",857.4,15,0,0.0004284
"CANDIDATE",5438099,"K01567.02",412.2,15,1.0209e-159,0.0008163
"CANDIDATE",5438099,"K01567.03",1339,15,1.3271e-105,0.0003116
"CANDIDATE",5438099,"K01567.04",92.54,15,5.5664e-109,0.0007981
"FALSE POSITIVE",5210475,"K01568.01",6860,8,1.8664e-145,-0.001056
"CANDIDATE",8009350,"K01569.01",567.6,5,9.57409999999999e-212,0.0001475
"CANDIDATE",8082001,"K01570.01",892.4,8,0,2.445e-05
"FALSE POSITIVE",5557821,"K01571.01",2415,8,6.18359999999999e-222,0.0003159
"CANDIDATE",10004519,"K01572.01",713.8,8,0,-0.0003445
"CANDIDATE",5031857,"K01573.01",814.2,5,0,-0.0002748
"CANDIDATE",5031857,"K01573.02",1018,5,4.2689e-41,-9.704e-05
"CANDIDATE",10028792,"K01574.01",316.3,61,0,1.84e-05
"CANDIDATE",10028792,"K01574.02",86.08,61,4.0391e-167,-0.0003366
"CANDIDATE",10028792,"K01574.03",1091,61,4.7357e-20,-7.952e-05
"CANDIDATE",10028792,"K01574.04",574.9,61,1.7116e-13,0.0001912
"FALSE POSITIVE",5553652,"K01575.01",331.3,5,6.8284e-128,-0.004611
"CANDIDATE",5299459,"K01576.01",783.3,15,0,-0.0001426
"CANDIDATE",5299459,"K01576.02",625.8,15,0,5.014e-05
"CANDIDATE",12506770,"K01577.01",2788,46,1.6312e-69,0.0004375
"FALSE POSITIVE",5629985,"K01578.01",3251,5,2.1572e-81,-0.009691
"FALSE POSITIVE",9898364,"K01579.01",1250,8,0,0.001513
"FALSE POSITIVE",5193400,"K01580.01",321.4,5,3.7338e-103,-0.002455
"CANDIDATE",7939330,"K01581.01",359.1,5,6.3173e-208,0.0006462
"CANDIDATE",7939330,"K01581.02",68.43,5,3.2426e-93,6.806e-05
"CANDIDATE",4918309,"K01582.01",298.6,26,0,0.001701
"CANDIDATE",12602568,"K01583.01",999.6,5,7.79509999999999e-207,-0.000135
"CANDIDATE",9941066,"K01584.01",1265,46,9.54889999999999e-83,-0.0004407
"CANDIDATE",5470739,"K01585.01",420.3,5,2.0537e-169,-7.682e-05
"CANDIDATE",10022908,"K01586.01",967.5,5,4.3816e-185,-0.0001581
"FALSE POSITIVE",9932970,"K01587.01",187.3,5,0,0.002741
"CANDIDATE",5617854,"K01588.01",2095,46,0,-0.0001688
"CANDIDATE",5301750,"K01589.01",785.1,15,1.2927e-157,0.0001735
"CANDIDATE",5301750,"K01589.02",621.9,15,2.7922e-123,0.0003569
"CANDIDATE",5301750,"K01589.03",227.5,15,3.0427e-66,-6.42e-05
"CANDIDATE",5301750,"K01589.04",1454,15,1.4528e-39,9.72e-05
"CANDIDATE",5301750,"K01589.05",149.4,15,2.1179e-39,8.658e-06
"CANDIDATE",5542466,"K01590.01",447.6,26,1.2281e-75,5.506e-05
"CANDIDATE",5542466,"K01590.02",2440,26,8.2897e-41,0.0001219
"CANDIDATE",5542466,"K01590.03",994.5,26,6.6499e-22,0.0001778
"CANDIDATE",10028140,"K01591.01",312.2,5,7.0372e-89,0
"FALSE POSITIVE",5217586,"K01592.01",414.7,5,0,0.002298
"CANDIDATE",5289854,"K01593.01",615.3,5,1.0875e-60,-0.0005057
"CANDIDATE",5289854,"K01593.02",412.3,5,3.3197e-54,-0.0001777
"FALSE POSITIVE",9895709,"K01594.01",4804,5,8.39789999999999e-228,0.0006741
"CANDIDATE",10006581,"K01595.01",186.4,26,1.2748e-254,0
"CANDIDATE",10027323,"K01596.01",1031,29,4.1873e-116,-0.0001647
"CANDIDATE",10027323,"K01596.02",76.38,29,5.9175e-43,0.0002855
"CANDIDATE",5039228,"K01597.01",1007,2,0,-0.0001829
"CANDIDATE",10004738,"K01598.01",150.5,26,0,0.0001075
"CANDIDATE",10004738,"K01598.02",94.42,26,4.5443e-173,-0.0002597
"CANDIDATE",10004738,"K01598.03",552.4,26,3.209e-35,0.0001214
"CANDIDATE",5474613,"K01599.01",433.8,5,1.2142e-81,6.952e-05
"CANDIDATE",5474613,"K01599.02",595.9,5,2.983e-88,-0.0001748
"FALSE POSITIVE",4860932,"K01600.01",573,5,4.4966e-76,-0.00384
"CANDIDATE",5438757,"K01601.01",806.4,26,1.48e-195,4.91e-05
"CANDIDATE",5438757,"K01601.02",121.7,26,2.4805e-115,-0.0003436
"CANDIDATE",4860678,"K01602.01",771.5,26,5.6906e-75,-0.0001126
"CANDIDATE",4860678,"K01602.02",2395,26,7.6105e-27,-0.0001102
"CANDIDATE",5177104,"K01603.01",2550,5,6.5499e-160,0
"FALSE POSITIVE",10033279,"K01604.01",112.4,5,0,0.001864
"FALSE POSITIVE",5009189,"K01605.01",1412,5,7.9687e-69,0.0001478
"CANDIDATE",9886661,"K01606.01",1504,23,2.2569e-240,-0.0001284
"FALSE POSITIVE",5477805,"K01607.01",1487,5,2.072e-133,-0.0006057
"CANDIDATE",10055126,"K01608.01",1030,15,4.6826e-178,-0.0001283
"CANDIDATE",10055126,"K01608.02",371.3,15,2.4827e-52,-0.0002354
"CANDIDATE",10055126,"K01608.03",71.22,15,1.5172e-31,0.0001455
"CANDIDATE",5009743,"K01609.01",177.7,23,8.28479999999999e-264,-6.143e-05
"FALSE POSITIVE",5474733,"K01610.01",10330,5,1.1948e-117,-0.0002506
"FALSE POSITIVE",12644769,"K01611.01",8060000,62,-1,0
"CANDIDATE",10963065,"K01612.01",2450,0,1.0827e-92,-1.647e-05
"CANDIDATE",6268648,"K01613.01",454.9,0,2.434e-99,1.335e-05
"CANDIDATE",6268648,"K01613.02",73.08,0,5.0314e-17,7.35e-05
"CANDIDATE",6268648,"K01613.03",43.26,0,3.2071e-17,-9.64e-05
"FALSE POSITIVE",10514429,"K01614.01",367,4,3.8345e-140,-9.962e-05
"CANDIDATE",4278221,"K01615.01",3482,23,0,2.484e-05
"CANDIDATE",9015738,"K01616.01",254.3,23,7.7371e-90,5.803e-05
"CANDIDATE",7215603,"K01618.01",3118,0,2.4299e-67,-1.797e-05
"CANDIDATE",4276716,"K01619.01",298.8,23,4.0136e-42,0.0001317
"FALSE POSITIVE",6468337,"K01620.01",7085,13,9.25599999999999e-241,-0.0001757
"CANDIDATE",5561278,"K01621.01",342.9,0,5.4983e-223,8.808e-06
"CANDIDATE",7287683,"K01622.01",141.5,8,1.5352e-153,0.0002429
"FALSE POSITIVE",11392618,"K01623.01",329.6,23,1.1434e-240,-9.744e-05
"FALSE POSITIVE",6233890,"K01624.01",2579,5,4.397e-237,0
"FALSE POSITIVE",6312314,"K01625.01",6948,5,1.3979e-98,0.000352
"CANDIDATE",6387542,"K01626.01",2778,8,1.1208e-304,-0.0002546
"CANDIDATE",6543893,"K01627.01",650.8,26,1.4868e-136,0.0001334
"CANDIDATE",6543893,"K01627.02",1046,26,2.4138e-35,1.585e-05
"CANDIDATE",6543893,"K01627.03",1657,26,7.2656e-18,-0.0001522
"CANDIDATE",6975129,"K01628.01",343.3,23,4.7034e-292,-4.433e-05
"CANDIDATE",6975129,"K01628.02",3580,23,6.9202e-96,5.318e-06
"FALSE POSITIVE",6975129,"K01628.03",196.5,23,2.3795e-19,-6.083e-05
"CANDIDATE",8685497,"K01629.01",1884,23,1.0979e-119,-3.909e-06
"CANDIDATE",9017682,"K01630.01",675.5,5,1.0457e-62,-0.0001674
"FALSE POSITIVE",9084778,"K01631.01",18890,5,0,0.001085
"CANDIDATE",9277896,"K01632.01",1694,23,5.0905e-120,1.549e-05
"CANDIDATE",9401997,"K01633.01",225.1,26,7.145e-43,-0.0002734
"FALSE POSITIVE",10487119,"K01635.01",134600,5,0,0.007078
"FALSE POSITIVE",10621666,"K01636.01",2322,5,2.8147e-80,-0.0001627
"CANDIDATE",10686864,"K01637.01",2022,8,8.7748e-85,0.0002598
"FALSE POSITIVE",10747439,"K01638.01",1406,5,0,-0.01945
"CANDIDATE",10879038,"K01641.01",1256,26,2.2857e-38,0.0001872
"FALSE POSITIVE",10879656,"K01642.01",8528,5,1.3999e-44,-0.0003911
"CANDIDATE",10990917,"K01643.01",585.5,5,3.9004e-104,-0.0002779
"FALSE POSITIVE",11043136,"K01644.01",1039,8,0,0.001837
"FALSE POSITIVE",11045383,"K01645.01",404,5,0,0.001798
"CANDIDATE",11046025,"K01646.01",1516,5,2.1966e-42,-8.575e-05
"CANDIDATE",11153121,"K01647.01",476.3,15,1.211e-116,-0.0004071
"CANDIDATE",11153121,"K01647.02",169.7,15,2.8122e-29,-0.0007204
"CANDIDATE",11177543,"K01648.01",164.7,26,1.1391e-37,-9.805e-05
"CANDIDATE",11337141,"K01649.01",1548,41,6.288e-68,0.0003716
"CANDIDATE",11337372,"K01650.01",780.4,26,5.30829999999999e-232,0.0002146
"CANDIDATE",11337372,"K01650.02",64.5,26,1.4446e-204,-0.001046
"CANDIDATE",11337833,"K01651.01",128.5,5,3.4525e-60,0.0001127
"FALSE POSITIVE",11391667,"K01652.01",1021000,5,-1,-0.0002131
"FALSE POSITIVE",11392017,"K01653.01",2707,5,1.0436e-41,0.01328
"FALSE POSITIVE",11546211,"K01654.01",50240,53,0,-0.001642
"CANDIDATE",11547505,"K01655.01",6952,26,0,5.39e-05
"CANDIDATE",4471747,"K01656.01",81.67,26,1.7159e-36,-6.556e-05
"FALSE POSITIVE",4474645,"K01657.01",18760,5,-1,-0.05185
"CANDIDATE",4570949,"K01658.01",31850,63,-1,-0.004236
"CANDIDATE",4650733,"K01659.01",274.2,5,4.7859e-54,0.0003741
"CANDIDATE",4830605,"K01660.01",196.8,5,4.6396e-47,0.0003269
"FALSE POSITIVE",4832197,"K01661.01",354900,5,0,0
"FALSE POSITIVE",4844004,"K01662.01",3756,5,1.6584e-95,0.0004896
"FALSE POSITIVE",4927315,"K01663.01",555.8,5,2.9859e-119,0.001416
"FALSE POSITIVE",4928119,"K01664.01",4198,8,0,-0.007179
"CANDIDATE",4932442,"K01665.01",1030,31,3.1038e-66,8.794e-05
"FALSE POSITIVE",5008501,"K01666.01",8119,5,1.0106e-66,0.0002249
"FALSE POSITIVE",5015913,"K01667.01",7519,18,0,0.0001168
"FALSE POSITIVE",5103942,"K01668.01",633.2,5,8.5657e-133,0.0005387
"CANDIDATE",5183357,"K01669.01",153.7,26,5.8395e-186,0.0001494
"FALSE POSITIVE",5184709,"K01670.01",682,5,5.269e-75,-0.0002325
"CANDIDATE",5195172,"K01671.01",4311,4,4.7208e-74,6.214e-05
"CANDIDATE",5269467,"K01672.01",200.2,5,4.8962e-88,-0.000816
"FALSE POSITIVE",5271608,"K01673.01",2642,8,4.011e-53,-0.002062
"FALSE POSITIVE",5357470,"K01674.01",3164,5,1.7443e-158,-0.0001653
"CANDIDATE",5360920,"K01675.01",498.6,5,7.6507e-85,6.756e-05
"FALSE POSITIVE",5443775,"K01676.01",2408,18,0,-0.0008142
"CANDIDATE",5526717,"K01677.01",119.5,26,1.2532e-107,0.000857
"FALSE POSITIVE",5527172,"K01678.01",283300,18,-1,7.002e-05
"FALSE POSITIVE",5529643,"K01679.01",11470,5,8.8177e-74,0.0005067
"FALSE POSITIVE",5530882,"K01680.01",1617,5,1.2818e-47,-0.0009003
"CANDIDATE",5531953,"K01681.01",1264,41,1.3797e-68,-0.0008096
"FALSE POSITIVE",5531953,"K01681.02",3654,41,1.8092e-120,-0.0006523
"CANDIDATE",5531953,"K01681.03",311.2,41,1.6717e-14,0.000321
"CANDIDATE",5531953,"K01681.04",1674,41,7.1442e-66,-0.0004189
"CANDIDATE",6034945,"K01683.01",800.7,5,7.649e-117,-7.184e-05
"FALSE POSITIVE",6048024,"K01684.01",272.8,23,0,-0.0004361
"CANDIDATE",6049190,"K01685.01",126.9,5,6.08269999999999e-292,0.0003591
"CANDIDATE",6198999,"K01687.01",1998,5,9.09289999999999e-145,-6.209e-05
"CANDIDATE",6310636,"K01688.01",8750,26,6.6951e-89,7.463e-05
"FALSE POSITIVE",6312534,"K01689.01",10510,5,0,-0.03613
"FALSE POSITIVE",6470917,"K01690.01",5644,5,1.2135e-54,0.0003355
"FALSE POSITIVE",6611330,"K01691.01",361.7,8,0,0.002691
"CANDIDATE",6616218,"K01692.01",662.5,23,0,3.463e-05
"CANDIDATE",6616218,"K01692.02",1435,23,2.3864e-65,-5.718e-05
"CANDIDATE",6696462,"K01693.01",2149,5,0,0.0002571
"CANDIDATE",6699368,"K01694.01",1946,5,4.1992e-261,0.0001387
"CANDIDATE",6803855,"K01695.01",98.48,5,1.2539e-35,0.0003382
"FALSE POSITIVE",6891366,"K01696.01",4263,5,1.173e-165,-0.0002418
"FALSE POSITIVE",6891637,"K01697.01",4137,5,3.561e-114,9.068e-05
"FALSE POSITIVE",6975615,"K01698.01",3950,5,1.5705e-99,-0.01729
