"koi_disposition","kepid","kepoi_name","tce_chisq1","tce_steff_prov","boot_fap","tce_fwm_pdeco"
"CANDIDATE",10546063,"K07339.01",539.6,5,6.4371e-15,-0.0009168
"FALSE POSITIVE",10547685,"K07340.01",1677000,18,-1,0
"FALSE POSITIVE",10549576,"K07341.01",1157000,8,0,-0.02461
"FALSE POSITIVE",10552700,"K07342.01",7179,5,-1,0
"FALSE POSITIVE",10556578,"K07343.01",13710,5,-1,-0.0005814
"FALSE POSITIVE",10583181,"K07344.01",50620000,5,-1,0.01443
"CANDIDATE",10586619,"K07345.01",19.44,26,3.5851e-19,0.001162
"FALSE POSITIVE",10592163,"K07346.01",593000,5,0,0.0001924
"FALSE POSITIVE",10601538,"K07348.01",5007,5,1.9875e-24,0.0002851
"FALSE POSITIVE",10601579,"K07349.01",9224000,13,-1,-0.0007718
"FALSE POSITIVE",10613718,"K07350.01",147800,5,0,9.612e-06
"FALSE POSITIVE",10619109,"K07351.01",10750000,5,-1,-0.09291
"FALSE POSITIVE",10646620,"K07352.01",3492,5,1.3841e-10,3.879e-05
"FALSE POSITIVE",10649230,"K07353.01",9660,13,9.972e-31,0.003374
"CANDIDATE",10659624,"K07354.01",183.4,26,3.0858e-14,-0.0001839
"FALSE POSITIVE",10661913,"K07355.01",5429,5,2.4635e-38,1.489e-05
"FALSE POSITIVE",10661976,"K07356.01",7087,13,3.5361e-12,-2.873e-05
"FALSE POSITIVE",10662021,"K07357.01",7442,5,1.0513e-13,-6.602e-05
"CANDIDATE",10665228,"K07358.01",598.1,5,1.9003e-13,0.0009902
"CANDIDATE",10665749,"K07359.01",1721,5,1.7994e-14,0.0004639
"CANDIDATE",10680424,"K07361.01",1149,8,1.9145e-15,0
"FALSE POSITIVE",10685175,"K07362.01",2436,18,2.424e-72,-2.33e-05
"FALSE POSITIVE",10686876,"K07363.01",22610000,8,-1,0.1178
"FALSE POSITIVE",10686930,"K07364.01",2566,5,5.0551e-16,8.124e-06
