"koi_disposition","kepid","kepoi_name","tce_model_dof","tcet_period","tcet_model_dof","tce_rb_tpdur","tce_rb_tcount2","tce_fwm_sdec","tce_fwm_pdeco","tce_prad_sn"
"CANDIDATE",5371776,"K01557.04",8893,1.49915,14360,3,0,40.557628,-8.78e-06,2.42062763809873
"FALSE POSITIVE",10019763,"K01558.01",761.1,32.5046,788,6,0,46.974737,0.002887,2.90523403274153
"FALSE POSITIVE",9899280,"K01559.01",29230,1.33256,32090,6,0,46.785963,0.000442,3.53472987872106
"FALSE POSITIVE",8046659,"K01560.01",962.3,31.5689,1346,6,0,43.876754,-0.003626,2.80136015868518
"FALSE POSITIVE",4940438,"K01561.01",1726,9.08587,2412,3,0,40.019572,0.0006126,1.46751223854028
"FALSE POSITIVE",5308663,"K01562.01",21090,0.784513,27240,3,0,40.459249,-0.001665,1.66305055326535
"CANDIDATE",5308663,"K01562.02",2333,20.069,3271,12,0,40.456677,0.0004604,2.25872468763464
"CANDIDATE",5219234,"K01563.01",6062,5.4871,8265,6,0,40.343013,0.0001861,5.86779911373708
"CANDIDATE",5219234,"K01563.02",4099,8.29078,6113,6,0,40.343069,-6.211e-05,12.1091048789858
"CANDIDATE",5219234,"K01563.03",6831,3.2054,10120,3,0,40.343006,7.468e-05,1.38036809815951
"CANDIDATE",5219234,"K01563.04",1144,16.7387,2048,6,0,40.342978,0.0002651,5.0149154789526
"CANDIDATE",5184584,"K01564.01",1422,53.4491,1952,12,0,40.355198,0.0004572,3.82244768547876
"FALSE POSITIVE",5636648,"K01565.01",20910,0.93349,32120,3,1,40.897046,-0.0009512,2.15627864344638
"FALSE POSITIVE",5564247,"K01566.01",13250,1.72717,21040,3,0,40.722432,0.003523,2.05212170828217
"CANDIDATE",5438099,"K01567.01",4706,7.24018,6340,6,0,40.616117,0.0004284,9.6878612716763
"CANDIDATE",5438099,"K01567.02",2683,17.3268,4527,6,0,40.615974,0.0008163,3.28079392877992
"CANDIDATE",5438099,"K01567.03",5315,4.64621,8901,6,0,40.616043,0.0003116,4.01781635449977
"CANDIDATE",5438099,"K01567.04",1051,44.842,1516,12,0,40.616046,0.0007981,9.36842105263158
"FALSE POSITIVE",5210475,"K01568.01",19210,1.00891,27020,3,0,40.343869,-0.001056,2.8430296377607
"CANDIDATE",8009350,"K01569.01",2848,13.7522,4648,6,0,43.88813,0.0001475,7.54702194357367
"CANDIDATE",8082001,"K01570.01",5505,6.33856,8393,6,0,43.913048,2.445e-05,2.99814814814815
"FALSE POSITIVE",5557821,"K01571.01",11700,2.92878,18490,6,0,40.706412,0.0003159,1.25625256252563
"CANDIDATE",10004519,"K01572.01",5211,9.80327,8412,12,0,46.939554,-0.0003445,2.88920454545455
"CANDIDATE",5031857,"K01573.01",2002,24.8114,2899,6,0,40.1386,-0.0002748,3.19490957803081
"CANDIDATE",5031857,"K01573.02",5217,7.13696,8907,6,0,40.138745,-9.704e-05,1.97197951190118
"CANDIDATE",10028792,"K01574.01",1298,114.736,1684,24,0,46.965078,1.84e-05,11.4976744186047
"CANDIDATE",10028792,"K01574.02",683.9,191.258,896,31,0,46.965168,-0.0003366,0.648014440433213
"CANDIDATE",10028792,"K01574.03",7801,5.8338,14520,12,0,46.965326,-7.952e-05,1.57142857142857
"CANDIDATE",10028792,"K01574.04",4987,8.97701,8100,12,0,46.964425,0.0001912,1.80886699507389
"FALSE POSITIVE",5553652,"K01575.01",2647,24.3278,4495,12,0,40.760133,-0.004611,4.60409372475088
"CANDIDATE",5299459,"K01576.01",3705,10.4157,5256,6,0,40.417654,-0.0001426,7.19809894145604
"CANDIDATE",5299459,"K01576.02",3022,13.0843,4764,6,0,40.417585,5.014e-05,7.59161097026965
"CANDIDATE",12506770,"K01577.01",8329,2.80621,19090,3,0,51.409008,0.0004375,2.32538569424965
"FALSE POSITIVE",5629985,"K01578.01",21800,2.27192,25740,12,0,40.884889,-0.009691,1.20823798627002
"FALSE POSITIVE",9898364,"K01579.01",4043,7.13231,5975,6,0,46.733765,0.001513,2.84373967624711
"FALSE POSITIVE",5193400,"K01580.01",8438,21.3772,12180,31,0,40.361153,-0.002455,2.82387706855792
"CANDIDATE",7939330,"K01581.01",5190,29.5417,7624,31,0,43.73423,0.0006462,4.22966898242746
"CANDIDATE",7939330,"K01581.02",1332,144.554,2229,31,0,43.73442,6.806e-05,3.91475042063937
"CANDIDATE",4918309,"K01582.01",319.5,186.444,572,6,0,40.021687,0.001701,2.27994616419919
"CANDIDATE",12602568,"K01583.01",7389,8.04726,13280,12,0,51.696166,-0.000135,3.52811812755262
"CANDIDATE",9941066,"K01584.01",5827,5.87069,9178,6,0,46.871161,-0.0004407,3.53949652777778
"CANDIDATE",5470739,"K01585.01",3557,19.1792,5458,12,0,40.680639,-7.682e-05,3.14993602419449
"CANDIDATE",10022908,"K01586.01",3393,6.99129,5034,6,0,46.999001,-0.0001581,5.13070342205323
"FALSE POSITIVE",9932970,"K01587.01",774.9,52.9717,1086,6,0,46.814041,0.002741,2.15780542986425
"CANDIDATE",5617854,"K01588.01",6020,3.51748,9217,3,0,40.887742,-0.0001688,8.23875802997859
"CANDIDATE",5301750,"K01589.01",6300,8.72581,11050,12,0,40.496188,0.0001735,6.22160308615517
"CANDIDATE",5301750,"K01589.02",4441,12.8828,7828,12,0,40.496099,0.0003569,5.0395546440082
"CANDIDATE",5301750,"K01589.03",2203,27.435,3441,12,0,40.496333,-6.42e-05,4.1763551260758
"CANDIDATE",5301750,"K01589.04",8030,4.22452,13010,6,0,40.49612,9.72e-05,2.21575527883054
"CANDIDATE",5301750,"K01589.05",1482,44.5519,2386,12,0,40.496289,8.658e-06,1.55698778833107
"CANDIDATE",5542466,"K01590.01",2842,12.8899,4597,6,0,40.72099,5.506e-05,5.3068105192178
"CANDIDATE",5542466,"K01590.02",7303,2.35576,13490,3,0,40.720884,0.0001219,1.51965484180249
"CANDIDATE",5542466,"K01590.03",3556,4.74671,5857,3,0,40.720841,0.0001778,1.10779661016949
"CANDIDATE",10028140,"K01591.01",1395,19.6562,2141,6,0,46.941887,0,6.2212389380531
"FALSE POSITIVE",5217586,"K01592.01",2816,26.0694,4104,12,0,40.318646,0.002298,1.90957886044591
"CANDIDATE",5289854,"K01593.01",2928,9.69501,4279,6,0,40.439902,-0.0005057,2.30813953488372
"CANDIDATE",5289854,"K01593.02",2469,15.3826,4570,6,0,40.439725,-0.0001777,2.88177339901478
"FALSE POSITIVE",9895709,"K01594.01",12670,1.81893,23480,3,0,46.714077,0.0006741,2.95995271168908
"CANDIDATE",10006581,"K01595.01",1809,40.1097,2749,12,0,46.953852,0,5.12361466325661
"CANDIDATE",10027323,"K01596.01",4808,5.92369,7197,6,0,46.961442,-0.0001647,4.14222873900293
"CANDIDATE",10027323,"K01596.02",357.6,105.356,556,6,0,46.961262,0.0002855,2.42052499670228
"CANDIDATE",5039228,"K01597.01",7917,7.79669,13530,12,0,40.17332,-0.0001829,4.89365504915103
"CANDIDATE",10004738,"K01598.01",1366,56.4762,1928,12,0,46.986757,0.0001075,12.2812971342383
"CANDIDATE",10004738,"K01598.02",1090,92.8732,1538,12,0,46.986894,-0.0002597,11.7974572555897
"CANDIDATE",10004738,"K01598.03",2034,13.9307,2898,6,0,46.986596,0.0001214,2.66358737490377
"CANDIDATE",5474613,"K01599.01",5064,20.4086,7995,12,0,40.618273,6.952e-05,2.99193351258861
"CANDIDATE",5474613,"K01599.02",3035,13.6164,4659,12,0,40.618465,-0.0001748,0.640633533588203
"FALSE POSITIVE",4860932,"K01600.01",2987,12.3656,5040,6,0,39.992503,-0.00384,0.850819672131148
"CANDIDATE",5438757,"K01601.01",7876,10.3508,12480,12,0,40.664114,4.91e-05,5.68648648648649
"CANDIDATE",5438757,"K01601.02",1904,62.921,3209,24,0,40.664403,-0.0003436,6.23128311448975
"CANDIDATE",4860678,"K01602.01",7560,9.97718,12820,12,0,39.921372,-0.0001126,2.00291120815138
"CANDIDATE",4860678,"K01602.02",15910,3.0336,29400,6,0,39.921579,-0.0001102,1.48742903487429
"CANDIDATE",5177104,"K01603.01",12280,3.02168,21210,6,0,40.388994,0,2.91879168301295
"FALSE POSITIVE",10033279,"K01604.01",376.4,72.4913,648,6,0,46.951465,0.001864,2.19948436996455
"FALSE POSITIVE",5009189,"K01605.01",3924,4.93914,6471,3,0,40.163628,0.0001478,2.54414587332054
"CANDIDATE",9886661,"K01606.01",4712,5.08275,8433,3,0,46.71353,-0.0001284,4.13138686131387
"FALSE POSITIVE",5477805,"K01607.01",5277,5.00673,8584,6,0,40.631389,-0.0006057,1.01720676799541
"CANDIDATE",10055126,"K01608.01",6068,9.17622,10510,12,0,47.085679,-0.0001283,5.98883338230973
"CANDIDATE",10055126,"K01608.02",2903,19.738,5020,12,0,47.085939,-0.0002354,2.92444283384671
"CANDIDATE",10055126,"K01608.03",551.1,232.044,962,24,0,47.085358,0.0001455,2.40319962902852
"CANDIDATE",5009743,"K01609.01",1848,41.6977,3119,12,0,40.125533,-6.143e-05,6.27082782332716
"FALSE POSITIVE",5474733,"K01610.01",25930,0.883775,32210,3,4,40.629517,-0.0002506,2.49439713133124
"FALSE POSITIVE",12644769,"K01611.01",1715,41.0774,2413,12,0,51.757345,0,22.9753694581281
"CANDIDATE",10963065,"K01612.01",6248,2.46502,10300,3,0,48.423159,-1.647e-05,9.97688455117504
"CANDIDATE",6268648,"K01613.01",2740,15.8664,4927,6,0,41.632653,1.335e-05,4.63559915907498
"CANDIDATE",6268648,"K01613.02",1535,94.0891,2116,31,0,41.632323,7.35e-05,3.39099216710183
"CANDIDATE",6268648,"K01613.03",220.5,513.243,392,12,0,41.632946,-9.64e-05,3.78269139324774
"FALSE POSITIVE",10514429,"K01614.01",2524,20.7196,4635,12,0,47.774628,-9.962e-05,4.65166516651665
"CANDIDATE",4278221,"K01615.01",13070,1.3406,18980,3,7,39.376481,2.484e-05,5.09447943682846
"CANDIDATE",9015738,"K01616.01",1176,13.9328,1867,6,0,45.370886,5.803e-05,3.3648121535619
"CANDIDATE",7215603,"K01618.01",18680,2.36433,31840,6,0,42.743148,-1.797e-05,4.93808532778356
"CANDIDATE",4276716,"K01619.01",1581,20.6658,2736,6,0,39.345719,0.0001317,2.73596811690468
"FALSE POSITIVE",6468337,"K01620.01",29770,0.959857,32150,3,3,41.826646,-0.0001757,2.48507867607162
"CANDIDATE",5561278,"K01621.01",3452,20.3104,5348,12,0,40.750649,8.808e-06,8.00469483568075
"CANDIDATE",7287683,"K01622.01",1488,69.8339,2701,12,0,42.888647,0.0002429,3.65198938992042
"FALSE POSITIVE",11392618,"K01623.01",434.8,110.922,651,12,0,49.287538,-9.744e-05,4.37235713422738
"FALSE POSITIVE",6233890,"K01624.01",18230,2.99543,25080,12,0,0,0,1.18616310160428
"FALSE POSITIVE",6312314,"K01625.01",21600,1.22121,32120,3,5,41.630467,0.000352,2.17948717948718
"CANDIDATE",6387542,"K01626.01",17650,2.53474,27220,12,0,41.758281,-0.0002546,4.08566029813143
"CANDIDATE",6543893,"K01627.01",3218,10.2967,5394,6,0,41.952445,0.0001334,4.15518311607697
"CANDIDATE",6543893,"K01627.02",4193,5.93917,5861,6,0,41.95247,1.585e-05,2.60086902545003
"CANDIDATE",6543893,"K01627.03",7128,3.80674,10920,6,0,41.952659,-0.0001522,1.97354179194227
"CANDIDATE",6975129,"K01628.01",2300,19.7473,3784,6,0,42.459815,-4.433e-05,5.47418738049713
"CANDIDATE",6975129,"K01628.02",17400,1.77245,29320,6,0,42.459769,5.318e-06,3.79321181646763
"FALSE POSITIVE",6975129,"K01628.03",1850,37.8398,3452,12,0,42.459866,-6.083e-05,4.97365119196989
"CANDIDATE",8685497,"K01629.01",6295,4.40966,9774,6,2,44.899353,-3.909e-06,2.83306723434451
"CANDIDATE",9017682,"K01630.01",4621,11.3053,6480,6,0,45.388611,-0.0001674,2.28013029315961
"FALSE POSITIVE",9084778,"K01631.01",32780,0.592241,32280,3,7,45.464188,0.001085,10.2530730296457
"CANDIDATE",9277896,"K01632.01",7844,4.59492,13830,6,0,45.737143,1.549e-05,3.5733781230317
"CANDIDATE",9401997,"K01633.01",1823,32.2966,3116,12,0,45.97353,-0.0002734,4.90770901194354
"FALSE POSITIVE",10487119,"K01635.01",5218,3.37466,6219,12,0,47.623955,0.007078,3.57178651966926
"FALSE POSITIVE",10621666,"K01636.01",14130,2.6184,23010,6,5,47.895559,-0.0001627,3.13866799204771
"CANDIDATE",10686864,"K01637.01",8548,2.97042,11560,6,2,47.949167,0.0002598,4.13723916532905
"FALSE POSITIVE",10747439,"K01638.01",4709,4.59359,7288,6,0,48.091915,-0.01945,2.8055972013993
"CANDIDATE",10879038,"K01641.01",6720,4.85388,10560,6,2,48.267602,0.0001872,6.04673807205453
"FALSE POSITIVE",10879656,"K01642.01",23500,0.72972,25730,3,19,48.213671,-0.0003911,1.97128423291678
"CANDIDATE",10990917,"K01643.01",4702,11.046,6960,12,2,48.494663,-0.0002779,2.8517924023542
"FALSE POSITIVE",11043136,"K01644.01",2768,5.2434,3808,3,2,48.565029,0.001837,3.26430831176301
"FALSE POSITIVE",11045383,"K01645.01",498.3,41.1667,576,3,0,48.559112,0.001798,5.03230769230769
"CANDIDATE",11046025,"K01646.01",5221,3.72018,9151,3,3,48.559539,-8.575e-05,1.03560985797828
"CANDIDATE",11153121,"K01647.01",4053,14.9706,6894,12,0,48.775767,-0.0004071,3.24195609246138
"CANDIDATE",11153121,"K01647.02",2146,32.2744,3526,12,0,48.776229,-0.0007204,4.3583460949464
