"koi_disposition","kepid","kepoi_name","boot_mesthresh","tce_fwm_pdeco","tce_ror_sn"
"CANDIDATE",6541920,"K00157.03",7.2116,0.0002936,16.6371544699492
"CANDIDATE",6541920,"K00157.04",7.4576,0.0002123,12.1249626593345
"CANDIDATE",6541920,"K00157.05",7.2916,0.0001472,32.8212755996864
"CANDIDATE",6541920,"K00157.06",7.2454,0.0001207,20.9690965349538
"FALSE POSITIVE",10555375,"K00158.01",7.0935,0.002798,26.0078622885986
"CANDIDATE",8972058,"K00159.01",7.3528,-1.057e-05,20.3394627072663
"CANDIDATE",8972058,"K00159.02",7.2235,-3.242e-05,2.36412091492509
"CANDIDATE",6631721,"K00160.01",7.3087,-0.001993,64.583762310728
"CANDIDATE",5084942,"K00161.01",7.2512,4.776e-05,24.1959929595712
"CANDIDATE",8107380,"K00162.01",7.291,7.939e-05,11.8744165284462
"CANDIDATE",6851425,"K00163.01",7.2955,0.0001603,12.4370940670324
"FALSE POSITIVE",5652237,"K00164.01",7.3331,-0.002663,11.3841019410365
"CANDIDATE",9527915,"K00165.01",7.1557,-0.0005696,19.8627961830359
"CANDIDATE",2441495,"K00166.01",7.1533,0.0001245,10.6780485751675
"CANDIDATE",11666881,"K00167.01",7.2089,2.635e-06,43.2279276132675
"CANDIDATE",11512246,"K00168.01",7.1791,0,58.5506855643243
"CANDIDATE",11512246,"K00168.02",7.1051,0,6.0843183976949
"CANDIDATE",11512246,"K00168.03",7.1729,0,6.51845733869923
"FALSE POSITIVE",6185711,"K00169.01",7.3497,-0.003187,2.00075632779934
"FALSE POSITIVE",11044770,"K00170.01",7.2489,-0.003068,7.70308971660998
"CANDIDATE",7831264,"K00171.01",7.1052,-4.498e-05,17.2232841813057
"CANDIDATE",7831264,"K00171.02",7.1098,-1.641e-05,6.51073515476144
"CANDIDATE",8692861,"K00172.01",7.1121,-2.721e-05,13.2915150082297
"CANDIDATE",8692861,"K00172.02",7.3676,-0.0002438,9.96052897359587
"CANDIDATE",11402995,"K00173.01",7.1972,-0.0001396,32.307447382037
"CANDIDATE",10810838,"K00174.01",7.1363,-0.0002601,11.811717197072
"FALSE POSITIVE",8323753,"K00175.01",7.2356,-0.00253,28.2585514221935
"CANDIDATE",6442377,"K00176.01",7.3087,-2.005e-05,16.6713657672668
"CANDIDATE",6803202,"K00177.01",7.2397,-8.769e-05,5.00534593957582
"FALSE POSITIVE",11455491,"K00178.01",7.3787,0.007375,33.4489193457399
"CANDIDATE",9663113,"K00179.01",7.4083,-0.0001572,31.3232212270565
"CANDIDATE",9663113,"K00179.02",10.54,-4.92e-05,31.7188805088767
"CANDIDATE",9573539,"K00180.01",7.5991,-2.201e-05,26.4126521499664
"FALSE POSITIVE",12504988,"K00181.01",7.4055,0.002842,1601.3077676465
"CANDIDATE",5376836,"K00182.01",7.4253,8.307e-05,1481.9653566236
"CANDIDATE",9651668,"K00183.01",7.4117,-0.001386,726.058713939753
"FALSE POSITIVE",7972785,"K00184.01",7.5291,0.00109,956.605209195126
"FALSE POSITIVE",4178389,"K00185.01",7.2931,-0.009349,25.8989026768924
"CANDIDATE",12019440,"K00186.01",7.2969,-0.0008932,420.222837868023
"FALSE POSITIVE",7023960,"K00187.01",7.1718,-0.0006482,669.268002768386
"CANDIDATE",5357901,"K00188.01",7.2022,-4.848e-05,398.613691714726
"CANDIDATE",11391018,"K00189.01",7.5064,-0.0003632,469.036877943818
"FALSE POSITIVE",5771719,"K00190.01",7.4235,2.5e-05,600.501731522922
"CANDIDATE",5972334,"K00191.01",7.0141,-0.0001327,287.644800567739
"CANDIDATE",5972334,"K00191.02",6.6096,1.011e-05,15.7293725372419
"CANDIDATE",5972334,"K00191.03",6.3618,7.048e-06,2.04094054159895
"CANDIDATE",5972334,"K00191.04",7.596,0.0004393,4.65426215805152
"CANDIDATE",7950644,"K00192.01",7.2833,0.0004139,266.138815833351
"FALSE POSITIVE",10799735,"K00193.01",7.1953,0.0007782,511.98904023014
"CANDIDATE",10904857,"K00194.01",7.3808,0.000865,833.937530446303
"CANDIDATE",11502867,"K00195.01",7.1487,0.001059,590.444561682522
"CANDIDATE",9410930,"K00196.01",7.1147,-0.000621,716.98220173379
"CANDIDATE",2987027,"K00197.01",7.2485,-0.0001924,114.038662182176
"FALSE POSITIVE",10666242,"K00198.01",7.4976,-0.0004984,13.3399904354842
"CANDIDATE",10019708,"K00199.01",7.267,0.002655,392.134423462515
"FALSE POSITIVE",10019708,"K00199.02",7.4986,-0.04034,17.0939480430403
"CANDIDATE",6046540,"K00200.01",7.1422,-0.0005434,346.26522398222
"CANDIDATE",6849046,"K00201.01",7.1721,0,189.771598351228
"CANDIDATE",7877496,"K00202.01",7.1424,-0.003873,549.769056650872
"CANDIDATE",10619192,"K00203.01",8.7428,-0.01007,509.709145620036
"CANDIDATE",9305831,"K00204.01",7.0993,0.004011,221.176126132984
"CANDIDATE",7046804,"K00205.01",7.2701,-0.001331,280.877773900775
"CANDIDATE",5728139,"K00206.01",7.184,-0.001888,176.25882363109
"CANDIDATE",3762468,"K00208.01",7.2111,-0.00131,169.100333438547
"CANDIDATE",10723750,"K00209.01",7.4076,-0.0001567,189.896403503468
"CANDIDATE",10723750,"K00209.02",7.2025,0.0002356,123.174614421529
"FALSE POSITIVE",10602291,"K00210.01",7.4545,-0.0003883,12.1228236417427
"CANDIDATE",10656508,"K00211.01",7.3029,0.001418,34.4980786029379
"CANDIDATE",6300348,"K00212.01",7.484,-0.000638,65.2092267341869
"FALSE POSITIVE",9164836,"K00213.01",7.307,-0.0008935,29.8108808163425
"CANDIDATE",11046458,"K00214.01",7.2615,-0.001449,25.2432442330712
"FALSE POSITIVE",12508335,"K00215.01",7.106,0.002166,8.19963211683227
"CANDIDATE",6152974,"K00216.01",7.4283,-0.0009789,42.1194673658459
"CANDIDATE",6152974,"K00216.02",7.4958,-6.409e-06,2.42666460344189
"CANDIDATE",9595827,"K00217.01",7.4623,0.0009357,396.673623190035
"FALSE POSITIVE",9838975,"K00218.01",7.214,-0.0001226,666.596201650378
"CANDIDATE",6305192,"K00219.01",7.1656,0.0002142,177.007628768423
"CANDIDATE",7132798,"K00220.01",6.7844,0.0002716,55.2124965220702
"CANDIDATE",7132798,"K00220.02",6.7945,0.0001799,2.43741444422835
"CANDIDATE",3937519,"K00221.01",7.2318,-5.973e-05,41.9267056969393
"CANDIDATE",3937519,"K00221.02",7.2459,0.0001177,2.01700500566538
"CANDIDATE",4249725,"K00222.01",7.2339,-0.0002413,20.8234980256386
"CANDIDATE",4249725,"K00222.02",7.2435,-4.172e-05,7.55357404158372
"CANDIDATE",4545187,"K00223.01",7.2486,-0.0002351,29.5076135457064
"CANDIDATE",4545187,"K00223.02",7.2098,0.0003081,5.1513049479305
"FALSE POSITIVE",5547480,"K00224.01",7.1715,0.005859,3.08982465392422
"FALSE POSITIVE",5801571,"K00225.01",7.0892,-0.001055,124.166216148162
"CANDIDATE",5959753,"K00226.01",7.0985,0.0002362,38.432417361792
"CANDIDATE",3847907,"K00229.01",7.1045,0.000767,58.7741706357658
"FALSE POSITIVE",3862246,"K00230.01",7.2241,-0.002638,9.57873999406938
"FALSE POSITIVE",4043443,"K00231.01",7.1858,-0.0003026,2.33874222449464
"CANDIDATE",4833421,"K00232.01",7.1893,0.0002824,65.7978360774173
"CANDIDATE",4833421,"K00232.02",7.1045,1.418e-05,8.96079393684347
"CANDIDATE",4833421,"K00232.03",7.1766,8.637e-05,27.2483490563347
"CANDIDATE",4833421,"K00232.04",7.1559,3.759e-05,3.77630274364755
"CANDIDATE",4833421,"K00232.05",7.221,0.0001127,4.19063304529104
"FALSE POSITIVE",5023956,"K00233.01",7.1393,-0.2306,8.60640806096549
"CANDIDATE",8491277,"K00234.01",7.2392,0.0001132,26.8761524279239
"CANDIDATE",8107225,"K00235.01",7.1774,-6.52e-05,7.50438446909352
"FALSE POSITIVE",8453211,"K00236.01",7.2061,0.05002,2.80191498121888
"CANDIDATE",8041216,"K00237.01",7.2011,5.715e-05,35.3901874547117
"CANDIDATE",7219825,"K00238.01",7.1577,-0.0002136,8.02897423934464
"CANDIDATE",7219825,"K00238.02",6.7933,0.0001266,10.2954006731218
"CANDIDATE",7219825,"K00238.03",7.1778,-3.247e-05,1.58451333700389
"CANDIDATE",6383785,"K00239.01",7.0792,0.001095,32.6447215923532
"CANDIDATE",6383785,"K00239.02",7.0114,0.000182,2.89375744662564
"CANDIDATE",8026752,"K00240.01",7.2297,-0.0001089,21.4785601764346
"CANDIDATE",11288051,"K00241.01",7.0119,-0.0001273,28.7502094327174
"CANDIDATE",11288051,"K00241.02",7.0733,-2.438e-05,19.7712490342312
"CANDIDATE",11288051,"K00241.03",6.963,-6.079e-06,2.25651799508915
"FALSE POSITIVE",3642741,"K00242.01",7.3297,-0.0005473,66.7194620495792
"FALSE POSITIVE",9592579,"K00243.01",7.4415,0,8.19130822137666
"CANDIDATE",4349452,"K00244.01",7.5427,1.748e-05,222.589003536019
"CANDIDATE",4349452,"K00244.02",7.4533,-3.298e-05,96.4999098561978
"CANDIDATE",8478994,"K00245.01",9.6091,-0.0006645,41.9921179893271
"CANDIDATE",8478994,"K00245.02",7.9919,-2.097e-05,10.3865631392295
"CANDIDATE",11295426,"K00246.01",7.4735,0.0001224,35.1761869350711
"CANDIDATE",11295426,"K00246.02",7.4387,1.555e-05,5.10195127347905
"CANDIDATE",11852982,"K00247.01",7.2486,-0.0001805,26.8789386168979
"CANDIDATE",5364071,"K00248.01",7.0936,1.155e-05,32.797307852849
"CANDIDATE",5364071,"K00248.02",7.1491,-0.0001929,13.7898135792926
"CANDIDATE",5364071,"K00248.03",7.2181,0.00012,2.63483930783103
"CANDIDATE",5364071,"K00248.04",7.1697,6.385e-05,2.96189818020943
"CANDIDATE",9390653,"K00249.01",7.2644,0.001125,26.5294537884529
"CANDIDATE",9757613,"K00250.01",7.3139,-0.0006605,41.1749185419828
"CANDIDATE",9757613,"K00250.02",7.2373,0.0005987,36.7193388006578
"CANDIDATE",9757613,"K00250.03",7.3478,-0.001088,3.18233491322035
"CANDIDATE",9757613,"K00250.04",7.1049,1.369e-05,5.30419137072263
"CANDIDATE",10489206,"K00251.01",7.2874,0.003124,26.5068592930337
"CANDIDATE",10489206,"K00251.02",7.2444,0.000733,1.43798402855316
"CANDIDATE",11187837,"K00252.01",7.1835,0.001501,23.3861991567164
"CANDIDATE",11752906,"K00253.01",7.1815,-0.001851,18.4843971320921
"CANDIDATE",11752906,"K00253.02",7.2754,-0.0009121,13.4149135258363
"CANDIDATE",5794240,"K00254.01",7.4021,0.001127,386.671667048771
"CANDIDATE",7021681,"K00255.01",7.3447,0.0005278,13.9391830892098
"CANDIDATE",7021681,"K00255.02",7.2277,9.378e-05,0.999898756635397
"FALSE POSITIVE",7021681,"K00255.03",7.2515,5.038e-05,1.20416979933586
"FALSE POSITIVE",11548140,"K00256.01",8.0907,0.005516,1.91057839561331
"CANDIDATE",5514383,"K00257.01",7.5959,1.996e-05,37.5560372672081
"FALSE POSITIVE",11231334,"K00258.01",8.7756,-0.0004082,9.26931508666867
"FALSE POSITIVE",5790807,"K00259.01",-1,0.0008155,1325.30655405839
"CANDIDATE",8292840,"K00260.01",7.7618,2.98e-05,22.4920352356693
"CANDIDATE",8292840,"K00260.02",7.1874,2.496e-05,21.6980096127038
"CANDIDATE",8292840,"K00260.03",7.1897,-4.803e-05,47.1724418742494
"CANDIDATE",5383248,"K00261.01",7.5773,0.0003686,59.9636497259678
"CANDIDATE",11807274,"K00262.01",7.2604,8.71e-05,9.15601204083716
"CANDIDATE",11807274,"K00262.02",7.2616,9.769e-06,51.5521580179896
"FALSE POSITIVE",10514430,"K00263.01",7.8508,0.0001081,1.73036681858614
"FALSE POSITIVE",3097346,"K00264.01",7.25,0.003282,55.6467841678374
"CANDIDATE",12024120,"K00265.01",7.1418,0,8.78478822004523
"CANDIDATE",7375348,"K00266.01",7.343,-3.581e-05,11.1991710201759
"CANDIDATE",7375348,"K00266.02",7.6962,5.644e-05,14.319546862661
"CANDIDATE",3425851,"K00268.01",8.0735,0.0002751,34.0856992032395
"CANDIDATE",7670943,"K00269.01",7.3023,-9.293e-07,22.2181596685806
"CANDIDATE",6528464,"K00270.01",7.3726,-3.823e-05,11.4792704033538
"CANDIDATE",6528464,"K00270.02",7.8415,5.287e-06,10.1770990931498
"CANDIDATE",9451706,"K00271.01",7.1624,-0.0001935,28.0216949509056
"CANDIDATE",9451706,"K00271.02",7.2086,-0.0002452,18.9757801763469
"CANDIDATE",9451706,"K00271.03",7.3022,-5.742e-05,5.41034257510145
"FALSE POSITIVE",5716763,"K00272.01",7.5528,-7.925e-06,20.9583453906593
"CANDIDATE",3102384,"K00273.01",7.3883,0.0001089,15.8947158442625
"CANDIDATE",8077137,"K00274.01",7.4015,-1.238e-05,4.10654927485151
"CANDIDATE",8077137,"K00274.02",7.37,5.213e-05,3.90523831544436
"CANDIDATE",10586004,"K00275.01",7.4558,7.346e-07,9.92134782329002
"CANDIDATE",10586004,"K00275.02",7.8679,-7.603e-06,17.0397627174014
"CANDIDATE",11133306,"K00276.01",7.3348,5.465e-05,29.6582390809173
"CANDIDATE",11401755,"K00277.01",7.5181,-1.709e-05,45.0923762301865
"CANDIDATE",11401755,"K00277.02",7.6078,-5.24e-05,0.697449090772196
"CANDIDATE",12314973,"K00279.01",7.5578,-2.576e-05,83.0467610240277
"CANDIDATE",12314973,"K00279.02",7.478,9.559e-05,49.4275609775724
"CANDIDATE",12314973,"K00279.03",7.3961,-3.869e-06,3.68840956651447
"CANDIDATE",4141376,"K00280.01",7.3744,-6.148e-05,31.5574183100553
"CANDIDATE",4143755,"K00281.01",7.3668,1.483e-05,18.4140802466998
"CANDIDATE",5088536,"K00282.01",7.3816,-7.086e-06,33.3031275963894
"CANDIDATE",5088536,"K00282.02",7.3475,2.572e-05,5.34198201735701
"CANDIDATE",5088536,"K00282.03",7.6721,6.797e-05,1.4833237492812
"CANDIDATE",5695396,"K00283.01",7.4905,-6.445e-05,26.5949461846261
"CANDIDATE",5695396,"K00283.02",7.5658,-1.569e-05,3.78818581501389
"CANDIDATE",6021275,"K00284.01",7.3143,5.608e-05,17.6511630945712
"CANDIDATE",6021275,"K00284.02",7.3081,-3.597e-05,38.2925611688681
