"koi_disposition","kepid","kepoi_name","tce_insol","tce_mesmedian","tce_fwm_pdeco","tce_depth_sn","tce_fwm_pdeco_sn","tce_dicco_msky_sn"
"CANDIDATE",9549648,"K01886.01",797.51,-0.05396,3.664e-05,35.8290866326931,0.761746361746362,0.706910994764398
"FALSE POSITIVE",10965740,"K01887.01",278.77,-0.0276,-0.003274,29.2277486910995,-27.0578512396694,120.692745376956
"CANDIDATE",10063802,"K01888.01",11.86,-0.0232,0.0001466,30.375676536135,0.93375796178344,1.18903047091413
"CANDIDATE",11074178,"K01889.01",54.67,0.01329,-0.0003581,30.6340454858718,-1.12257053291536,1.39959390862944
"CANDIDATE",11074178,"K01889.02",98.75,-0.08278,-0.0003461,14.3029180176007,-1.38995983935743,1.34984234234234
"CANDIDATE",7449136,"K01890.01",1055.1,-0.2171,1.103e-05,48.4725965858041,0.664457831325301,0.374425
"CANDIDATE",8680979,"K01891.01",25.57,-0.0489,-0.0005887,32.5163541212386,-1.98215488215488,3.19406504065041
"CANDIDATE",8680979,"K01891.02",61.53,-0.1182,-0.0003338,16.6909294512878,-1.42042553191489,1.21892857142857
"CANDIDATE",9030537,"K01892.01",7.14,-0.02423,0.0005022,30.4556904053126,0.715384615384615,1.94696
"CANDIDATE",8689793,"K01893.01",425,-0.2301,6.442e-05,35.895816890292,0.799255583126551,1.86564593301435
"CANDIDATE",11673802,"K01894.01",1803.87,-1.114,-5.608e-05,57.7380952380952,-1.34807692307692,0.169792553191489
"CANDIDATE",4263293,"K01895.01",20.12,-0.04798,0.000455,32.274331820474,0.984848484848485,1.09452380952381
"CANDIDATE",4263293,"K01895.02",7.76,0.07198,-0.001189,28.9203612479475,-1.94599018003273,1.41123188405797
"CANDIDATE",4263293,"K01895.03",3.39,-0.02211,-0.0003452,14.6886641830761,-0.407075471698113,0.296823308270677
"FALSE POSITIVE",10294613,"K01896.01",657.62,-0.1449,0.1078,36.2048588312541,649.397590361446,0
"CANDIDATE",5695524,"K01897.01",17.55,0.01837,-0.0001019,31.3531723750702,-0.550810810810811,1.38187969924812
"CANDIDATE",7668663,"K01898.01",262.35,-0.03363,2.791e-06,33.2098111875772,0.0462852404643449,0.286101941747573
"CANDIDATE",7047922,"K01899.01",92.6,-0.01505,0.0004102,30.3011583011583,2.71655629139073,2.59852631578947
