"koi_disposition","kepid","kepoi_name","tce_ldm_coeff1","tce_ptemp_stat","tce_fwm_pdeco","tce_dikco_mra","tce_dikco_mdec","tce_dikco_msky","tce_sradius_sn","tce_ptemp_sn","tce_dicco_mra_sn","tce_dikco_msky_sn"
"FALSE POSITIVE",5598595,"K03949.01",0.5630826,2.726,-0.0007216,-0.15829,3.6831,3.6865,9.22784810126582,6.07144998501049,-3.4426455026455,15.8900862068966
"FALSE POSITIVE",4544572,"K03950.01",0.3783816,8.532,-0.002087,3.0121,0.89482,3.1422,3.33103448275862,13.5109367708819,5.99616858237548,6.39959266802444
"FALSE POSITIVE",5738634,"K03951.01",0.290218,1.032,-0.0001303,-1.2271,0.68034,1.4031,2.27045300878972,6.23431012696311,-2.49088983050847,2.76200787401575
"FALSE POSITIVE",10152836,"K03952.01",0.4337814,25.24,0.005104,-0.1144,0.026872,0.11751,3.26736111111111,30.4106454720617,-0.801079136690647,1.50268542199488
"FALSE POSITIVE",10651816,"K03953.01",0.5654736,7.801,-0.001232,0.179,7.0375,7.0398,4.03603603603604,12.2948653680894,-0.0413705357142857,103.678939617084
"FALSE POSITIVE",8030339,"K03954.01",0.4696632,2.22,0,-0.76587,-6.5045,6.5495,3.85589519650655,7.4668920822767,-10.4599443671766,94.2374100719424
"CANDIDATE",8030339,"K03954.02",0.4696632,1.044,0,0.52758,1.1074,1.2267,3.85589519650655,1.36279596390156,0.403473282442748,2.07915254237288
"FALSE POSITIVE",9899414,"K03955.01",0.4186688,5.531,-0.0007961,-4.4274,7.2794,8.5201,3.08571428571429,10.1595976205446,-18.3548117154812,18.9335555555556
"FALSE POSITIVE",5471059,"K03956.01",0.5519696,3.484,-0.0002477,0.30524,-0.20027,0.36508,3.97652582159624,4.68745531263532,-0.172363228699552,1.04908045977012
"FALSE POSITIVE",5471059,"K03956.02",0.5519696,2.44,-4.041e-05,-0.051388,-0.69835,0.70024,3.97652582159624,3.94298808894261,-0.96214501510574,1.24819964349376
"FALSE POSITIVE",7458309,"K03957.01",0.2921584,1.578,0,-8.9135,2.4843,9.2532,3.5672268907563,2.78462616519747,-38.5605263157895,51.6938547486034
"FALSE POSITIVE",7777372,"K03958.01",0.4124792,3.71,0.000311,0.61485,-6.5634,6.5921,3.32666666666667,5.07824883525023,0.957799607072692,7.15754614549403
"FALSE POSITIVE",9282769,"K03959.01",0.2877192,0,-0.0002531,-8.2705,3.1339,8.8444,3.24403183023873,0,-6.94273504273504,7.37033333333333
"FALSE POSITIVE",7777416,"K03960.01",0.4898258,1.134,0.0001303,-2.8661,-3.391,4.44,3.50813008130081,1.5009540842288,0,30.4109589041096
"FALSE POSITIVE",7597005,"K03961.01",0.4610516,3.086,-0.001488,3.643,1.6658,4.0057,3.18238993710692,6.96691220867045,12.4287234042553,14.5134057971014
"FALSE POSITIVE",5479717,"K03962.01",0.5028652,0,0.001132,-5.768,-0.54563,5.7937,7.16494845360825,0,-79.5154185022026,84.2107558139535
"FALSE POSITIVE",3764714,"K03963.01",0.2571796,0.8813,-0.0004473,-0.048408,-0.0061779,0.048801,2.49955634427684,1.98794106218029,0.371904761904762,0.580964285714286
"FALSE POSITIVE",9957351,"K03964.01",0.3798592,17.79,-0.001338,-0.16556,-0.11748,0.20301,12.5652173913043,25.6140350877193,0.252603550295858,2.76204081632653
"FALSE POSITIVE",5385575,"K03965.01",0.7327704,23.31,-0.001145,0.69302,1.1052,1.3045,14.0188679245283,27.7590200445434,1.36426573426573,1.79683195592287
"CANDIDATE",3732035,"K03966.01",0.4365568,9.12,-0.0002273,-0.11111,0.30817,0.32759,6.19444444444445,10.2118520594004,0.196657024793388,0.599981684981685
"FALSE POSITIVE",5385697,"K03967.01",0.4621466,21.97,-0.0001382,-1.5298,-0.81961,1.7355,3.94685990338164,27.0335058718762,-7.34248927038627,4.6156914893617
"FALSE POSITIVE",5385697,"K03967.02",0.4621466,9.363,4.798e-05,-1.6101,-2.2519,2.7683,3.94685990338164,11.8770366936018,-3.26181818181818,5.15512104283054
"FALSE POSITIVE",8823833,"K03968.01",0.4039014,3.084,5.068e-05,-1.2474,-1.2986,1.8007,4.60194174757282,6.11994715984148,-3.78686991869919,4.50175
"FALSE POSITIVE",5475494,"K03969.01",0.3599884,2.961,-0.0007002,3.5513,2.3308,4.2478,3.67003367003367,6.57107438016529,16.7584112149533,12.2063218390805
"FALSE POSITIVE",9412445,"K03970.01",0.6477596,1.095,-0.001743,5.3681,3.1291,6.2136,22.2,1.81496458652374,16.7102236421725,20.78127090301
"FALSE POSITIVE",6057684,"K03972.01",0.47428,2.273,0,-5.6653,-6.3876,8.538,2.98198198198198,6.21273437886509,-80.109649122807,120.763790664781
"FALSE POSITIVE",11568224,"K03973.01",0.228188,0.9422,6.392e-06,-0.20684,-0.40501,0.45477,3.60079051383399,1.21650244140012,-0.30655905511811,1.1542385786802
