"koi_disposition","kepid","kepoi_name","tce_ror","tce_model_snr","tce_nkoi","tcet_ingress","tcet_depth","tce_max_sngle_ev","tce_rb_tcount4","tce_fwm_sdeco","tce_fwm_pdeco","tce_dicco_msky","tce_dor_sn","tce_fwm_sdec_sn"
"FALSE POSITIVE",9635529,"K07206.01",0.53206721,25170,1,2.243,223700,4500,0,-0.2236,0,0.004768,1328.00461133796,956262639.175258
"FALSE POSITIVE",9637299,"K07207.01",0.32532295,-1,1,1.249,340500,1597,0,0,0,0.0046129,-9.533626,0
"CANDIDATE",9640123,"K07209.01",0.0079473709,9.113,1,6.308e-07,47.19,5.302,0,-0.3383,1.966e-05,0.46406,0.373175651005246,118040.34605598
"FALSE POSITIVE",9640921,"K07210.01",0.14570857,243.3,2,2.474,11490,70,0,-0.05138,0.0002379,0.0086715,45.2193825136297,2586977.4301676
"FALSE POSITIVE",9640921,"K07210.02",0.11042976,228.4,2,1.922,10420,72.97,0,-0.1147,0.0008954,0.06148,98.1758410528851,2315343.9
"FALSE POSITIVE",9641031,"K07211.01",0.15803394,-1,1,1.53,401600,3870,0,-0.9039,0.2733,2.2716,-7.7085843,458652366.336634
"FALSE POSITIVE",9641103,"K07212.01",0.0058032076,7.525,1,1.212,43.53,3.293,0,0.171,-1.409e-05,1.8479,0.446291472777692,108110.948717949
"FALSE POSITIVE",9644411,"K07213.01",0.021309749,8.564,1,0.8925,577.3,3.158,0,-4.108,0.00118,9.2025,0.307324813694054,129028.846796657
"FALSE POSITIVE",9644683,"K07214.01",2.5302881e-05,0.0001132,1,1.565,1345,4.386,0,0,0,6.7507,0.0016489137107514,0
"CANDIDATE",9651602,"K07215.01",0.010512142,9.251,1,0.03716,97.93,3.746,0,-2.584,0.0002413,0.85385,0.287766482131371,101455.256017505
"FALSE POSITIVE",9652166,"K07216.01",0.0019818648,3.709,1,2.273,36.26,4.139,0,0,0,0.73883,1.01493030022309,0
"FALSE POSITIVE",9652632,"K07217.01",0.46076865,18090,1,2.183,128100,2587,0,-0.1506,-0.003319,0.020407,4324.94766341477,888874664.107486
"FALSE POSITIVE",9655424,"K07218.01",0.008091074,9.65,1,2.845,84.45,3.372,0,-0.8673,-2.846e-05,5.5777,2.03707852647447,733938.652931854
"CANDIDATE",9658089,"K07220.01",0.0086465081,11.45,1,0.071,55.14,3.332,0,1.507,-5.259e-05,0.83582,0.404587159070347,153967.936877076
"FALSE POSITIVE",9665503,"K07221.01",0.5,-1,1,2.277,412300,2630,0,-0.1154,0,0.41699,-37.800012,226136917.073171
"FALSE POSITIVE",9673173,"K07222.01",0.47509289,3558,1,2.814,120700,1400,0,0.1129,-0.001106,0.019339,404.076047996426,124584142.473118
"CANDIDATE",9674320,"K07223.01",0.020626721,10.48,1,0.004977,397.6,5.991,0,0.7946,0.0001522,0.62615,0.482722229098761,202358.519650655
"FALSE POSITIVE",9711751,"K07225.01",0.33471283,6176,1,1.369,129600,1705,0,-0.09067,-0.000297,0.0076928,1586.60286537171,442222428.571428
"FALSE POSITIVE",9762514,"K07227.01",0.016188415,10.72,1,0.3074,180,3.016,0,4.299,-0.0008035,5.8821,0.380288941729265,130480.711484594
"FALSE POSITIVE",9762519,"K07228.01",0.4374762,7193,1,1.3,115700,1316,0,0.3459,0.001421,0.015601,3481.16216886834,193288323.651452
"FALSE POSITIVE",9777062,"K07229.01",0.25492702,-1,1,2.683,263100,3137,0,-0.01948,0.0009519,0.010034,-40.844455,800510395.189003
"FALSE POSITIVE",9786821,"K07230.01",0.16708368,1642,1,0.7575,12930,368.5,0,0.01794,0,0.016271,172.186944335165,26906845.6647399
"FALSE POSITIVE",9790965,"K07231.01",0.20069503,1555,2,2.347,28980,225.2,0,0.1743,0.0008068,0.017142,353.512373183581,69325339.2857143
"CANDIDATE",9811915,"K07232.01",0.015045198,8.591,1,1.081,236.1,3.091,0,1.108,0,0.93182,0.24264460936499,92439.9366336634
"FALSE POSITIVE",9818732,"K07233.01",0.5,-1,1,4.045,411900,4359,0,-0.07488,0,0.013382,-85.82393,253797331.521739
"FALSE POSITIVE",9821078,"K07234.01",0.32046918,-1,1,1.534,461600,1895,0,-0.351,0.09031,0.068827,-16.97518,462026564.356436
"CANDIDATE",9837013,"K07236.01",0.010377713,8.355,1,0.7191,83.66,4.226,0,-0.07972,-3.526e-05,1.0648,0.460886380998178,103621.062222222
"FALSE POSITIVE",9850387,"K07238.01",0.45505481,1202,1,1.926,131300,180.7,0,-0.05059,-0.0002434,0.0044291,128.484304744771,274650094.117647
"FALSE POSITIVE",9850912,"K07239.01",0.019296433,11.39,1,1.651,339.5,4.416,0,3.828,-0.001206,2.2819,1.74457618787168,132672.877840909
"FALSE POSITIVE",9873869,"K07241.01",0.37389833,-1,1,1.529,256400,3393,0,0.1246,0.004018,0.010848,-17.446527,621237433.510638
"FALSE POSITIVE",9881258,"K07242.01",0.22881835,-1,1,1.844,118700,1284,0,-0.1196,0.0004736,0.0033883,-5.4699559,603791304.909561
"FALSE POSITIVE",9899153,"K07243.01",0.006603671,9.394,1,2.456,62.79,6.052,0,-2.41,0,11.944,0.580097180039133,134850.867435158
"FALSE POSITIVE",9899193,"K07244.01",0.0053822914,10.31,1,2.67,38.46,3.049,0,2.473,-6.875e-05,2.3881,1.37481880536503,270157.959537572
"FALSE POSITIVE",9899410,"K07245.01",0.0099139835,8.804,1,2.32,315.8,3.36,0,0.1499,-1.081e-05,1.0603,3.26158957498135,508815.364526659
"FALSE POSITIVE",9899421,"K07246.01",0.009911314,10.67,1,1.652,191.1,3.13,0,-0.6822,4.726e-05,6.5472,1.73441134729094,614588.449408673
