"koi_disposition","kepid","kepoi_name","tce_dor","tce_chisqgof","tce_slogg_prov","tce_rb_tcount3","tce_fwm_sra","tce_fwm_pdeco","tce_duration_sn","tce_insol_sn","tce_ptemp_sn","tce_fwm_sdeco_sn","tce_dikco_mra_sn"
"CANDIDATE",6462863,"K00094.02",39.151885,2829,23,0,19.822209,-4.452e-05,132.688499619193,3.76164383561644,1.50714542798467,1.16778523489933,0.168748299319728
"CANDIDATE",6462863,"K00094.03",11.124592,1333,23,0,19.822209,-0.0001318,58.3870615233308,3.76247535264675,7.95291193181818,3.46153846153846,2.558934169279
"CANDIDATE",6462863,"K00094.04",3.4272719,1333,23,0,19.822201,-2.14e-05,14.4943820224719,3.76273811367508,7.5903128930414,0.855274261603375,-1.03825327510917
"CANDIDATE",5780885,"K00097.01",6.818156,166700,0,0,19.238768,-2.272e-05,1082.10961737332,13.644682320442,38.1904761904762,-56.2573099415205,-0.508906705539359
"CANDIDATE",10264660,"K00098.01",7.4452067,19940,0,0,19.180586,-0.0002271,416.120218579235,12.4704049844237,14.2527109128663,-12.4520255863539,-2.21588921282799
"CANDIDATE",4055765,"K00100.01",6.2580941,2432,4,0,19.41186,-1.491e-05,174.653739612188,2.83185943009075,12.805727417359,0.844507042253521,0.303263041065483
"CANDIDATE",8456679,"K00102.01",2.8113917,12570,23,0,19.980318,-0.001065,146.290971822887,4.37030587043252,9.27635080769945,-22.2027972027972,0.428087201125176
"FALSE POSITIVE",8456679,"K00102.02",4.272634,1857,23,0,19.98032,-6.386e-05,7.86832164058284,4.37015484761811,6.50557180821367,-1.54903846153846,2.14056097560976
"CANDIDATE",2444412,"K00103.01",12.916366,2445,23,0,19.445551,-0.0001361,82.4921465968586,5.03571428571429,11.6565196158229,-2.91607142857143,-1.94994272623139
"CANDIDATE",10318874,"K00104.01",8.2823699,21310,20,0,18.746309,3.93e-06,58.8910133843212,8.58773861967695,9.11767665875925,6.57657657657658,-1.16848837209302
"CANDIDATE",8711794,"K00105.01",24.095217,2220,23,0,19.929126,8.027e-05,30.8478365000798,3.64491264131552,12.0165486006271,-1.24497936726272,-3.42954070981211
"FALSE POSITIVE",10489525,"K00106.01",2.3897446,3904,5,2,19.887885,0.03441,13.2253086419753,1.91975805727355,9.81393040165276,-1031.4371257485,-36.4893009985735
"CANDIDATE",11250587,"K00107.01",6.9751385,2403,0,0,19.655679,-2.081e-05,52.2684703433923,13.1301577669903,9.08627282491944,-0.14692513368984,-0.304710556186152
"CANDIDATE",4914423,"K00108.01",15.584545,1147,1,0,19.265641,-8.038e-05,46.0294117647059,11.8431542461005,12.4020185029436,2.51781472684086,0.216338028169014
"CANDIDATE",4914423,"K00108.02",74.830659,1364,1,0,19.26564,9.363e-05,110.38961038961,11.7826086956522,16.5765949067997,-0.325959367945824,-0.309731481481481
"FALSE POSITIVE",4752451,"K00109.01",2.896853,2598,5,0,19.563782,-0.006196,22.4124293785311,2.94912985274431,2.9919545935618,103.801020408163,17.9851851851852
"CANDIDATE",9450647,"K00110.01",11.60372,1986,23,0,18.970384,4.615e-05,45.1373504652193,4.26241782322863,13.6327021998468,3.58529411764706,0.311350806451613
"CANDIDATE",6678383,"K00111.01",11.867651,2398,23,0,19.173642,0.0001063,47.4684183931278,4.8041634541249,0,-8.91140776699029,0.99512331838565
"CANDIDATE",6678383,"K00111.02",34.79508,890.1,23,0,19.173641,6.937e-05,52.5993031358885,4.80635838150289,7.97329324372126,-5.37542372881356,-0.379063636363636
"CANDIDATE",6678383,"K00111.03",20.491748,1226,23,0,19.173645,3.642e-05,40.3455425017277,4.80162767039675,9.44138236240747,-5.04033613445378,1.716015625
"CANDIDATE",10984090,"K00112.01",37.096075,618.4,23,0,19.709913,7.995e-05,54.3205858421481,4.67692307692308,12.0440148698885,-0.458760330578512,-1.17306748466258
"CANDIDATE",10984090,"K00112.02",4.8413468,2125,23,0,19.709924,-5.047e-05,12.4030658250676,4.6746808312366,8.92160659628959,1.58456140350877,0.998993710691824
"FALSE POSITIVE",6721123,"K00114.01",2.8641087,2746,4,0,19.923953,-0.005549,47.7224880382775,2.99559797428905,2.83172103487064,108.513513513514,-63.7191011235955
"CANDIDATE",9579641,"K00115.01",7.0291747,4044,23,0,19.192488,-0.0001369,52.9280439635926,4.20059694067902,11.3751025991792,-2.56764705882353,-2.04948849104859
"CANDIDATE",9579641,"K00115.02",8.6525006,1227,23,0,19.192496,6.1e-05,13.2888295505118,4.20064608758076,10.9273073681896,-2.9292,-0.38856170212766
"CANDIDATE",9579641,"K00115.03",3.72343,2037,23,0,19.192473,-2.759e-06,10.5833598979917,4.20071927800774,4.53581290891799,-0.24,-0.169653614457831
"CANDIDATE",8395660,"K00116.01",14.77142,1091,20,0,20.057614,0.0001081,29.9826689774697,4.70508119434259,11.8956646021915,-0.0163417721518987,2.8609375
"CANDIDATE",8395660,"K00116.02",26.587799,567.2,20,0,20.057603,0.0001199,44.4336569579288,4.7,8.09973857506867,0.0594475138121547,0.886900826446281
"CANDIDATE",8395660,"K00116.03",7.300286,1728,20,0,20.057606,3.023e-05,8.88830897703549,4.7037307973665,4.05339905524748,-0.353409090909091,-0.631900900900901
"CANDIDATE",8395660,"K00116.04",17.743783,634.7,20,0,20.05763,-0.0001016,5.19951499118166,4.70246085011186,4.90960693504334,1.31724845995893,0.168925925925926
"CANDIDATE",10875245,"K00117.01",8.6796541,933.5,0,0,19.801878,0.000114,58.8198198198198,14.9491891891892,12.567817092034,-0.520973451327434,0.89037037037037
"CANDIDATE",10875245,"K00117.02",3.0181845,2413,0,0,19.801876,2.021e-05,15.8570820927265,14.953026702083,8.16712426883133,0.173273542600897,-0.0611115537848606
"CANDIDATE",10875245,"K00117.03",4.0658324,1889,0,0,19.80189,-1.23e-05,16.2075332348597,14.9514683922349,5.99731239833086,1.30789473684211,-2.78092
"CANDIDATE",10875245,"K00117.04",6.1308827,880.8,0,0,19.801885,-1.84e-05,7.87495843032923,14.9548693586698,3.25147476955145,0.757254901960784,0.665912087912088
"CANDIDATE",3531558,"K00118.01",17.620942,855.1,0,0,19.15753,0.0001512,24.8997134670487,13.6726457399103,10.4905271985667,-0.648763250883392,0.756136363636364
"CANDIDATE",9471974,"K00119.01",26.448078,2330,0,0,19.637288,-0.00188,183.541304691202,10.1085106382979,5.39392399918716,-15.4428571428571,4.05752293577982
"CANDIDATE",9471974,"K00119.02",65.925352,681,0,0,19.637286,-0.001,95.5373978629793,10.1558441558442,11.2703746620317,-6.91237113402062,1.90758474576271
"CANDIDATE",11869052,"K00120.01",31.249251,11050,5,0,19.62676,-0.0001147,2.59019537336689,2.20418204182042,3.68439716312057,0.998955613577023,-0.43369685767098
"FALSE POSITIVE",3247396,"K00121.01",3.9731298,1213,4,0,19.630734,0.001113,39.9018806214227,2.49110330056565,5.87876011930124,-14.0148514851485,5.78238770685579
"CANDIDATE",8349582,"K00122.01",13.562257,1459,1,0,18.965496,6.316e-05,41.3555486989612,11.2085732565579,5.83765424404836,-5.79768786127168,0.530631067961165
"CANDIDATE",5094751,"K00123.01",5.9559217,2126,1,0,19.359513,-4.27e-05,42.6245629370629,13.2122687439143,9.70835813281184,2.41744186046512,-1.86150234741784
"CANDIDATE",5094751,"K00123.02",16.00956,1011,1,0,19.359513,-7.224e-05,45.5729877216917,13.205047318612,10.8424422497489,2.60526315789474,-0.733618644067797
"CANDIDATE",11086270,"K00124.01",11.852267,903.6,23,0,19.528616,-4.62e-05,19.8412698412698,2.68267543859649,14.3403595505618,0.8705,0.433515923566879
"CANDIDATE",11086270,"K00124.02",29.431807,599.5,23,0,19.528606,6.819e-05,20.5016583747927,2.68240981777612,12.1441948334634,-0.994634146341463,0.3134
"CANDIDATE",11449844,"K00125.01",66.459158,34750,4,0,19.26015,-0.0003218,556.05876505026,4.82962962962963,14.492603115509,-16.9667738478028,0.636294117647059
"FALSE POSITIVE",5897826,"K00126.01",19.982292,1472000,4,0,19.831724,-0.0004284,464.885825075398,2.86929133858268,15.9692977296789,-3.74422442244224,-0.0451495844875346
"CANDIDATE",5897826,"K00126.02",26.436789,202.2,4,0,19.831687,0.0002066,0.89372178908494,2.86842105263158,0.86412555502257,-0.9125,0.051120253164557
"CANDIDATE",8359498,"K00127.01",9.6621609,121300,24,1,19.307198,0.0002158,433.426511696337,8.51203684320703,14.2135386737157,20.5305466237942,-0.0276991017964072
"CANDIDATE",11359879,"K00128.01",10.050962,153800,25,0,19.746706,-0.002235,694.925871789518,4.82315872390705,11.8417972831766,-36.8965517241379,0.115820474777448
"CANDIDATE",11974540,"K00129.01",29.000865,9995,26,0,19.800632,-0.0007078,323.037857802401,1.51016933614469,6.38556772601049,16.6893939393939,-0.0693333333333333
"CANDIDATE",5297298,"K00130.01",43.092217,60280,4,0,19.824022,0.000125,757.35294117647,3.16648451730419,17.3650029359953,-19.1437980241493,-0.487321428571429
"CANDIDATE",7778437,"K00131.01",8.6602385,28830,7,0,19.939837,-0.0005156,352.824427480916,2.44899041691715,8.0189527458493,-4.01359223300971,0.322919708029197
"FALSE POSITIVE",8892910,"K00132.01",10.219229,21580,7,0,19.627497,0.00159,440.944881889764,2.62536803674479,25.1796500479386,-15.3012820512821,0.147166172106825
"FALSE POSITIVE",11673674,"K00133.01",4.5038557,75480,7,0,19.820835,-0.01577,333.239118145845,2.68357955921531,28.8755155605549,195.304347826087,37.8759615384615
"FALSE POSITIVE",9032900,"K00134.01",230.49441,2161,4,0,19.705772,0.0002735,102.867072111208,3.08333333333333,24.0569105691057,-3.09308885754584,0.562098159509202
"CANDIDATE",9818381,"K00135.01",6.9001951,59880,27,0,19.016058,-0.0002718,517.688888888889,7.24760004986909,16.1789288463653,5.27361111111111,-0.189816643159379
"FALSE POSITIVE",7601633,"K00136.01",25.213422,4039,4,0,19.324896,0.0001242,126.782965623397,2.81608654750706,9.4084794619265,-0.527228915662651,-0.43994708994709
"CANDIDATE",8644288,"K00137.01",24.319192,12940,28,0,19.871961,0.0002559,108.372781065089,7.249430523918,0,-3.8693009118541,0.994010989010989
"CANDIDATE",8644288,"K00137.02",11.522149,7075,28,0,19.87196,0.0001639,108.345797188154,7.25211267605634,9.58638346292433,-3.51884057971014,0.840805084745763
"CANDIDATE",8644288,"K00137.03",6.0705671,1854,28,0,19.871959,-0.0001172,11.5702036441586,7.25,7.43685938232732,1.54255319148936,0.414472727272727
"FALSE POSITIVE",8506766,"K00138.01",31.349699,7320,7,0,19.729397,-0.003826,243.719896257873,2.48441838938599,9.98448519040903,-2.47824074074074,1.79275167785235
"CANDIDATE",8559644,"K00139.01",129.6812,2194,23,0,19.443545,-0.0001367,134.143377885784,4.2463768115942,10.6260254725105,0.00228571428571429,0.487875166002656
"CANDIDATE",8559644,"K00139.02",3.9245681,2790,23,0,19.443541,7.537e-05,12.0651747153514,4.26903390914907,9.79474770938186,-1.73089700996678,2.02417218543046
"FALSE POSITIVE",5130369,"K00140.01",6.3946589,9888,7,0,19.943926,-0.009659,69.3181818181818,2.01497640005103,18.8319912516155,97.3333333333333,58.8997134670487
"CANDIDATE",12105051,"K00141.01",7.4875631,76480,23,0,19.202545,0.0001692,94.4925742574257,5.14000708298902,8.47834419317746,-2.51160949868074,-4.20976331360947
"CANDIDATE",4649305,"K00143.01",23.269086,1918,7,0,19.34022,0.0001295,105.406943653956,2.15080576759966,25.1031191098681,-2.30700179533214,0.253706666666667
"CANDIDATE",4180280,"K00144.01",6.1059333,3672,23,1,19.768307,-1.631e-05,59.8933074684772,7.69128996692392,8.56087099967008,1.33620414673046,6.30307076101469
"CANDIDATE",9904059,"K00145.01",24.254299,274.2,29,0,19.787844,-0.0004518,47.562776957164,4.74627606752731,12.1979462304557,0.86,-0.368329896907217
"FALSE POSITIVE",9048161,"K00146.01",5.6928399,63850,7,0,19.959568,-0.05926,21.8553459119497,1.32366812227074,11.8150676581738,870.754716981132,-66.8304347826087
"FALSE POSITIVE",1996679,"K00147.01",91.051574,1045,7,0,19.099484,-0.01246,35.2960312296682,2.63054187192118,4.36223784908179,19.9347826086956,47.1038107752957
"CANDIDATE",5735762,"K00148.01",13.508573,1777,20,0,19.942621,-4.434e-05,42.5098231827112,7.253125,8.98572186580483,-4.45745992601726,2.35386138613861
"CANDIDATE",5735762,"K00148.02",5.7899374,2511,20,0,19.942617,3.226e-05,32.3873483535529,7.24959349593496,9.40313196935906,-3.7390625,1.81156756756757
"CANDIDATE",5735762,"K00148.03",32.242941,412.8,20,0,19.942617,-0.0001775,25.5484421681605,7.24242424242424,11.258201754386,-0.384502164502165,-1.7316339869281
"CANDIDATE",3835670,"K00149.01",11.027106,1986,23,0,19.108671,-2.098e-05,79.4753241531812,3.32071478956031,8.59290196927072,0.479732739420935,-2.06045503791983
"CANDIDATE",7626506,"K00150.01",12.031801,1784,16,0,19.798737,0.0003416,34.1392285983067,6.49743918053777,8.5994460792799,3.83987603305785,3.48654104979812
"CANDIDATE",7626506,"K00150.02",32.274046,563.9,16,0,19.798739,0.0005166,26.140350877193,6.49346405228758,9.56335982571509,1.22080536912752,2.15925619834711
"CANDIDATE",2307199,"K00151.01",13.224587,987.9,7,0,19.491653,0.0003652,58.7185268695979,2.51652638062,16.6690348004662,-5.14895104895105,0.450609756097561
"CANDIDATE",8394721,"K00152.01",39.525752,1950,16,0,20.034492,-0.0006164,119.49209779819,3.98358413132695,8.20382531309434,1.41077441077441,1.14650632911392
"CANDIDATE",8394721,"K00152.02",9.9472174,1173,16,0,20.034491,7.225e-05,40.9459459459459,3.98397291196388,11.2560149034841,-1.39415204678363,-1.43276595744681
"CANDIDATE",8394721,"K00152.03",15.90715,1063,16,0,20.034496,-8.218e-06,43.9988081048868,3.98431144683324,8.70405409695546,-0.639130434782609,-0.218736842105263
"CANDIDATE",8394721,"K00152.04",97.137913,137.2,16,0,20.034498,0.0002121,3.92089321772182,3.98765432098765,6.02219248672579,-0.80618932038835,0.653571428571429
"CANDIDATE",12252424,"K00153.01",6.7505519,2728,20,0,19.199861,4.709e-05,37.1981994270904,8.45796241345203,6.48382572104848,-0.338878504672897,-1.12850589777195
"CANDIDATE",12252424,"K00153.02",15.177483,1450,20,0,19.199859,8.51e-05,25.3554939981533,8.46788990825688,9.6299464650367,-0.540353982300885,-2.0632380952381
