"koi_disposition","kepid","kepoi_name","tce_duration","tce_fwm_pdeco","tce_dicco_mra"
"CANDIDATE",10318874,"K00104.01",1.232,3.93e-06,-0.025835
"CANDIDATE",8711794,"K00105.01",1.932,8.027e-05,0.067395
"FALSE POSITIVE",10489525,"K00106.01",2.571,0.03441,-2.5047
"CANDIDATE",11250587,"K00107.01",5.023,-2.081e-05,-0.0070143
"CANDIDATE",4914423,"K00108.01",4.695,-8.038e-05,0.043414
"CANDIDATE",4914423,"K00108.02",13.6,9.363e-05,0.017022
"FALSE POSITIVE",4752451,"K00109.01",3.967,-0.006196,1.1671
"CANDIDATE",9450647,"K00110.01",4.075,4.615e-05,-0.10825
"CANDIDATE",6678383,"K00111.01",4.697,0.0001063,0.078663
"CANDIDATE",6678383,"K00111.02",7.548,6.937e-05,-0.04264
"CANDIDATE",6678383,"K00111.03",5.838,3.642e-05,0.22143
"CANDIDATE",10984090,"K00112.01",6.676,7.995e-05,-0.12404
"CANDIDATE",10984090,"K00112.02",2.751,-5.047e-05,0.2433
"FALSE POSITIVE",6721123,"K00114.01",4.987,-0.005549,-4.5056
"CANDIDATE",9579641,"K00115.01",3.082,-0.0001369,-0.029603
"CANDIDATE",9579641,"K00115.02",2.986,6.1e-05,0.032771
"CANDIDATE",9579641,"K00115.03",3.32,-2.759e-06,0.010174
"CANDIDATE",8395660,"K00116.01",3.46,0.0001081,0.25548
"CANDIDATE",8395660,"K00116.02",6.865,0.0001199,0.11617
"CANDIDATE",8395660,"K00116.03",3.406,3.023e-05,-0.79301
"CANDIDATE",8395660,"K00116.04",4.717,-0.0001016,0.14671
"CANDIDATE",10875245,"K00117.01",6.529,0.000114,0.34399
"CANDIDATE",10875245,"K00117.02",3.728,2.021e-05,0.12175
"CANDIDATE",10875245,"K00117.03",4.389,-1.23e-05,-0.56844
"CANDIDATE",10875245,"K00117.04",4.736,-1.84e-05,0.7498
"CANDIDATE",3531558,"K00118.01",6.083,0.0001512,-0.13631
"CANDIDATE",9471974,"K00119.01",11.62,-0.00188,-0.0046905
"CANDIDATE",9471974,"K00119.02",15.2,-0.001,0.38712
"CANDIDATE",11869052,"K00120.01",2.161,-0.0001147,-0.27306
"FALSE POSITIVE",3247396,"K00121.01",4.88,0.001113,0.41494
"CANDIDATE",8349582,"K00122.01",4.021,6.316e-05,0.068426
"CANDIDATE",5094751,"K00123.01",3.901,-4.27e-05,-0.13296
"CANDIDATE",5094751,"K00123.02",6.681,-7.224e-05,-0.045341
"CANDIDATE",11086270,"K00124.01",4,-4.62e-05,0.0077252
"CANDIDATE",11086270,"K00124.02",4.945,6.819e-05,0.021682
"CANDIDATE",11449844,"K00125.01",5.034,-0.0003218,0.0040706
"FALSE POSITIVE",5897826,"K00126.01",10.79,-0.0004284,-0.041871
"CANDIDATE",5897826,"K00126.02",21.78,0.0002066,0.11138
"CANDIDATE",8359498,"K00127.01",2.946,0.0002158,0.001952
"CANDIDATE",11359879,"K00128.01",3.328,-0.002235,-0.10254
"CANDIDATE",11974540,"K00129.01",6.997,-0.0007078,-0.19497
"CANDIDATE",5297298,"K00130.01",5.459,0.000125,0.0065741
"CANDIDATE",7778437,"K00131.01",4.622,-0.0005156,0.041898
"FALSE POSITIVE",8892910,"K00132.01",4.48,0.00159,0.010143
"FALSE POSITIVE",11673674,"K00133.01",5.895,-0.01577,1.8226
"FALSE POSITIVE",9032900,"K00134.01",11.84,0.0002735,-0.0072278
"CANDIDATE",9818381,"K00135.01",2.912,-0.0002718,-0.0074515
"FALSE POSITIVE",7601633,"K00136.01",2.471,0.0001242,-0.0021668
"CANDIDATE",8644288,"K00137.01",3.663,0.0002559,0.037812
"CANDIDATE",8644288,"K00137.02",3.622,0.0001639,0.022208
"CANDIDATE",8644288,"K00137.03",2.159,-0.0001172,0.038319
"FALSE POSITIVE",8506766,"K00138.01",6.578,-0.003826,0.084493
"CANDIDATE",8559644,"K00139.01",11.04,-0.0001367,0.015243
"CANDIDATE",8559644,"K00139.02",3.073,7.537e-05,0.28866
"FALSE POSITIVE",5130369,"K00140.01",10.37,-0.009659,4.1715
"CANDIDATE",12105051,"K00141.01",1.527,0.0001692,-0.029322
"CANDIDATE",4649305,"K00143.01",3.704,0.0001295,-0.033345
"CANDIDATE",4180280,"K00144.01",3.705,-1.631e-05,-0.049963
"CANDIDATE",9904059,"K00145.01",16.1,-0.0004518,-0.054738
"FALSE POSITIVE",9048161,"K00146.01",4.865,-0.05926,-0.86302
"FALSE POSITIVE",1996679,"K00147.01",5.425,-0.01246,3.5815
"CANDIDATE",5735762,"K00148.01",3.462,-4.434e-05,0.20286
"CANDIDATE",5735762,"K00148.02",2.99,3.226e-05,0.13927
"CANDIDATE",5735762,"K00148.03",5.986,-0.0001775,-0.30167
"CANDIDATE",3835670,"K00149.01",7.907,-2.098e-05,-0.078837
"CANDIDATE",7626506,"K00150.01",3.629,0.0003416,0.014202
"CANDIDATE",7626506,"K00150.02",5.066,0.0005166,0.022105
"CANDIDATE",2307199,"K00151.01",3.125,0.0003652,0.04166
"CANDIDATE",8394721,"K00152.01",8.846,-0.0006164,0.047842
"CANDIDATE",8394721,"K00152.02",5.454,7.225e-05,-0.25099
"CANDIDATE",8394721,"K00152.03",7.383,-8.218e-06,-0.077352
"CANDIDATE",8394721,"K00152.04",3.301,0.0002121,0.11963
"CANDIDATE",12252424,"K00153.01",2.727,4.709e-05,-0.010089
"CANDIDATE",12252424,"K00153.02",2.746,8.51e-05,-0.11412
"CANDIDATE",8030148,"K00155.01",4.781,-0.000103,0.20345
"CANDIDATE",10925104,"K00156.01",3.121,-0.0006337,-0.24479
"CANDIDATE",10925104,"K00156.02",3.048,-0.0002523,-0.22372
"CANDIDATE",10925104,"K00156.03",2.861,-9.972e-05,-0.31447
"CANDIDATE",6541920,"K00157.01",4.46,0.0002749,-0.057454
"CANDIDATE",6541920,"K00157.02",4.795,0.0001231,-0.10553
"CANDIDATE",6541920,"K00157.03",5.625,0.0002936,-0.11119
"CANDIDATE",6541920,"K00157.04",9.7,0.0002123,0.013053
"CANDIDATE",6541920,"K00157.05",7.276,0.0001472,-0.035312
"CANDIDATE",6541920,"K00157.06",4.61,0.0001207,0.11904
"FALSE POSITIVE",10555375,"K00158.01",4.027,0.002798,-5.2008
"CANDIDATE",8972058,"K00159.01",4.321,-1.057e-05,-0.019303
"CANDIDATE",8972058,"K00159.02",1.605,-3.242e-05,0.38879
"CANDIDATE",6631721,"K00160.01",3.361,-0.001993,1.9883
"CANDIDATE",5084942,"K00161.01",1.799,4.776e-05,-0.025322
"CANDIDATE",8107380,"K00162.01",4.744,7.939e-05,0.15795
"CANDIDATE",6851425,"K00163.01",3.432,0.0001603,-0.19627
"FALSE POSITIVE",5652237,"K00164.01",3.825,-0.002663,8.7454
"CANDIDATE",9527915,"K00165.01",2.953,-0.0005696,0.025655
"CANDIDATE",2441495,"K00166.01",2.401,0.0001245,-0.17344
"CANDIDATE",11666881,"K00167.01",4.434,2.635e-06,-0.074491
"CANDIDATE",11512246,"K00168.01",6.758,0,-0.10513
"CANDIDATE",11512246,"K00168.02",6.26,0,-0.32593
"CANDIDATE",11512246,"K00168.03",5.63,0,-0.018478
"FALSE POSITIVE",6185711,"K00169.01",2.637,-0.003187,8.9251
"FALSE POSITIVE",11044770,"K00170.01",6.066,-0.003068,6.6068
"CANDIDATE",7831264,"K00171.01",3.792,-4.498e-05,0.022942
"CANDIDATE",7831264,"K00171.02",3.17,-1.641e-05,0.091483
"CANDIDATE",8692861,"K00172.01",5.244,-2.721e-05,0.038507
"CANDIDATE",8692861,"K00172.02",13.58,-0.0002438,0.081083
"CANDIDATE",11402995,"K00173.01",4.806,-0.0001396,-0.033587
"CANDIDATE",10810838,"K00174.01",3.467,-0.0002601,0.1004
"FALSE POSITIVE",8323753,"K00175.01",3.189,-0.00253,6.3516
"CANDIDATE",6442377,"K00176.01",6.665,-2.005e-05,-0.13573
"CANDIDATE",6803202,"K00177.01",5.337,-8.769e-05,0.35083
"FALSE POSITIVE",11455491,"K00178.01",5.66,0.007375,-7.811
"CANDIDATE",9663113,"K00179.01",10.46,-0.0001572,0.10317
"CANDIDATE",9663113,"K00179.02",24.21,-4.92e-05,-0.06726
"CANDIDATE",9573539,"K00180.01",3.386,-2.201e-05,-0.048606
"FALSE POSITIVE",12504988,"K00181.01",3.963,0.002842,-0.088231
"CANDIDATE",5376836,"K00182.01",3.485,8.307e-05,0.027601
"CANDIDATE",9651668,"K00183.01",2.726,-0.001386,-0.0077429
"FALSE POSITIVE",7972785,"K00184.01",5.826,0.00109,-0.0050476
"FALSE POSITIVE",4178389,"K00185.01",3.1,-0.009349,-0.15274
"CANDIDATE",12019440,"K00186.01",3.066,-0.0008932,0.020264
"FALSE POSITIVE",7023960,"K00187.01",5.395,-0.0006482,-0.0049849
"CANDIDATE",5357901,"K00188.01",2.364,-4.848e-05,-0.00068522
"CANDIDATE",11391018,"K00189.01",6.043,-0.0003632,0.0013326
"FALSE POSITIVE",5771719,"K00190.01",4.775,2.5e-05,-0.042299
"CANDIDATE",5972334,"K00191.01",4.176,-0.0001327,-0.14796
"CANDIDATE",5972334,"K00191.02",2.237,1.011e-05,-0.33149
"CANDIDATE",5972334,"K00191.03",1.639,7.048e-06,0.38396
"CANDIDATE",5972334,"K00191.04",5.857,0.0004393,-0.084037
"CANDIDATE",7950644,"K00192.01",4.308,0.0004139,-0.0040283
"FALSE POSITIVE",10799735,"K00193.01",4.435,0.0007782,-0.10686
"CANDIDATE",10904857,"K00194.01",2.224,0.000865,-0.014866
"CANDIDATE",11502867,"K00195.01",2.197,0.001059,-0.0018042
"CANDIDATE",9410930,"K00196.01",2.452,-0.000621,0.0026833
"CANDIDATE",2987027,"K00197.01",3.962,-0.0001924,0.0033058
"FALSE POSITIVE",10666242,"K00198.01",4.157,-0.0004984,0.013664
"CANDIDATE",10019708,"K00199.01",3.553,0.002655,-0.0080425
"FALSE POSITIVE",10019708,"K00199.02",9.345,-0.04034,1.1558
"CANDIDATE",6046540,"K00200.01",3.092,-0.0005434,-0.017549
"CANDIDATE",6849046,"K00201.01",2.873,0,-0.0063274
"CANDIDATE",7877496,"K00202.01",2.031,-0.003873,0.060757
"CANDIDATE",10619192,"K00203.01",2.285,-0.01007,-0.010573
"CANDIDATE",9305831,"K00204.01",3.157,0.004011,0.010869
"CANDIDATE",7046804,"K00205.01",3.091,-0.001331,-0.017029
"CANDIDATE",5728139,"K00206.01",6.266,-0.001888,-0.013354
"CANDIDATE",3762468,"K00208.01",3.304,-0.00131,0.010908
"CANDIDATE",10723750,"K00209.01",10.89,-0.0001567,0.00089406
"CANDIDATE",10723750,"K00209.02",7.514,0.0002356,-0.015049
"FALSE POSITIVE",10602291,"K00210.01",3.409,-0.0003883,-0.006656
"CANDIDATE",10656508,"K00211.01",4.877,0.001418,-0.031225
"CANDIDATE",6300348,"K00212.01",3.621,-0.000638,0.13192
"FALSE POSITIVE",9164836,"K00213.01",5.281,-0.0008935,0.061682
"CANDIDATE",11046458,"K00214.01",1.467,-0.001449,-0.0025848
"FALSE POSITIVE",12508335,"K00215.01",3.734,0.002166,-0.050789
"CANDIDATE",6152974,"K00216.01",3.272,-0.0009789,-0.065616
"CANDIDATE",6152974,"K00216.02",2.802,-6.409e-06,0.3534
"CANDIDATE",9595827,"K00217.01",2.857,0.0009357,-0.011075
"FALSE POSITIVE",9838975,"K00218.01",3.907,-0.0001226,-0.0026372
"CANDIDATE",6305192,"K00219.01",5.538,0.0002142,0.0036646
"CANDIDATE",7132798,"K00220.01",2.672,0.0002716,0.0074942
"CANDIDATE",7132798,"K00220.02",3.002,0.0001799,0.88887
"CANDIDATE",3937519,"K00221.01",2.676,-5.973e-05,0.00043172
"CANDIDATE",3937519,"K00221.02",3.295,0.0001177,-0.39643
"CANDIDATE",4249725,"K00222.01",2.91,-0.0002413,-0.1153
"CANDIDATE",4249725,"K00222.02",3.568,-4.172e-05,-0.14568
"CANDIDATE",4545187,"K00223.01",1.629,-0.0002351,0.0069468
"CANDIDATE",4545187,"K00223.02",4.064,0.0003081,-0.19846
"FALSE POSITIVE",5547480,"K00224.01",2.251,0.005859,-2.866
"FALSE POSITIVE",5801571,"K00225.01",1.478,-0.001055,0.051701
"CANDIDATE",5959753,"K00226.01",3.719,0.0002362,-0.033606
"CANDIDATE",3847907,"K00229.01",3.004,0.000767,0.38851
"FALSE POSITIVE",3862246,"K00230.01",2.312,-0.002638,-0.5708
"FALSE POSITIVE",4043443,"K00231.01",3.611,-0.0003026,-0.047019
"CANDIDATE",4833421,"K00232.01",5.151,0.0002824,0.034032
"CANDIDATE",4833421,"K00232.02",3.925,1.418e-05,-0.052012
"CANDIDATE",4833421,"K00232.03",8.148,8.637e-05,0.19628
"CANDIDATE",4833421,"K00232.04",4.897,3.759e-05,0.24858
"CANDIDATE",4833421,"K00232.05",8.461,0.0001127,-0.075776
"FALSE POSITIVE",5023956,"K00233.01",3.826,-0.2306,-2.4965
"CANDIDATE",8491277,"K00234.01",4.783,0.0001132,0.02546
"CANDIDATE",8107225,"K00235.01",2.235,-6.52e-05,0.22303
"FALSE POSITIVE",8453211,"K00236.01",6.766,0.05002,0
"CANDIDATE",8041216,"K00237.01",3.772,5.715e-05,0.012907
"CANDIDATE",7219825,"K00238.01",4.587,-0.0002136,0.32958
"CANDIDATE",7219825,"K00238.02",16.37,0.0001266,-0.70419
"CANDIDATE",7219825,"K00238.03",4.651,-3.247e-05,-0.38805
"CANDIDATE",6383785,"K00239.01",3.041,0.001095,0.27704
"CANDIDATE",6383785,"K00239.02",2.847,0.000182,0.39692
"CANDIDATE",8026752,"K00240.01",4.279,-0.0001089,0.088608
"CANDIDATE",11288051,"K00241.01",3.919,-0.0001273,0.027615
"CANDIDATE",11288051,"K00241.02",5.586,-2.438e-05,0.41199
"CANDIDATE",11288051,"K00241.03",2.38,-6.079e-06,0.11504
"FALSE POSITIVE",3642741,"K00242.01",5.798,-0.0005473,-0.10886
"FALSE POSITIVE",9592579,"K00243.01",5.705,0,-1.4016
"CANDIDATE",4349452,"K00244.01",2.882,1.748e-05,0.55429
"CANDIDATE",4349452,"K00244.02",3.797,-3.298e-05,0.77564
"CANDIDATE",8478994,"K00245.01",4.602,-0.0006645,2.1115
"CANDIDATE",8478994,"K00245.02",3.934,-2.097e-05,-1.2964
"CANDIDATE",11295426,"K00246.01",3.53,0.0001224,-1.2465
"CANDIDATE",11295426,"K00246.02",3.043,1.555e-05,-0.21396
"CANDIDATE",11852982,"K00247.01",2.467,-0.0001805,-0.050116
"CANDIDATE",5364071,"K00248.01",2.829,1.155e-05,-0.1002
"CANDIDATE",5364071,"K00248.02",1.839,-0.0001929,-0.10165
"CANDIDATE",5364071,"K00248.03",3.067,0.00012,0.11001
"CANDIDATE",5364071,"K00248.04",2.376,6.385e-05,-0.15231
"CANDIDATE",9390653,"K00249.01",1.764,0.001125,-0.68752
"CANDIDATE",9757613,"K00250.01",3.002,-0.0006605,-0.084862
"CANDIDATE",9757613,"K00250.02",2.339,0.0005987,-0.1182
"CANDIDATE",9757613,"K00250.03",1.955,-0.001088,-0.045284
"CANDIDATE",9757613,"K00250.04",2.159,1.369e-05,0.1246
"CANDIDATE",10489206,"K00251.01",1.915,0.003124,0.036436
"CANDIDATE",10489206,"K00251.02",1.782,0.000733,0.38913
"CANDIDATE",11187837,"K00252.01",3.761,0.001501,-0.038525
"CANDIDATE",11752906,"K00253.01",1.986,-0.001851,-0.30118
"CANDIDATE",11752906,"K00253.02",4.158,-0.0009121,-0.053239
"CANDIDATE",5794240,"K00254.01",1.795,0.001127,-0.012995
"CANDIDATE",7021681,"K00255.01",4.119,0.0005278,0.16181
"CANDIDATE",7021681,"K00255.02",2.658,9.378e-05,1.3281
"FALSE POSITIVE",7021681,"K00255.03",3.007,5.038e-05,1.1225
"FALSE POSITIVE",11548140,"K00256.01",0.907,0.005516,0.10959
"CANDIDATE",5514383,"K00257.01",2.207,1.996e-05,-0.20378
"FALSE POSITIVE",11231334,"K00258.01",6.814,-0.0004082,2.8744
"FALSE POSITIVE",5790807,"K00259.01",6.332,0.0008155,1.7367
"CANDIDATE",8292840,"K00260.01",10.92,2.98e-05,-1.32
"CANDIDATE",8292840,"K00260.02",4.977,2.496e-05,-0.94305
"CANDIDATE",8292840,"K00260.03",6.069,-4.803e-05,-0.80584
"CANDIDATE",5383248,"K00261.01",4.002,0.0003686,1.1173
"CANDIDATE",11807274,"K00262.01",2.269,8.71e-05,-0.63284
"CANDIDATE",11807274,"K00262.02",5.08,9.769e-06,-0.17723
"FALSE POSITIVE",10514430,"K00263.01",2.064,0.0001081,4.2177
"FALSE POSITIVE",3097346,"K00264.01",3.958,0.003282,8.6079
"CANDIDATE",12024120,"K00265.01",3.353,0,0.13304
"CANDIDATE",7375348,"K00266.01",5.809,-3.581e-05,0.26258
"CANDIDATE",7375348,"K00266.02",3.071,5.644e-05,-0.088459
"CANDIDATE",3425851,"K00268.01",12.41,0.0002751,-0.071831
"CANDIDATE",7670943,"K00269.01",6.64,-9.293e-07,-0.34238
"CANDIDATE",6528464,"K00270.01",6.528,-3.823e-05,0.19418
"CANDIDATE",6528464,"K00270.02",8.302,5.287e-06,-1.2166
"CANDIDATE",9451706,"K00271.01",7.184,-0.0001935,1.1435
"CANDIDATE",9451706,"K00271.02",7.213,-0.0002452,1.197
"CANDIDATE",9451706,"K00271.03",3.556,-5.742e-05,1.1964
"FALSE POSITIVE",5716763,"K00272.01",0.6652,-7.925e-06,0.15059
"CANDIDATE",3102384,"K00273.01",1.823,0.0001089,0.14304
"CANDIDATE",8077137,"K00274.01",6.353,-1.238e-05,0.54717
"CANDIDATE",8077137,"K00274.02",5.202,5.213e-05,-0.016052
"CANDIDATE",10586004,"K00275.01",7.43,7.346e-07,0.39896
"CANDIDATE",10586004,"K00275.02",11.05,-7.603e-06,-0.65066
"CANDIDATE",11133306,"K00276.01",4.844,5.465e-05,0.15947
"CANDIDATE",11401755,"K00277.01",7.976,-1.709e-05,-0.0020894
"CANDIDATE",11401755,"K00277.02",14.82,-5.24e-05,0.25416
"CANDIDATE",12314973,"K00279.01",8.221,-2.576e-05,0.081141
"CANDIDATE",12314973,"K00279.02",7.102,9.559e-05,-0.16724
"CANDIDATE",12314973,"K00279.03",5.348,-3.869e-06,-0.65663
"CANDIDATE",4141376,"K00280.01",2.538,-6.148e-05,0.17889
"CANDIDATE",4143755,"K00281.01",8.156,1.483e-05,0.020841
"CANDIDATE",5088536,"K00282.01",5.997,-7.086e-06,-0.16034
"CANDIDATE",5088536,"K00282.02",3.409,2.572e-05,0.21876
"CANDIDATE",5088536,"K00282.03",1.971,6.797e-05,-0.20015
"CANDIDATE",5695396,"K00283.01",3.058,-6.445e-05,-0.67774
"CANDIDATE",5695396,"K00283.02",5.15,-1.569e-05,-0.15718
"CANDIDATE",6021275,"K00284.01",3.53,5.608e-05,0.26946
"CANDIDATE",6021275,"K00284.02",3.695,-3.597e-05,-0.45818
"CANDIDATE",6021275,"K00284.03",3.323,1.642e-05,-0.22207
"CANDIDATE",6021275,"K00284.04",4.362,0.0001461,-0.41705
"CANDIDATE",6196457,"K00285.01",6.141,2.604e-05,0.022026
"CANDIDATE",6196457,"K00285.02",8.845,-3.191e-05,-0.13516
"CANDIDATE",6196457,"K00285.03",11.11,-1.266e-05,-0.30538
"FALSE POSITIVE",8258171,"K00286.01",10.74,-0.001516,-4.8327
"FALSE POSITIVE",8703887,"K00287.01",3.805,-0.003541,2.4821
"CANDIDATE",9592705,"K00288.01",6.376,6.366e-05,-1.0519
"CANDIDATE",10386922,"K00289.01",16.48,0.0002782,0.049612
"CANDIDATE",10386922,"K00289.02",8.052,-1.578e-05,-0.11995
"FALSE POSITIVE",10488450,"K00290.01",1.986,-0.0003683,-5.5742
"CANDIDATE",10933561,"K00291.01",7.819,-5.668e-05,0.59552
"CANDIDATE",10933561,"K00291.02",2.02,3.641e-05,0.0098855
"CANDIDATE",11075737,"K00292.01",2.259,-5.09e-05,0.076399
"FALSE POSITIVE",11200415,"K00293.01",3.686,0.0001715,-7.3435
"CANDIDATE",11259686,"K00294.01",6.017,-0.0002038,-0.73511
"CANDIDATE",11547513,"K00295.01",3.079,6.342e-05,0.020176
"CANDIDATE",11547513,"K00295.02",2.006,-8.228e-05,-0.33626
"CANDIDATE",11802615,"K00296.01",5.581,-3.641e-05,0.027588
"CANDIDATE",11905011,"K00297.01",3.124,2.3e-05,0.097651
"CANDIDATE",12785320,"K00298.01",2.652,0.0001147,0.94282
"CANDIDATE",12785320,"K00298.02",4.761,-0.000178,0.57788
"CANDIDATE",2692377,"K00299.01",1.915,1.991e-05,0.15639
"FALSE POSITIVE",3438975,"K00300.01",5.421,-0.0002269,5.2722
"CANDIDATE",3642289,"K00301.01",4.177,1.957e-05,-0.28815
"CANDIDATE",3642289,"K00301.02",5.015,-0.000127,1.0376
"CANDIDATE",3662838,"K00302.01",9.013,1.463e-05,0.1902
"CANDIDATE",5966322,"K00303.01",6.499,0.0006662,-0.0030424
"CANDIDATE",6029239,"K00304.01",2.305,4.606e-05,0.00048765
