"koi_disposition","kepid","kepoi_name","tce_dor","tce_ingress","tce_chisqgof","tce_insol","tce_sradius","tce_slogg_prov","tce_mesmedian","tce_ptemp","tce_rb_tcount3","tce_fwm_srao","tce_fwm_pdeco","tce_ror_sn","tce_prad_sn","tce_fwm_pdeco_sn","tce_dicco_msky_sn"
"FALSE POSITIVE",6889235,"K00074.01",6.1537982,0.3172,59300,4763.58,1.941,7,-7.293,7672.01,0,-0.1692,-4.611e-05,312.604274638028,2.44115691489362,-1.33265895953757,1.33487964989059
"CANDIDATE",7199397,"K00075.01",37.235515,1.046,3500,29.69,2.499,0,-0.03765,2127.06,0,-0.5745,-0.0008328,154.513832248407,8.02621434078643,-9.82075471698113,2.36139240506329
"FALSE POSITIVE",9955262,"K00076.01",53.155465,0.4301,1907,86.75,2.909,5,-0.009224,3722.38,0,1.147,-0.0007428,63.4963133566549,3.07670373538637,-5.50222222222222,3.78091216216216
"FALSE POSITIVE",9552608,"K00080.01",6.705284,1.79,4861,3538.52,3.294,7,-0.2132,3384.3,0,-0.1785,-6.04e-05,8.94399015303306,2.05379482902419,-0.686363636363636,1.45289256198347
"FALSE POSITIVE",8823868,"K00081.01",20.030462,0.6187,221400,1138.09,2.533,7,-1.484,7750.37,0,-0.0238,-0.000332,1050.37276061122,2.62561231630511,-3.87397899649942,4.05544600938967
"CANDIDATE",10187017,"K00082.01",19.639035,0.3718,1307,21.03,0.741,20,0.02059,1219.47,0,-0.6352,-3.555e-05,55.0780398280434,14.8637911464245,-0.786504424778761,0.92204
"CANDIDATE",10187017,"K00082.02",11.45274,0.2923,1228,38.23,0.741,20,-0.04917,1991.73,0,-0.8904,1.449e-05,17.2585875641928,11.5057915057915,0.399173553719008,1.76527950310559
"CANDIDATE",10187017,"K00082.03",27.504318,0.2073,383.7,10.36,0.741,20,-0.01268,2663.32,0,-0.6778,2.79e-05,4.40902818932194,4.23824959481361,0.518587360594796,1.33252796420582
"CANDIDATE",10187017,"K00082.04",8.8123763,0.1267,1053,63.23,0.741,20,-0.07069,2852.88,0,-1.12,2.566e-05,3.7570620198626,3.65092918131592,0.846864686468647,1.13119631901841
"CANDIDATE",10187017,"K00082.05",6.8084833,0.09818,1272,93.17,0.741,20,0.00129,2821.39,0,0.3536,-2.593e-05,2.78673569397967,2.74184397163121,-0.974812030075188,3.0196682464455
"CANDIDATE",10187017,"K00082.06",63.679173,0.02563,193.2,13.58,0.741,20,-0.02936,3908.18,0,0.1026,-3.415e-05,2.13597111748541,2.11579699785561,-0.537795275590551,0.641
"CANDIDATE",2571238,"K00084.01",10.318533,0.4175,2623,79.79,0.81,21,-0.01172,1983.05,0,0.3189,-1.688e-05,78.3044955848767,8.13680781758958,-0.345901639344262,0.462086666666667
"CANDIDATE",5866724,"K00085.01",5.3502954,0.3554,4589,571.41,1.424,1,-0.1164,2113.01,0,-0.05054,-6.693e-05,67.0733165150223,16.2506841817187,-3.57914438502674,4.19719626168224
"CANDIDATE",5866724,"K00085.02",2.5216355,0.1622,4092,2168.87,1.424,1,-0.06233,2021.75,0,-0.09141,-1.214e-05,15.1620506738851,11.2390670553936,-1.02016806722689,1.96305418719212
"CANDIDATE",5866724,"K00085.03",6.5729505,0.2453,1121,369.2,1.424,1,-0.1063,2998.18,0,-0.09619,-2.972e-05,13.1563792559953,10.3464755077658,-1.35090909090909,1.33591101694915
"CANDIDATE",10593626,"K00087.01",184.00766,0.5027,88.67,1.03,0.886,22,-0.0006247,2889.25,0,-0.03596,-6.895e-05,15.7879105966005,8.41968911917098,-0.604824561403509,1.09564179104478
"FALSE POSITIVE",7700871,"K00088.01",3.1854186,0.1516,6948,533.7,0.815,5,-0.1151,2226.55,0,27.59,-0.0002737,8.20289815862138,4.61555075593953,-20.8931297709924,96.2442857142857
"CANDIDATE",8056665,"K00089.01",37.454347,0.5804,1136,33.03,1.79,16,-0.09317,2404.47,0,-0.8908,-5.856e-05,37.6676209091931,4.28538550057537,-0.905100463678516,1.35272727272727
"CANDIDATE",8056665,"K00089.02",170.53658,0.2907,376.9,9.99,1.79,16,0.002067,3298.99,0,-0.0008561,0.0001417,12.146964866892,4.06285714285714,1.22155172413793,0.923157894736842
"FALSE POSITIVE",9210823,"K00090.01",2.0144715,0.07162,11560,27198.92,3.227,5,0.4329,2526.68,0,188.7,0,5.43041630045794,2.16285714285714,0,219.266862170088
"CANDIDATE",7941200,"K00092.01",80.490581,0.3312,215.7,11.74,1.043,23,0.01622,2863.19,0,0.157,2.344e-06,25.8178563503845,6.39547074858461,0.0275440658049354,2.16589743589744
"CANDIDATE",6462863,"K00094.01",26.12477,0.4758,38760,89.76,1.331,23,-0.5545,1500.87,0,0.135,-0.0002888,262.586955481992,5.47774158523344,-1.42970297029703,1.06807901907357
"CANDIDATE",6462863,"K00094.02",39.151885,0.5914,2829,27.46,1.331,23,-0.299,1423.74,0,0.2207,-4.452e-05,84.3708511696418,5.46696035242291,-0.3478125,1.08068027210884
"CANDIDATE",6462863,"K00094.03",11.124592,0.2796,1333,248.06,1.331,23,0.007385,2239.54,0,0.1925,-0.0001318,29.8812313017269,5.38783783783784,-2.77473684210526,0.889426229508197
"CANDIDATE",6462863,"K00094.04",3.4272719,0.2526,1333,971.84,1.331,23,0.03804,2957.11,0,-0.1208,-2.14e-05,9.68142159641475,4.76889613920609,-0.73037542662116,1.95410377358491
"CANDIDATE",5780885,"K00097.01",6.818156,0.5278,166700,1185.45,1.909,0,-0.3211,1660.14,0,-0.01235,-2.272e-05,989.455979015869,15.9137769447048,-0.224950495049505,0.588746268656716
"CANDIDATE",10264660,"K00098.01",7.4452067,0.3904,19940,1000.75,2.001,0,-0.06272,1853.28,0,-0.06842,-0.0002271,266.555491253006,13.6863995563566,-6.30833333333333,1.65006587615283
"CANDIDATE",4055765,"K00100.01",6.2580941,2.522,2432,1469.82,3.079,4,0.02021,2173.26,0,-0.07491,-1.491e-05,36.5042159209246,3.91515994436718,-0.146176470588235,1.19179646936656
"CANDIDATE",8456679,"K00102.01",2.8113917,0.3926,12570,1380.23,1.071,23,-0.219,1498.78,0,0.0423,-0.001065,173.72987509751,6.04758961681088,-19.5772058823529,3.28955007256894
"FALSE POSITIVE",8456679,"K00102.02",4.272634,0.2097,1857,443.09,1.071,23,-0.1451,2913.13,0,0.1403,-6.386e-05,5.1388252065445,3.91619927416694,-0.770325693606755,0
"CANDIDATE",2444412,"K00103.01",12.916366,0.8469,2445,54.99,0.899,23,-0.002158,2148.18,0,-0.272,-0.0001361,105.531189037728,7.8639846743295,-1.34752475247525,1.06248175182482
"CANDIDATE",10318874,"K00104.01",8.2823699,0.2396,21310,233.93,0.761,20,-0.09303,1268.36,0,-0.2513,3.93e-06,64.6742376445847,19.1324921135647,0.0509727626459144,0.51431693989071
"CANDIDATE",8711794,"K00105.01",24.095217,0.1494,2220,141.86,0.967,23,-0.00634,2069.49,0,-0.3643,8.027e-05,20.5740886897533,6.26606334841629,1.00087281795511,1.19510666666667
"FALSE POSITIVE",10489525,"K00106.01",2.3897446,0.1397,3904,12825.75,2.569,5,0.01004,3657.75,2,-87.39,0.03441,8.15637403613241,2.77314814814815,1030.23952095808,169.089615931721
"CANDIDATE",11250587,"K00107.01",6.9751385,0.299,2403,432.77,1.549,0,-0.08188,2114.83,0,0.03298,-2.081e-05,26.9528508390952,14.3948797517455,-0.592877492877493,0.683520661157025
"CANDIDATE",4914423,"K00108.01",15.584545,0.3175,1147,136.67,1.433,1,-0.2628,2359.36,0,0.1542,-8.038e-05,27.692875973856,13.8071065989848,-1.96048780487805,0.463951367781155
"CANDIDATE",4914423,"K00108.02",74.830659,0.9331,1364,5.42,1.433,1,-0.03525,2525.61,0,0.1073,9.363e-05,65.6662673476762,15.472972972973,0.761219512195122,0.689398496240601
"FALSE POSITIVE",4752451,"K00109.01",2.896853,1.983,2598,418.57,1.183,5,-0.08264,3194.48,0,6.801,-0.006196,1.50811906232834,1.44112859468258,-103.266666666667,94.0826873385013
"CANDIDATE",9450647,"K00110.01",11.60372,0.2637,1986,233.41,1.259,23,-0.03472,2491.24,0,0.1077,4.615e-05,29.2060064448354,5.64030297692443,1.27839335180055,1.0725
"CANDIDATE",6678383,"K00111.01",11.867651,0.2773,2398,124.62,1.005,23,-0.06703,0,0,0.01926,0.0001063,27.3274533453949,7.0381984036488,2.58637469586375,1.7485779294653
"CANDIDATE",6678383,"K00111.02",34.79508,0.4481,890.1,16.63,1.005,23,-0.1581,2254.05,0,-0.001846,6.937e-05,29.7701057812899,7.07438449449974,0.962135922330097,0.951259842519685
"CANDIDATE",6678383,"K00111.03",20.491748,0.2999,1226,47.2,1.005,23,0.02592,2346.75,0,0.1603,3.642e-05,20.2701318733635,6.85554903112155,0.678212290502793,2.01106060606061
"CANDIDATE",10984090,"K00112.01",37.096075,0.4982,618.4,15.2,1.022,23,0.003594,2429.88,0,-0.0316,7.995e-05,36.0630863306546,7.01040253279059,0.870915032679739,1.29586734693878
"CANDIDATE",10984090,"K00112.02",4.8413468,0.1691,2125,501.64,1.022,23,-0.05087,2856.52,0,0.3592,-5.047e-05,6.89110088783366,4.96002906976744,-1.40194444444444,1.43725
"FALSE POSITIVE",6721123,"K00114.01",2.8641087,2.493,2746,768.97,1.958,4,-0.06859,2643.27,0,-13.45,-0.005549,1.42844669690289,1.3472442730778,-95.8376511226252,120.028225806452
"CANDIDATE",9579641,"K00115.01",7.0291747,0.3385,4044,337.77,1.087,23,0.02758,2078.8,0,0.006651,-0.0001369,50.4704148651765,6.85990338164251,-3.28297362110312,0.768146788990826
"CANDIDATE",9579641,"K00115.02",8.6525006,0.2137,1227,234.06,1.087,23,-0.2016,2982.39,0,0.291,6.1e-05,8.59257205257817,5.39052890528905,1.31465517241379,0.257126168224299
"CANDIDATE",9579641,"K00115.03",3.72343,0.08873,2037,619.06,1.087,23,-0.0884,3958.54,0,-0.5762,-2.759e-06,2.72733742071504,2.53717693836978,-0.0925838926174497,0.0505728051391863
"CANDIDATE",8395660,"K00116.01",14.77142,0.3989,1091,89.82,1.012,20,-0.1502,2496.9,0,0.6116,0.0001081,30.2995126798133,6.42167255594818,1.30398069963812,1.93984848484848
"CANDIDATE",8395660,"K00116.02",26.587799,0.6727,567.2,18.8,1.012,20,0.02496,2447.66,0,0.1938,0.0001199,37.7787826229419,6.47506150749273,1.06106194690265,1.09444976076555
"CANDIDATE",8395660,"K00116.03",7.300286,0.1,1728,257.2,1.012,20,0.03131,3947.2,0,0.305,3.023e-05,2.2149023583913,2.09878345498783,0.566104868913858,0.776867924528302
"CANDIDATE",8395660,"K00116.04",17.743783,0.2529,634.7,42.04,1.012,20,-0.00107,4134.38,0,1.225,-0.0001016,2.6597432593579,2.46511627906977,-1.10434782608696,0.947925373134328
"CANDIDATE",10875245,"K00117.01",8.6796541,0.6488,933.5,138.28,1.402,0,-0.0363,2600.03,0,-0.2086,0.000114,48.8511915910701,20.2486678507993,2.31237322515213,1.59620689655172
"CANDIDATE",10875245,"K00117.02",3.0181845,0.2506,2413,1069.59,1.402,0,-0.006082,2736.64,0,-0.2523,2.021e-05,9.66412497615662,8.86592984142239,0.756928838951311,1.3980078125
"CANDIDATE",10875245,"K00117.03",4.0658324,0.2788,1889,600.75,1.402,0,-0.1743,2543.88,0,0.255,-1.23e-05,9.38965061891604,8.65128660159716,-0.394230769230769,2.65597285067873
"CANDIDATE",10875245,"K00117.04",6.1308827,0.1679,880.8,314.8,1.402,0,-0.08228,3213.4,0,0.07569,-1.84e-05,2.44201622721296,2.4285416232005,-0.485488126649076,1.36743262411348
"CANDIDATE",3531558,"K00118.01",17.620942,0.35,855.1,60.98,1.317,0,-0.01566,2751.98,0,0.4167,0.0001512,12.5454130815978,10.7086614173228,2.01063829787234,2.1586320754717
"CANDIDATE",9471974,"K00119.01",26.448078,0.7249,2330,47.51,2.057,0,-0.1243,1592.61,0,0.3906,-0.00188,92.2682056324004,14.7164429530201,-15.4098360655738,0.0322488479262673
"CANDIDATE",9471974,"K00119.02",65.925352,1.18,681,7.82,2.057,0,0.004148,2334.32,0,0.2811,-0.001,59.4462615110435,14.4589729012697,-4.3859649122807,1.17664082687339
"CANDIDATE",11869052,"K00120.01",31.249251,0.1899,11050,71.68,1.264,5,0.007351,3054.66,0,-1.182,-0.0001147,2.00845671865598,1.78204010462075,-1.69674556213018,0.774094256259205
"FALSE POSITIVE",3247396,"K00121.01",3.9731298,2.44,1213,907.21,2.404,4,-0.1326,2759.49,0,0.356,0.001113,3.02744053804019,2.30252808988764,13.7407407407407,38.7526595744681
"CANDIDATE",8349582,"K00122.01",13.562257,0.2602,1459,175.19,1.411,1,0.02035,1873.42,0,-0.0304,6.316e-05,21.2634054421464,12.5281690140845,1.76424581005587,0.621842105263158
"CANDIDATE",5094751,"K00123.01",5.9559217,0.3738,2126,407.07,1.302,1,0.07269,2283.6,0,-0.06479,-4.27e-05,38.4492487391332,19.3828067597355,-1.70119521912351,1.30300970873786
"CANDIDATE",5094751,"K00123.02",16.00956,0.3112,1011,83.72,1.302,1,-0.01749,2590.91,0,-0.05773,-7.224e-05,19.8426374544799,14.8669201520913,-1.96839237057221,0.526858823529412
"CANDIDATE",11086270,"K00124.01",11.852267,0.3112,903.6,244.66,1.626,23,-0.1891,3190.73,0,0.2569,-4.62e-05,14.4709279286303,3.79869313897964,-0.916666666666667,0.131990909090909
"CANDIDATE",11086270,"K00124.02",29.431807,0.2805,599.5,72.13,1.626,23,0.004326,2956.99,0,-0.09121,6.819e-05,10.7476483799554,3.6971792932022,0.940551724137931,0.730281690140845
"CANDIDATE",11449844,"K00125.01",66.459158,0.6104,34750,13.04,0.879,4,-0.05117,1479.26,0,0.03944,-0.0003218,487.243961535175,7.45075970737198,-0.117445255474453,0.215856929955291
"FALSE POSITIVE",5897826,"K00126.01",19.982292,2.236,1472000,72.88,1.796,4,-0.1208,1357.55,0,-0.02856,-0.0004284,557.466430843128,4.25531914893617,-0.308201438848921,0.579060773480663
"CANDIDATE",5897826,"K00126.02",26.436789,10.89,202.2,4.36,1.796,4,0.01089,2810.24,0,-1.552,0.0002066,0.436051553658606,0.43364312267658,0.135032679738562,0.308151125401929
"CANDIDATE",8359498,"K00127.01",9.6621609,0.2974,121300,406.62,0.994,24,-0.1278,1236.72,1,0.01191,0.0002158,339.745146644546,16.8255481410867,0.659938837920489,0.0295637181409295
"CANDIDATE",11359879,"K00128.01",10.050962,0.5166,153800,244.92,0.978,25,0.1575,1133.26,0,-0.005861,-0.002235,744.32145151971,7.34817813765182,-8.06859205776173,1.52624633431085
"CANDIDATE",11974540,"K00129.01",29.000865,0.4985,9995,1153.12,9.327,26,0.02496,1655.65,0,0.1265,-0.0007078,163.150039704328,2.43736332396126,-1.47151767151767,3.25742296918767
"CANDIDATE",5297298,"K00130.01",43.092217,0.9227,60280,86.92,1.786,4,0.01513,1478.63,0,0.05464,0.000125,995.619155813949,4.73740392826644,0.197472353870458,0.115904619970194
"CANDIDATE",7778437,"K00131.01",8.6602385,0.3463,28830,692.55,1.307,7,0.1171,1569.71,0,0.04932,-0.0005156,268.117690112327,2.9760579064588,-2.31210762331839,0.815791666666667
"FALSE POSITIVE",8892910,"K00132.01",10.219229,2.24,21580,222.92,1.284,7,-0.1775,2100.99,0,-0.01446,0.00159,50.6141369447285,3.24447482342219,5.67857142857143,2.16507936507937
"FALSE POSITIVE",11673674,"K00133.01",4.5038557,0.8261,75480,443.22,1.033,7,-0.1431,2310.33,0,5.701,-0.01577,382.511276603196,3.44340505144995,-85.2432432432432,9.80036363636364
"FALSE POSITIVE",9032900,"K00134.01",230.49441,1.161,2161,2.59,1.744,4,-0.02669,5562.92,0,0.01132,0.0002735,79.3744593442503,4.37479047938317,0.237826086956522,0.313875816993464
"CANDIDATE",9818381,"K00135.01",6.9001951,0.3859,59880,1162.66,1.358,27,-0.3034,1471.15,0,0.03082,-0.0002718,558.050796476388,12.6903044871795,-1.40829015544041,0.171311475409836
