"koi_disposition","kepid","kepoi_name","tce_ingress","tce_model_chisq","tce_minmesd","tce_fwm_srao","tce_fwm_pdeco","tce_impact_sn","tce_sma_sn","tce_smet_sn","tce_fwm_sdeco_sn"
"FALSE POSITIVE",11240948,"K07425.01",0.07927,4746,-0.3813,-0.04362,7.354e-06,10.1752006329829,3.37209302325581,-1.6,-0.27219298245614
"CANDIDATE",11241560,"K07426.01",0.1342,4485,3.493,-1.322,-0.0001768,0.793894542090657,9.91379310344828,0.2,0.811510791366906
"CANDIDATE",11244571,"K07427.01",0.1463,8650,0.722,0.6057,2.339e-05,1.02650867334474,4.1163655685441,-1.2,-0.41928
"FALSE POSITIVE",11250867,"K07428.01",0.4997,-1,1.208,-0.05284,0,-0.1,-0.03236,-1.86666666666667,-41.466275659824
"FALSE POSITIVE",11251058,"K07429.01",0.1758,9950,1.288,-0.3851,7.638e-05,6.55417529330573,6.94439243587343,-0.933333333333334,-2.09077598828697
"CANDIDATE",11282568,"K07430.01",0.08481,4948,0.708,-0.3684,0,7.35533822330888,0,0.127272727272727,0.592738095238095
"FALSE POSITIVE",11285625,"K07431.01",3.933,11960,-0.6138,-0.8779,-0.07134,0.923361034164358,2.42465289536065,-0.342857142857143,350.30487804878
"CANDIDATE",11286311,"K07432.01",0.6882,7133,1.103,1.078,8.366e-05,4.89496248660236,3.88345864661654,0,-0.387239263803681
"FALSE POSITIVE",11287726,"K07433.01",3.117,13310,2.513,0.08003,0.007624,856.032906764168,7.55654101995565,-1.02857142857143,-1.7766081871345
"CANDIDATE",11288492,"K07434.01",0.01159,2214,1.288,4.481,-9.231e-05,0.000450398040416412,5.56478102189781,-0.0666666666666667,0.358782051282051
"CANDIDATE",11288772,"K07435.01",0.05631,9397,0.5781,1.554,-2.753e-05,1.8343171178506,7.21272834413671,0.933333333333334,0.440928270042194
"FALSE POSITIVE",11295085,"K07436.01",0.08085,11800,0.625,-0.09927,-8.704e-06,3.4400299850075,4.27107404802572,-0.0666666666666667,0.290104166666667
"CANDIDATE",11296724,"K07437.01",0.1146,10200,0.6313,-1.138,0.000116,1.07634129047506,4.74433557868953,-0.266666666666667,-0.970253164556962
"FALSE POSITIVE",11350389,"K07438.01",0.9625,56510,0.7375,0.05903,0.009517,54.4565217391305,8.68942731277533,-0.6,-22.4485373781148
"FALSE POSITIVE",11356602,"K07439.01",0.6861,719.7,112.1,1.209,-0.0002234,1.30321697467488,6.92455621301775,0.666666666666667,0.419637139807898
"FALSE POSITIVE",11358392,"K07440.01",0.3956,41500,0.4266,0.1569,-0.0002289,274.494794856093,4.05785615216961,-0.466666666666667,16.34
"FALSE POSITIVE",11359305,"K07441.01",1.884,1951,6.005,0.1502,-0.002821,134.426670251378,3.15814171750352,-0.533333333333333,12.5285087719298
"FALSE POSITIVE",11391181,"K07442.01",2.029,5508,5.357,0.001465,0.00321,35.2978808476609,6.15067406819984,-0.2,27.5513513513514
"FALSE POSITIVE",11401869,"K07443.01",0.3092,26730,1.424,-3.843,5.829e-05,2.8207171314741,3.88743143334128,-0.666666666666667,-0.788549618320611
"FALSE POSITIVE",11409698,"K07444.01",2.076,9208,3.436,0.06689,0.005876,706.176544136034,4.21872265966754,-1.4,-259.345794392523
"CANDIDATE",11411639,"K07445.01",1.622,4412,-1.188,2.593,-0.0002235,4.78458592628052,6.2235401459854,-0.6,-1.26734926052332
"CANDIDATE",11455795,"K07446.01",0.358,99540,0.5094,-0.1046,-0.01058,45.1497005988024,13.9403453689168,-0.666666666666667,1.53205128205128
"FALSE POSITIVE",11457191,"K07447.01",1.98,54410,0.3073,-0.1147,9.654e-06,311.435357991177,4.59827507943713,-1.6,-61.2888888888889
"FALSE POSITIVE",11499757,"K07450.01",1.177,-1,7.962,-0.09605,0.0851,-0.1,-0.1085,-0.171428571428571,49.8932926829268
"FALSE POSITIVE",11502172,"K07452.01",2.587,2996,11.06,-0.05375,-0.002002,10.0664384940608,4.6583309101483,-1.13333333333333,-18.4578833693305
