"koi_disposition","kepid","kepoi_name","X","tce_ldm_coeff4","tce_maxmesd","tce_fwm_prao","tce_fwm_pdeco","tce_dikco_mra_sn","tce_dikco_mdec_sn"
"CANDIDATE",10187017,"K00082.01",62,-0.5545712,10.65,2.264e-05,-3.555e-05,-4.6692523364486,-6.09791921664627
"CANDIDATE",10187017,"K00082.02",63,-0.5545712,-2.563,7.556e-05,1.449e-05,-3.93176165803109,-5.28049645390071
"CANDIDATE",10187017,"K00082.03",64,-0.5545712,-3.303,9.302e-06,2.79e-05,-2.68122171945701,-1.21395778364116
"CANDIDATE",10187017,"K00082.04",65,-0.5545712,-0.6875,3.283e-05,2.566e-05,-3.02202749140894,-1.51608478802992
"CANDIDATE",10187017,"K00082.05",66,-0.5545712,2.386,-3.96e-05,-2.593e-05,0.304507462686567,-3.28362445414847
"CANDIDATE",10187017,"K00082.06",67,-0.5545712,-2.854,-4.164e-05,-3.415e-05,-1.03096296296296,-0.133222222222222
"CANDIDATE",2571238,"K00084.01",68,-0.3223076,0.7375,1.629e-05,-1.688e-05,1.83734375,-1.88115107913669
"CANDIDATE",5866724,"K00085.01",69,-0.0123468,2.568,8.754e-06,-6.693e-05,-3.36428571428571,3.32744063324538
"CANDIDATE",5866724,"K00085.02",70,-0.0123468,0.3424,5.765e-06,-1.214e-05,-2.11325268817204,1.45116228070175
"CANDIDATE",5866724,"K00085.03",71,-0.0123468,1.947,7.786e-06,-2.972e-05,-0.163096698113208,-1.42451485148515
"CANDIDATE",10593626,"K00087.01",72,-0.2855324,87.5,-0.0002333,-6.895e-05,-2.94420689655172,-2.83078341013825
"FALSE POSITIVE",7700871,"K00088.01",73,-0.0291372,-0.4125,-0.002118,-0.0002737,96.9712230215827,6.38352941176471
"CANDIDATE",8056665,"K00089.01",74,0.3308092,29.9,0.0001747,-5.856e-05,-0.917679738562092,1.81894495412844
"CANDIDATE",8056665,"K00089.02",75,0.3308092,39.31,-0.0001914,0.0001417,0.00866358974358974,0.765784946236559
"FALSE POSITIVE",9210823,"K00090.01",76,-0.0129792,0.4,-0.01176,0,103.136798905609,195.127055306428
"CANDIDATE",7941200,"K00092.01",77,-0.116339,31.13,-9.543e-05,2.344e-06,-0.528988571428571,1.42297142857143
"CANDIDATE",6462863,"K00094.01",78,0.0563536,0.7492,0.001372,-0.0002888,1.36724598930481,2.42152230971129
"CANDIDATE",6462863,"K00094.02",79,0.0563536,-7.438,0.0003053,-4.452e-05,0.168748299319728,-0.408934065934066
"CANDIDATE",6462863,"K00094.03",80,0.0563536,-1.553,0.0001439,-0.0001318,2.558934169279,0.62048128342246
"CANDIDATE",6462863,"K00094.04",81,0.0563536,0.8514,6.143e-05,-2.14e-05,-1.03825327510917,0.830734265734266
"CANDIDATE",5780885,"K00097.01",82,-0.0343464,2.44,0.0002854,-2.272e-05,-0.508906705539359,-3.12308823529412
"CANDIDATE",10264660,"K00098.01",83,0.1629352,4.481,0.0001601,-0.0002271,-2.21588921282799,-1.57703016241299
"CANDIDATE",4055765,"K00100.01",84,0.3510808,-1.955,2.603e-05,-1.491e-05,0.303263041065483,-0.872377850162866
"CANDIDATE",8456679,"K00102.01",85,-0.3307058,0.8667,0.00014,-0.001065,0.428087201125176,-0.841146907216495
"FALSE POSITIVE",8456679,"K00102.02",86,-0.3307058,-0.9559,4.147e-06,-6.386e-05,2.14056097560976,-4.66793893129771
"CANDIDATE",2444412,"K00103.01",87,-0.3031,3.131,4.489e-05,-0.0001361,-1.94994272623139,-0.838166666666667
"CANDIDATE",10318874,"K00104.01",88,-0.5557316,-0.5063,0.0001626,3.93e-06,-1.16848837209302,4.86158392434988
"CANDIDATE",8711794,"K00105.01",89,-0.0733532,-0.5219,4.585e-06,8.027e-05,-3.42954070981211,-1.53314669652856
"FALSE POSITIVE",10489525,"K00106.01",90,0.3198124,0.8333,0.008739,0.03441,-36.4893009985735,-154.347826086957
"CANDIDATE",11250587,"K00107.01",91,-0.2408336,2.207,2.221e-05,-2.081e-05,-0.304710556186152,-1.17705882352941
"CANDIDATE",4914423,"K00108.01",92,-0.1657388,5.381,-6.412e-05,-8.038e-05,0.216338028169014,-0.211098765432099
"CANDIDATE",4914423,"K00108.02",93,-0.1657388,69.32,-0.0001103,9.363e-05,-0.309731481481481,0.414137931034483
"FALSE POSITIVE",4752451,"K00109.01",94,0.2518172,3.206,-0.001033,-0.006196,17.9851851851852,103.151129943503
"CANDIDATE",9450647,"K00110.01",95,0.017394,7.012,8.768e-06,4.615e-05,0.311350806451613,1.60604938271605
"CANDIDATE",6678383,"K00111.01",96,0.086716,-1.682,-8.112e-05,0.0001063,0.99512331838565,-8.49572192513369
"CANDIDATE",6678383,"K00111.02",97,0.086716,37.66,-8.607e-05,6.937e-05,-0.379063636363636,-6.33188976377953
"CANDIDATE",6678383,"K00111.03",98,0.086716,12.89,-0.0001372,3.642e-05,1.716015625,-3.20843137254902
"CANDIDATE",10984090,"K00112.01",99,-0.174311,5.531,1.936e-05,7.995e-05,-1.17306748466258,-1.33506756756757
"CANDIDATE",10984090,"K00112.02",100,-0.174311,1.068,-4.609e-05,-5.047e-05,0.998993710691824,-0.477043795620438
"FALSE POSITIVE",6721123,"K00114.01",101,0.1177252,3.753,0.003032,-0.005549,-63.7191011235955,103.9474393531
"CANDIDATE",9579641,"K00115.01",102,-0.188818,0.9167,-5.213e-05,-0.0001369,-2.04948849104859,-1.45288
"CANDIDATE",9579641,"K00115.02",103,-0.188818,-1.07,-6.863e-05,6.1e-05,-0.38856170212766,-1.08255102040816
"CANDIDATE",9579641,"K00115.03",104,-0.188818,-0.5365,1.221e-05,-2.759e-06,-0.169653614457831,-0.315186274509804
"CANDIDATE",8395660,"K00116.01",105,-0.1181076,-1.069,-4.392e-05,0.0001081,2.8609375,1.24154838709677
"CANDIDATE",8395660,"K00116.02",106,-0.1181076,30.62,0.0002044,0.0001199,0.886900826446281,-0.155315789473684
"CANDIDATE",8395660,"K00116.03",107,-0.1181076,0.3882,1.223e-05,3.023e-05,-0.631900900900901,-0.0604898648648649
"CANDIDATE",8395660,"K00116.04",108,-0.1181076,11.7,-6.593e-05,-0.0001016,0.168925925925926,-0.783664383561644
"CANDIDATE",10875245,"K00117.01",109,-0.2779126,-3.412,2.118e-05,0.000114,0.89037037037037,2.38675
"CANDIDATE",10875245,"K00117.02",110,-0.2779126,0.7969,1.114e-05,2.021e-05,-0.0611115537848606,-0.858070866141732
"CANDIDATE",10875245,"K00117.03",111,-0.2779126,1.362,-5.649e-05,-1.23e-05,-2.78092,-0.00359683655536028
"CANDIDATE",10875245,"K00117.04",112,-0.2779126,1.533,-1.163e-05,-1.84e-05,0.665912087912088,-0.643842917251052
"CANDIDATE",3531558,"K00118.01",113,-0.244136,12.81,-4.674e-05,0.0001512,0.756136363636364,3.56133333333333
"CANDIDATE",9471974,"K00119.01",114,-0.407853,23.16,0.0002428,-0.00188,4.05752293577982,-1.67027027027027
"CANDIDATE",9471974,"K00119.02",115,-0.407853,81.59,0.000293,-0.001,1.90758474576271,-0.388310626702997
"CANDIDATE",11869052,"K00120.01",116,-0.2750024,8.421,0.0002035,-0.0001147,-0.43369685767098,0.278534759358289
"FALSE POSITIVE",3247396,"K00121.01",117,0.18846,4.411,-9.548e-05,0.001113,5.78238770685579,-38.1397260273973
"CANDIDATE",8349582,"K00122.01",118,-0.3931164,6.307,-1.2e-05,6.316e-05,0.530631067961165,-2.95397008055236
"CANDIDATE",5094751,"K00123.01",119,-0.0465584,3.764,2.933e-05,-4.27e-05,-1.86150234741784,0.774096385542169
"CANDIDATE",5094751,"K00123.02",120,-0.0465584,9.304,3.454e-05,-7.224e-05,-0.733618644067797,0.337780612244898
"CANDIDATE",11086270,"K00124.01",121,-0.0391252,5.544,-4.903e-05,-4.62e-05,0.433515923566879,0.532028985507246
"CANDIDATE",11086270,"K00124.02",122,-0.0391252,-4.666,5.365e-05,6.819e-05,0.3134,-0.30933488372093
"CANDIDATE",11449844,"K00125.01",123,-0.435213,1.274,5.863e-05,-0.0003218,0.636294117647059,-4.71496598639456
"FALSE POSITIVE",5897826,"K00126.01",124,-0.1988432,18.76,0.003046,-0.0004284,-0.0451495844875346,-1.02904474002418
"CANDIDATE",5897826,"K00126.02",125,-0.1988432,-1.621,0.0006563,0.0002066,0.051120253164557,0.0416986928104575
"CANDIDATE",8359498,"K00127.01",126,-0.435147,0.9323,-0.000137,0.0002158,-0.0276991017964072,2.25813609467456
"CANDIDATE",11359879,"K00128.01",127,-0.4842312,3.349,0.001817,-0.002235,0.115820474777448,-2.27596439169139
"CANDIDATE",11974540,"K00129.01",128,-0.5044108,8.868,0.0018,-0.0007078,-0.0693333333333333,0.206920152091255
"CANDIDATE",5297298,"K00130.01",129,0.1178276,0.5721,-2.357e-05,0.000125,-0.487321428571429,-1.34367883211679
"CANDIDATE",7778437,"K00131.01",130,0.109172,2.377,-0.002294,-0.0005156,0.322919708029197,0.754663923182442
"FALSE POSITIVE",8892910,"K00132.01",131,0.0602166,5.406,-0.0001769,0.00159,0.147166172106825,-3.07058823529412
"FALSE POSITIVE",11673674,"K00133.01",132,0.0857026,2.316,-0.01947,-0.01577,37.8759615384615,24.7739130434783
"FALSE POSITIVE",9032900,"K00134.01",133,-0.169302,67.35,0.0001761,0.0002735,0.562098159509202,-0.912897727272727
"CANDIDATE",9818381,"K00135.01",134,-0.176567,1.505,-0.0001734,-0.0002718,-0.189816643159379,0.086185401459854
"FALSE POSITIVE",7601633,"K00136.01",135,-0.1209916,-3.042,0,0.0001242,-0.43994708994709,-0.0647830985915493
"CANDIDATE",8644288,"K00137.01",136,-0.4927724,0.4495,0,0.0002559,0.994010989010989,-1.77635220125786
"CANDIDATE",8644288,"K00137.02",137,-0.4927724,4.104,0,0.0001639,0.840805084745763,-2.20996015936255
"CANDIDATE",8644288,"K00137.03",138,-0.4927724,0.85,0,-0.0001172,0.414472727272727,-0.83453947368421
"FALSE POSITIVE",8506766,"K00138.01",139,0.382,12.44,-0.0001232,-0.003826,1.79275167785235,0.196652298850575
"CANDIDATE",8559644,"K00139.01",140,-0.230395,82.96,0.0001498,-0.0001367,0.487875166002656,-0.910489510489511
"CANDIDATE",8559644,"K00139.02",141,-0.230395,0.6355,2.957e-05,7.537e-05,2.02417218543046,-0.588684210526316
"FALSE POSITIVE",5130369,"K00140.01",142,-0.0130826,9.222,-0.01005,-0.009659,58.8997134670487,57.8324099722992
"CANDIDATE",12105051,"K00141.01",143,-0.5176552,-0.3313,0.0001489,0.0001692,-4.20976331360947,-5.24151472650771
"CANDIDATE",4649305,"K00143.01",144,0.3037584,0.3563,8.489e-05,0.0001295,0.253706666666667,-1.96117216117216
"CANDIDATE",4180280,"K00144.01",145,-0.5529092,1.757,0.0006774,-1.631e-05,6.30307076101469,2.33628318584071
"CANDIDATE",9904059,"K00145.01",146,-0.5200576,64.84,-0.000121,-0.0004518,-0.368329896907217,0.0549597989949749
"FALSE POSITIVE",9048161,"K00146.01",147,0.3183108,4.337,0.03337,-0.05926,-66.8304347826087,106.9565807327
"FALSE POSITIVE",1996679,"K00147.01",148,0.1528276,-15.67,-0.01371,-0.01246,47.1038107752957,53.0154494382022
"CANDIDATE",5735762,"K00148.01",149,-0.5278282,-1.813,-0.0002655,-4.434e-05,2.35386138613861,-1.83911764705882
"CANDIDATE",5735762,"K00148.02",150,-0.5278282,2.213,-4.422e-05,3.226e-05,1.81156756756757,-2.33655462184874
"CANDIDATE",5735762,"K00148.03",151,-0.5278282,-3.453,-6.385e-05,-0.0001775,-1.7316339869281,-1.3022619047619
"CANDIDATE",3835670,"K00149.01",152,-0.2627124,3.366,-1.314e-05,-2.098e-05,-2.06045503791983,1.11065693430657
"CANDIDATE",7626506,"K00150.01",153,-0.1574236,6.127,-0.0001594,0.0003416,3.48654104979812,-1.56309255079007
"CANDIDATE",7626506,"K00150.02",154,-0.1574236,-0.8037,-0.0002247,0.0005166,2.15925619834711,-0.94900826446281
"CANDIDATE",2307199,"K00151.01",155,0.2041058,0.2667,8.82e-05,0.0003652,0.450609756097561,-1.3287619047619
"CANDIDATE",8394721,"K00152.01",156,0.0735738,18.27,0.0003244,-0.0006164,1.14650632911392,-0.675431472081218
"CANDIDATE",8394721,"K00152.02",157,0.0735738,9.534,0.0001088,7.225e-05,-1.43276595744681,-1.62774834437086
"CANDIDATE",8394721,"K00152.03",158,0.0735738,2.793,-2.709e-05,-8.218e-06,-0.218736842105263,-0.115067307692308
"CANDIDATE",8394721,"K00152.04",159,0.0735738,43.94,-4.183e-05,0.0002121,0.653571428571429,-0.442104377104377
"CANDIDATE",12252424,"K00153.01",160,-0.5576696,1.62,-0.0001466,4.709e-05,-1.12850589777195,-2.92420306965762
"CANDIDATE",12252424,"K00153.02",161,-0.5576696,4.79,-0.0001333,8.51e-05,-2.0632380952381,-2.27083333333333
"CANDIDATE",8030148,"K00155.01",162,-0.1883368,2.432,-4.061e-05,-0.000103,2.53182989690722,1.13546218487395
"CANDIDATE",10925104,"K00156.01",163,0.0868132,-1.763,0.0006336,-0.0006337,2.82692307692308,7.02333333333333
"CANDIDATE",10925104,"K00156.02",164,0.0868132,0.6198,0.0001799,-0.0002523,2.64611048478016,7.6483064516129
"CANDIDATE",10925104,"K00156.03",165,0.0868132,-1.203,0.0003111,-9.972e-05,1.03311320754717,6.04283464566929
"CANDIDATE",6541920,"K00157.01",166,-0.305502,-4.584,-0.0002271,0.0002749,-1.4479375696767,0.47844141069397
"CANDIDATE",6541920,"K00157.02",167,-0.305502,1.369,-0.0001343,0.0001231,-1.2422131147541,1.95621212121212
"CANDIDATE",6541920,"K00157.03",168,-0.305502,7.702,0.0001353,0.0002936,-1.78475967174678,0.584689578713969
"CANDIDATE",6541920,"K00157.04",169,-0.305502,42.8,-6.545e-05,0.0002123,-1.15825,0.452405172413793
"CANDIDATE",6541920,"K00157.05",170,-0.305502,30.15,-0.000213,0.0001472,-0.594981366459627,0.797765957446809
"CANDIDATE",6541920,"K00157.06",171,-0.305502,2.343,3.354e-06,0.0001207,0.208025510204082,0.489697841726619
"FALSE POSITIVE",10555375,"K00158.01",172,0.133804,1.485,0.003224,0.002798,-56.8078512396694,-54.0056737588652
"CANDIDATE",8972058,"K00159.01",173,-0.1849688,6.444,6.127e-06,-1.057e-05,1.00138888888889,2.68022556390977
"CANDIDATE",8972058,"K00159.02",174,-0.1849688,1.566,5.904e-05,-3.242e-05,1.1190676416819,0.860353260869565
"CANDIDATE",6631721,"K00160.01",175,0.28945,8.208,-0.001227,-0.001993,30.0488466757123,34.3354755784062
"CANDIDATE",5084942,"K00161.01",176,-0.5522582,2.102,-1.297e-05,4.776e-05,-1.76711772665765,-2.53947667804323
"CANDIDATE",8107380,"K00162.01",177,-0.219412,5.016,-0.0001673,7.939e-05,1.34538461538462,-0.968965517241379
"CANDIDATE",6851425,"K00163.01",178,-0.5434208,3.587,-1.631e-06,0.0001603,-4.76113043478261,-4.58866943866944
"FALSE POSITIVE",5652237,"K00164.01",179,0.1330632,2.175,-0.007128,-0.002663,124.680456490728,51.2875175315568
"CANDIDATE",9527915,"K00165.01",180,-0.5153704,9.289,0.0001255,-0.0005696,1.85728070175439,-0.296188034188034
"CANDIDATE",2441495,"K00166.01",181,-0.5162616,8.947,0.000255,0.0001245,1.55465498357065,4.03738601823708
"CANDIDATE",11666881,"K00167.01",182,0.0218528,1.328,4.078e-05,2.635e-06,-0.625466531440162,0.930787234042553
"CANDIDATE",11512246,"K00168.01",183,-0.2271056,4.856,-4.612e-06,0,-0.282920731707317,1.63625850340136
"CANDIDATE",11512246,"K00168.02",184,-0.2271056,11.13,1.32e-05,0,-0.613227383863081,0.189325
"CANDIDATE",11512246,"K00168.03",185,-0.2271056,3.94,-1.461e-06,0,0.18384375,-1.50108641975309
"FALSE POSITIVE",6185711,"K00169.01",186,0.0454192,7.99,-0.02987,-0.003187,52.8388571428572,-1.36916666666667
"FALSE POSITIVE",11044770,"K00170.01",187,-0.03172,11.23,-0.003724,-0.003068,21.5009836065574,21.6983870967742
"CANDIDATE",7831264,"K00171.01",188,0.0146514,2.951,8.767e-05,-4.498e-05,0.75022131147541,-0.281535483870968
"CANDIDATE",7831264,"K00171.02",189,0.0146514,2.696,-0.0001113,-1.641e-05,0.979024390243902,-0.773303167420815
"CANDIDATE",8692861,"K00172.01",190,-0.1704576,6.832,8.908e-05,-2.721e-05,0.0972170542635659,-0.61681512605042
"CANDIDATE",8692861,"K00172.02",191,-0.1704576,137.8,0.0001001,-0.0002438,0.169923456790123,-2.49952305246423
"CANDIDATE",11402995,"K00173.01",192,-0.2684868,6.839,-0.0001198,-0.0001396,-1.57467248908297,2.11712962962963
"CANDIDATE",10810838,"K00174.01",193,-0.5721856,15.84,-0.0001845,-0.0002601,1.70301470588235,2.97225490196078
"FALSE POSITIVE",8323753,"K00175.01",194,0.1484252,-1.588,-0.003715,-0.00253,49.0217054263566,58.0089974293059
"CANDIDATE",6442377,"K00176.01",195,0.0592352,3.821,-0.0001025,-2.005e-05,-0.50784328358209,1.09009661835749
"CANDIDATE",6803202,"K00177.01",196,-0.280364,7.09,-8.963e-05,-8.769e-05,2.29525252525253,0.14198
"FALSE POSITIVE",11455491,"K00178.01",197,0.2443852,3.132,0.01245,0.007375,-115.494134897361,-62.1700288184438
"CANDIDATE",9663113,"K00179.01",198,0.0698056,-2.295,0.0001853,-0.0001572,1.29928789420142,-0.866136363636364
"CANDIDATE",9663113,"K00179.02",199,0.0698056,177.4,-3.568e-05,-4.92e-05,-0.000313094117647059,-0.105660344827586
"CANDIDATE",9573539,"K00180.01",200,-0.317286,1.9,-0.0001111,-2.201e-05,-1.05042528735632,1.47272727272727
"FALSE POSITIVE",12504988,"K00181.01",201,0.0509568,2.544,0,0.002842,-1.52525849335303,-1.83497023809524
"CANDIDATE",5376836,"K00182.01",202,0.0013178,1.742,-0.0007776,8.307e-05,1.37863955119215,3.97433628318584
"CANDIDATE",9651668,"K00183.01",203,-0.3042664,1.919,0.001694,-0.001386,0.0339776119402985,0.477701492537313
"FALSE POSITIVE",7972785,"K00184.01",204,0.173416,3.651,-0.0004379,0.00109,-1.09452522255193,-1.04994211287988
"FALSE POSITIVE",4178389,"K00185.01",205,0.04839,4.779,0.01859,-0.009349,-0.730544117647059,0.500699404761905
"CANDIDATE",12019440,"K00186.01",206,-0.2433908,1.577,-0.001763,-0.0008932,0.938064516129032,-0.769910846953938
"FALSE POSITIVE",7023960,"K00187.01",207,-0.1233008,4.604,-0.0002169,-0.0006482,-0.508483063328424,0.855967741935484
"CANDIDATE",5357901,"K00188.01",208,-0.5344642,0.2292,0.000323,-4.848e-05,-1.03550445103858,-1.81690962099125
"CANDIDATE",11391018,"K00189.01",209,-0.549259,1.451,0.0004704,-0.0003632,1.02204022988506,3.32408963585434
"FALSE POSITIVE",5771719,"K00190.01",210,-0.481854,5.304,0.0007134,2.5e-05,0.0235848214285714,-1.00520984081042
"CANDIDATE",5972334,"K00191.01",211,-0.4433544,-1.723,0.001427,-0.0001327,-0.260326530612245,1.4741116751269
"CANDIDATE",5972334,"K00191.02",212,-0.4433544,1.108,0.0002529,1.011e-05,-0.137766871165644,0.581694352159468
"CANDIDATE",5972334,"K00191.03",213,-0.4433544,0.4367,9.406e-05,7.048e-06,2.32301310043668,2.10410423452769
"CANDIDATE",5972334,"K00191.04",214,-0.4433544,2.234,-3.766e-05,0.0004393,0.263048888888889,1.38171755725191
"CANDIDATE",7950644,"K00192.01",215,-0.092442,6.892,1.316e-05,0.0004139,0.49405604719764,-1.91308823529412
"FALSE POSITIVE",10799735,"K00193.01",216,0.0431008,-6.941,0.001137,0.0007782,-0.746194690265487,2.27901785714286
"CANDIDATE",10904857,"K00194.01",217,0.0193588,1.577,9.224e-05,0.000865,1.76233382570163,0.0721119293078056
