"koi_disposition","kepid","kepoi_name","tce_plnt_num","tce_ingress","tce_model_chisq","tce_sradius","tce_minmesd","tce_bin_oedp_stat","tce_albedo","tce_rb_tcount3","tce_fwm_stat","tce_fwm_srao","tce_fwm_pdeco","tce_impact_sn","tce_duration_sn","tce_sma_sn","tce_insol_sn","tce_smet_sn","tce_fwm_srao_sn","tce_fwm_sdeco_sn"
"CANDIDATE",9002538,"K03196.02",2,0.06601,3169,1.298,0.2,2.85,26.37,0,0.48891,0.2916,7.945e-06,2.38044914134742,9.58638517880224,6.46085409252669,3.92526202370457,-0.266666666666667,0.304384133611691,-0.407627118644068
"CANDIDATE",8443527,"K03197.01",1,0.1034,2143,1.087,-0.8855,0.1091,157.9,0,1.0311,0.6204,3.137e-06,1.45178408051235,20.2719298245614,5.52982456140351,3.52180605438687,-1,1.27654320987654,-0.0709647495361781
"FALSE POSITIVE",5482603,"K03199.01",1,0.07554,6455,1,0.3063,1.469,36.93,0,1188.6,23.13,-0.00142,1.45195020746888,8.34732952636883,230395.426393521,0,1.06666666666667,13.6058823529412,20.2896551724138
"CANDIDATE",4262040,"K03202.01",1,0.2628,1977,2.648,31.11,0.02456,433,0,6.5824,-0.8858,-6.497e-05,0.306050783360346,22.0295202952029,6.11381880733945,4.02013422818792,-0.533333333333333,-1.65261194029851,0.637192118226601
"CANDIDATE",3122872,"K03203.01",1,0.389,1360,2.467,45.72,2.024,318.9,0,12.541,0.311,0.0001514,3.31112036651395,25.1893939393939,3.94926913155632,2.54359274429491,-1.2,0.733490566037736,-1.60489236790607
"FALSE POSITIVE",9959494,"K03205.01",1,0.1062,33550,1.081,0.883,0.3094,4.084,0,39.278,1.74,-2.524e-05,4.39363241678726,17.0664288898796,5.54547516443638,3.38233341380975,-1.25714285714286,3.24022346368715,1.95219885277247
"CANDIDATE",5612697,"K03206.01",1,0.5094,3462,1,3.004,1.665,158.5,0,14.031,0.8272,-0.0004547,6.98278443113772,5.04586154182136,131801.69286578,0,1.06666666666667,0.582535211267606,2.97166666666667
"FALSE POSITIVE",9518710,"K03207.01",1,0.02163,47510,2.785,0.5867,5.617e-05,3.044,0,0,1.007,0,0.121603798470061,20.7642338555598,3.47170374794684,2.12184967096175,0.2,0.987254901960784,-0.427699115044248
"CANDIDATE",10155029,"K03208.01",1,0.01291,7307,0.997,1.503,0.5739,10.42,0,12.982,2.504,5.789e-06,0.33734302709848,26.5338302752294,7.71600481347774,4.65399972463169,-0.533333333333333,3.37921727395412,-0.738506588579795
"CANDIDATE",7017274,"K03209.01",1,0.3096,3894,2.335,1.315,0.9134,26.27,0,2.1545,0.8617,-2.098e-06,9.28578930784581,24.563571143882,3.44797435150102,2.23624017155111,1.06666666666667,3.62058823529412,-4.15116279069767
"CANDIDATE",7017274,"K03209.02",2,0.2458,8476,2.335,-1.601,0.1758,7.789,0,1.5534,0.9982,-1.338e-05,5.51014136447449,16.5441176470588,3.44732370433305,2.23621679223766,1.06666666666667,2.852,-2.26710526315789
"FALSE POSITIVE",7293937,"K03211.01",1,0.08599,17870,1,0.2042,5.173,2.058,0,0,18.43,0,6.59473299195318,23.7264618434093,459238.095238095,172026,1.06666666666667,58.3227848101266,493.670886075949
"FALSE POSITIVE",4927734,"K03212.01",1,0.1046,38930,2.485,1.226,0.0003031,21.15,0,0,0,0,0.00374599101988454,15.9203693017888,3.54107264086897,2.1998831067903,0.14,0,0
"FALSE POSITIVE",5398002,"K03213.01",1,18.38,20080,3.746,8.568,8.259e-05,2.895,0,0.77103,0.1696,1.944e-05,78.3620689655172,63.598615916955,1.97088754347546,1.17249268956896,0.116666666666667,0.625830258302583,-1.37165109034268
"CANDIDATE",7983117,"K03214.01",1,0.3053,6551,1.788,2.429,1.434,14.14,0,26.126,-0.1426,-8.396e-05,5.52144607843137,16.403757920035,3.38888888888889,2.09994044073853,-0.333333333333333,-0.196148555708391,2.67145421903052
"CANDIDATE",7983117,"K03214.02",2,0.4241,3363,1.788,17.61,1.613,134.5,0,16.472,3.232,5.808e-05,6.19453697534977,9.63064608347627,3.39094969897067,2.1,-0.333333333333333,2.37647058823529,-1.47094188376753
"FALSE POSITIVE",3342952,"K03215.01",1,0.05306,22820,0.976,0.55,0.003397,2.284,0,184.21,-5.81,-9.122e-05,2.82073703935041,13.7734668335419,5.84081388390186,3.66609391108751,-0.2,-6.16772823779193,5.18684210526316
"FALSE POSITIVE",10338279,"K03216.01",1,0.02936,2680,0.842,2.885,2.248,42.78,0,2.503,-0.09335,3.562e-05,3.6135360470819,31.277926720286,5.38831291234684,3.48583799386614,-1.46666666666667,-0.752822580645161,0.550701754385965
"FALSE POSITIVE",2573108,"K03217.01",1,0.6882,48610,4.146,3.426,0.6207,9.543,0,15.334,0.535,-3.103e-05,1.87645847632121,21.3234455219624,2.66369379412858,1.63481628632053,-0.333333333333333,0.767575322812052,1.99339622641509
"FALSE POSITIVE",10191036,"K03218.01",1,0.1102,33370,1.049,0.6947,0.1073,5.602,0,242.3,-2.519,8.801e-05,3.83234042553191,17.0560138949197,5.12791228871631,3.25364803094233,-0.628571428571429,-4.51433691756272,-6.55776892430279
"FALSE POSITIVE",7985733,"K03219.01",1,0.04414,31090,80.53,0.1987,0.05477,0,0,4800,-12.75,-0.0006726,4.96085997794928,23.3368692226095,0,0,0,-14.5381984036488,52.442996742671
"CANDIDATE",11189311,"K03220.01",1,0.4183,1607,1.401,-2.479,1.618,568.6,0,10.961,0.08987,-8.783e-05,2.33525298231181,68.5552407932011,6.49300530631934,4.24154589371981,1.6,1.19507978723404,1.67834793491865
"FALSE POSITIVE",6956136,"K03221.01",1,25.36,4049,2.02,31.29,17.93,134.7,0,3.7389,-0.121,-3.171e-05,40.1324769169008,21.2662473794549,2.29272030651341,1.37925086249384,-0.133333333333333,-0.657608695652174,-0.226959064327485
"FALSE POSITIVE",5556726,"K03223.01",1,0.1452,39430,4.928,0.3587,0.02574,0,0,68.504,0.1651,5.563e-05,3.1061433447099,8.75445746306673,0,0,0.28,0.488461538461538,-5.69453376205788
"CANDIDATE",10384298,"K03224.01",1,0.04451,4602,1.401,1.631,0.7082,6.362,0,34.84,-0.279,0.0001381,2.90580182529335,10.8223684210526,3.00069013112491,1.80589010379343,1.06666666666667,-0.2232,-2.74874371859296
"CANDIDATE",3109550,"K03225.01",1,0.02715,4191,1.286,3.567,0.02324,20.8,0,0,-1.281,0,1.03715738909296,18.7735849056604,3.66913248150639,2.18858584416203,0.28,-1.46066134549601,0.200272727272727
"CANDIDATE",5544450,"K03226.01",1,0.1997,7002,1.574,0.6334,2.927,9.079,0,17.824,-0.5834,2.627e-05,6.35285815102329,14.0645161290323,6.19171546302321,4.08327591606639,0.2,-2.04701754385965,-0.392181069958848
"CANDIDATE",5544450,"K03226.02",2,0.08102,3683,1.574,2.432,0.3334,19.45,0,12.119,-0.1808,5.481e-05,1.60146290491118,24.9115646258503,6.18976377952756,4.0833481745325,0.2,-0.430476190476191,-1.30561797752809
"FALSE POSITIVE",8975368,"K03227.01",1,0.06826,9450,1.316,-0.4167,2.001,4.11,0,220.77,-0.6949,-0.0002108,2.87133041848844,7.76827704147071,4.09337420419712,2.41916999971634,-1.06666666666667,-0.661809523809524,7.75434782608696
"FALSE POSITIVE",5307990,"K03228.01",1,0.02358,16250,2.022,0.375,0.1775,0.7213,0,1214.8,-13.48,0.0003266,3.65562632696391,16.5505940188447,3.43326098752035,2.26574445047362,0.0933333333333333,-14.4171122994652,-16.0955710955711
"FALSE POSITIVE",9291039,"K03230.01",1,10.04,21820,1.21,-2.098,0.8754,23.61,0,0,-0.6123,3.111e-05,141.583594417545,19.0788224121557,5.87663680220538,3.63601414731662,0.133333333333333,-1.46834532374101,-1.36181434599156
"FALSE POSITIVE",9291039,"K03230.02",2,0.145,75.17,1.21,-96.97,0,10640,0,0,-0.07365,1.815e-05,0.263522561863173,0.530806737588652,5.87714987714988,3.63636363636364,0.133333333333333,-0.0327333333333333,-0.0749186991869919
"FALSE POSITIVE",10489539,"K03231.01",1,0.8514,6223,1.617,7.37,0.04812,152.6,1,208.79,-12.72,-0.0001197,22.9552165354331,24.9719206289779,3.16673755848575,1.90320215106331,-0.4,-12.1142857142857,2.22010178117048
"CANDIDATE",9569711,"K03232.01",1,0.09009,2510,0.962,-1.066,0.008011,9.218,0,2.4335,0.3038,-2.84e-05,4.40313111545988,8.87669464170432,7.59050305594734,4.5255843335439,0.266666666666667,0.732048192771084,0.729154518950437
"CANDIDATE",10057494,"K03234.01",1,0.09286,9889,1.239,0.9479,0.09612,8.68,0,3.2075,-0.6979,-1.281e-05,3.77652933832709,11.1696471725471,6.68665939658306,4.29930208821826,0,-1.35251937984496,0.281908548707754
"CANDIDATE",7902003,"K03236.01",1,0.08408,4087,2.074,2.581,0.6637,18.01,0,1.6246,0.1905,2.283e-05,2.4802089059923,9.24566768603466,4.58188932364449,2.87127089246295,0.666666666666667,0.156147540983607,-0.831339285714286
"CANDIDATE",6587796,"K03237.01",1,0.4589,1127,1.066,3.835,0.6412,154,0,0.47212,-0.06943,-2.436e-06,15.25977410947,27.1959798994975,7.75596612779061,4.8494623655914,0.533333333333333,-0.383591160220995,1.32577319587629
"FALSE POSITIVE",9489953,"K03238.01",1,10.44,3071,3.006,-1.26,1.794,9.946,0,3.6431,0.1137,6.028e-05,35.941768511862,35.5222864920041,2.50748502994012,1.57649186256781,-0.2,1.22258064516129,0.682991202346041
"FALSE POSITIVE",5305240,"K03239.01",1,0.0507,14490,1.433,0.175,0.0006522,0.8713,0,530.67,-11.96,-2.636e-05,3.87913978494624,13.3980582524272,2.87930543694848,1.69274487543806,-0.2,-16.4511691884457,0.870826833073323
"FALSE POSITIVE",6206559,"K03240.01",1,0.102,28250,2.477,0.2917,0.5098,1.198,0,0,0.5065,3.384e-05,3.90666100975817,10.3324518322629,1.88629518072289,1.11308555256124,-0.2,1.15639269406393,-3.53611111111111
"FALSE POSITIVE",9532117,"K03241.01",1,0.1414,3850,1.869,3.206,0.7114,63.53,0,0,24.91,0,1.91988067334328,5.60592539710869,3.3620202020202,2.07387706855792,-1,51.8958333333333,-89.8632478632478
"FALSE POSITIVE",6928906,"K03242.01",1,0.08167,36950,2.804,0.8003,0.4767,2.77,0,0.13036,0.1172,-7.064e-07,6.72252533125487e-05,20.5800498022558,2.86998254799302,1.77267894687639,0.514285714285714,0.101913043478261,0.0450603448275862
"FALSE POSITIVE",9821151,"K03243.01",1,0.1235,3485,1.132,4.031,1.397,102.7,0,0,-0.5596,-4.682e-05,2.91792020928712,9.19467554076539,5.29400630914826,3.44820872274143,-0.466666666666667,-1.11031746031746,1.33276595744681
"FALSE POSITIVE",6850665,"K03244.01",1,39.27,4690,5.826,2.023,0.1405,9.619,0,1.3164,-0.01616,-3.738e-05,56.369785794814,4.90262172284644,3.58401453224341,2.3110119047619,-1.2,-1.63232323232323,1.7600411946447
"CANDIDATE",8073705,"K03245.01",1,0.1753,4617,1.303,5.864,6.348,60.95,0,2.3361,-0.7481,-3.316e-05,2.36111111111111,9.69154842689698,5.42922636103152,3.30685495734039,-1.06666666666667,-0.834933035714286,0.536413043478261
"CANDIDATE",9885417,"K03246.01",1,0.06673,23110,0.726,0.2031,7.524e-05,0.8047,0,13.742,0.1914,3.233e-05,5.84795321637427,15.3815789473684,16.0081512509906,8.20889903727475,0.666666666666667,1.01269841269841,-3.08292682926829
"FALSE POSITIVE",3336476,"K03247.01",1,0.043,24150,2.106,1.115,0.1339,2.193,0,23.128,1.15,-5.131e-05,1.4863523573201,26.4168377823409,5.14774281805746,3.00856120411866,0.14,1.15,2.28985507246377
"CANDIDATE",10917433,"K03248.01",1,0.08332,3425,1.044,3.558,1.569,42.03,0,5.2456,0.192,4.085e-05,2.58092812676853,7.57501744591765,7.32671197072661,4.52728400165358,0,0.199791883454735,-1.17145899893504
"FALSE POSITIVE",9083564,"K03249.01",1,0.0768,21160,1.434,0.5292,1.255,2.29,0,48.459,-6.645,-4.289e-05,2.33248537267871,8.6211818441336,4.73110285006196,2.72838610442,-0.4,-4.31493506493506,2.1037037037037
"FALSE POSITIVE",7335713,"K03250.01",1,0.06889,14490,5.769,0.6625,0.03275,0,0,171.22,-2.715,0.0001578,1.98263135041251,4.83106931382793,0,0,-1.86666666666667,-5.87662337662338,-6.50229357798165
"FALSE POSITIVE",2707985,"K03253.01",1,0.1529,29010,3.46,0.8083,0.276,0.2685,0,1.7121,0.3703,-9.261e-06,4.31984769157544,15.0728959575878,1.97181628392484,1.18293167144978,-0.666666666666667,0.664811490125673,0.831603053435114
"FALSE POSITIVE",9899141,"K03254.01",1,0.03355,28100,0.998,0.4087,2.012,2.578,0,19.08,2.232,3.48e-06,1.37366615853659,27.1578160059835,6.23841059602649,3.82469795539033,0.466666666666667,3.03260869565217,-0.230013106159895
"CANDIDATE",8183288,"K03255.01",1,0.4442,1061,0.679,-7.07,1.417,992.9,0,4.6518,-0.1616,-0.0002699,3.72832886505809,11.8658950309319,25.1663747810858,11.2631578947368,0,-0.360714285714286,0.983651804670913
"FALSE POSITIVE",10420301,"K03257.01",1,0.4329,556.9,0.559,13.54,0.02015,33590,0,0,-119.4,0,0.092225505796772,7.16184971098266,13.0457806627947,6,-1.8,-117.058823529412,58.1714285714286
"CANDIDATE",4366323,"K03258.01",1,0.2375,986.2,0.82,8.432,1.144,769.6,0,0.47716,0.7054,-0.0001225,0.557002111189303,2.97520661157025,5.87661481676773,3.64139941690962,-0.666666666666667,0.496760563380282,0.230130718954248
"CANDIDATE",2853029,"K03259.01",1,0.2769,562.6,0.902,44.5,0.7519,1966,0,13.734,-0.5758,-0.001968,0.587389380530973,2.5607476635514,12.4296577946768,7.17105263157895,0.933333333333334,-0.423382352941176,1.62700729927007
"CANDIDATE",12156174,"K03260.01",1,0.3635,565.5,1.295,2.711,0.08787,274.3,0,2.5202,0.2096,-0.0004964,1.25920964501005,7.79098700580592,4.8618974095042,2.97301854974705,0.933333333333334,0.344170771756979,0.184978540772532
