"koi_disposition","kepid","kepoi_name","tce_dof2","tce_chisq2","tce_chisqgof","tce_eqt","tce_hap_stat","tce_fwm_pdeco","tce_dicco_mdec","tce_time0_sn"
"FALSE POSITIVE",5460434,"K07729.01",513.7,637.1,7912,2210,3.503,0,0.038357,298781370.906006
"FALSE POSITIVE",5512513,"K07730.01",1314,1793,8539,1350,5.149,4.689e-05,0.041785,1506403058.25034
"FALSE POSITIVE",5513861,"K07731.01",6962000,2581000,13150000,2410,853.8,0,-0.0052879,-2454960
"FALSE POSITIVE",5529552,"K07732.01",1741,1940,11130,1740,13.9,0.000148,0.56516,395107348.633598
"FALSE POSITIVE",5617259,"K07733.01",1271,997.6,9073,3870,8.403,0.0001675,-0.30428,565920779.343524
"FALSE POSITIVE",5653795,"K07734.01",410.2,464.8,7369,2610,3.659,0,-0.60047,234373627.632559
"CANDIDATE",5687986,"K07735.01",7.113,6.134,118.1,400,0.6913,-0.0003933,-0.24701,176397600.316126
"FALSE POSITIVE",5709103,"K07736.01",1982,1376,4913,2340,7.844,8.618e-06,-7.478,1179384692.25004
"FALSE POSITIVE",5716508,"K07737.01",6.39,12.87,118.6,0,2.669,-0.0002573,0.37348,28740764.5019709
"FALSE POSITIVE",5730380,"K07738.01",1388,940,2747,2330,4.381,0,2.6539,2042073216.38011
"FALSE POSITIVE",5736801,"K07739.01",169.1,211.1,868.4,890,16.08,-0.003708,6.3099,357562949.325938
"FALSE POSITIVE",5774375,"K07740.01",1101000,2171000,4634000,2140,307.6,0,0.015811,-2454970
"FALSE POSITIVE",5806800,"K07741.01",16.67,20.92,122.5,363,19.23,-0.00328,4.8689,248292608.433144
"FALSE POSITIVE",5817957,"K07742.01",13.36,20.22,160.8,242,7.733,-0.005822,5.3637,102480611.742314
"FALSE POSITIVE",5823557,"K07743.01",553.1,716.2,6109,1660,-1.481,4.513e-05,-0.47277,429125290.384155
"CANDIDATE",5877292,"K07744.01",99.34,98.02,497.1,870,-0.7723,-0.000525,-0.6077,288876415.864745
"FALSE POSITIVE",5879448,"K07745.01",6.665,5.155,91.35,315,0.8565,0.0003727,-1.2385,112533690.251371
"CANDIDATE",5881307,"K07746.01",7.728,1.225,108.7,263,-1.886,-5.965e-05,0.14432,125723678.483463
"FALSE POSITIVE",5887316,"K07747.01",1827,3194,13330,2460,12.9,-0.0001511,-0.077416,1293254946.58322
"FALSE POSITIVE",5887393,"K07748.01",688.9,594.6,4821,3190,1.965,-7.475e-06,-0.14201,809867680.969614
"CANDIDATE",5888187,"K07749.01",15.01,10.6,56.19,317,3.101,0.0003839,-1.8441,543977860.399984
"CANDIDATE",5894182,"K07750.01",7.587,1.432,20.92,379,-0.2217,-0.0002985,-0.15841,470280882.198025
"FALSE POSITIVE",5895083,"K07751.01",588.6,740.7,3624,2930,21.09,0.000456,-7.2375,643299617.420471
"FALSE POSITIVE",5952448,"K07753.01",1452,1644,6283,1780,11.13,4.947e-05,1.6385,763081332.098297
"FALSE POSITIVE",5962509,"K07754.01",1675,1787,12230,1720,20.72,-0.0007246,8.0453,687316270.136793
"FALSE POSITIVE",5991070,"K07756.01",1394,885.3,7462,2760,7.993,-5.041e-05,-3.1532,372589134.48638
"FALSE POSITIVE",6032920,"K07757.01",121.2,145.6,515.6,759,-3.556,8.617e-05,-0.60207,669991648.881878
"CANDIDATE",6043538,"K07759.01",215.2,215.1,1699,1380,3.198,-1.39e-05,0.51286,387976224.905691
"FALSE POSITIVE",6069674,"K07761.01",6.691,2.287,15.54,330,0.4829,-0.0002777,0.71974,251867246.733023
"CANDIDATE",6106046,"K07762.01",102.4,71.21,552.6,891,1.446,-2.789e-05,-0.83822,326529987.922898
"FALSE POSITIVE",6113752,"K07763.01",8.161,2.204,69.22,278,-1.624,-0.0005684,0.26657,122062735.232262
"CANDIDATE",6124137,"K07764.01",10.8,5.571,181.1,449,1.052,-6.519e-05,-0.43756,125043674.905902
"FALSE POSITIVE",6147851,"K07766.01",435.6,516.6,2664,1280,47.65,-0.004384,0,498155483.22687
"FALSE POSITIVE",6187888,"K07768.01",1280,1290,4932,1530,8.969,0.0001455,0.58359,782448088.476678
"FALSE POSITIVE",6190535,"K07769.01",304.8,310.3,1167,1010,1.354,5.91e-05,0.53417,522415183.634905
"FALSE POSITIVE",6198256,"K07770.01",366.8,363.1,2223,1800,5.859,-2.283e-05,-0.085392,1053775625.83702
"FALSE POSITIVE",6199716,"K07771.01",1380,1670,5879,2170,26.59,-0.0006481,1.8333,940900746.214313
"FALSE POSITIVE",6205566,"K07772.01",350.6,399.3,7761,1180,11.61,-0.0001117,-1.902,184199192.664956
"CANDIDATE",6231721,"K07773.01",494,510.6,2381,1150,1.784,0.0001125,0.48766,530269026.816282
"CANDIDATE",6277410,"K07774.01",211.1,200.5,1022,902,1.862,0.0004124,0.7559,635294878.762001
"CANDIDATE",6278670,"K07775.01",7.673,21.68,83.5,278,0.5547,-0.000208,-0.86777,373339030.836468
"CANDIDATE",6356400,"K07776.01",8.463,3.611,120.6,144,1.672,0.002304,-1.3051,70592971.0659563
"FALSE POSITIVE",6369845,"K07777.01",51.23,40.88,324,951,10.27,0.001554,-5.6958,248175817.066144
"FALSE POSITIVE",6442602,"K07778.01",1973,2047,7469,1660,0.6983,-3.375e-06,0,486913611.589328
"FALSE POSITIVE",6445531,"K07779.01",648.1,674.3,4557,1770,12.9,-0.0003534,3.5679,430053429.096961
"CANDIDATE",6451368,"K07780.01",251.5,220.6,1680,1670,3.594,2.198e-05,0.10307,711214438.843502
"FALSE POSITIVE",6469946,"K07781.01",1864,2740,10870,1660,27.06,-0.001951,1.9154,8427889731.88232
"FALSE POSITIVE",6519865,"K07782.01",2269,2123,10560,2270,10.48,-0.0001339,-1.0188,784284660.036611
"FALSE POSITIVE",6527016,"K07783.01",2424,2976,10740,2660,11.09,0.0002735,-7.5659,1585082548.31191
"FALSE POSITIVE",6531143,"K07784.01",58.86,57.19,690.2,750,1.509,-0.0003218,1.8881,112927679.696772
"CANDIDATE",6531617,"K07785.01",8.295,1.341,30.04,203,1.869,0.0002377,-0.25694,313009576.04548
"FALSE POSITIVE",6547322,"K07786.01",884.4,999.9,9593,2480,17.51,0.0001981,-1.0976,353873630.254475
"FALSE POSITIVE",6590307,"K07787.01",967.3,1059,7001,1450,4.645,-4.299e-05,0.44473,416642482.438856
"FALSE POSITIVE",6679504,"K07788.01",1613,1737,6626,1720,7.674,0.0006957,-3.3627,1176552061.26772
"FALSE POSITIVE",6780367,"K07789.01",11.94,5.542,86.99,420,-0.3081,0.0003001,-0.16819,203890872.851092
"FALSE POSITIVE",6783732,"K07790.01",1825,2159,9826,2160,25.42,0.0005718,-10.558,879003469.524399
"CANDIDATE",6790592,"K07791.01",16.92,0.05941,48.39,0,3.333,-4.15e-05,-3.2231,96385650.9636563
"FALSE POSITIVE",6795089,"K07792.01",10.55,8.052,20.75,965,1.02,-0.0003208,-0.019518,565453021.13899
"CANDIDATE",6863158,"K07793.01",660.4,666.7,7145,758,7.97,-0.0001266,-0.68024,341091259.724038
"FALSE POSITIVE",6863187,"K07794.01",556.5,548.9,7082,1450,5.88,-4.868e-05,-0.88085,291668399.273374
"CANDIDATE",6887030,"K07795.01",246.3,233.9,1364,892,-1.365,-0.0003064,0.13571,630345808.598484
