"koi_disposition","kepid","kepoi_name","tce_period","tce_time0bk","tce_depth","tce_ldm_coeff1","tce_ldm_coeff2","tce_ldm_coeff3","tce_num_transits","tce_model_snr","tce_robstat","tce_dof1","tce_chisq1","tce_chisqgofdof","tce_sma","tce_smet","tce_steff_prov","tce_smet_prov","tcet_period","tcet_time0bk","tcet_time0","tcet_duration","tcet_model_dof","wst_robstat","tce_maxmes","tce_max_mult_ev","tce_ptemp_stat","boot_fap","boot_messtd","tce_rb_tpdur","tce_rb_tcount0","tce_rb_tcount2","tce_fwm_sdec","tce_fwm_prao","tce_dicco_mdec","tce_dikco_mra","tce_dikco_msky","tce_time0bk_sn","tce_time0_sn","tce_prad_sn","tce_sma_sn","tce_sradius_sn","tce_ptemp_sn","tce_fwm_sra_sn","tce_dicco_mra_sn","tce_dikco_mdec_sn","tce_dikco_msky_sn"
"FALSE POSITIVE",11913073,"K00011.01",3.74782,134.189,480.6,0.5537852,-0.1496812,0.748464,358,91.99,96.8,3159,2860,2317,0.04598,-0.04,5,5,3.74786,134.183,2454970,4.831,17150,16.04,16.17,98.6,15.31,0,1.0473,12,342,0,50.262473,-0.0007874,-11.111,1.0605,11.232,143288.844657675,2621450453.98097,4.35467128027682,5.09812617806852,4.3936170212766,28.6094488188976,6600051.02040816,1.69384615384615,-12.1279826464208,12.2086956521739
"CANDIDATE",5812701,"K00012.01",17.8552,146.596,9196,0.4124056,0.7265728,-0.6756732,75,628.5,384,423,19910,720,0.1491,0.07,7,7,17.855,146.606,2454980,7.591,8817,1.513,3.37,417.9,2.864,0,1.0637,12,72,0,41.011057,0.0004751,0.050328,-0.047867,0.1902,2439607.25578299,40855050757.1975,5.11923076923077,6.13075657894737,5.11985018726592,6.56911477240994,188859495.238095,-0.122981042654028,0.739277108433735,0.660416666666667
"CANDIDATE",9941662,"K00013.01",1.76359,132.912,4564,0.5744564,0.0837158,-0.0165732,761,5052,5800,6561,1263000,4807,0.03861,0.07,8,5,1.76359,132.91,2454970,3.328,32050,19.48,27.16,6791,-2.375,-1,-1,6,721,0,46.868554,0,2.762,3.0005,3.7991,21971758.3423979,405832487494.255,2.25890985324948,2.52848722986248,2.25856929955291,19.8067720090293,394462020.618557,3.11973913043478,6.58276836158192,4.53353221957041
"FALSE POSITIVE",7684873,"K00014.01",2.94736,133.216,403.2,0.4406016,0.3095424,-0.0216084,454,297.5,270.5,3969,2726,1601,0.04921,-0.14,8,5,2.94737,133.216,2454970,1.944,10800,52.56,57.96,318.8,8.081,0,1.0922,3,331,30,43.305207,0.0005353,-0.60944,-3.4481,3.4799,1363981.69289525,25136125815.2703,3.84472461844725,4.33568281938326,3.84509466437177,23.6349487596973,17417346.4285714,-11.6381578947368,-2.81089820359281,19.0158469945355
"FALSE POSITIVE",3964562,"K00015.01",3.01248,132.247,1096,0.557243,0.1312594,0.001674,354,281.4,303.1,3132,8383,1614,0.05197,0.21,8,5,3.01246,132.251,2454970,3.088,11430,40.34,44.87,372.4,4.032,0,1.0358,6,319,0,39.088794,0.092,0.20192,-9.4467,9.4498,729517.872903795,13542420564.872,3.12935708752905,4.16426282051282,3.41344537815126,12.5037803296321,9336927.61904762,-135.941520467836,3.52115942028985,135.968345323741
"FALSE POSITIVE",9110357,"K00016.01",0.895279,131.618,175.5,0.4475868,0.3341996,-0.088232,1499,48.61,48.59,13180,36640,5323,0.02311,-0.08,8,5,0.895276,131.622,2454960,2.715,32240,1.593,1.563,202.3,-1.476,0,1.0455,3,1413,0,45.299469,0.04832,-7.907,-5.9097,9.9383,254541.375689208,4747746475.87699,1.58632517722387,2.14577530176416,2.03488372093023,3.99404048918267,2792464.18539326,-80.0995792426368,-109.756868131868,129.068831168831
"CANDIDATE",10874614,"K00017.01",3.2347,134.425,10560,0.634036,-0.3018144,0.868388,335,2865,2784,2925,169700,2144,0.04347,0.34,9,8,3.23468,134.428,2454970,3.734,15880,3.002,3.54,2986,-2.891,0,1.0424,6,314,0,48.239985,0.00086,-0.056639,0.073313,0.18932,7198241.4710812,131459675389.698,13.5889954147561,15.4532527550658,13.5894736842105,12.4622237648964,172079573.913043,-0.597228017883755,2.50057306590258,2.71621233859397
"CANDIDATE",8191672,"K00018.01",3.54846,133.547,7282,0.3915036,0.648858,-0.4474408,378,2178,2161,3339,80050,3546,0.04994,0.04,10,9,3.54844,133.553,2454970,4.735,27340,5.466,6.195,2269,-2.044,0,1.0541,12,361,0,44.035067,0.0004054,0.033907,-0.0026877,0.025975,4550618.461853,83653184311.8547,11.3297872340426,14.2441528807758,11.3376623376623,21.2415542989706,122456865.030675,-0.121761976047904,0.383323442136499,0.385385756676558
"FALSE POSITIVE",7255336,"K00019.01",1.20321,131.521,2695,0.3103952,0.8271856,-0.6230132,1110,1209,1368,9765,38830,3941,0.02249,-0.24,4,4,1.2032,131.523,2454960,1.857,26700,2.515,1.784,1461,-5.284,0,1.1179,3,895,4,42.839213,0.0004573,0.036555,-0.017842,0.16353,6954845.66938294,129818568323.753,5.56980227681246,5.79788605310647,5.57438016528926,10.6046555108909,67131146.953405,-1.52038404726736,2.27342657342657,2.26182572614108
"CANDIDATE",11804465,"K00020.01",4.43796,135.506,16430,0.4704364,0.2897618,0.0944154,238,3245,3167,2070,112800,2201,0.05445,0.08,11,10,4.43796,135.505,2454970,4.728,17190,4.109,4.484,3303,-1.393,0,1.0254,12,221,0,50.040385,-4.892e-05,-0.00097282,-0.044232,0.085024,6138020.06658664,111202862772.632,5.05466778805719,5.42330677290837,5.05357142857143,16.663954318344,192756515.151515,0.0219700598802395,-1.06941089837997,1.20772727272727
"FALSE POSITIVE",10125352,"K00021.01",4.28851,134.839,3402,0.1923804,1.1922724,-1.1044488,313,546.6,516.2,2790,5753,1118,0.0534,-0.56,5,5,4.2885,134.841,2454970,2.21,7524,37.41,38.85,563.3,3.259,0,1.0127,6,299,0,47.169873,-0.006036,1.0128,1.7423,1.9404,1761479.94675285,32070694864.8377,2.83500205733096,3.00675675675676,2.91836734693878,19.8693160106993,31585059.9001664,24.2953890489914,10.8252217997465,26.3641304347826
"CANDIDATE",9631995,"K00022.01",7.89145,137.793,10370,0.5300978,0.115426,0.3042392,169,1908,1803,1485,53030,1242,0.08123,0.24,12,11,7.89143,137.795,2454970,4.404,9434,2.34,2.423,1973,1.162,0,1.0263,6,142,0,46.323334,0.001755,-0.010753,-0.074509,0.1612,3032543.1741204,54028887651.5523,5.91536338546458,6.96655231560892,5.91866028708134,9.82948121050881,81215400.862069,-0.295328358208955,-2.12077151335312,2.39524517087667
"FALSE POSITIVE",9071386,"K00023.01",4.6933,132.17,14340,0.450288,0.50658,-0.294806,284,2740,2140,2295,71430,2441,0.06001,0.2,4,4,4.69334,132.164,2454970,5.222,20200,43.81,58.14,2740,10.36,0,1.1055,12,271,0,45.403074,-0.000133,-0.0019628,0.13313,0.13684,8369003.59657565,155448685476.926,5.50679851668727,6.55274077309456,5.50561797752809,44.0511560167486,286895987.841945,0.149790732436472,-0.470714285714286,1.99475218658892
"FALSE POSITIVE",4743513,"K00024.01",2.08607,133.419,3409,0.1424498,1.294645,-1.1712978,641,476,401.2,5661,149500,4135,0.03042,-0.74,5,5,2.08609,133.41,2454970,2.258,30770,14.85,17.05,698,0.8311,0,1.0341,3,612,0,39.81877,0.02495,-1.4709,-4.0876,4.3661,1778827.50096995,32731231309.3052,3.28679867986799,3.29613175858706,3.2877030162413,30.7659606429323,48107955.3349876,-40.4326710816777,-22.3970802919708,61.4943661971831
"FALSE POSITIVE",10593759,"K00025.01",3.13261,132.877,9899,0.3813176,0.639212,-0.4112272,430,1279,1293,3771,73000,2347,0.04303,-0.06,5,5,3.1326,132.879,2454970,3.43,17130,1.881,2.616,1488,-2.775,0,1.069,6,411,0,47.815537,-4.409e-05,0.0059787,0.041441,0.099479,2774536.6619616,51260972696.6733,2.91012640644534,3.63122362869198,2.92326732673267,7.93674905595606,142845288.888889,0.162020958083832,1.3518086696562,1.48476119402985
"FALSE POSITIVE",5021737,"K00026.01",15.0395,144.137,5736,0.3462488,0.807628,-0.6864264,74,578.7,1058,657,54680,548,0.1279,-0.1,5,5,15.0394,144.139,2454980,5.04,4059,1005,1140,1196,11.95,0,1.0443,12,70,0,40.150652,0.04122,0.31215,-4.4179,4.4551,487201.154650884,8298140592.94162,2.94135293235338,3.8887199756765,3.12581344902386,15.3953258009596,81192830.5785124,-50.2442455242967,8.35866084425036,66.0994065281899
"FALSE POSITIVE",3832716,"K00027.01",1.14187,131.517,296600,0.2654568,0.942288,-0.7493904,0,-1,6957,10150,11070000,5215,0.02116,-0.38,5,5,1.14187,131.521,2454960,3.871,32250,3455,3595,6993,0,-1,-1,6,1122,0,0,0,-0.022068,-0.041498,0.041498,-131.517,-2454960,-29.76,-0.02116,3.43718592964824,0,0,0.178125937031484,0.00117076005961252,0.612064896755162
"FALSE POSITIVE",4247791,"K00028.01",2.05043,133.289,119600,0.4661836,0.2915156,0.100604,654,6545,9203,5526,41120000,6483,0.03253,0.06,13,12,2.05043,133.29,2454970,7.341,30290,-12.2,18.91,11200,0,-1,-1,12,624,0,39.376897,0.02208,0.040862,0.031156,0.031773,7879323.49272595,145124524866.549,3.40740740740741,3.40165220119209,3.40857787810384,0,3506286080.58608,0.0442788605697151,0.087730985915493,0.46725
"FALSE POSITIVE",6956014,"K00031.01",0.925575,131.751,256.9,0.8242512,-1.0436516,1.643365,1443,114.9,88.55,12840,10280,5191,0,-0.04,4,4,0.92558,131.749,2454960,2.408,31810,1.61,2.964,135.5,0,0,1.0347,3,1378,0,42.468764,-1.231e-05,0.17847,0.085297,0.1731,821959.08640019,15315835771.6375,3.36820652173913,0,3.40848990953375,0,19800122.2222222,0.802362204724409,1.59386243386243,1.81446540880503
"FALSE POSITIVE",5725087,"K00033.01",0.732392,131.727,20.23,0.5601592,-0.46262,1.2053776,1824,15.55,8.249,16110,8755,8260,0,-0.48,13,12,0.7324,131.724,2454960,1.896,32030,4.426,4.724,13.8,0,-1,-1,3,1735,0,40.927545,3.992e-05,1.1778,-0.1953,1.2957,146470.093757227,2729722998.09639,3.57070399675391,0,4.46428571428571,0,1185497.60479042,-0.438627450980392,2.5618,2.43552631578947
"CANDIDATE",6521045,"K00041.01",12.8159,135.763,221.1,0.5155576,0.0920976,0.376838,104,74.06,67.04,900,669.1,1256,0.1089,0.1,0,0,12.8157,135.773,2454970,6.91,10030,2.856,2.859,68.65,7.206,0,1.0429,12,100,0,41.99039,0.0001068,1.2351,-0.41364,1.0038,119103.932904629,2153728056.70822,11.761583011583,20.2003338898164,15.6808510638298,11.301823853052,5630645.79710145,-4.08436842105263,1.48238249594814,1.76725352112676
"CANDIDATE",6521045,"K00041.02",6.88706,133.179,70.67,0.5155576,0.0920976,0.376838,187,30.22,28.46,1629,1303,1711,0.07201,0.1,0,0,6.887,133.186,2454970,5.027,13180,2.626,3.062,27.48,5.668,9.1261e-152,1.0499,12,179,0,41.990465,-3.921e-06,1.7573,-0.64332,1.5781,65072.6563797872,1199524093.38324,7.28437654016757,20.2048260381594,15.6808510638298,9.14222834386322,2326436.16766467,-3.55202702702703,2.26572327044025,2.3344674556213
"CANDIDATE",6521045,"K00041.03",35.3331,153.985,97.09,0.5155576,0.0920976,0.376838,35,19.16,16.87,306,239.7,421,0.2142,0.1,0,0,35.3339,153.96,2454990,6.303,3158,3.407,3.015,17.99,8.228,1.953e-66,1.0519,12,34,0,41.990374,-6.725e-06,-0.078247,0.065419,0.4027,30764.7585330574,490483972.796509,6.82155408043733,20.2075471698113,15.6808510638298,10.0774585878598,1517636.09375,-0.561181818181818,-0.624764150943396,0.650565428109855
"CANDIDATE",8866102,"K00042.01",17.8338,145.563,323.9,0.3786636,0.6973316,-0.526438,75,130.2,112.9,648,533.7,692,0.1423,0,0,0,17.8336,145.57,2454980,5.065,5402,2.213,3.151,130.6,5.891,0,1.0685,12,71,0,45.139992,0.0002523,-0.17614,1.225,1.3269,306503.269006033,5169303980.71234,17.4952800503461,22.9886914378029,18.0675675675676,9.38840183382933,5185912.08791209,-0.700580046403712,0.537312961011591,1.84291666666667
"FALSE POSITIVE",9025922,"K00043.01",11.3203,131.805,2673,0.4997976,0.1043987,0.3852545,119,79.52,156.2,1044,3205,687,0.09869,0,14,13,11.3203,131.804,2454960,4.351,4704,25.23,26.56,173,54.99,0,1.0222,12,114,0,45.343954,0.09774,-3.9386,-6.9951,8.4065,104026.73969835,1937570538.97698,59.7935103244838,1011375.28182005,0,68.2006509357201,7607034.63035019,-21.1409638554217,-68.0627737226277,122.902046783626
"FALSE POSITIVE",8845026,"K00044.01",66.4676,160.475,12800,0.5448482,0.0160132,0.4576956,21,375.1,274.3,189,28670,584,0.3277,0.18,13,12,66.4696,160.455,2454990,19.67,4974,10.18,13.35,275.8,18.23,0,1.075,31,20,0,45.089558,0.004064,0.062092,-0.072042,0.10011,426261.252526755,6521060055.09057,3.49366359447005,4.06021558666832,3.49511400651466,24.0920846033065,52520060.3674541,-1.56792207792208,-0.907493472584856,1.27043147208122
"FALSE POSITIVE",3742855,"K00045.01",6.39719,135.982,19450,0.4997976,0.1043987,0.3852545,212,460.6,547.2,1881,8722,1985,0.06746,0,14,13,6.39719,135.982,2454970,5.609,15220,44.43,47.93,591.2,122.9,0,1.0343,12,203,0,38.839015,0.04568,4.4962,2.2091,5.9521,542275.145356952,9790039958.20738,485.289465359064,4717482.51748252,0,182.538882138518,52159412.3989218,-4.97042062415197,79.5251798561151,84.9087018544936
"CANDIDATE",10905239,"K00046.01",3.48769,132.568,1292,0.6367176,-0.3266162,0.906213,386,324.1,313.3,3438,5446,2881,0.04612,0.3,15,14,3.48767,132.572,2454970,4.129,21670,1.851,1.919,320.4,0.5241,0,1.0363,6,364,0,48.355286,-0.0001073,0.032564,0.026554,0.13169,705655.65698773,13067734809.5707,4.14834794335806,4.55731225296443,4.17015706806283,7.85900966304511,12934039.7260274,0.124854107648725,1.82691218130312,1.86529745042493
"CANDIDATE",10905239,"K00046.02",6.02974,132.481,48.02,0.6367176,-0.3266162,0.906213,201,8.924,8.378,1656,1126,1389,0.06643,0.3,15,14,6.02981,132.473,2454970,4.751,10610,2.861,2.972,8.93,2.045,5.6114e-19,1.0343,6,188,0,48.355114,5.168e-05,0.42428,0.80869,0.95869,16450.4621069794,304839116.241356,1.40012845215157,4.5562414266118,4.17015706806283,2.8859638783929,379953.038229376,0.685436974789916,0.495086538461538,0.665756944444444
"FALSE POSITIVE",7837302,"K00048.01",23.8368,149.94,29540,0.2542876,0.9693132,-0.7747384,57,1481,2481,504,284600,534,0.1661,-0.4,13,12,23.837,149.933,2454980,5.837,4076,4.408,3.596,2576,0.4632,0,1.0351,12,55,0,43.543179,4.268e-05,-0.0069047,0.071463,0.09002,1946405.69200992,31868661102.9113,2.13167701863354,1.99184554502938,2.13421342134213,15.8393944123615,209209068.783069,0.325823353293413,0.812195845697329,1.33362962962963
"CANDIDATE",9527334,"K00049.01",8.31378,134.423,816.5,0.4993818,0.155537,0.2887904,157,94.13,78.42,1368,822.5,999,0.08204,0.07,4,4,8.31378,134.423,2454970,3.148,7518,2.967,2.93,92.31,7.621,0,1.1013,6,129,0,46.16479,0.0001002,0.017903,0.0081307,0.01707,275982.918266368,5040281684.35748,6.01752289924333,7.12771503040834,6.25657894736842,11.9617825478301,8507979.03930131,-0.584444444444444,0.100731543624161,0.13547619047619
"FALSE POSITIVE",6056992,"K00051.01",10.4311,133.936,29000,0.4997976,0.1043987,0.3852545,121,462.9,468.9,1071,7321,664,0.09345,0,14,13,10.4311,133.937,2454970,3.645,4864,1.822,2.515,502.4,2.437,0,1.0003,6,114,0,41.332248,0.01613,-1.832,-1.0449,1.8935,661063.043231478,12116906128.6135,12.5317693059629,6271812.08053691,0,7.84291361544942,35738954.7101449,-3.69933823529412,-22.023709902371,25.4502688172043
"FALSE POSITIVE",3558981,"K00052.01",2.98787,132.157,43180,0.6305096,-0.4596336,1.1393316,362,1601,1974,3150,65560,1605,0.03862,0.07,13,12,2.98785,132.159,2454970,2.496,11180,54.51,67.21,2452,10.29,0,1.1882,6,340,0,38.678222,0,0.029381,0.027126,0.095458,7418299.18607915,137803536345.776,6.46345811051693,7.83367139959432,6.46456692913386,25.5259285629524,166654016.949153,-0.561820895522388,-1.35790801186944,1.41629080118694
"FALSE POSITIVE",2445975,"K00053.01",3.38888,131.593,11140,0.4997976,0.1043987,0.3852545,391,437.2,435.5,3447,9172,1764,0.04416,0,14,13,3.38888,131.594,2454960,2.64,12500,8.28,6.896,462.3,15.03,0,1.052,6,368,0,37.773441,0.004894,0.53751,-0.94476,1.242,1394723.50997238,26019548365.3522,259.708193041526,9839572.19251337,0,35.470598146588,47952504.9261084,-7.88724832214765,9.63225806451613,15.1463414634146
"FALSE POSITIVE",8248939,"K00061.01",1.63343,132.866,176.9,0.3113968,0.8330132,-0.640794,819,60.78,54.31,7227,4599,3708,0.02735,-0.24,13,12,1.63346,132.854,2454970,3.313,25940,2.635,3.574,66.73,3.548,0,1.0468,3,783,0,44.16672,0.003007,4.4055,-3.8782,5.901,405356.096846627,7489779605.5843,3.04193319118692,3.80866174627489,3.09065155807365,10.3022342253867,8569390.04329004,-53.6481994459834,58.8320105820106,73.5785536159601
"CANDIDATE",11554435,"K00063.01",9.43416,140.106,4056,0.565812,-0.1585964,0.7395484,144,595.5,518.5,1188,2364,738,0.08573,0.04,16,15,9.43415,140.107,2454970,2.976,5671,3.259,3.754,674.3,6.525,0,1.1571,6,122,0,49.548286,2.272e-05,0.012379,0.15155,0.26286,2216597.02852659,38839729969.6081,7.37867647058824,8.25915221579961,7.38333333333333,14.1053919347531,98376275.5102041,0.178220588235294,2.58759036144578,3.25321782178218
"CANDIDATE",7051180,"K00064.01",1.95109,132.178,1128,0.6035072,-0.3385896,0.987228,687,246.6,230.8,6093,4191,2459,0.033,0,17,16,1.95108,132.179,2454970,1.745,16520,12.48,12.53,248.5,4.373,0,1.0525,3,649,0,42.547409,2.265e-05,-0.059087,-0.098764,0.18786,1578980.0623574,29326731253.9571,8.23603002502085,10.78079059131,8.27986348122867,39.2347486578819,26391676.9025367,0.0769773371104816,-2.37091988130564,2.73848396501458
"FALSE POSITIVE",10620329,"K00066.01",0.872559,132.313,204.5,0.4630136,0.2654974,-0.0669396,1221,118.1,19.76,10810,8548,7926,0.02169,-0.38,18,17,0.87256,132.314,2454970,1.436,25710,18.03,63.17,55.57,1.014,-1,-1,3,1061,27,47.840013,0,0.24555,0.99571,0.99959,1344938.17246654,24954334534.4765,3.87346221441125,4.05193349523632,3.90178571428571,36.5442357096981,6843284.87972509,2.39472527472527,0.41135046728972,2.04834016393443
"FALSE POSITIVE",8669092,"K00068.01",1.00071,131.872,1874,0.0989604,1.453192,-1.4007524,1332,-1,8.491,11840,16600,6051,0.02154,-0.82,5,5,1.00071,131.945,2454960,1.681,32150,2.746,4.147,42.6,0,-1,-1,3,1178,0,44.827502,-3.973e-06,-0.17324,-0.81952,0.85805,-131.872,-2454960,-13.85,-0.02154,2.31559766763848,0,3212456.41025641,-3.56142857142857,-2.3537962962963,4.63810810810811
"CANDIDATE",3544595,"K00069.01",4.72674,134.926,270.7,0.4604184,0.1704928,0.3457088,284,244,229.2,2502,2063,1835,0.05252,-0.2,0,0,4.72675,134.926,2454970,3.205,13560,2.125,2.12,244.9,3.435,0,1.0626,6,270,0,38.672404,-2.044e-05,2.6421,-1.4812,3.5683,748192.263330672,13613310708.8989,20.1293356848912,26.5386558868115,22.35,8.85088732542266,11703540.9638554,-1.56559633027523,3.25606820461384,3.13008771929825
"CANDIDATE",6850504,"K00070.01",10.8541,138.608,1035,0.583273,-0.2500176,0.8696446,123,193.8,181.4,1080,982.7,900,0.09187,0.02,19,18,10.8541,138.606,2454970,4.081,6815,0.07119,3.743,203.2,0.0009129,0,1.0677,6,118,0,42.338664,-2.59e-05,0.045119,-0.086563,0.24656,422981.26600202,7491676660.77701,8.90287277701778,10.2293731210333,9.15841584158416,0.293799651601294,19896127.593361,-0.511004366812227,-2.31332665330661,2.44118811881188
"CANDIDATE",6850504,"K00070.02",3.69612,134.502,377.5,0.583273,-0.2500176,0.8696446,343,114.3,106.6,3024,2601,1874,0.0448,0.02,19,18,3.6961,134.505,2454970,2.72,13610,0.9156,10.22,108.2,1.219,0,1.0676,6,328,0,42.338628,2.398e-05,-0.097312,-0.12366,0.39854,430962.168812901,7866048055.57247,8.44036697247707,10.2306462662708,9.15841584158416,3.83754796577448,10423839.1304348,-0.803861386138614,-3.75118811881188,3.90725490196078
"CANDIDATE",6850504,"K00070.03",77.6116,164.727,834.7,0.583273,-0.2500176,0.8696446,16,79.46,67.85,144,109.5,245,0.341,0.02,19,18,77.6101,164.743,2455000,7.804,1584,3.552,3.668,75.39,13.02,0,1.1882,12,14,0,42.338615,4.252e-05,-0.061784,0.12856,0.36889,112373.370443894,1674750492.87464,8.49882491186839,10.2310231023102,9.15841584158416,15.2857859252243,7733816.53225806,1.13201492537313,-1.63867298578199,1.92130208333333
"CANDIDATE",6850504,"K00070.04",6.09855,135.93,72.35,0.583273,-0.2500176,0.8696446,196,17.53,16.15,1620,1010,1194,0.06256,0.02,19,18,6.09858,135.926,2454970,3.256,9034,2.799,3.021,16.53,4.323,1.5678e-55,1.0686,6,187,0,42.338555,-9.707e-06,0.91319,0.2128,0.68353,54544.1413099743,985096966.024774,3.24974164657251,10.2305805396566,9.15841584158416,5.99325074295535,1682444.64912281,0.979515570934256,2.18707070707071,2.27843333333333
"CANDIDATE",6850504,"K00070.05",19.5775,135.213,93.1,0.583273,-0.2500176,0.8696446,60,13.49,11.98,477,331,379,0.1361,0.02,19,18,19.5775,135.21,2454970,4.093,3024,1.541,2.785,12.24,2.944,2.7984e-31,1.0739,6,57,0,42.338781,3.076e-05,0.97358,0.042819,0.70908,27208.3532882319,494003469.133964,2.18607542478243,10.2253944402705,9.15841584158416,3.66469080422941,1287238.79194631,0.230547169811321,1.12169572107765,1.10448598130841
