"koi_disposition","kepid","kepoi_name","tce_insol","tce_mesmedian","tce_fwm_prao","tce_fwm_pdeco_sn","tce_dicco_msky_sn"
"FALSE POSITIVE",6283224,"K06682.01",1662.3,-96.56,-0.0006534,-0.0234361111111111,0.400163204747774
"FALSE POSITIVE",6285094,"K06683.01",308.09,-0.01498,-0.0001375,-1.94110429447853,1.97513888888889
"FALSE POSITIVE",6285396,"K06684.01",297.38,-0.3415,-0.0001682,1.64944444444444,1.84535452322738
"FALSE POSITIVE",6285397,"K06685.01",72.33,-0.4938,7.316e-05,1.56732026143791,2.96475195822454
"FALSE POSITIVE",6292732,"K06686.01",1758.25,-0.1078,3.676e-05,3.08729096989967,3.63691860465116
"CANDIDATE",6307000,"K06687.01",886.05,-0.3194,-0.0003479,1.22358490566038,0.954473140495868
"FALSE POSITIVE",6311637,"K06688.01",2137.42,-0.2291,-0.001213,0.431944444444444,0.383793103448276
"CANDIDATE",6345758,"K06689.01",657.71,-0.1096,4.315e-05,-0.579354838709677,2.37964391691395
"FALSE POSITIVE",6364126,"K06690.01",113.17,-0.302,5.299e-05,3.77294685990338,2.74095238095238
"FALSE POSITIVE",6364195,"K06691.01",86.74,-0.4521,0.0002864,2.41415094339623,5.32441860465116
"FALSE POSITIVE",6364200,"K06692.01",294.68,-1.118,2.796e-05,2.10588235294118,3.89192938209332
"FALSE POSITIVE",6364247,"K06693.01",292.06,-0.8407,9.224e-07,2.70369127516779,2.79942594718714
"FALSE POSITIVE",6364294,"K06694.01",575.84,-0.1484,0.0001421,2.47919293820933,2.58034759358289
"FALSE POSITIVE",6367628,"K06696.01",208.84,0.3494,0.00129,-0.0387684210526316,0.0520764617691154
"FALSE POSITIVE",6372268,"K06698.01",29.56,-0.04981,0.0002187,0.00804836895388076,0.29909307875895
"FALSE POSITIVE",6384840,"K06699.01",593.63,-0.0145,-4.578e-05,0.212854757929883,3.02767295597484
"FALSE POSITIVE",6386784,"K06700.01",4941.17,-0.3778,1.311e-06,-3.92733333333333,1.59758823529412
"FALSE POSITIVE",6390236,"K06701.01",4751.73,-0.4285,1.349e-05,-1.62704918032787,0
"FALSE POSITIVE",6421188,"K06702.01",91.94,-0.4701,0.0123,-9.175,12.3100401606426
