"koi_disposition","kepid","kepoi_name","tce_ldm_coeff4","tce_prad","tce_steff","tce_fwm_prao"
"FALSE POSITIVE",5480736,"K03904.01",0.0841192,3.824,6212,0.001879
"FALSE POSITIVE",8487748,"K03905.01",-0.1506344,1.138,4304,0.0004305
"FALSE POSITIVE",9892856,"K03906.01",-0.0909212,2.439,6167,0.00152
"CANDIDATE",7137213,"K03907.01",0.3378528,6.947,6507,-0.0001458
"CANDIDATE",10363115,"K03908.01",-0.175944,2.441,5786,6.948e-05
"CANDIDATE",5966810,"K03909.01",-0.0475986,4.592,6121,-0.0001319
"FALSE POSITIVE",10491062,"K03910.01",-0.440657,3.027,5310,0.04317
"CANDIDATE",9761615,"K03911.01",-0.06495,1.374,6040,0.000112
"FALSE POSITIVE",4058881,"K03912.01",-0.1233008,1.587,6014,0.006458
"CANDIDATE",10281221,"K03913.01",0.153016,1.96,6263,-7.441e-05
"FALSE POSITIVE",5471496,"K03914.01",-0.5303292,2.771,4624,0.001194
"FALSE POSITIVE",4544620,"K03915.01",-0.3891484,2.313,5401,-5.783e-05
"CANDIDATE",5784777,"K03916.01",-0.4545736,2.377,5057,-2.293e-05
"FALSE POSITIVE",11466960,"K03917.01",0.2726922,2.165,6737,1.081e-05
"FALSE POSITIVE",3124420,"K03918.01",-0.2420112,55.88,5780,0
"FALSE POSITIVE",4649440,"K03919.01",-0.3448572,22.14,5321,0
"FALSE POSITIVE",2437488,"K03920.01",-0.564017,37.07,4735,0.02636
"FALSE POSITIVE",10083623,"K03921.01",-0.253102,2.685,5636,-0.002377
"FALSE POSITIVE",7024530,"K03922.01",-0.0356792,52.24,6077,0.008619
"FALSE POSITIVE",5015459,"K03923.01",-0.198798,6.488,4340,-0.001602
"FALSE POSITIVE",1433980,"K03924.01",0.3080194,49.77,6574,0
"CANDIDATE",10788461,"K03925.01",-0.3432006,5.233,5678,0.0005533
"CANDIDATE",10788461,"K03925.02",-0.3432006,2.834,5678,0.0001905
"CANDIDATE",10788461,"K03925.03",-0.3432006,2.342,5678,-0.0004777
"FALSE POSITIVE",11667548,"K03926.01",0.0669556,2.501,6343,0.02786
"FALSE POSITIVE",8868649,"K03927.01",-0.3927704,1.098,5472,-0.0003408
"CANDIDATE",4242692,"K03928.01",0.36519,1.588,6520,-3.428e-05
"FALSE POSITIVE",8781480,"K03929.01",-0.503375,234.6,3942,0
"FALSE POSITIVE",11607176,"K03930.01",-0.0280666,1.335,5741,0.0009098
"FALSE POSITIVE",10661718,"K03931.01",0.2202472,1.262,6095,-0.0003168
"FALSE POSITIVE",6137681,"K03932.01",-0.167256,6.488,5385,-0.083
"CANDIDATE",11244682,"K03933.01",-0.1679084,1.567,5496,0.0002756
"FALSE POSITIVE",9655419,"K03934.01",0.232769,8.142,6831,-4.923e-06
"CANDIDATE",5895158,"K03935.01",-0.1244556,1.524,5845,7.83e-05
"FALSE POSITIVE",4947556,"K03936.01",-0.5433092,3.245,5083,-0.0004561
"CANDIDATE",4947556,"K03936.02",-0.5433092,1.689,5083,-0.0003061
"FALSE POSITIVE",7362696,"K03937.01",-0.1267688,3.528,5457,4.271e-05
"FALSE POSITIVE",3865595,"K03938.01",-0.4602636,114.7,3915,-0.0005032
"CANDIDATE",9593528,"K03939.01",0.242489,5.292,6296,0.002165
"FALSE POSITIVE",5195945,"K03940.01",-0.2995068,27.27,4946,0.001785
"FALSE POSITIVE",8552587,"K03941.01",0.101176,1.09,6274,0.0001743
"FALSE POSITIVE",6019872,"K03942.01",-0.4612412,1.078,5088,0.001175
"CANDIDATE",7679812,"K03943.01",-0.0324796,2.252,6167,6.143e-07
"FALSE POSITIVE",4864734,"K03944.01",0.167694,5.995,5974,-0.001638
"FALSE POSITIVE",3121340,"K03945.01",-0.1620576,4.478,5160,3.405e-05
"CANDIDATE",8636434,"K03946.01",0.0512796,3.31,6325,-5.025e-05
"FALSE POSITIVE",5952366,"K03947.01",-0.2420112,4.096,5780,-0.0007173
"FALSE POSITIVE",5952366,"K03947.02",-0.2420112,8.812,5780,-0.00135
"FALSE POSITIVE",6045250,"K03948.01",0.14452,14.22,6370,0
"FALSE POSITIVE",5598595,"K03949.01",-0.5214968,1.188,5026,-6.78e-05
"FALSE POSITIVE",4544572,"K03950.01",0.0371116,2.421,6106,-0.0031
"FALSE POSITIVE",5738634,"K03951.01",0.2306884,3.197,6103,2.823e-06
"FALSE POSITIVE",10152836,"K03952.01",-0.1042226,25.65,5893,0.01051
"FALSE POSITIVE",10651816,"K03953.01",-0.394652,1.34,5532,-0.0003262
"FALSE POSITIVE",8030339,"K03954.01",-0.2450248,2.185,5638,0.000953
"CANDIDATE",8030339,"K03954.02",-0.2450248,1.957,5638,-0.0008209
"FALSE POSITIVE",9899414,"K03955.01",-0.0328536,1.588,6046,0.0002283
"FALSE POSITIVE",5471059,"K03956.01",-0.3778928,1.712,5524,0.0006221
"FALSE POSITIVE",5471059,"K03956.02",-0.3778928,1.471,5524,0.0001901
"FALSE POSITIVE",7458309,"K03957.01",0.1411556,0.4345,6024,0
"FALSE POSITIVE",7777372,"K03958.01",-0.0435152,0.9724,5979,6.476e-05
"FALSE POSITIVE",9282769,"K03959.01",0.2450416,4.839,6388,0
"FALSE POSITIVE",7777416,"K03960.01",-0.2413308,5.171,5718,0
"FALSE POSITIVE",7597005,"K03961.01",-0.0930624,1.716,6063,-0.002006
"FALSE POSITIVE",5479717,"K03962.01",-0.4232252,4.422,5176,0.1352
"FALSE POSITIVE",3764714,"K03963.01",0.3565736,6.294,6487,6.748e-05
"FALSE POSITIVE",9957351,"K03964.01",-0.4141594,34.55,4769,0.00236
"FALSE POSITIVE",5385575,"K03965.01",-0.5332272,2.258,4594,-0.00103
"CANDIDATE",3732035,"K03966.01",-0.0705916,2.867,6014,-6.617e-05
"FALSE POSITIVE",5385697,"K03967.01",-0.239216,2.043,5645,0.0004176
"FALSE POSITIVE",5385697,"K03967.02",-0.239216,1.896,5645,0.0003626
"FALSE POSITIVE",8823833,"K03968.01",-0.160384,0.707,5607,7.376e-05
"FALSE POSITIVE",5475494,"K03969.01",0.142096,1.734,6355,-0.0009001
"FALSE POSITIVE",9412445,"K03970.01",0.0723284,1.612,3995,-0.001887
"FALSE POSITIVE",6057684,"K03972.01",-0.133033,0.9299,5997,0.001137
"FALSE POSITIVE",11568224,"K03973.01",0.2645096,0.4217,6168,2.736e-05
"FALSE POSITIVE",7938883,"K03974.01",0.083142,16.1,3898,-0.00661
"CANDIDATE",9280239,"K03975.01",-0.368675,2.426,4386,0.0008924
"FALSE POSITIVE",4544571,"K03976.01",-0.2761524,3.214,5681,-0.004032
"FALSE POSITIVE",3245661,"K03977.01",0.0573312,17.61,5989,0
"FALSE POSITIVE",10090219,"K03978.01",-0.0930624,1.26,6063,-0.0005181
"FALSE POSITIVE",9899217,"K03979.01",0.200498,1.285,6150,0.0004545
"CANDIDATE",6750902,"K03980.01",-0.03706,1.922,5888,1.258e-06
"FALSE POSITIVE",5895588,"K03981.01",-0.1979372,1.835,5743,-0.002186
"FALSE POSITIVE",5303557,"K03982.01",-0.2420112,6.173,5780,-0.001651
"FALSE POSITIVE",10227863,"K03983.01",-0.2557292,0.8148,5751,0.0002264
"CANDIDATE",8036287,"K03984.01",-0.5112708,2.134,5305,-1.948e-05
"FALSE POSITIVE",9602562,"K03985.01",-0.222993,3.298,5950,0.0001111
"FALSE POSITIVE",10668665,"K03986.01",0.0843064,4.873,6377,0.04605
"FALSE POSITIVE",10407020,"K03987.01",0.3867068,1.331,6985,-1.936e-06
"FALSE POSITIVE",5385491,"K03988.01",-0.3886356,1.502,5478,2.823e-05
"FALSE POSITIVE",5551504,"K03989.01",-0.4604544,1.648,5340,-9.377e-05
"FALSE POSITIVE",6421503,"K03990.01",-0.2508238,1.298,5272,0.002867
"CANDIDATE",10352333,"K03991.01",-0.3263954,1.15,5519,0.0001251
"FALSE POSITIVE",3228988,"K03992.01",-0.1476824,0.6827,5767,0.000152
"FALSE POSITIVE",2970804,"K03993.01",-0.2420112,3.608,5780,0.0007068
"FALSE POSITIVE",7552701,"K03994.01",0.1817314,1.399,6557,-0.0005593
"FALSE POSITIVE",7418173,"K03995.01",-0.2377384,4.221,5354,-0.0007982
"FALSE POSITIVE",3228804,"K03996.01",-0.3837206,0.9389,5514,8.344e-05
"FALSE POSITIVE",2442359,"K03997.01",-0.4754752,3.532,5132,-0.0004437
"FALSE POSITIVE",7707742,"K03998.01",0.3409516,78.09,7131,0
"FALSE POSITIVE",2010191,"K03999.01",-0.1783068,2.36,5854,0.0003857
"FALSE POSITIVE",5471675,"K04000.01",0.3129116,2.746,6552,-0.0001635
"FALSE POSITIVE",9851943,"K04001.01",-0.547352,0.885,4938,0.0002977
"CANDIDATE",5773121,"K04002.01",-0.5063952,1.496,5278,1.572e-05
"FALSE POSITIVE",2708420,"K04003.01",-0.139726,0.7591,5806,0.0001455
"CANDIDATE",4814502,"K04004.01",-0.3344314,1.362,5661,2.268e-05
"CANDIDATE",8142787,"K04005.01",-0.4407792,2.531,5431,-0.0005665
"FALSE POSITIVE",5471690,"K04006.01",0.387292,2.515,6632,0.0002013
"CANDIDATE",8376848,"K04007.01",0.0900208,1.818,6198,0.0003557
"FALSE POSITIVE",5350447,"K04008.01",0.0321696,4.669,5771,-0.0008546
"CANDIDATE",8934103,"K04009.01",-0.475353,3.369,5497,-0.000349
"CANDIDATE",8934103,"K04009.02",-0.475353,1.984,5497,7.384e-05
"FALSE POSITIVE",5288577,"K04010.01",0.3926712,2.469,6701,0.0002564
"CANDIDATE",11969988,"K04011.01",0.117466,1.497,6208,-3.179e-05
"FALSE POSITIVE",4832225,"K04013.01",-0.0109632,0.1556,9464,0
"CANDIDATE",9009953,"K04014.01",-0.2602818,3.317,5814,3.381e-05
"CANDIDATE",8282846,"K04015.01",-0.5416348,2.898,5064,-0.000232
"CANDIDATE",5938970,"K04016.01",-0.5563392,3.088,4641,-0.0006371
"FALSE POSITIVE",8381693,"K04017.01",0.3069028,4.789,6070,4.197e-05
"FALSE POSITIVE",4929299,"K04018.01",-0.0878784,1.531,5761,0.0001068
"FALSE POSITIVE",7038096,"K04020.01",-0.103043,1.263,6147,2.247e-05
"CANDIDATE",11967788,"K04021.01",0.180195,1.733,6422,-1.425e-05
"CANDIDATE",11967788,"K04021.02",0.180195,1.418,6422,6.614e-06
"CANDIDATE",7733731,"K04022.01",0.2621492,2.366,6109,-5.421e-06
"FALSE POSITIVE",6862332,"K04023.01",-0.2856808,4.463,5754,0.004907
"CANDIDATE",10714072,"K04024.01",-0.40695,2.548,5365,-3.101e-05
"FALSE POSITIVE",10992011,"K04025.01",-0.545126,1.275,5043,0.001154
"FALSE POSITIVE",4067110,"K04026.01",0.3247592,1.172,6611,0
"FALSE POSITIVE",8694309,"K04027.01",-0.2312012,0.7725,5609,-0.004991
"FALSE POSITIVE",7818447,"K04028.01",0.0943,0.6526,2661,0
"FALSE POSITIVE",11569475,"K04029.01",0.23897,10.92,6740,7.263e-05
"FALSE POSITIVE",9551430,"K04030.01",0.0414388,3.863,5607,3.27e-05
"FALSE POSITIVE",3228986,"K04031.01",-0.006766,0.9775,6238,0.0001253
"CANDIDATE",7100673,"K04032.01",-0.3859532,1.031,5574,4.256e-05
"CANDIDATE",7100673,"K04032.02",-0.3859532,1.044,5574,-1.341e-05
"CANDIDATE",7100673,"K04032.03",-0.3859532,1.087,5574,8.335e-06
"CANDIDATE",7100673,"K04032.04",-0.3859532,0.8116,5574,2.592e-05
"CANDIDATE",7100673,"K04032.05",-0.3859532,0.8799,5574,9.807e-06
"FALSE POSITIVE",4138557,"K04033.01",0.2201336,0.2646,5908,0
"CANDIDATE",10089911,"K04034.01",0.104566,5.975,6303,-7.903e-05
"FALSE POSITIVE",10089911,"K04034.02",0.104566,5.029,6303,-0.0001734
"FALSE POSITIVE",3247404,"K04035.01",-0.2420112,19.96,5780,0.0004815
"CANDIDATE",11415243,"K04036.01",-0.5692352,2.189,4798,-4.069e-05
"CANDIDATE",8264402,"K04037.01",-0.014912,3.324,6163,8.323e-05
"FALSE POSITIVE",7773179,"K04038.01",0.0716196,1.15,6084,0.0002484
"FALSE POSITIVE",11145831,"K04039.01",0.11734,1.328,6273,-0.004302
"FALSE POSITIVE",11444952,"K04040.01",-0.3288752,1.235,5569,0
"FALSE POSITIVE",8647295,"K04041.01",-0.2990136,0.8116,5445,-0.001461
"FALSE POSITIVE",3444098,"K04042.01",0.005274,6.871,8855,-0.001118
"FALSE POSITIVE",5112567,"K04043.01",0.288034,3.864,6770,-0.0006725
"FALSE POSITIVE",5201115,"K04044.01",-0.0630164,1.023,5872,2.107e-05
"FALSE POSITIVE",2708203,"K04045.01",0.6172916,1.094,6569,0.0001015
"FALSE POSITIVE",4150496,"K04046.01",-0.100534,2.134,5880,-0.001402
"FALSE POSITIVE",4150496,"K04046.02",-0.100534,3.359,5880,-0.0007916
"CANDIDATE",9655005,"K04047.01",0.0095104,1.014,7872,3.528e-06
"FALSE POSITIVE",10272389,"K04048.01",-0.45892,2.24,5270,0.0002577
"FALSE POSITIVE",4679687,"K04049.01",-0.3357196,3.099,5432,-0.001906
"FALSE POSITIVE",7968683,"K04050.01",-0.5521782,3.435,4723,-0.003777
"CANDIDATE",10360722,"K04051.01",-0.5514112,3.017,4999,-0.0009286
"FALSE POSITIVE",9091755,"K04052.01",0.1346232,0.7274,5932,0.0004219
"CANDIDATE",1718958,"K04053.01",-0.0617716,0.96,5925,3.637e-05
"CANDIDATE",6428794,"K04054.01",-0.5235992,2.236,5171,0.0004675
"FALSE POSITIVE",3228825,"K04055.01",0.1341472,0.9122,6454,4.279e-06
"CANDIDATE",4673628,"K04056.01",-0.287914,1.863,5570,3.339e-05
"FALSE POSITIVE",3757407,"K04057.01",0.3377622,5.535,6729,0.002875
"FALSE POSITIVE",4769931,"K04058.01",-0.2613554,0.9791,5448,3.877e-05
"FALSE POSITIVE",9220612,"K04059.01",-0.398072,1.031,5390,0.0007455
"CANDIDATE",9086154,"K04060.01",-0.2046068,2.544,5799,-5.573e-05
"FALSE POSITIVE",6806695,"K04061.01",-0.1664278,0.9237,5437,0.0003836
"FALSE POSITIVE",11858979,"K04062.01",0.2036222,3.734,6238,-0.001109
"FALSE POSITIVE",5900390,"K04063.01",-0.012228,0.7943,9653,0.0004174
"FALSE POSITIVE",5444334,"K04064.01",-0.3560512,0.7147,5520,6.931e-05
"CANDIDATE",8686373,"K04066.01",0.1766792,4.28,6501,0.0001667
"CANDIDATE",5530112,"K04067.01",0.1736976,3.306,6457,-0.0004907
"CANDIDATE",6226908,"K04068.01",-0.342906,3.82,5569,0.0002615
"CANDIDATE",5906694,"K04069.01",-0.5466122,1.717,4522,0.0004519
"FALSE POSITIVE",10186945,"K04070.01",-0.5440118,1.189,5077,5.31e-05
"FALSE POSITIVE",2708286,"K04071.01",-0.0901304,1.46,5706,0.0002226
"CANDIDATE",6755944,"K04072.01",0.200801,1.927,6105,9.239e-06
"FALSE POSITIVE",10419797,"K04073.01",0.30703,4.964,6510,2.424e-05
"FALSE POSITIVE",7777471,"K04075.01",-0.0421232,0.7531,5904,-0.0002002
"CANDIDATE",9455677,"K04076.01",-0.4845418,2.987,5349,0.0002457
"FALSE POSITIVE",7690855,"K04077.01",-0.0951248,1.174,4223,0
"FALSE POSITIVE",5649837,"K04078.01",0.1550938,0.02425,6052,0
"FALSE POSITIVE",5036480,"K04080.01",-0.2244424,1.096,5767,-1.376e-05
"FALSE POSITIVE",6592832,"K04082.01",0.132991,0.9336,6135,0.000223
"FALSE POSITIVE",8524346,"K04083.01",0.1468732,1.99,6102,-0.0003562
"CANDIDATE",3937814,"K04084.01",-0.4880732,3.333,5323,-8.17e-05
"FALSE POSITIVE",5041847,"K04085.01",-0.1865408,3.036,5762,0
"FALSE POSITIVE",3836558,"K04086.01",-0.0064516,1.14,5649,0.0001791
"CANDIDATE",6106282,"K04087.01",-0.0132698,1.801,4133,0.0009921
"FALSE POSITIVE",4946584,"K04088.01",0.21396,1.492,6434,-0.0004742
"FALSE POSITIVE",11972872,"K04089.01",-0.5418442,1.117,4978,1.279e-05
"FALSE POSITIVE",9899233,"K04090.01",-0.0356792,1.317,6077,-0.0001512
"CANDIDATE",3103227,"K04091.01",-0.2482182,3.955,5929,-0.0002046
"CANDIDATE",4850961,"K04092.01",0.0910574,2.818,6392,-0.0002976
"FALSE POSITIVE",8521059,"K04093.01",0.3234484,1.536,6610,-0.0005305
"FALSE POSITIVE",8128247,"K04094.01",-0.4528468,71.45,3812,-5.087e-05
"FALSE POSITIVE",6276994,"K04095.01",0.1048156,0.7441,6241,0.0001008
"FALSE POSITIVE",9674564,"K04096.01",-0.3048728,2.565,5668,0
"CANDIDATE",5688683,"K04097.01",-0.343242,1.006,4353,-0.0002233
"FALSE POSITIVE",5688683,"K04097.02",-0.343242,0.6581,4353,-3.922e-05
"CANDIDATE",8222627,"K04098.01",-0.5481844,2.814,5023,4.678e-05
"CANDIDATE",8951205,"K04099.01",-0.2297574,1.422,5431,0.0002442
"FALSE POSITIVE",5700900,"K04100.01",-0.0904642,2.904,5982,-0.001793
"FALSE POSITIVE",2708278,"K04102.01",-0.5350492,1.155,5285,-8.583e-05
"CANDIDATE",3747817,"K04103.01",-0.4990692,2.659,5273,0.0005842
"CANDIDATE",3747817,"K04103.02",-0.4990692,1.387,5273,0.0004516
"FALSE POSITIVE",11017094,"K04106.01",-0.2030066,0.02043,5271,0
"FALSE POSITIVE",9899065,"K04108.01",-0.0933134,0.8662,5157,-2.57e-05
"CANDIDATE",7907808,"K04109.01",-0.5531812,1.407,4968,-2.091e-05
"FALSE POSITIVE",5471792,"K04110.01",0.0571598,2.002,5611,0.0002098
"FALSE POSITIVE",2708343,"K04111.01",-0.4764592,1.069,4476,0.0003126
"FALSE POSITIVE",3348090,"K04112.01",0.3498266,2.866,6501,-0.002615
"FALSE POSITIVE",9282762,"K04113.01",-0.0457188,1.184,6099,0.0003582
"FALSE POSITIVE",3117046,"K04114.01",0.2124272,2.472,6373,-6.279e-06
"FALSE POSITIVE",6311520,"K04115.01",0.2901608,0.8515,6419,7.606e-05
"CANDIDATE",3955817,"K04117.01",-0.541325,1.576,5072,-0.000156
"FALSE POSITIVE",10661778,"K04118.01",-0.2420112,3.088,5780,-0.0009683
"FALSE POSITIVE",5513857,"K04119.01",-0.355966,0.9578,5465,-0.0007093
"CANDIDATE",9700449,"K04120.01",0.147496,1.914,6321,-0.0001264
"CANDIDATE",6349881,"K04121.01",-0.5106366,3.37,5275,0.0006815
"FALSE POSITIVE",9851970,"K04122.01",-0.548976,0.7387,4965,-0.0003721
"CANDIDATE",6140059,"K04123.01",0.1852984,1.72,6198,7.884e-05
"FALSE POSITIVE",9099950,"K04125.01",0.3033184,1.439,6486,-8.005e-05
"CANDIDATE",9272070,"K04126.01",0.110126,1.617,6201,-0.0001446
"CANDIDATE",5088400,"K04127.01",-0.402109,2.211,5550,6.866e-05
"FALSE POSITIVE",4669402,"K04128.01",0.1702196,4.531,6007,-0.001282
"CANDIDATE",11970988,"K04129.01",-0.5111512,0.8196,5240,-1.82e-06
"FALSE POSITIVE",10858803,"K04130.01",-0.5522096,0.9704,4754,-0.000121
"FALSE POSITIVE",6129694,"K04131.01",0.0705516,1.145,7843,2.034e-06
"FALSE POSITIVE",7601918,"K04133.01",0.1850936,1.074,6234,-0.0002448
"FALSE POSITIVE",5386264,"K04135.01",-0.5630872,0.656,4756,-0.0001185
"CANDIDATE",7256914,"K04136.01",-0.3937814,1.131,5575,5.148e-05
"CANDIDATE",7256914,"K04136.02",-0.3937814,1.202,5575,6.672e-05
"FALSE POSITIVE",3542222,"K04137.01",0.2726268,1.508,6043,-0.00472
"FALSE POSITIVE",4636565,"K04138.01",-0.2379756,1.268,5541,5.788e-05
"CANDIDATE",9956082,"K04139.01",0.088698,1.536,6260,0.0001256
"FALSE POSITIVE",3241248,"K04141.01",-0.475556,4.739,5100,-0.0002881
"FALSE POSITIVE",9716302,"K04142.01",-0.508108,1.592,5134,0.001465
"FALSE POSITIVE",10294509,"K04143.01",-0.3878762,1.52,5341,0.0002742
"CANDIDATE",3112129,"K04144.01",-0.0884672,0.9902,5957,-6.89e-06
"CANDIDATE",3103212,"K04145.01",-0.3148942,1.001,5692,4.363e-05
"CANDIDATE",10000941,"K04146.01",-0.5286716,0.9549,5115,-2.905e-05
"CANDIDATE",10000941,"K04146.02",-0.5286716,0.6901,5115,7.362e-06
"FALSE POSITIVE",8029197,"K04147.01",0.324144,0.9798,5851,-6.523e-05
"FALSE POSITIVE",12257886,"K04148.01",0.0888838,1.208,6131,0.0001029
"CANDIDATE",10875007,"K04149.01",-0.0376934,1.721,6274,3.396e-05
"CANDIDATE",10875007,"K04149.02",-0.0376934,1.678,6274,-0.0001039
"CANDIDATE",11465651,"K04150.01",0.14875,2.206,6404,9.836e-05
"FALSE POSITIVE",5217574,"K04151.01",-0.192644,1.276,5764,-0.001338
"CANDIDATE",7199060,"K04152.01",0.3301788,6.743,6951,-0.0001225
"CANDIDATE",8439323,"K04153.01",0.0792084,1.753,5834,6.779e-05
"FALSE POSITIVE",5551228,"K04154.02",-0.2826708,4.516,5692,0.02231
"FALSE POSITIVE",5471271,"K04155.01",0.0460036,1.558,6231,-0.00024
"CANDIDATE",5881120,"K04156.01",-0.0505132,0.942,6032,6.622e-05
"CANDIDATE",4548098,"K04157.01",-0.0690564,0.8666,6202,-4.164e-05
"CANDIDATE",4548098,"K04157.02",-0.0690564,0.8987,6202,9.889e-05
"FALSE POSITIVE",5306383,"K04158.01",-0.21003,0.7041,5765,3.447e-05
"CANDIDATE",6607644,"K04159.01",-0.5164964,0.7948,5196,-3.058e-05
"CANDIDATE",7610663,"K04160.01",-0.1753876,1.076,5755,-5.681e-05
"FALSE POSITIVE",5565707,"K04161.01",0.4758784,5.91,6635,-0.0004681
"FALSE POSITIVE",1293031,"K04162.01",0.3105922,3.244,6341,0
"FALSE POSITIVE",6463499,"K04163.01",0.0769646,7.784,5780,-0.001368
"FALSE POSITIVE",8254882,"K04164.01",-0.137477,1.049,6058,0.0003083
"FALSE POSITIVE",6042031,"K04165.01",-0.3472184,1.742,5395,-0.0001159
"CANDIDATE",4078311,"K04166.01",-0.494522,2.586,5585,0.0003416
"FALSE POSITIVE",5475735,"K04167.01",-0.4212932,1.553,5269,0.0006985
"FALSE POSITIVE",9402583,"K04168.01",-0.5311898,0.5896,5041,0.0003586
"CANDIDATE",7838675,"K04169.01",-0.2413308,1.016,5718,8.903e-05
"FALSE POSITIVE",8700537,"K04170.01",0.275754,2.759,6109,0.0016
"FALSE POSITIVE",10858785,"K04171.01",0.0774402,1.134,6086,0.0002442
"FALSE POSITIVE",9640907,"K04172.01",-0.013699,1.878,6194,-0.0003011
"FALSE POSITIVE",9490653,"K04173.01",-0.108732,1.223,5746,0.001827
"FALSE POSITIVE",3328027,"K04174.01",-0.1417842,1.754,5952,0.0004574
"FALSE POSITIVE",9640931,"K04175.01",-0.2683868,1.247,5357,-0.0007547
"FALSE POSITIVE",9640962,"K04177.01",-0.5395994,1.18,5118,-0.0006395
"CANDIDATE",5197233,"K04178.01",0.3172472,1.696,6642,0.000203
"FALSE POSITIVE",10936786,"K04179.01",-0.1268192,1.112,5814,-0.0002101
"CANDIDATE",6938264,"K04180.01",-0.5335552,0.688,4518,-0.000114
"FALSE POSITIVE",9899315,"K04181.01",0.0371824,0.9402,6089,-0.0003733
"FALSE POSITIVE",9541089,"K04182.01",-0.0406476,0.001721,5819,0
"FALSE POSITIVE",10858737,"K04183.01",0.3891028,1.142,6963,0.0001048
"CANDIDATE",6752002,"K04184.01",-0.5544684,1.289,4991,2.199e-05
"CANDIDATE",7257966,"K04185.01",-0.3870562,2.548,5505,0
"FALSE POSITIVE",9406892,"K04186.01",0.4076016,0.7372,5921,0.001076
"FALSE POSITIVE",3124598,"K04187.01",0.2549452,2.188,6313,-0.000913
"CANDIDATE",6879171,"K04188.01",0.2262616,1.585,6040,1.409e-06
"CANDIDATE",9897364,"K04189.01",0.135658,5.214,6341,0.0002453
"CANDIDATE",12505503,"K04190.01",-0.2306912,0.7851,5757,-4.538e-06
"FALSE POSITIVE",3548639,"K04191.01",0.372598,2.515,6845,0.0001289
"CANDIDATE",9828127,"K04192.01",-0.436603,1.744,5505,6.017e-05
"CANDIDATE",9828127,"K04192.02",-0.436603,1.358,5505,0.0003188
"CANDIDATE",9092496,"K04193.01",0.3904666,3.486,6997,-0.00044
"CANDIDATE",5644412,"K04194.01",-0.511797,1.495,5107,-0.0001098
"FALSE POSITIVE",9959545,"K04195.01",-0.1262516,0.6184,5687,-8.764e-06
"FALSE POSITIVE",8179190,"K04196.01",0.321524,1.873,6425,2.394e-05
"FALSE POSITIVE",9777724,"K04197.01",0.17482,1.321,6384,9.158e-05
"FALSE POSITIVE",9072639,"K04198.01",0.239235,1.367,6017,7.667e-06
"CANDIDATE",5340878,"K04199.01",-0.5308068,0.7863,5102,-1.172e-05
"CANDIDATE",5084171,"K04202.01",-0.0954104,2.701,5858,0.0004059
"FALSE POSITIVE",3834317,"K04203.01",0.3470456,3.631,6911,1.331e-05
"CANDIDATE",10593535,"K04204.01",-0.2286112,1.412,5821,-0.0001241
"CANDIDATE",3450040,"K04205.01",-0.3973436,0.9141,5632,-1.699e-05
"FALSE POSITIVE",8487805,"K04206.01",-0.4145482,0.8013,5325,0.0002827
"CANDIDATE",9456281,"K04207.01",-0.0339952,0.9282,4236,1.829e-06
"CANDIDATE",5129453,"K04208.01",-0.5238984,1.529,4483,0.0004659
"CANDIDATE",7918478,"K04209.01",-0.2256744,2.513,5396,-0.0001188
"FALSE POSITIVE",5078025,"K04211.01",-0.0421232,0.9348,5904,0.0001982
"FALSE POSITIVE",5078025,"K04211.02",-0.0421232,0.8718,5904,9.327e-05
"CANDIDATE",1724719,"K04212.01",0.0334328,1.667,6174,-0.0001584
"CANDIDATE",1724719,"K04212.02",0.0334328,1.484,6174,-0.0001195
"FALSE POSITIVE",5632701,"K04213.01",0.0143536,0.7425,5968,-5.296e-05
"FALSE POSITIVE",10549924,"K04214.01",-0.3067296,0.6937,5640,0.0003443
"CANDIDATE",9366617,"K04215.01",-0.2622136,2.909,5456,-9.12e-05
"CANDIDATE",6187341,"K04216.01",-0.5388104,2.335,4971,-0.0002074
"FALSE POSITIVE",4678919,"K04219.01",-0.0633952,1.688,5851,0.0005887
"FALSE POSITIVE",5563080,"K04220.01",-0.4172272,1.124,5356,0
"FALSE POSITIVE",6364067,"K04221.01",-0.1433334,1.293,5804,-0.0001054
"CANDIDATE",9183378,"K04222.01",-0.1426032,1.92,5718,-0.0002238
"FALSE POSITIVE",1724513,"K04224.01",0.2494052,1.622,6401,-0.0002626
"FALSE POSITIVE",9535876,"K04225.01",-0.462762,1.085,5708,-0.0006242
"CANDIDATE",9491832,"K04226.01",-0.3156328,1.724,5907,0.000143
"FALSE POSITIVE",7816665,"K04227.01",0.0740816,2.067,6137,-0.008425
"FALSE POSITIVE",9535881,"K04228.01",0.2652952,2.117,7381,0
"FALSE POSITIVE",11616596,"K04229.01",0.1392668,1.657,6163,-0.000137
"CANDIDATE",9872831,"K04230.01",0.155385,1.471,6157,-5.62e-05
"CANDIDATE",11509504,"K04232.01",0.1703536,1.179,6088,0.0001912
"CANDIDATE",11611275,"K04234.01",-0.06571,1.497,6108,-0.0001857
"CANDIDATE",10794974,"K04235.01",-0.3723442,2.598,5751,-0.0004466
"FALSE POSITIVE",7259249,"K04237.01",-0.1073972,1.573,6039,-0.0006792
"FALSE POSITIVE",9640924,"K04239.01",0.07003,1.092,6258,0.0001006
"FALSE POSITIVE",9593773,"K04240.01",0.0076388,2.704,6137,-0.0004333
