"koi_disposition","kepid","kepoi_name","tce_ldm_coeff4","tce_prad","tce_steff","tce_fwm_prao"
"CANDIDATE",8395660,"K00116.04",-0.1181076,1.166,5854,-6.593e-05
"CANDIDATE",10875245,"K00117.01",-0.2779126,3.42,5847,2.118e-05
"CANDIDATE",10875245,"K00117.02",-0.2779126,1.845,5847,1.114e-05
"CANDIDATE",10875245,"K00117.03",-0.2779126,1.95,5847,-5.649e-05
"CANDIDATE",10875245,"K00117.04",-0.2779126,1.164,5847,-1.163e-05
"CANDIDATE",3531558,"K00118.01",-0.244136,2.448,5718,-4.674e-05
"CANDIDATE",9471974,"K00119.01",-0.407853,8.771,5626,0.0002428
"CANDIDATE",9471974,"K00119.02",-0.407853,7.63,5626,0.000293
"CANDIDATE",11869052,"K00120.01",-0.2750024,2.044,5670,0.0002035
"FALSE POSITIVE",3247396,"K00121.01",0.18846,8.197,6200,-9.548e-05
"CANDIDATE",8349582,"K00122.01",-0.3931164,3.558,5644,-1.2e-05
"CANDIDATE",5094751,"K00123.01",-0.0465584,2.638,5945,2.933e-05
"CANDIDATE",5094751,"K00123.02",-0.0465584,2.737,5945,3.454e-05
"CANDIDATE",11086270,"K00124.01",-0.0391252,3.023,5869,-4.903e-05
"CANDIDATE",11086270,"K00124.02",-0.0391252,3.421,5869,5.365e-05
"CANDIDATE",11449844,"K00125.01",-0.435213,13.24,5510,5.863e-05
"FALSE POSITIVE",5897826,"K00126.01",-0.1988432,22.4,5855,0.003046
"CANDIDATE",5897826,"K00126.02",-0.1988432,6.999,5855,0.0006563
"CANDIDATE",8359498,"K00127.01",-0.435147,10.59,5524,-0.000137
"CANDIDATE",11359879,"K00128.01",-0.4842312,10.89,5514,0.001817
"CANDIDATE",11974540,"K00129.01",-0.5044108,78.02,5313,0.0018
"CANDIDATE",5297298,"K00130.01",0.1178276,22.19,6129,-2.357e-05
"CANDIDATE",7778437,"K00131.01",0.109172,10.69,6490,-0.002294
"FALSE POSITIVE",8892910,"K00132.01",0.0602166,14.24,6211,-0.0001769
"FALSE POSITIVE",11673674,"K00133.01",0.0857026,7.362,6013,-0.01947
"FALSE POSITIVE",9032900,"K00134.01",-0.169302,13.05,6038,0.0001761
"CANDIDATE",9818381,"K00135.01",-0.176567,12.67,6063,-0.0001734
"FALSE POSITIVE",7601633,"K00136.01",-0.1209916,25.52,5996,0
