"koi_disposition","kepid","kepoi_name","tce_maxmesd","tce_fwm_prao","tce_fwm_pdeco","tce_dikco_mra_sn"
"CANDIDATE",10600261,"K00597.01",11.05,0.0001343,5.714e-05,-0.52580310880829
"CANDIDATE",10600261,"K00597.02",0.8683,-6.097e-05,-6.051e-05,-0.614162162162162
"CANDIDATE",10600261,"K00597.03",24.83,2.012e-05,0.0002474,1.67186507936508
"CANDIDATE",10656823,"K00598.01",3.539,-0.0002303,-0.0008193,-0.352238938053097
"CANDIDATE",10656823,"K00598.02",17.01,-0.0002721,-0.000402,-0.544616666666667
"CANDIDATE",10676824,"K00599.01",-1.458,-1.631e-05,0.0002689,1.81178294573643
"CANDIDATE",10718726,"K00600.01",1.533,-1.373e-05,0.0001206,0.682873969375736
"CANDIDATE",10973664,"K00601.01",2.831,0.0002782,-3.967e-05,-0.393562281722934
"CANDIDATE",10973664,"K00601.02",0.8664,6.378e-05,0.0002257,0.726831775700935
"CANDIDATE",10973664,"K00601.03",0.7772,-2.664e-05,0.0001397,0.108203883495146
"CANDIDATE",12459913,"K00602.01",3.882,-5.089e-05,5.925e-05,0.360695
"FALSE POSITIVE",2441151,"K00603.01",0.7458,-0.003103,0.01807,3.57125506072874
"FALSE POSITIVE",3970233,"K00604.01",4.087,-0.00197,0.00125,2.78463810930576
"CANDIDATE",4832837,"K00605.01",1.691,0.0002562,3.017e-05,-1.39411764705882
"CANDIDATE",4832837,"K00605.02",1.458,-0.0001586,0.0001057,-0.891130268199234
"FALSE POSITIVE",5014753,"K00606.01",1.587,0,0.004003,-3.07682020802377
"CANDIDATE",5441980,"K00607.01",0.175,3.651e-05,0.0002925,-1.95028818443804
"FALSE POSITIVE",5562784,"K00608.01",18.06,-0.007209,-0.002467,42.330779054917
"FALSE POSITIVE",5608566,"K00609.01",2.2,0.0003156,0.0003234,-1.26994350282486
"CANDIDATE",5686174,"K00610.01",-3.042,0.001052,0,-0.888347107438017
"CANDIDATE",6309763,"K00611.01",1.629,-0.0007576,8.067e-05,0.51959479015919
"CANDIDATE",6587002,"K00612.01",-1.832,-0.0003953,-0.0001714,-0.622336538461538
"CANDIDATE",6587002,"K00612.02",-0.5897,0.0001844,0.0002935,-0.66034126984127
"CANDIDATE",6587002,"K00612.03",78.11,7.186e-09,0.0004802,-0.357745664739884
"FALSE POSITIVE",6960456,"K00613.01",0.7494,0.0002595,-0.006394,-53.127245508982
"CANDIDATE",7368664,"K00614.01",-3.138,0.0001584,0.0004155,1.44714285714286
"FALSE POSITIVE",8374580,"K00615.01",76.81,0.02178,0.008053,-41.3598901098901
"CANDIDATE",9714696,"K00616.01",0.7083,0.0005817,0.00168,-29.2912988650694
"FALSE POSITIVE",9846086,"K00617.01",21.8,-0.0007551,0.0005306,-0.0566096181046676
"CANDIDATE",10353968,"K00618.01",2.708,-0.001158,-0.0004355,0.844893203883495
"CANDIDATE",10384962,"K00619.01",1.442,-0.001945,-0.001738,2.39524517087667
"CANDIDATE",11773022,"K00620.01",-7.792,-0.005821,-0.01797,-0.944025806451613
"CANDIDATE",11773022,"K00620.02",22.64,-0.002603,-0.008132,-0.571582633053221
"CANDIDATE",11773022,"K00620.03",26.14,-0.001245,-0.001509,-1.59565573770492
"FALSE POSITIVE",12251650,"K00621.01",13.28,0.001236,-0.001402,1.83755395683453
"CANDIDATE",12417486,"K00622.01",7.942,-0.0016,-0.003013,0.758610240334378
"CANDIDATE",12068975,"K00623.01",1.553,-4.4e-05,-0.0001405,1.39258196721311
"CANDIDATE",12068975,"K00623.02",1.206,-4.151e-05,-6.985e-05,2.35749077490775
"CANDIDATE",12068975,"K00623.03",8.82,-1.437e-05,2.1e-05,-1.12593220338983
"CANDIDATE",12068975,"K00623.04",15.14,4.682e-05,0.0001022,0.56467343976778
"CANDIDATE",3541946,"K00624.01",-0.7765,-6.527e-05,-0.0001527,-1.02374749498998
"CANDIDATE",3541946,"K00624.02",0.9792,3.508e-05,-1.066e-05,-0.477343137254902
"CANDIDATE",3541946,"K00624.03",-4.298,0.0001001,-0.0003235,0.135189024390244
"CANDIDATE",4449034,"K00625.01",-3.802,-0.000271,-0.002417,0.519756578947368
"CANDIDATE",4478168,"K00626.01",7.149,0,6.078e-05,0.407589473684211
"CANDIDATE",4478168,"K00626.02",5.194,0,-1.248e-05,-0.247429022082019
"CANDIDATE",4563268,"K00627.01",5.225,-0.0005235,-7.136e-05,-0.215289617486339
"CANDIDATE",4563268,"K00627.02",0.9195,-0.0002459,-9.132e-05,0.273169154228856
"CANDIDATE",4644604,"K00628.01",3.625,-0.0001337,-0.0001482,1.58692857142857
"CANDIDATE",4656049,"K00629.01",2.575,0.0001001,-5.596e-05,1.44238888888889
"FALSE POSITIVE",4659405,"K00630.01",2.293,0.003546,-0.01503,-10.9391534391534
"CANDIDATE",4742414,"K00631.01",9.273,7.872e-06,4.406e-05,0.0497050067658999
"CANDIDATE",4827723,"K00632.01",-0.9688,2.594e-05,-0.0001012,1.78171171171171
"CANDIDATE",4841374,"K00633.01",-31.94,8.603e-05,7.908e-05,1.4071676300578
"FALSE POSITIVE",4861736,"K00634.01",3.145,-0.01749,-0.004898,81.9208333333333
"CANDIDATE",5020319,"K00635.01",1.526,9.759e-05,6.589e-05,-0.172059829059829
"FALSE POSITIVE",5090690,"K00636.01",0.5365,-1.778e-05,0.0006352,-0.0471163475699558
"FALSE POSITIVE",5098444,"K00637.01",17.41,-0.003538,0.0008263,1.01124277456647
"CANDIDATE",5113822,"K00638.01",-2.391,-0.0002369,0.0007513,-0.0656322033898305
"CANDIDATE",5113822,"K00638.02",-2.493,-0.0005064,0.0004807,1.17117117117117
"CANDIDATE",5120087,"K00639.01",7.566,2.42e-05,0.0001573,-0.59271186440678
"CANDIDATE",5121511,"K00640.01",10.13,-0.0002643,-5.812e-05,-0.538211382113821
"CANDIDATE",5131180,"K00641.01",-1.106,-0.000598,-0.001372,0.39
"FALSE POSITIVE",5181817,"K00642.01",2.267,0.01597,0.006427,0
"FALSE POSITIVE",5309353,"K00643.01",0.6826,-0.0002139,-3.576e-05,14.7456692913386
"FALSE POSITIVE",5356593,"K00644.01",20.27,0.00999,0.005325,-3.0841642228739
"CANDIDATE",5374854,"K00645.01",-4.902,9.323e-05,0.0001268,-0.300123626373626
"CANDIDATE",5374854,"K00645.02",2.525,8.717e-05,4.164e-05,0.0317237068965517
"FALSE POSITIVE",5384802,"K00646.01",1.975,0.002108,-0.00105,0.171010401188707
"CANDIDATE",5531694,"K00647.01",0.7152,-3.156e-05,2.366e-06,0.951217391304348
"CANDIDATE",5531694,"K00647.02",3.256,9.565e-05,-4.341e-05,0.517245283018868
"FALSE POSITIVE",5596440,"K00648.01",0.2469,-7.422e-05,4.789e-05,0.725217391304348
"CANDIDATE",5613330,"K00649.01",16.86,6.491e-05,0.0001419,0.300315068493151
"CANDIDATE",5613330,"K00649.02",1.47,0.0001574,5.439e-05,0.173881118881119
"CANDIDATE",5786676,"K00650.01",-2.767,-0.000109,2.934e-05,0.17766
"FALSE POSITIVE",5796186,"K00651.01",14.46,0.01782,0.1494,-11.2905422446406
"CANDIDATE",5796675,"K00652.01",-0.4792,-0.0006649,0.0004456,5.52676240208877
"FALSE POSITIVE",5893123,"K00653.01",0.5718,0.0008634,0.0004739,-65.5666666666667
"CANDIDATE",5941160,"K00654.01",5.918,-0.0001095,-0.0001765,-1.56686131386861
"CANDIDATE",5941160,"K00654.02",-2.169,0.0001515,-5.528e-05,0.616026119402985
"CANDIDATE",5966154,"K00655.01",16.42,5.255e-05,7.192e-05,1.08042105263158
"CANDIDATE",5966154,"K00655.02",39.7,8.93e-05,0.0001111,-0.597900677200903
"FALSE POSITIVE",5966660,"K00656.01",0.4313,0.0003367,0.01462,10.2848153214774
"CANDIDATE",6020753,"K00657.01",1.94,-3.118e-06,5.073e-05,2.97721739130435
"CANDIDATE",6020753,"K00657.02",9.45,-2.093e-05,0.0004939,1.8697619047619
"CANDIDATE",6062088,"K00658.01",1.367,1.586e-05,0,-0.151287458379578
"CANDIDATE",6062088,"K00658.02",0.7458,0.0001215,0,-0.562456
"CANDIDATE",6062088,"K00658.03",6.668,-8.028e-05,0,-0.215915742793792
"CANDIDATE",6125481,"K00659.01",17.11,7.717e-05,2.622e-05,1.35298429319372
"CANDIDATE",6267535,"K00660.01",2.03,-3.92e-05,4.987e-05,-0.181695035460993
"CANDIDATE",6347299,"K00661.01",2.561,6.235e-05,0.0001885,-0.709295774647887
"CANDIDATE",6347299,"K00661.02",10.61,0.0001905,4.393e-05,-1.83588957055215
"CANDIDATE",6365156,"K00662.01",4.2,-8.312e-05,-6.35e-05,-2.19421052631579
"CANDIDATE",6425957,"K00663.01",1.888,3.698e-05,0,-8.13354545454545
"CANDIDATE",6425957,"K00663.02",1.786,-0.0002759,0,-8.03683333333333
"CANDIDATE",6442340,"K00664.01",5.802,-2.799e-05,-6.28e-05,0.110097674418605
"CANDIDATE",6442340,"K00664.02",1.587,-4.027e-05,7.388e-06,-0.0702613908872902
"CANDIDATE",6442340,"K00664.03",2.18,-3.541e-05,9.079e-05,0.332526315789474
"CANDIDATE",6685609,"K00665.01",3.402,-1.246e-05,-5.461e-05,-1.05769230769231
"CANDIDATE",6685609,"K00665.02",1.168,1.036e-05,7.783e-05,-0.818026315789474
"CANDIDATE",6685609,"K00665.03",1.206,7.606e-06,4.572e-05,-0.000129727272727273
"CANDIDATE",6707835,"K00666.01",-4.945,-8.797e-05,-2.545e-05,0.629756097560976
"CANDIDATE",6752502,"K00667.01",2.698,0.006347,-0.0002704,-13.2928921568627
"FALSE POSITIVE",6805146,"K00668.01",7.921,0.0003771,0.001179,-0.449418777943368
"FALSE POSITIVE",6960445,"K00669.01",3.569,0.000674,-0.0164,7.22769886363636
"CANDIDATE",7033671,"K00670.01",3.882,-9.108e-05,8.631e-06,0.12864880952381
"CANDIDATE",7040629,"K00671.01",2.997,-1.664e-05,-4.793e-05,-0.393607594936709
"CANDIDATE",7040629,"K00671.02",5.503,-5.447e-06,-4.713e-05,0.895236728837877
"CANDIDATE",7040629,"K00671.03",6.533,-6.432e-05,4.43e-05,0.554511627906977
"CANDIDATE",7040629,"K00671.04",5.224,3.06e-05,-8.582e-05,-1.36118090452261
"CANDIDATE",7115785,"K00672.01",22.79,-0.0003588,-0.0001923,-1.54713114754098
"CANDIDATE",7115785,"K00672.02",1.45,-0.0003805,0.0002978,-1.22977099236641
"FALSE POSITIVE",7115785,"K00672.03",0.2042,-2.314e-05,4.049e-05,-1.66190226876091
"CANDIDATE",7124613,"K00673.01",0.325,8.334e-05,1.016e-05,0.69686231884058
"CANDIDATE",7277317,"K00674.01",6.374,7.997e-05,-3.452e-05,-4.16066176470588
"FALSE POSITIVE",7385509,"K00675.01",0.318,0.05274,-0.006026,-7.10986547085202
"CANDIDATE",7447200,"K00676.01",3.026,-0.0001321,-9.581e-05,1.66079881656805
"CANDIDATE",7447200,"K00676.02",-0.147,-8.511e-05,-0.0001012,0.904023285899095
"FALSE POSITIVE",7466863,"K00677.01",-1.963,-0.0003821,-0.001456,21.0392817059484
"CANDIDATE",7509886,"K00678.01",1.946,-6.079e-05,6.799e-05,-3.48592
"CANDIDATE",7509886,"K00678.02",1.295,-2.623e-05,7.559e-05,-2.50642105263158
"CANDIDATE",7515212,"K00679.01",-4.959,-2.196e-05,4.291e-05,0.328010610079576
"CANDIDATE",7515212,"K00679.02",12.18,4.645e-05,-2.539e-05,2.89391771019678
"CANDIDATE",7529266,"K00680.01",6.359,-6.052e-05,8.368e-05,-0.186661742983752
"FALSE POSITIVE",7598128,"K00681.01",-9.542,0.0001223,0,0.499283582089552
"CANDIDATE",7630229,"K00683.01",46.03,-0.0006366,0.0004292,-0.704162393162393
"CANDIDATE",7730747,"K00684.01",-0.488,4.069e-05,-6.037e-05,-0.543948497854077
"CANDIDATE",7764367,"K00685.01",-0.3746,-2.922e-05,-0.0001809,-0.139860465116279
"CANDIDATE",7906882,"K00686.01",28.18,-0.002279,0.0009867,-0.805573065902579
"CANDIDATE",7976520,"K00687.01",1.15,-0.0002972,3.273e-05,0.145454106280193
"CANDIDATE",8161561,"K00688.01",-0.3375,3.626e-05,-9.317e-05,-1.49533333333333
"CANDIDATE",8361905,"K00689.01",7.867,-0.0001165,-4.071e-05,0.684807692307692
"FALSE POSITIVE",8409588,"K00690.01",0.5875,0.0002725,-0.0001277,-2.30954598370198
"CANDIDATE",8480285,"K00691.01",-4.666,0.0002154,8.597e-05,0.849189189189189
"CANDIDATE",8480285,"K00691.02",8.999,0.000156,3.24e-05,-1.48263157894737
"CANDIDATE",8557374,"K00692.01",1.8,-9.564e-05,1.485e-05,0.0920733333333333
"CANDIDATE",8557374,"K00692.02",2.354,-0.0001433,1.704e-05,0.26008125
"CANDIDATE",8738735,"K00693.01",2.018,-4.113e-05,0.0001358,0.278197860962567
"CANDIDATE",8738735,"K00693.02",15.3,-2.275e-05,0.0003878,-0.0112012759170654
"CANDIDATE",8802165,"K00694.01",-3.206,0.0001288,1.864e-05,-0.56145945945946
"CANDIDATE",8805348,"K00695.01",17.75,-8.622e-05,-8.281e-05,-1.36764227642276
"CANDIDATE",8869680,"K00696.01",4.182,-0.0002288,8.896e-05,-10.9911027568922
"CANDIDATE",8878187,"K00697.01",0.4563,0.0002382,0.0001043,-4.65949367088608
"FALSE POSITIVE",8891278,"K00698.01",0.2813,-0.003918,-0.01583,1.13149851632047
"FALSE POSITIVE",8908102,"K00699.01",0.5292,-0.0006577,-0.0003865,-0.334992784992785
"CANDIDATE",8962094,"K00700.01",6.385,-5.128e-05,1.297e-06,-0.401855769230769
"CANDIDATE",8962094,"K00700.02",1.894,2.581e-05,0.0001501,-0.39408875739645
"CANDIDATE",8962094,"K00700.03",4.573,-3.125e-05,-1.147e-05,-0.255306878306878
"CANDIDATE",8962094,"K00700.04",15.48,-0.0001801,2.719e-05,1.06524137931034
"CANDIDATE",9002278,"K00701.01",11.58,1.586e-05,0.0001298,-4.37114035087719
"CANDIDATE",9002278,"K00701.02",1.757,-5.808e-05,9.038e-06,-2.97621621621622
"CANDIDATE",9002278,"K00701.03",17.23,4.283e-06,-5.735e-06,-0.861550151975684
"CANDIDATE",9002278,"K00701.04",137.5,9.522e-05,0.0002781,-5.87307692307692
"CANDIDATE",9002278,"K00701.05",3.644,8.053e-05,5.449e-05,2.54168965517241
"FALSE POSITIVE",9053112,"K00702.01",0.8037,0,-0.0003556,-192.254495159059
"FALSE POSITIVE",9162741,"K00703.01",0.6675,-0.0001235,-0.0001405,10.2871559633028
"CANDIDATE",9266431,"K00704.01",7.62,-0.0002095,0.0003884,-0.818169014084507
"FALSE POSITIVE",9300285,"K00705.01",-0.2085,-0.0004259,0,8.25161764705882
"FALSE POSITIVE",9426071,"K00706.01",6.096,0.00147,0.0009148,0.358661870503597
"CANDIDATE",9458613,"K00707.01",-1.301,6.44e-05,-1.486e-05,0.551533980582524
"CANDIDATE",9458613,"K00707.02",11.28,1.23e-05,4.531e-06,-0.682083333333333
"CANDIDATE",9458613,"K00707.03",-3.147,-0.0002561,-0.0002123,-0.192679144385027
"CANDIDATE",9458613,"K00707.04",9.566,8.762e-05,0.0001187,-0.551384615384615
"CANDIDATE",9458613,"K00707.05",1.219,9.245e-05,-2.547e-05,-0.781329479768786
"CANDIDATE",9530945,"K00708.01",-2.609,-1.345e-05,-0.0001917,0.215846153846154
"CANDIDATE",9530945,"K00708.02",2.756,7.562e-05,-2.141e-05,-0.444646017699115
"CANDIDATE",9578686,"K00709.01",11.08,0.0002813,1.393e-05,-0.945967741935484
"CANDIDATE",9590976,"K00710.01",2.166,-3.215e-05,0.0001442,0.414851752021563
"CANDIDATE",9590976,"K00710.02",5.044,1.73e-05,2.305e-05,0.244082568807339
"CANDIDATE",9590976,"K00710.03",0.7629,-8.57e-06,8.386e-05,-2.29678111587983
"CANDIDATE",9597345,"K00711.01",2.83,-0.0001234,-0.0002098,1.28328947368421
"CANDIDATE",9597345,"K00711.02",2.231,-2.059e-05,1.497e-05,1.87120689655172
"CANDIDATE",9597345,"K00711.03",90.77,0.0001709,-0.0003385,2.06611336032389
"FALSE POSITIVE",9640976,"K00712.01",1.088,0.0004977,0.0004607,-5.58084291187739
"FALSE POSITIVE",9640985,"K00713.01",1.242,0.0007779,0.00222,-14.7721774193548
"CANDIDATE",9702072,"K00714.01",1.686,-0.0002384,-4.983e-05,-1.28618233618234
"FALSE POSITIVE",9834719,"K00715.01",0.3623,0.0004539,0.0003058,-0.628691322901849
"CANDIDATE",9846348,"K00716.01",8.999,-0.0003723,-0.0001006,1.50457142857143
"CANDIDATE",9873254,"K00717.01",7.256,-9.965e-05,0.000125,0.987912621359223
"CANDIDATE",9873254,"K00717.02",-0.1531,-0.0001018,1.958e-05,0.383743500866551
"CANDIDATE",9884104,"K00718.01",2.302,-6.827e-05,3.284e-05,-1.15546153846154
"CANDIDATE",9884104,"K00718.02",12.11,-1.763e-05,0.0001026,0.255017964071856
"CANDIDATE",9884104,"K00718.03",-11.69,0.0001073,0.0002546,0.544190871369295
"CANDIDATE",9950612,"K00719.01",5.275,-3.563e-05,8.827e-05,-2.47761467889908
"CANDIDATE",9950612,"K00719.02",9.399,1.444e-05,-0.0001093,-0.434813559322034
"CANDIDATE",9950612,"K00719.03",0.6156,5.917e-05,3.44e-05,-2.29016574585635
"CANDIDATE",9950612,"K00719.04",19.81,1.27e-05,-8.726e-05,-2.80064516129032
"CANDIDATE",9963524,"K00720.01",2.833,0.0003961,0.0001316,0.660923076923077
"CANDIDATE",9963524,"K00720.02",3.12,0.0004243,-6.548e-06,-0.713516609392898
"CANDIDATE",9963524,"K00720.03",-1.82,0.0002107,-0.0002792,1.00025
"CANDIDATE",9963524,"K00720.04",1.458,0.0002612,3.18e-05,0.694089285714286
"CANDIDATE",9964801,"K00721.01",-2.227,0.0001806,-0.0001945,-0.392088235294118
"CANDIDATE",9965439,"K00722.01",-6.627,0.0001251,6.639e-05,-0.570605095541401
"CANDIDATE",10002866,"K00723.01",0.9906,8.422e-05,-0.0003867,0.996921241050119
"CANDIDATE",10002866,"K00723.02",0.9,-0.0001861,-0.0001439,-0.246860879904875
"CANDIDATE",10002866,"K00723.03",16.39,-3.615e-05,0.0001444,0.232389580973952
"FALSE POSITIVE",10005020,"K00724.01",4.189,-0.005722,0.006086,52.7164383561644
"FALSE POSITIVE",10068383,"K00725.01",3.65,0.003276,0.0003075,-1.92453102453102
"CANDIDATE",10157573,"K00726.01",2.571,-0.0009776,-7.459e-05,10.0336134453782
"FALSE POSITIVE",10191070,"K00727.01",0.8646,0.002562,0.0002157,-7.71803852889667
"CANDIDATE",10221013,"K00728.01",1.603,-6.299e-05,-0.001125,-0.718426470588235
"FALSE POSITIVE",10225800,"K00729.01",0.7957,-0.001652,-0.003695,13.021744966443
"CANDIDATE",10227020,"K00730.01",7.758,0.0001189,-0.0002885,0.96021978021978
"CANDIDATE",10227020,"K00730.02",3.194,-0.0004468,-0.0004226,0.916231003039514
"CANDIDATE",10227020,"K00730.03",6.095,0.0001536,0.000131,0.768560975609756
"CANDIDATE",10227020,"K00730.04",-1.682,4.733e-05,-1.214e-05,-0.268058252427184
"FALSE POSITIVE",10259031,"K00731.01",4.132,0.01989,-0.06975,-24.6785714285714
"CANDIDATE",10265898,"K00732.01",0.6949,-0.0001407,-4.824e-05,-0.489007177033493
"CANDIDATE",10265898,"K00732.02",3.606,7.938e-05,-0.0001782,0.420432926829268
"CANDIDATE",10265898,"K00732.03",0.6469,0.0001069,0.0001035,1.54736660929432
"CANDIDATE",10271806,"K00733.01",1.505,-3.617e-05,-0.0001833,0.334137254901961
"CANDIDATE",10271806,"K00733.02",6.994,5.137e-05,0.0003539,-0.237155688622754
"CANDIDATE",10271806,"K00733.03",-0.4323,0.000201,0.0002194,-0.703098591549296
"CANDIDATE",10271806,"K00733.04",4.913,-0.0005574,0.0004552,0.354947368421053
"CANDIDATE",10272442,"K00734.01",-5.83,-0.0001853,-0.000201,-1.31903225806452
"CANDIDATE",10272442,"K00734.02",35.59,0.0003537,0.0004482,-0.887416666666667
"CANDIDATE",10287242,"K00735.01",7.759,-0.0004362,0.0003235,-1.62990314769976
"CANDIDATE",10340423,"K00736.01",2.675,-0.0004108,-0.000579,0.985921787709497
"CANDIDATE",10340423,"K00736.02",5.025,0.000522,-0.0004979,-0.196181034482759
"FALSE POSITIVE",10345478,"K00737.01",8.867,-5.608e-05,-0.0008886,0.751481481481481
"CANDIDATE",10358759,"K00738.01",7.56,0.0001539,-0.001338,1.51806896551724
"CANDIDATE",10358759,"K00738.02",4.972,0.0001774,-0.0009964,0.210815331010453
"CANDIDATE",10386984,"K00739.01",0.1656,0.0001706,-0.0001862,-4.69761467889908
"CANDIDATE",10395381,"K00740.01",-3.538,-0.0008703,-0.0005387,-0.343240875912409
"FALSE POSITIVE",10418797,"K00741.01",15.71,-0.006462,0.003544,-0.286469719350074
"FALSE POSITIVE",10419211,"K00742.01",6.479,1.263e-05,0.0001174,2.17919762258544
"FALSE POSITIVE",10464078,"K00743.01",11.84,-0.0003808,-0.0001528,-2.16126656848306
"FALSE POSITIVE",10480982,"K00744.01",4.419,-0.0005066,-0.001731,-0.263949704142012
"FALSE POSITIVE",10480982,"K00744.02",1.131,0.0003049,-0.0001914,-9.63988764044944
"FALSE POSITIVE",10485250,"K00745.01",6.008,0.000746,0.0008186,0.242727272727273
"CANDIDATE",10526549,"K00746.01",-2.002,0.0003377,0.0001896,0.493080568720379
"CANDIDATE",10583066,"K00747.01",2.025,-0.0001748,-0.0001026,-1.62377192982456
"FALSE POSITIVE",10583180,"K00748.01",1.361,0.0004651,0.0001937,1.69145038167939
"CANDIDATE",10601284,"K00749.01",2.131,0.0005461,0.0003006,-0.199016129032258
"CANDIDATE",10601284,"K00749.02",-0.6302,-8.195e-05,-0.0001336,-1.24656084656085
"CANDIDATE",10601284,"K00749.03",-1.652,-0.0007179,2.119e-05,-0.151839195979899
"CANDIDATE",10662202,"K00750.01",-1.625,-0.0006366,1.019e-06,-2.23857142857143
"CANDIDATE",10662202,"K00750.02",0.7031,-6.039e-05,0.0001019,-1.2498127925117
"CANDIDATE",10662202,"K00750.03",0.4271,0.0006339,-4.147e-05,-3.23333333333333
"CANDIDATE",10682541,"K00751.01",1.217,1.601e-05,8.781e-06,-0.345172043010753
"CANDIDATE",10797460,"K00752.01",6.481,-0.0002042,-0.0005549,0.590968503937008
"CANDIDATE",10797460,"K00752.02",6.144,0.0006591,-0.001047,1.4333137829912
"FALSE POSITIVE",10811496,"K00753.01",12.4,0.0006529,0.0005628,0.0286844319775596
"FALSE POSITIVE",10848459,"K00754.01",0.7469,0.003022,-0.001423,-3.57142857142857
"CANDIDATE",10854555,"K00755.01",-0.5969,7.735e-05,-7.285e-05,0.379130681818182
"CANDIDATE",10872983,"K00756.01",5.025,3.553e-05,0,-0.127511811023622
"CANDIDATE",10872983,"K00756.02",1.581,-0.000159,0,1.20901315789474
"CANDIDATE",10872983,"K00756.03",1.811,-4e-05,0,-1.24093655589124
"CANDIDATE",10910878,"K00757.01",-0.4,0.0002628,0.0004904,0.0709174434087883
"CANDIDATE",10910878,"K00757.02",28.39,0.001115,0.0001184,0.373286432160804
"CANDIDATE",10910878,"K00757.03",0.6979,0.0004233,-9.063e-05,-0.130266666666667
"CANDIDATE",10987985,"K00758.01",5.507,-2.071e-05,0.000538,-1.30932835820896
"CANDIDATE",11018648,"K00759.01",10.01,0.0007855,-0.0001563,1.30032327586207
"CANDIDATE",11018648,"K00759.02",44.75,0.0004113,0.000156,-0.93916890080429
"CANDIDATE",11138155,"K00760.01",1.213,0.0001057,-6.696e-05,-0.318807749627422
"FALSE POSITIVE",11152159,"K00761.01",1.342,-0.006079,-0.01249,9.28042895442359
"CANDIDATE",11153539,"K00762.01",0.9706,-0.00024,-9.557e-05,0.74663967611336
"FALSE POSITIVE",11242721,"K00763.01",10.16,0.0002051,-0.0001765,-0.408731778425656
"CANDIDATE",11304958,"K00764.01",13.03,-0.0002218,-0.0004023,-0.592963855421687
"CANDIDATE",11391957,"K00765.01",-0.401,-0.0002519,-9.43e-05,0.406663636363636
"CANDIDATE",11403044,"K00766.01",0.5188,-0.0001224,-8.795e-05,-0.927541899441341
"CANDIDATE",11414511,"K00767.01",2.079,-0.0003407,0.0006911,0.470507982583454
"FALSE POSITIVE",11442465,"K00768.01",15.49,-0.02468,-0.001606,47.964234620887
"CANDIDATE",11460018,"K00769.01",0.4813,0.0007337,5.908e-05,-0.16652808988764
"FALSE POSITIVE",11463211,"K00770.01",-0.1469,-0.001738,-0.0015,11.9349659863946
"FALSE POSITIVE",11465813,"K00771.01",4.094,0.01749,-0.004915,-11.7716535433071
"FALSE POSITIVE",11493732,"K00772.01",14.79,0.001003,-0.0008746,-0.79603707995365
"CANDIDATE",11507101,"K00773.01",3.739,0.0006653,-0.001041,-0.100744186046512
"FALSE POSITIVE",11656840,"K00774.01",3.588,0.01282,0.004054,-1.54078947368421
"CANDIDATE",11754553,"K00775.01",4.215,0.0003156,-1.827e-05,-0.194344827586207
"CANDIDATE",11754553,"K00775.02",5.415,0.0006006,-3.1e-05,-0.185147869674185
"CANDIDATE",11754553,"K00775.03",25.23,-0.0001414,0.0008449,-0.299275303643725
"CANDIDATE",11812062,"K00776.01",-0.5729,0.0005658,-0.001356,0.462585227272727
"CANDIDATE",11818800,"K00777.01",-6.894,0.0005993,-0.00114,-0.683609550561798
"CANDIDATE",11853255,"K00778.01",-0.5,-0.0002447,-0.0005673,0.392622047244094
"FALSE POSITIVE",11909839,"K00779.01",5.469,-0.0002467,4.001e-05,-0.387771260997067
"CANDIDATE",11918099,"K00780.01",-0.2667,6.033e-05,0.000452,4.63618677042802
"CANDIDATE",11918099,"K00780.02",-0.2188,0.0001624,0.0007533,0.183144766146993
"CANDIDATE",11923270,"K00781.01",3.224,-0.0002919,0.0005964,2.62247706422018
"CANDIDATE",11960862,"K00782.01",1.369,0.0004358,-7.452e-05,-0.129533802816901
"CANDIDATE",12020329,"K00783.01",1.58,0.0006557,0.0006417,0.118202877697842
"CANDIDATE",12066335,"K00784.01",3.59,-0.0007601,0.001447,2.26229508196721
"CANDIDATE",12066335,"K00784.02",2.016,0.0005277,0.001165,1.02363636363636
"CANDIDATE",12070811,"K00785.01",2.742,0.0001935,0.0001118,-0.812227722772277
"CANDIDATE",12110942,"K00786.01",2.049,0.0001686,0.0001177,-1.24540084388186
"CANDIDATE",12366084,"K00787.01",0.6125,0.0005042,-9.931e-05,-0.468762993762994
"CANDIDATE",12366084,"K00787.02",5.37,-0.0004112,-0.0001674,0.8048
"CANDIDATE",12366084,"K00787.03",0.4206,-0.0002107,-4.354e-05,-0.793466476462197
"CANDIDATE",12404086,"K00788.01",3.842,0.0003722,3.314e-05,-1.51784482758621
"CANDIDATE",12470844,"K00790.01",6.2,-0.0004791,0.0003712,-1.09417607223476
"CANDIDATE",12470844,"K00790.02",11.14,0.0007018,0.0002477,0.173292364990689
"CANDIDATE",12644822,"K00791.01",2.123,0.001172,0.001479,-0.481878612716763
"FALSE POSITIVE",2440757,"K00792.01",0.1594,-0.000206,0.0002586,0.45284793814433
"FALSE POSITIVE",2445129,"K00793.01",2.786,-0.006972,0.0046,12.2536796536797
"CANDIDATE",2713049,"K00794.01",1.714,3.391e-05,-0.0001886,0.896855855855856
"CANDIDATE",3114167,"K00795.01",3.245,0.0001981,0.0005724,0.423087719298246
"FALSE POSITIVE",3114661,"K00796.01",0.4407,-0.04777,0.2722,6.00388888888889
"CANDIDATE",3115833,"K00797.01",2.703,0.0008078,-0.0003063,-0.896350574712644
"FALSE POSITIVE",3120431,"K00798.01",-0.4022,0.003484,-0.0005767,-61.4941995359629
