"koi_disposition","kepid","kepoi_name","tce_maxmesd","tce_fwm_prao","tce_fwm_pdeco","tce_dikco_mra_sn"
"CANDIDATE",10019854,"K07272.01",6.014,0.000229,-1.729e-05,-1.44642201834862
"FALSE POSITIVE",10020423,"K07273.01",3.63,-0.004974,5.532e-05,-0.891516936671576
"FALSE POSITIVE",10026136,"K07274.01",5.893,-0.337,0,-1.00168389955687
"FALSE POSITIVE",10026457,"K07275.01",5.619,-0.07812,-0.07253,30.3382570162482
"FALSE POSITIVE",10031409,"K07276.01",-0.425,-0.002766,-0.009389,0.564396423248882
"FALSE POSITIVE",10031526,"K07277.01",4.196,-2.762e-05,0.001224,1.63533619456366
"FALSE POSITIVE",10031808,"K07278.01",4.209,0,0,-3.12876404494382
"CANDIDATE",10053138,"K07279.01",0.8173,0.0002498,-0.0001055,-3.41083650190114
"FALSE POSITIVE",10063044,"K07280.01",0.5,-0.0002137,0.01886,0.306179104477612
"FALSE POSITIVE",10091257,"K07284.01",0.5042,-0.0004826,0,-1.43368731563422
"FALSE POSITIVE",10093664,"K07285.01",0.7507,0,0,1.1770303030303
"FALSE POSITIVE",10095512,"K07286.01",-0.3875,-0.001571,3.054e-05,0.173751868460389
"FALSE POSITIVE",10129482,"K07288.01",0.4338,-0.00309,-0.0005381,0.0764341317365269
"FALSE POSITIVE",10155080,"K07289.01",0.6188,0,0,8.20193740685544
"FALSE POSITIVE",10156064,"K07290.01",0.5685,0,0,-2.56697736351531
"CANDIDATE",10163067,"K07291.01",9.999,2.795e-05,2.564e-05,3.6036170212766
"FALSE POSITIVE",10164018,"K07292.01",1.791,-0.02595,0.01323,89.3143631436314
"FALSE POSITIVE",10189523,"K07293.01",0.4733,0.0001316,-0.0001244,-2.67292263610315
"FALSE POSITIVE",10198109,"K07294.01",11.91,-0.004708,-0.0007576,0.824593796159527
"FALSE POSITIVE",10208759,"K07295.01",1.151,0.009285,0.01093,-0.441348148148148
"FALSE POSITIVE",10214328,"K07296.01",-25.62,-0.0003203,-0.0002116,-1.57979253112033
"FALSE POSITIVE",10215422,"K07297.01",16.97,-0.02383,0,-0.193090638930163
"FALSE POSITIVE",10258558,"K07299.01",10.71,0.0009108,0.01084,0.239711141678129
"FALSE POSITIVE",10264202,"K07300.01",0.1469,8.876e-05,-0.0004336,0.773913690476191
"CANDIDATE",10264293,"K07301.01",7.786,0.0002138,-0.0001378,-2.40100376411543
"FALSE POSITIVE",10268809,"K07302.01",16.32,-0.0006208,-0.000112,-1.08640416047548
"FALSE POSITIVE",10274244,"K07303.01",6.231,-0.001167,-0.001105,-14.7
"FALSE POSITIVE",10275887,"K07304.01",4.857,0,0,-0.431248206599713
"FALSE POSITIVE",10292465,"K07307.01",0.6781,-0.07967,-0.04711,-2.08591749644381
"FALSE POSITIVE",10294608,"K07308.01",-0.4115,0.008747,0,-1.88279411764706
"FALSE POSITIVE",10296163,"K07309.01",3.154,-0.01203,0.00876,0.627934621099554
"FALSE POSITIVE",10330495,"K07310.01",8.575,-0.0005597,-5.596e-05,-1.342
"FALSE POSITIVE",10332789,"K07311.01",10.41,0.000347,0.001193,-0.675193452380952
"FALSE POSITIVE",10340228,"K07312.01",0.3063,-6.594e-05,0.0001285,-1.22551401869159
"FALSE POSITIVE",10341787,"K07313.01",0.4093,-0.0003584,8.44e-05,-0.115873873873874
"FALSE POSITIVE",10342097,"K07314.01",0.5625,3.194e-05,0.000113,0.895553846153846
"FALSE POSITIVE",10345862,"K07315.01",16.46,0.002286,0.04776,-0.530616740088106
"FALSE POSITIVE",10346522,"K07316.01",1.962,0.001775,0.007257,0.613889716840536
"FALSE POSITIVE",10352603,"K07317.01",23.81,0.03984,0.09091,0.488943452380952
"FALSE POSITIVE",10363300,"K07318.01",0.4662,0,0,5.12410714285714
"CANDIDATE",10396708,"K07320.01",2.766,-1.848e-05,0.0001629,0.0329385593220339
"FALSE POSITIVE",10407047,"K07321.01",0.4375,0.0001046,-3.914e-05,0.313228511530398
"FALSE POSITIVE",10407430,"K07322.01",0.6823,5.169e-05,4.444e-05,2.0425
"FALSE POSITIVE",10407464,"K07323.01",0.3882,5.126e-05,5.411e-06,0.0183572228443449
"FALSE POSITIVE",10417704,"K07324.01",0.5469,0,0,1.38982412060302
"FALSE POSITIVE",10420279,"K07325.01",13.06,0,0,1.47698986975398
"FALSE POSITIVE",10422852,"K07326.01",0.8072,-0.0007755,-0.003084,-0.700441826215022
"CANDIDATE",10450504,"K07327.01",6.003,0.00116,-0.00192,-0.672147826086957
"FALSE POSITIVE",10454401,"K07328.01",6.405,-0.002779,-0.002368,-0.6508
"FALSE POSITIVE",10462826,"K07329.01",31.14,-0.02181,0.003976,-0.926160714285714
"CANDIDATE",10468514,"K07331.01",0.4375,-0.0005972,-0.0008223,0.442045779685265
"CANDIDATE",10471113,"K07332.01",0.579,-0.0001481,0.0001757,-1.4492443324937
"FALSE POSITIVE",10481054,"K07333.01",1.069,-5.039e-06,-7.52e-05,-2.96132286995516
