"koi_disposition","kepid","kepoi_name","tce_incl","tce_slogg_prov","wst_depth","tce_albedo_stat","tce_fwm_prao","tce_ingress_sn"
"FALSE POSITIVE",9640921,"K07210.02",89.25,7,108.1,1.926,0.0006235,21.6341030195382
"FALSE POSITIVE",9641031,"K07211.01",89.26,7,125700,0,0,-0.3458
"FALSE POSITIVE",9641103,"K07212.01",62.48,7,5.396,0.4827,-2.751e-06,0.144823066841415
"FALSE POSITIVE",9644411,"K07213.01",63.23,13,266.3,0.3863,0.0021,0.0984477611940298
"FALSE POSITIVE",9644683,"K07214.01",70.23,7,-0.9838,0,0,0.000158426827764764
"CANDIDATE",9651602,"K07215.01",78.61,7,26.4,0.5681,3.152e-05,0.121440261865794
"FALSE POSITIVE",9652166,"K07216.01",86.44,7,11.28,0.2367,0,0.0395686999383857
"FALSE POSITIVE",9652632,"K07217.01",77.22,13,8.81,-1179,0.001282,18182.934315531
"FALSE POSITIVE",9655424,"K07218.01",38,7,54.56,1.229,9.371e-05,0.248584474885845
"CANDIDATE",9658089,"K07220.01",69.11,7,15.18,0.6084,4.582e-05,0.153535125367066
"FALSE POSITIVE",9665503,"K07221.01",89.85,7,119100,0,0,-1.177
"FALSE POSITIVE",9673173,"K07222.01",87.92,7,83780,2.788,0.01509,3723.52941176471
"CANDIDATE",9674320,"K07223.01",89.76,7,193.4,0.9335,-0.0008146,0.213512119649304
"FALSE POSITIVE",9711751,"K07225.01",78.69,7,3.365,-1716,-0.0004364,485.037963376507
"FALSE POSITIVE",9762514,"K07227.01",84.84,7,93.81,0.7326,-0.006325,0.163549337260677
"FALSE POSITIVE",9762519,"K07228.01",87.34,7,22800,5.025,0.00469,5159.60533952409
"FALSE POSITIVE",9777062,"K07229.01",89.86,7,23240,0,0.003534,-0.9221
"FALSE POSITIVE",9786821,"K07230.01",88.9,13,82.52,0.3958,-0.0003335,603.529411764706
"FALSE POSITIVE",9790965,"K07231.01",66.13,7,-16.9,0,-0.0003502,532.865027596588
"CANDIDATE",9811915,"K07232.01",76.92,7,39.76,0.4661,0.0004802,0.101110288675056
"FALSE POSITIVE",9818732,"K07233.01",89.93,7,301000,0,0,-2.018
"FALSE POSITIVE",9821078,"K07234.01",89.66,7,75570,0,0,-1.225
"CANDIDATE",9837013,"K07236.01",83.76,26,25.27,0.8795,-0.00038,0.202147820593809
"FALSE POSITIVE",9850387,"K07238.01",66.44,7,-118,0,0,2210.09098428453
"FALSE POSITIVE",9850912,"K07239.01",78.23,7,100.3,1.856,0.0008254,0.741252791662235
"FALSE POSITIVE",9873869,"K07241.01",89.67,7,25210,0,-0.005512,-0.824
"FALSE POSITIVE",9881258,"K07242.01",88.95,7,-18.11,0,-0.0003488,-0.6631
"FALSE POSITIVE",9899153,"K07243.01",80.21,7,19.58,0.5348,-0.0003158,0.182197614991482
"FALSE POSITIVE",9899193,"K07244.01",52.7,5,12.85,1.135,-3.531e-05,0.313626958321017
"FALSE POSITIVE",9899410,"K07245.01",48.07,29,41.98,0,-0.0001413,0.654030831437958
"FALSE POSITIVE",9899421,"K07246.01",61.85,29,32.72,0,0.0001277,0.549788542868128
"FALSE POSITIVE",9899577,"K07247.01",69.38,7,10.57,0.7498,0.0001398,0.239256480218281
