"koi_disposition","kepid","kepoi_name","tce_incl","tce_slogg_prov","wst_depth","tce_albedo_stat","tce_fwm_prao","tce_ingress_sn"
"CANDIDATE",7287995,"K00877.01",84.72,42,48.01,2.663,-0.0001621,3.75840707964602
"CANDIDATE",7287995,"K00877.02",85.8,42,54.78,2.473,0.0004435,6.48962061560487
"CANDIDATE",7287995,"K00877.03",88.43,42,117.8,1.01,-0.0005663,0.244699926168126
"CANDIDATE",7303253,"K00878.01",86.84,7,53.59,2.262,0.0001718,5.17841601392515
"CANDIDATE",7366258,"K00880.01",89.98,16,91.03,2.65,0.000625,1.59708737864078
"CANDIDATE",7366258,"K00880.02",87.7,16,85.07,2.464,0.0006572,7.75836972343523
"CANDIDATE",7366258,"K00880.03",83.69,16,33.74,2.016,0.0003176,1.24323308270677
"CANDIDATE",7366258,"K00880.04",80.67,16,30.86,0.8681,0.0002851,0.236836258609198
"CANDIDATE",7373451,"K00881.01",88.63,16,71.86,1.897,-0.0009027,0.89762443438914
"CANDIDATE",7373451,"K00881.02",89.76,16,281.9,2.823,-0.0006286,1.65573419078242
"FALSE POSITIVE",7377033,"K00882.01",89.05,7,75.04,-8.368,-0.0006007,17.6194398682043
"CANDIDATE",7380537,"K00883.01",87.96,7,43.58,-11.34,0.02957,65.7218309859155
"CANDIDATE",7434875,"K00884.01",87.67,7,28.72,1.176,0.0001323,3.78782568057016
"CANDIDATE",7434875,"K00884.02",86.1,7,60.6,0.1289,-0.0002187,4.51622971285893
"CANDIDATE",7434875,"K00884.03",79.31,7,33.43,1.935,-0.0001169,0.964590578564654
"CANDIDATE",7455287,"K00886.01",79.23,42,90.6,0.6322,-7.565e-05,18.2058047493404
"CANDIDATE",7455287,"K00886.02",82.66,42,82.04,2.513,0.0003189,1.65131823245451
"CANDIDATE",7455287,"K00886.03",88.07,42,116.7,1.743,-0.0005273,0.491115363586659
"CANDIDATE",7458762,"K00887.01",85.62,7,37.43,1.745,0.0003316,0.989075018208303
"FALSE POSITIVE",7552344,"K00888.01",84.55,7,165.9,2.695,-0.0004159,1.18208955223881
"CANDIDATE",757450,"K00889.01",89.94,37,120.2,2.666,-0.001294,7.90671641791045
"CANDIDATE",7585481,"K00890.01",89.51,7,31.94,0.5226,0.001066,7.30713596914175
"CANDIDATE",7663691,"K00891.01",83.67,7,43.74,1.81,0.0002026,3.72453703703704
"CANDIDATE",7678434,"K00892.01",87.9,26,33.21,1.232,-0.0002486,0.651681759379043
"CANDIDATE",7678434,"K00892.02",86.83,26,41.35,0.5526,-0.0002758,0.144905298489571
"CANDIDATE",7685981,"K00893.01",70.05,7,17.71,0.9171,-0.0002258,3.88367729831144
"FALSE POSITIVE",7708215,"K00894.01",78.05,7,533.3,2.46,0.02907,6.83526011560694
"FALSE POSITIVE",7767559,"K00895.01",89.98,7,161.7,1.136,-0.002306,24.6258503401361
"CANDIDATE",7825899,"K00896.01",87.87,16,69.55,2.325,0.0005409,4.05941422594142
"CANDIDATE",7825899,"K00896.02",86.7,16,46.4,1.916,0.0002512,0.857762359063313
"CANDIDATE",7825899,"K00896.03",88.24,16,81.66,0.7951,7.902e-05,0.194826364280652
"CANDIDATE",7849854,"K00897.01",84.25,26,31.24,-19.71,6.22e-05,42.4937825005652
"CANDIDATE",7870390,"K00898.01",88.05,42,82.68,2.009,0.0002039,0.906716417910448
"CANDIDATE",7870390,"K00898.02",84.5,42,72.59,2.389,-0.0004916,1.20172684458399
"CANDIDATE",7870390,"K00898.03",87.95,42,100,2.305,0.0003971,1.51907915484074
"CANDIDATE",7907423,"K00899.01",86.42,42,64.14,2.337,-0.0001857,0.812811387900356
"CANDIDATE",7907423,"K00899.02",81.82,42,27.63,1.639,-0.0001602,0.772711921648092
"CANDIDATE",7907423,"K00899.03",87.62,42,91.43,2.5,0.0004231,1.07463524130191
"CANDIDATE",7938496,"K00900.01",87.84,7,79.45,1.871,-9.354e-05,1.06527590847914
"CANDIDATE",8013419,"K00901.01",88.4,30,156.1,3.18,0.0005943,12.4821998526884
"CANDIDATE",8018547,"K00902.01",89.99,30,189.7,2.996,0.003973,4.25045703839123
"CANDIDATE",8039892,"K00903.01",86.44,7,33.36,0.1952,0.004969,13.0571870170015
"CANDIDATE",8150320,"K00904.01",78.73,16,54.67,0.8505,0.0002601,0.74240545567266
"CANDIDATE",8150320,"K00904.02",78.53,16,48.07,2.128,-0.0001524,2.11798042246265
"CANDIDATE",8150320,"K00904.03",87.53,16,209.8,3.452,-0.0003731,1.93495038588754
"CANDIDATE",8150320,"K00904.04",87.98,16,150.4,0.7021,8.642e-05,0.190483141147278
"CANDIDATE",8150320,"K00904.05",89.6,16,165.3,0.6295,0.0004197,0.184100916339403
"FALSE POSITIVE",8180063,"K00905.01",80.78,7,118.7,3.054,-0.001895,75.0455373406193
"CANDIDATE",8226994,"K00906.01",87.06,26,66.37,1.317,0.0004108,0.379990821477742
"CANDIDATE",8226994,"K00906.02",88.81,26,89.74,0.9063,0.0001303,0.235400696864111
"CANDIDATE",8226994,"K00906.03",80.81,26,41.33,0.7134,0.0003912,0.168314210061783
"CANDIDATE",8247638,"K00907.01",88.43,16,56.53,1.773,-7.608e-05,0.518039313262005
"CANDIDATE",8247638,"K00907.02",88,16,62.91,2.313,0.0004075,1.92481435643564
"CANDIDATE",8247638,"K00907.03",89.71,16,198,0.9984,0.000462,0.221869158878505
"CANDIDATE",8247638,"K00907.04",78.4,16,37.27,2.233,1.105e-05,0.828729281767956
"CANDIDATE",8255887,"K00908.01",87.8,7,24.95,-3.098,-0.0009517,10.9858630952381
"FALSE POSITIVE",8256049,"K00909.01",89.03,7,123.2,1.93,0.07971,0.678157413056742
"CANDIDATE",8414716,"K00910.01",84.73,7,51.6,2.371,-6.96e-05,1.18371696504689
"CANDIDATE",8490993,"K00911.01",80.77,7,46.13,1.829,0.000246,1.22310344827586
"CANDIDATE",8490993,"K00911.02",88.39,7,121.5,1.631,-0.0007631,0.952547856565112
"CANDIDATE",8505670,"K00912.01",88.47,30,45.27,1.794,0.0001453,0.975797579757976
"CANDIDATE",8505670,"K00912.02",87.29,30,54.71,0.8609,-0.0001908,0.216250528988574
"CANDIDATE",8544996,"K00913.01",87.57,7,25.89,-5.176,0.00274,63.7509157509157
"CANDIDATE",8552202,"K00914.01",78.48,7,15.6,0.9483,-0.0001193,1.50356740518213
"FALSE POSITIVE",8605074,"K00915.01",89.4,7,2828,2.684,-0.002843,215.597961360673
"CANDIDATE",8628973,"K00916.01",82.8,7,31.31,0.9644,0.0002391,3.99007023492371
"FALSE POSITIVE",8655354,"K00917.01",81.11,7,265.3,1.384,-0.0001468,22.3212936376001
"CANDIDATE",8672910,"K00918.01",89.69,26,93.93,2.489,-0.0005577,28.063880126183
"FALSE POSITIVE",8686150,"K00919.01",89.61,7,1424,2.492,-0.0007077,253.555219364599
"CANDIDATE",8689031,"K00920.01",88.52,7,80.85,2.388,-0.0002862,0.952715070164735
"CANDIDATE",8689373,"K00921.01",88.08,7,79.34,2.308,0.0005116,1.11766522544781
"CANDIDATE",8689373,"K00921.02",85.23,7,43.8,1.895,0.0003265,2.9970703125
"CANDIDATE",8689373,"K00921.03",81.92,7,32.57,1.412,-8.863e-05,0.576326002587322
"CANDIDATE",8826878,"K00922.01",78.85,7,51.28,2.338,5.356e-05,4.9205298013245
"CANDIDATE",8883593,"K00923.01",85.56,7,54.31,1.727,-0.0006897,0.989509022240873
"CANDIDATE",8951215,"K00924.01",88.62,7,155.6,2.115,0.0004108,2.58636007316436
"FALSE POSITIVE",9016295,"K00925.01",88.35,7,1920,2.416,-0.0003484,752.306600425834
"CANDIDATE",9077124,"K00926.01",75.94,7,24.21,0.7508,-0.0001639,3.63187195546277
"FALSE POSITIVE",9097120,"K00927.01",88.38,7,94,1.196,0.02281,269.274376417234
"CANDIDATE",9140402,"K00928.01",71.87,3,12.7,0.4078,0.0002751,23.2632933104631
"CANDIDATE",9141746,"K00929.01",86.47,7,37.22,0.1224,0.0004062,18.7072104879825
"CANDIDATE",9141746,"K00929.02",74.31,7,28.88,0.623,-4.79e-05,0.126634615384615
"FALSE POSITIVE",9159275,"K00930.01",48.69,7,24.96,0.4263,-0.02463,20.8628005657709
"CANDIDATE",9166862,"K00931.01",87.9,7,24.1,-7.355,0.01353,39.5299361766792
"FALSE POSITIVE",9166870,"K00932.01",80.1,7,35.62,1.536,0.01807,3.29772191673213
"FALSE POSITIVE",9171801,"K00933.01",71.78,7,194.7,0.295,0,5.72719802793755
"CANDIDATE",9334289,"K00934.01",85.86,26,58.51,1.789,-0.0004233,1.17809479981592
"CANDIDATE",9334289,"K00934.02",87.74,26,116.5,1.772,0.0003608,0.529860799281545
"CANDIDATE",9334289,"K00934.03",85.29,26,125.9,2.688,-8.72e-05,1.27211328976035
"CANDIDATE",9347899,"K00935.01",86.77,16,43.48,1.656,-0.0004423,9.23048327137546
"CANDIDATE",9347899,"K00935.02",88.5,16,85.22,2.298,-0.0002865,4.07029598308668
"CANDIDATE",9347899,"K00935.03",89.19,16,110.9,2.232,0.0007416,1.19647153167602
"CANDIDATE",9347899,"K00935.04",83.82,16,40.31,0.8327,-0.0001608,0.156876606683805
"CANDIDATE",9388479,"K00936.01",88.52,42,90.1,3.027,-0.000121,1.25396825396825
"CANDIDATE",9388479,"K00936.02",74.18,42,25.39,1.049,-2.553e-05,0.852501624431449
"CANDIDATE",9406990,"K00937.01",88.32,7,51.63,1.643,7.925e-05,0.668970129291128
"CANDIDATE",9415172,"K00938.01",86.43,26,48.5,1.848,-5.657e-05,1.00751427712654
"CANDIDATE",9415172,"K00938.02",82.8,26,63.8,0.756,-0.0001602,0.239212717638153
"CANDIDATE",9415172,"K00938.03",85.79,26,38.57,0.447,-0.0002066,0.1091796875
"CANDIDATE",9466668,"K00939.01",78.51,16,33.47,1.45,-5.798e-06,0.558641975308642
"CANDIDATE",9466668,"K00939.02",82.89,16,46.63,1.301,1.565e-05,0.343408648810414
"CANDIDATE",9466668,"K00939.03",63.29,16,20.88,0.8431,5.992e-05,0.682078472958643
"CANDIDATE",9466668,"K00939.04",86.09,16,-1.685,0,-0.0001018,0.245905126568815
"CANDIDATE",9479273,"K00940.01",86.09,42,15.08,1.208,-0.0003119,3.32120936576495
"CANDIDATE",9480189,"K00941.01",86.08,7,42.79,1.076,-8.124e-05,2.42180774748924
"CANDIDATE",9480189,"K00941.02",88.98,7,174,1.799,0.0002727,1.71146245059289
"CANDIDATE",9480189,"K00941.03",82.96,7,43.95,0.8408,5.221e-05,0.397277619499842
"CANDIDATE",9512687,"K00942.01",87.24,7,73.17,2.232,0.0003069,2.91864608076009
"CANDIDATE",9513865,"K00943.01",77.96,26,39.99,1.933,8.551e-05,3.69510086455331
"CANDIDATE",9595686,"K00944.01",80.12,7,23.86,0.08598,-0.0005528,8.552785678434
"CANDIDATE",9605514,"K00945.01",88.96,7,85.44,1.457,-5.018e-05,0.402899343544858
"CANDIDATE",9605514,"K00945.02",87.75,7,94.41,1.767,-3.03e-05,0.561697628756985
"FALSE POSITIVE",9605514,"K00945.03",88.28,7,119.8,1.797,0.0001597,1.23175965665236
"FALSE POSITIVE",9661877,"K00946.01",86.48,7,55.68,0.665,0.03085,20.1
"CANDIDATE",9710326,"K00947.01",89.08,42,77.25,2.08,-2.878e-05,1.01290084777
"CANDIDATE",9761882,"K00948.01",88.3,7,79.42,2.17,-0.000324,0.853631284916201
"CANDIDATE",9766437,"K00949.01",86.91,7,57.5,1.893,5.41e-05,1.67311151079137
"CANDIDATE",9772531,"K00950.01",89.81,54,204.6,3.292,0.00055,27.4386724386724
"CANDIDATE",9775938,"K00951.01",88.3,7,55.86,0.7563,0.0001554,1.50639955481358
"CANDIDATE",9775938,"K00951.02",88.28,7,92.64,0.8164,4.72e-05,2.66890222379103
"CANDIDATE",9787239,"K00952.01",85.94,42,89.28,2.494,-0.001494,1.38298894762134
"CANDIDATE",9787239,"K00952.02",89.41,42,105.4,1.421,-0.001725,0.394971428571429
"CANDIDATE",9787239,"K00952.03",84.02,42,97.18,2.577,-0.0004281,2.34505255527365
"CANDIDATE",9787239,"K00952.04",81.01,42,63.53,1.211,6.939e-05,0.315698857411175
"CANDIDATE",9787239,"K00952.05",66.34,42,33.07,0.473,-0.0001329,0.147096590098445
"CANDIDATE",9820483,"K00953.01",86.11,7,31.66,0.5848,-0.0001725,1.59030100334448
"CANDIDATE",9823457,"K00954.01",84.29,7,33.34,1.592,1.155e-05,3.12880966072455
"CANDIDATE",9823457,"K00954.02",88.63,7,90.86,1.968,-0.001171,1.21228448275862
"CANDIDATE",9825625,"K00955.01",81.86,7,14.99,1.111,-0.0001462,2.06034849128772
"CANDIDATE",9875711,"K00956.01",87.43,7,48.59,0.734,-0.0005045,1.80740233036326
"FALSE POSITIVE",7661409,"K00957.01",51.53,7,36.59,0.931,0.0006432,30.802775024777
"CANDIDATE",1026957,"K00958.01",89.4,32,39.97,2.335,-8.421e-05,1.03574087862993
"CANDIDATE",10002261,"K00959.01",89.33,13,8.363,0.8202,0.00426,279.318313113807
"FALSE POSITIVE",8176650,"K00960.01",88.51,7,708.3,4.269,-0.001036,179.529737206086
"CANDIDATE",8561063,"K00961.01",82.98,55,20.01,1.277,0.000313,1.46214401481824
"CANDIDATE",8561063,"K00961.02",89.27,55,18.3,0.7084,0.0002416,0.550561797752809
"CANDIDATE",8561063,"K00961.03",88.24,55,93.82,0.8992,-0.000126,0.173565937315198
"FALSE POSITIVE",10657664,"K00964.01",89.39,7,6754,2.26,0.0004089,118.856767411301
"FALSE POSITIVE",3337351,"K00965.01",86.88,13,236,-2.489,0.02418,270.776504819058
"FALSE POSITIVE",3233043,"K00966.01",76.76,7,121.5,-2.142,0.0005219,2.42490350729988
"FALSE POSITIVE",6579806,"K00967.01",87.14,7,1973,2.389,-5.024e-05,271.728467726113
"FALSE POSITIVE",3560301,"K00968.01",49.45,5,37.63,1.436,-3.348e-06,2.09820018945374
"FALSE POSITIVE",4044005,"K00969.01",88.41,13,30.94,0.781,7.67e-05,188.511161171411
"FALSE POSITIVE",11502218,"K00970.01",75.73,4,76.9,0,-0.002889,79.8132183908046
"CANDIDATE",11180361,"K00971.01",66.19,7,20.42,0,0.0001224,0.846179075106592
"CANDIDATE",11013201,"K00972.01",85.92,56,8.821,0.1423,0.000238,7.49372289431636
"FALSE POSITIVE",11013201,"K00972.02",80.12,56,3.829,0.9295,-2.639e-05,0.892603850050659
"CANDIDATE",9414417,"K00974.01",88.7,1,12.32,2.172,-0.0001668,1.28527763627101
"CANDIDATE",3632418,"K00975.01",72.8,1,0.98,-1.492,0.0001541,1.20387531592249
"FALSE POSITIVE",3441784,"K00976.01",88.78,13,153.3,1.592,-0.002828,374.314186541261
"CANDIDATE",11192141,"K00977.01",55.92,4,22.25,0,0.0001046,3.03529411764706
"FALSE POSITIVE",11494130,"K00978.01",62.56,4,37.64,1.159,0.0001087,0.208305312710155
"FALSE POSITIVE",5648449,"K00979.01",73.33,13,203.7,0,-4.659e-05,7.92074363992172
"FALSE POSITIVE",12167361,"K00980.01",88.96,7,-2.163,0,-0.0006538,8.50383631713555
"FALSE POSITIVE",1433962,"K00982.01",37.42,7,23.15,0.9924,-0.05866,4.31845309142994
"FALSE POSITIVE",11607193,"K00983.02",80.78,7,25.49,0.7789,-0.003035,0.779749478079332
"CANDIDATE",1161345,"K00984.01",83.82,23,3.496,-1.544,0.0002789,32.5098619329389
"FALSE POSITIVE",10227501,"K00985.01",74.32,7,22.67,0.9836,0.002559,0.359831029185868
"CANDIDATE",2854698,"K00986.01",86.24,16,37.02,2.027,-0.0001164,0.69076974341886
"CANDIDATE",2854698,"K00986.02",89.06,16,88.98,1.591,-0.0007473,0.524606179020637
"CANDIDATE",7295235,"K00987.01",84.94,23,8.449,1.482,2.831e-06,0.648259493670886
"CANDIDATE",2302548,"K00988.01",87.4,16,19.55,1.5,0.0002777,1.19096288327058
"CANDIDATE",2302548,"K00988.02",89.1,16,63.21,1.609,-3.884e-05,0.443800695249131
"CANDIDATE",10154388,"K00991.01",87.7,32,31.23,1.469,-5.784e-05,0.348923210789645
"CANDIDATE",1432789,"K00992.01",82.77,26,48.31,2.053,-0.0003182,0.758129752467238
"CANDIDATE",1432789,"K00992.02",78.55,26,19.97,0.6346,0.0002399,0.147235829251225
"CANDIDATE",1718189,"K00993.01",87.72,7,44.88,1.68,-1.787e-05,0.553873409566758
"CANDIDATE",1718189,"K00993.02",80.24,7,43.5,0.2529,-0.0001651,11.1335403726708
"FALSE POSITIVE",1718189,"K00993.03",89.4,7,95.78,0.6148,0.0002271,0.123323943661972
"CANDIDATE",1431122,"K00994.01",84.75,26,33.7,0.7325,-0.0002014,0.185554935861684
"FALSE POSITIVE",3858949,"K00995.01",77.93,7,709.7,0.6928,0.004695,0.617933390264731
"FALSE POSITIVE",3858824,"K00996.01",79.64,7,1401,0.8385,2.594e-05,49.2374581939799
"FALSE POSITIVE",1432214,"K00998.01",89.95,18,998.2,3.87,-0.0008259,85.0388143966126
"CANDIDATE",2165002,"K00999.01",88.03,18,83.82,1.73,-4.405e-05,0.608049167327518
"CANDIDATE",2165002,"K00999.02",89.12,18,310.4,2.629,0.001191,0.78233247617607
"FALSE POSITIVE",2441728,"K01000.01",66.04,7,9.898,0.7323,0.0004827,0.355930416447022
"CANDIDATE",1871056,"K01001.01",87.73,23,31.44,1.926,-2.223e-05,1.05889662027833
"CANDIDATE",1871056,"K01001.02",88.24,23,48.4,1.692,2.976e-05,2.31624459542928
"CANDIDATE",1865042,"K01002.01",82.09,23,9.926,0.7969,-4.564e-06,0.248111088421483
"FALSE POSITIVE",2438502,"K01003.01",88.88,18,1347,1.67,0.003438,54.1533546325878
"FALSE POSITIVE",2309585,"K01004.01",56.03,7,98.13,0.7281,-0.003341,15.9707619905878
"CANDIDATE",5780460,"K01005.01",89.52,7,243.6,4.168,0.002963,3.54606141522029
"FALSE POSITIVE",5738346,"K01006.01",88.14,54,830.7,0.4238,0.0143,18.616853814671
"CANDIDATE",1725016,"K01007.01",83.08,7,49.42,1.486,5.81e-05,0.57968992248062
"FALSE POSITIVE",1722276,"K01008.01",89.93,18,413.5,0.6635,0.003193,24.9940546967895
"FALSE POSITIVE",892772,"K01009.01",79.96,7,37.24,1.156,0.001634,0.299115044247788
"FALSE POSITIVE",5728283,"K01011.01",87.18,7,2272,2.306,0.00551,312.038244241634
"FALSE POSITIVE",8127639,"K01012.01",68.02,7,16.26,-0.9259,-0.0008791,0.797003210845523
"FALSE POSITIVE",6047498,"K01013.01",81.5,7,6.774,-1.002,-0.0002016,0.339160045402951
"CANDIDATE",8125580,"K01014.01",88.82,7,100.1,1.591,0.0003361,0.400157697614824
"CANDIDATE",8158127,"K01015.01",86.18,26,36.12,1.409,6.305e-05,0.538206766027916
"CANDIDATE",8158127,"K01015.02",77.4,26,15.96,0.7381,-1.131e-05,0.25536598789213
"CANDIDATE",8158127,"K01015.03",86,26,64.02,1.752,0.0001437,0.78197628458498
"FALSE POSITIVE",8176653,"K01016.01",85.16,7,28.42,1.375,0.00103,0.711292795094532
"CANDIDATE",8174625,"K01017.01",86.98,7,69.45,2.253,-0.0001174,1.9097459233978
"FALSE POSITIVE",8183911,"K01018.01",80.1,7,43.58,0.5147,0.002142,9.17004048582996
"FALSE POSITIVE",2309719,"K01020.01",88.54,32,51.08,1.807,0.000404,597.63868065967
"FALSE POSITIVE",2558363,"K01021.01",61.03,7,11.38,-0.1454,-0.00118,0.144980443285528
"CANDIDATE",2716853,"K01022.01",88.41,7,100.8,1.148,0.0003277,0.286861663869576
"FALSE POSITIVE",2716853,"K01022.02",89.75,7,235.5,0.1736,0.0002161,0.0359868813357185
"FALSE POSITIVE",2445154,"K01023.01",77.95,7,55.73,2.188,0.04957,3.52343308865048
"CANDIDATE",2715135,"K01024.01",86.9,42,37.63,1.493,-0.0001063,0.532967032967033
"FALSE POSITIVE",2574201,"K01025.01",86.88,54,295.1,0.2238,0.01101,10.9855862874951
"FALSE POSITIVE",2166206,"K01028.01",78.24,18,19.97,1.121,0.006211,16.99203187251
"CANDIDATE",2164169,"K01029.01",86.98,18,80.28,2.333,-0.0004387,2.7906976744186
"CANDIDATE",2574338,"K01030.01",86.39,18,48.25,1.385,-0.0001454,0.406795366795367
"CANDIDATE",2584163,"K01031.01",85.41,7,29.2,1.058,0.0003419,0.302248201438849
"FALSE POSITIVE",5899544,"K01034.01",75.65,7,124.6,2.219,-0.01621,5.9724024059441
"FALSE POSITIVE",5963222,"K01035.01",63.25,18,23.92,-86.37,-0.009748,186.357879500633
"FALSE POSITIVE",5982353,"K01036.01",86.92,5,344.2,1.775,0.004368,477.540881805009
"FALSE POSITIVE",6205468,"K01037.01",58.86,7,34.32,1.787,0,15.1297577854671
"FALSE POSITIVE",5802486,"K01039.01",70.79,7,17.17,-1.835,-0.003314,1.37593123209169
"FALSE POSITIVE",5817553,"K01040.01",50.67,7,44.69,0.896,0,83.963691376702
"FALSE POSITIVE",5982368,"K01041.01",86.34,7,76.57,2.272,0.01193,33.7585339561624
"FALSE POSITIVE",5816811,"K01042.01",69.99,7,334.4,1.24,0.01608,42.520451889365
"FALSE POSITIVE",5816165,"K01043.01",71.14,7,31.04,-0.1898,-0.0005565,0.425800711743772
"FALSE POSITIVE",5802246,"K01044.01",59.53,7,12.43,0.04515,0.001949,0.147570390554042
"FALSE POSITIVE",6066403,"K01045.01",63.23,7,6.491,-0.1354,0.008465,0.715120525931337
"FALSE POSITIVE",5988031,"K01047.01",49.91,7,3.572,0.3315,-0.001816,0.913162558401804
"FALSE POSITIVE",5820218,"K01048.01",69.74,54,62.08,0.5204,0.003053,18.2918064206996
"FALSE POSITIVE",5876368,"K01049.01",66.42,7,12.24,-1.969,0.001525,0.464315852923448
"CANDIDATE",5809890,"K01050.01",73.6,16,11.36,0.1852,-4.048e-05,0.771305285868393
"CANDIDATE",5809890,"K01050.02",82.2,16,24.47,1.506,3.955e-05,0.441471571906354
"CANDIDATE",6131236,"K01051.01",77.25,7,36.67,1.746,-0.0001095,20.6149247357745
"CANDIDATE",5956342,"K01052.01",87.34,16,53.67,1.675,-0.0006605,0.553976250449802
"CANDIDATE",5956342,"K01052.02",83,16,34.06,1.249,-0.0001441,0.330585737479705
"CANDIDATE",5956342,"K01052.03",89.4,16,117.8,0.8594,0.0006365,0.177099236641221
"CANDIDATE",5956342,"K01052.04",89.25,16,97.73,0.5167,-0.0001524,0.100531349628055
"CANDIDATE",5956656,"K01053.01",69.09,26,15.93,0.2161,0.0001595,0.2640513013957
"CANDIDATE",5956656,"K01053.02",89.19,26,78.33,0.5186,0.001153,0.117973669147109
"FALSE POSITIVE",5866099,"K01055.01",87.28,7,176.8,0.7876,-0.04676,56.8155249006313
"FALSE POSITIVE",6066416,"K01057.01",60.56,5,3.979,0.6358,0.002087,0.642097026604069
"CANDIDATE",6124941,"K01058.01",89.13,13,26.24,1.681,-0.001488,0.619077968982367
"CANDIDATE",6060203,"K01059.01",70.56,26,7.007,-0.2595,-8.453e-05,0.266430114162296
"CANDIDATE",5880320,"K01060.01",82.51,16,45.32,2.146,6.221e-05,1.35852760736196
"CANDIDATE",5880320,"K01060.02",77.39,16,21.75,1.332,-1.157e-05,0.370107907875664
"CANDIDATE",5880320,"K01060.03",86.96,16,52.65,1.235,-0.0001008,0.272798390701833
"CANDIDATE",5880320,"K01060.04",76.49,16,35.4,1.852,7.758e-05,0.745594053470807
"CANDIDATE",6037187,"K01061.01",88.12,7,24.55,1.245,6.396e-05,1.05286861170942
"FALSE POSITIVE",6147122,"K01062.01",80.66,7,53.53,0.3041,0.004693,16.3285457809695
"FALSE POSITIVE",8257407,"K01063.01",89.98,7,130,0,0.001257,-1.042
"CANDIDATE",8218274,"K01064.01",76.04,13,12.67,-187.6,-6.644e-05,132.637571157495
"FALSE POSITIVE",8242681,"K01065.01",81.69,7,868.1,1.88,-0.0003209,161.431411530815
"CANDIDATE",8260218,"K01066.01",88.62,7,65.46,0.6537,0.009535,12.888198757764
"FALSE POSITIVE",8246781,"K01067.01",89.8,26,165.1,2.637,0.00194,446.74173896991
"FALSE POSITIVE",8264070,"K01068.01",78.62,7,36.54,-1.533,-0.01064,2.25796930342385
"CANDIDATE",8222813,"K01069.01",87.54,26,46.39,1.808,-0.0001936,0.667271407837446
"CANDIDATE",8222813,"K01069.02",79.98,26,28.89,1.004,0.0001194,0.310207184945828
"CANDIDATE",8240904,"K01070.01",83.59,26,69.9,1.707,-0.0002655,0.606229571236301
"CANDIDATE",8240904,"K01070.02",89.46,26,229.3,1.94,0.0005353,0.814640410958904
"FALSE POSITIVE",8244190,"K01071.01",72.44,7,13.33,0.6557,0,0.222416436675866
"CANDIDATE",8229696,"K01072.01",86.19,18,32.77,1.812,-0.0002907,0.580440208758793
"FALSE POSITIVE",8262210,"K01073.01",67.49,13,33.39,0.7741,7.732e-05,0.19098976109215
"CANDIDATE",10272640,"K01074.01",89.96,7,160.8,0.8148,-0.001219,20.6588235294118
"CANDIDATE",10232123,"K01075.01",73.75,13,119.8,-7.963,-0.002441,84.471013485333
"FALSE POSITIVE",10223616,"K01076.01",89.31,7,2735,4.356,1.577e-05,36.7930805056554
"FALSE POSITIVE",10268907,"K01077.01",63.36,7,24.92,0.2109,0.0004573,0.261820940819423
"CANDIDATE",10166274,"K01078.01",83.02,42,54.58,1.738,-3.941e-05,1.68517520215633
"CANDIDATE",10166274,"K01078.02",88.08,42,110.2,1.896,-0.001272,0.528581510232886
"CANDIDATE",10166274,"K01078.03",89.15,42,127.5,1.704,-9.475e-05,0.57776810963672
"FALSE POSITIVE",10158990,"K01080.01",65.63,7,15.27,0.5898,0.0003365,0.222317596566524
"FALSE POSITIVE",10149023,"K01081.01",76.19,7,40.4,0.344,8.671e-05,30.4985337243402
"CANDIDATE",10141900,"K01082.01",85.26,26,46.85,0.8258,-0.0001915,0.220760557152333
"CANDIDATE",10141900,"K01082.02",73.5,26,23.8,0.3823,-9.424e-06,0.148622175786862
"CANDIDATE",10141900,"K01082.03",81.76,26,66.18,0.7463,0.0004748,0.177796901893287
"CANDIDATE",10141900,"K01082.04",86.15,26,115.3,0.613,0.0004796,0.139605110336818
"CANDIDATE",10157458,"K01083.01",83.85,7,43.89,1.299,-0.0002148,0.331403940886699
"CANDIDATE",10157458,"K01083.02",80.74,7,30.24,0.4999,1.894e-05,0.0984690753214942
"FALSE POSITIVE",10148521,"K01084.01",73.49,7,23.77,1.112,-0.02397,0.370156482861401
"CANDIDATE",10118816,"K01085.01",86.15,42,48.92,1.128,-0.0001176,0.258818866428855
"CANDIDATE",10122255,"K01086.01",87.45,7,35.99,1.81,0.0001685,1.12521825891744
"FALSE POSITIVE",3124412,"K01087.01",59.31,7,41.98,0.1807,-0.03328,1.63838748495788
"FALSE POSITIVE",3113266,"K01088.01",79.73,7,496.6,4.337,-0.002322,3.77035961941622
"CANDIDATE",3247268,"K01089.01",89.68,57,157.7,3.151,-0.002198,12.5528658875904
"CANDIDATE",3247268,"K01089.02",87.87,57,26.38,1.048,-0.001078,2.18224299065421
"FALSE POSITIVE",3232859,"K01090.01",87.01,18,1053,2.326,-0.02757,80.8715596330275
"FALSE POSITIVE",3098184,"K01091.01",86.03,7,4589,2.759,0,316.146726088447
"FALSE POSITIVE",3239636,"K01093.01",59.12,18,36.52,0.6103,-0.0003093,0.197536945812808
"CANDIDATE",2721030,"K01094.01",84.11,7,32.95,1.196,-0.0004767,0.535018648984666
"CANDIDATE",3329204,"K01095.01",89.58,7,215.3,2.134,0.005844,4.67377777777778
"FALSE POSITIVE",3240706,"K01098.01",74.27,7,452,1.036,-0.004737,18.1581485053038
"CANDIDATE",2853093,"K01099.01",89.97,26,272.1,2.131,0.002144,0.758042436687201
