"koi_disposition","kepid","kepoi_name","tce_plnt_num","tce_impact","tce_ingress","tce_model_chisq","tce_insol","tce_sradius","tcet_model_chisq","tce_mesmedian","tce_minmesd","tce_bin_oedp_stat","tce_albedo","boot_mesmean","tce_rb_tcount3","tce_fwm_stat","tce_fwm_sra","tce_fwm_srao","tce_fwm_prao","tce_impact_sn","tce_duration_sn","tce_depth_sn","tce_eqt_sn","tce_insol_sn","tce_slogg_sn","tce_smet_sn","tce_albedo_sn","tce_fwm_srao_sn","tce_fwm_sdeco_sn","tce_fwm_pdeco_sn","tce_dicco_msky_sn"
"FALSE POSITIVE",4737267,"K06117.01",1,0.1,1.956,-1,2226.75,3.371,197600000,0.03692,2.582,0,0,-1,0,768.33,19.26102,0.01804,0.003416,-0.1,-7.5,0,-1750,-2226.75,26.3846153846154,-3.06666666666667,0,33.469387755102,-225.673249551167,0.0458318584070796,0.0733073463268366
"FALSE POSITIVE",4740676,"K06119.01",1,0.5147,1.353,16860,3866.61,2.433,4137000,1.179,1.873,0.954,1.314,-0.077027,0,1213.5,19.330956,-0.05129,-0.001312,2273.40989399293,10129.6456352636,9370.39803649557,7.73076923076923,1.93249335279183,13.1724137931034,-0.466666666666667,1.98519413808732,-76.4381520119225,-234.134615384615,-0.0862359550561798,0.120737631184408
"CANDIDATE",4742420,"K06120.01",1,0.804,0.4683,1427,8.07,1.008,66970,-0.01955,6.607,0.1671,1604,-0.25913,0,38.149,19.363348,-0.1364,0.0001041,1.04172065301892,6.13077384523095,8.9184,9.68468468468468,2.41616766467066,21.1428571428571,-0.466666666666667,1.12403644008409,-0.0967375886524823,3.17828947368421,-3.3943661971831,1.25195918367347
"FALSE POSITIVE",4826439,"K06121.01",1,0.1,0.9221,-1,4671.04,1.449,2943000,-1.685,0.4266,0,0,-1,0,5535.8,19.268654,0.005903,0.003616,-0.1,-3.5,-141100,-2110,-4671.04,24.4705882352941,0.133333333333333,0,23.4246031746032,180.196850393701,-0.0176732026143791,0.0872818590704648
"FALSE POSITIVE",4933476,"K06122.01",1,0.4218,0.1802,165.6,1.03,0.926,85480,0.01236,82.36,5.014,35940,-5.2038,0,0.13054,19.629555,-0.1421,0.0001494,0.0343765281173594,2.41422018348624,5.14367816091954,10.4897959183673,2.64102564102564,21.95,-1.46666666666667,0.352352941176471,-0.196814404432133,0.102295719844358,-0.0029156862745098,1.35477064220183
"FALSE POSITIVE",4990977,"K06123.01",1,0.9006,1.232,8675,851.81,0.988,1199000,-0.1529,1.393,0.3369,9.553,-1,0,4050,18.956331,-0.1442,-0.002146,180.661985957874,1659.25925925926,2322.10242587601,10.3759398496241,2.58672942605527,21.7,-1.93333333333333,2.69174415328261,-64.9549549549549,-28.8189300411523,-1.09327548806941,1.05260089686099
"FALSE POSITIVE",5034333,"K06124.01",1,1,4.747,21650,2907.35,2.168,161300,-0.4368,4.289,0.00313,0.5008,-1,0,316.62,19.826691,-0.1126,7.379e-05,132.802124833997,20.7383136740935,6.66452442159383,11.7610062893082,2.93499767812797,27.2,0.116666666666667,3.30561056105611,-18.9243697478992,43.8069216757741,-0.0124905660377358,0.52096011816839
"FALSE POSITIVE",5039441,"K06125.01",1,0.1,0.5907,-1,2098.5,1.257,3068000,-5.057,0.9795,0,0,-1,0,0,0,0,0,-0.1,-2.5,0,-1730,-2098.5,15.5185185185185,-2,0,0,0,0,0.264497751124438
"FALSE POSITIVE",5121173,"K06126.01",1,1,22.64,18700,482.78,2.641,70530,-0.2043,2.581,0.0001168,6.3,-0.090994,0,20.593,19.811238,0.4086,-6.118e-05,46.2962962962963,51.5068804731036,11.256094063665,6.77966101694915,1.68821904395566,10.9117647058824,-1.42857142857143,1.01547388781431,2.81793103448276,-1.95,1.68371467025572,0.236960563380282
"FALSE POSITIVE",5385548,"K06128.01",1,0.9633,3.786,16460,263.13,1.423,70320,0.03431,4.191,0.7231,138.7,-0.14267,0,343.25,19.840976,3.047,-0.0004446,197.478474784748,45.014245014245,26.0403863037752,9.03508771929824,2.25843275255343,16.64,-1.2,2.33226837060703,7.69444444444444,-8.9294403892944,8.50983606557377,4.80040650406504
