"koi_disposition","kepid","kepoi_name","tce_period","tce_num_transits","tce_model_snr","tce_rb_tcount2","tce_fwm_sdec","tce_fwm_prao","tce_prad_sn"
"FALSE POSITIVE",9908486,"K05731.01",36.6092,11,14.73,0,46.721353,0.001618,1.00484343320568
"CANDIDATE",9910043,"K05732.01",39.3998,28,8.462,0,46.753083,-0.0007213,2.30434782608696
"FALSE POSITIVE",9911112,"K05733.01",1.16684,160,439.4,6,46.751875,-0.002174,3.38926891834117
"FALSE POSITIVE",9934274,"K05735.01",4.99468,269,12.16,0,46.815735,-0.0001623,2.58722592945663
"CANDIDATE",9935983,"K05736.01",161.651,8,8.346,0,46.822963,0.0007184,0.480789200415369
"FALSE POSITIVE",9941387,"K05738.01",27.6596,0,-1,0,46.884414,0.01892,-41.9
"FALSE POSITIVE",9941550,"K05739.01",476.726,3,7.24,0,46.816456,0.0002817,3.58993559982028
"FALSE POSITIVE",9954225,"K05742.01",1.34049,0,-1,0,46.899881,0,-41.48
"FALSE POSITIVE",9957659,"K05743.01",30.6953,10,205.2,0,46.863892,-0.03686,3.03889151314754
"FALSE POSITIVE",9957668,"K05744.01",30.6953,44,6794,0,46.863759,-0.02152,4.14356435643564
"FALSE POSITIVE",9962595,"K05745.01",11.3744,93,1168,0,46.839628,0.008662,6.37084476974687
"CANDIDATE",9993683,"K05748.01",29.9377,44,9.584,0,46.91815,0.0001059,1.77415177415177
"FALSE POSITIVE",10002266,"K05750.01",12.7137,107,9.444,0,46.953687,0.0007333,0.903409090909091
"CANDIDATE",10004772,"K05752.01",1.39173,960,12.98,0,46.997514,-0.0001171,2.02446225221426
"FALSE POSITIVE",10006096,"K05753.01",70.516,0,-1,0,46.928608,0.002719,-41.6
"FALSE POSITIVE",10007492,"K05754.01",2.64559,505,147.6,0,46.946604,-0.004211,3.4362162762296
"FALSE POSITIVE",10023469,"K05757.01",44.637,19,8.302,0,46.935637,0.002528,1.78879056047198
"CANDIDATE",10083325,"K05761.01",6.13288,222,9.53,0,47.015696,5.738e-05,1.36532738095238
"CANDIDATE",10090854,"K05762.01",12.6306,84,8.608,0,47.01153,-0.0001757,1.42005420054201
"FALSE POSITIVE",10141271,"K05768.01",15.403,82,8.982,2,47.174456,-0.005144,1.6728154316433
"CANDIDATE",10146103,"K05769.01",7.58057,177,9.301,0,47.153609,-5.185e-05,1.3354114713217
"FALSE POSITIVE",10189542,"K05773.01",24.6148,54,9.34,0,47.262313,-0.0006085,0.964566929133858
"FALSE POSITIVE",10191056,"K05774.01",1.21375,1110,22350,0,47.228222,-0.04656,3.29073482428115
"FALSE POSITIVE",10227881,"K05780.01",5.14081,172,19.64,0,47.252423,0.00172,0.811231581873784
"FALSE POSITIVE",10320341,"K05786.01",30.1147,44,2773,0,47.419621,-0.01525,2.98586810228802
"CANDIDATE",10394802,"K05790.01",178.264,7,11.34,0,47.598745,-0.0003612,6.84774292272379
"FALSE POSITIVE",10416390,"K05792.01",215.735,3,39.61,0,47.526039,-0.001153,4.23438233912635
"FALSE POSITIVE",10470779,"K05796.01",495.859,3,8.756,0,47.684359,9.534e-05,2.6445959104187
"FALSE POSITIVE",10480952,"K05797.01",2.03746,0,-1,0,47.670879,0,-68.74
"CANDIDATE",10525077,"K05800.01",11.0068,122,8.867,0,47.771379,-0.000232,1.31318136769078
"FALSE POSITIVE",10547378,"K05802.01",35.1612,32,33.9,0,47.703001,1.209e-05,1.3700062748379
"FALSE POSITIVE",10551346,"K05804.01",1.42794,750,45.94,5,47.767768,9.303e-05,3.69342632438047
"FALSE POSITIVE",10552151,"K05805.01",525.769,3,13.89,0,47.751719,0.0001179,0.425802774083222
"FALSE POSITIVE",10616656,"K05814.01",25.2852,43,6077,0,47.878946,0.001127,4.88714531384351
"CANDIDATE",10658177,"K05817.01",113.086,12,9.737,0,47.906579,0.0001495,3.21312596137412
"FALSE POSITIVE",10661679,"K05818.01",1.23134,1094,14.44,0,47.984553,-0.000178,1.84885290148448
"FALSE POSITIVE",10724569,"K05823.01",0.745064,1796,12.12,0,48.067519,0.0001796,1.44184640193509
"CANDIDATE",10777591,"K05827.01",6.10971,220,15.93,0,48.154421,1.88e-05,3.32995609591354
"CANDIDATE",10813078,"K05831.01",10.5522,17,10.2,0,48.156808,-0.001134,2.90012713660121
"FALSE POSITIVE",10817600,"K05832.01",2.74708,393,28.67,8,48.115254,0.004731,1.97831835007932
"CANDIDATE",10850327,"K05833.01",440.169,3,26.31,0,48.220249,7.464e-05,3.13745892661555
"FALSE POSITIVE",10855545,"K05834.01",37.5385,23,7.297,0,48.203843,0.0006283,1.50663129973475
"FALSE POSITIVE",10905641,"K05840.01",460.825,3,5.635,0,48.388523,-0.0003458,2.04960317460317
"FALSE POSITIVE",10920086,"K05841.01",3.21322,416,37.14,24,48.319434,2.291e-05,4.25578429586446
"CANDIDATE",10933306,"K05842.01",57.7743,18,9.415,0,48.32349,5.053e-05,1.78938207136641
"CANDIDATE",10967168,"K05845.01",22.2659,46,11.57,0,48.465931,-7.412e-05,3.5802752293578
"FALSE POSITIVE",10977671,"K05846.01",199.049,8,10.78,0,48.421968,-0.0003641,3.61351737267968
"CANDIDATE",11026582,"K05854.01",240.571,5,27.65,0,48.558659,-0.0001728,3.1661801501251
"CANDIDATE",11036168,"K05855.01",217.793,3,16.12,0,48.55809,0.0004052,4.86274509803922
"CANDIDATE",11037818,"K05856.01",259.344,5,10.86,0,48.52435,-0.000128,1.63072494111489
"FALSE POSITIVE",11046870,"K05858.01",8.34408,130,9.228,2,48.606628,-0.002143,1.33768016472203
"FALSE POSITIVE",11076176,"K05862.01",0.699986,1525,-1,0,48.679361,-0.05493,-25.77
"FALSE POSITIVE",11090561,"K05865.01",35.8729,40,17.14,0,48.64848,-0.00321,2.91539838854073
"CANDIDATE",11152511,"K05874.01",287.331,4,15.68,0,48.724866,-0.0002538,2.41429860171403
"CANDIDATE",11176166,"K05875.01",9.8787,17,12.92,0,48.802321,0.001139,3.05728155339806
"FALSE POSITIVE",11176166,"K05875.02",8.54825,17,7.124,0,48.802641,-0.0001018,1.00596718050721
"FALSE POSITIVE",11341314,"K05887.01",9.83309,114,10.84,0,49.187952,-2.985e-05,2.64264657713724
"FALSE POSITIVE",11401845,"K05894.01",1.08073,0,-1,0,49.244435,-3.294e-05,-47.1
"CANDIDATE",11407847,"K05895.01",11.8303,114,10.74,0,49.24047,-5.902e-05,2.62005224030541
"CANDIDATE",11456256,"K05901.01",61.6133,24,10.11,0,49.368633,8.729e-05,4.57185628742515
"FALSE POSITIVE",11506938,"K05906.01",22.5753,62,153.4,0,49.493403,6.505e-05,4.39444195428059
"FALSE POSITIVE",11513441,"K05908.01",85.5697,16,19.4,0,49.432851,-0.003446,1.04390445947812
"CANDIDATE",11520114,"K05909.01",7.07987,161,9.71,0,49.484509,0.0009259,3.98986828774063
"FALSE POSITIVE",11599937,"K05915.01",37.626,25,10.82,0,49.661743,0.0003042,1.31067301155676
"CANDIDATE",11601425,"K05917.01",41.9934,27,9.729,0,49.689572,0.000123,2.44115186999642
"FALSE POSITIVE",11601972,"K05919.01",290.196,3,8.775,0,49.683353,0.0001296,2.34076137418756
"FALSE POSITIVE",11615258,"K05922.01",367.075,3,7.717,0,49.615931,0.0001039,1.69455782312925
"CANDIDATE",11674709,"K05928.01",399.93,3,8.592,0,49.706411,0,0.473867595818815
"CANDIDATE",11716643,"K05929.01",466.003,3,39.34,0,49.800183,0.0007414,3.5095087163233
"CANDIDATE",11803074,"K05932.01",355.869,4,14.3,0,50.066526,-0.000334,3.66885871871022
"FALSE POSITIVE",11905398,"K05940.01",24.7964,35,10.52,0,50.230391,-0.0009972,1.26711618257261
"CANDIDATE",11923213,"K05943.01",27.202,49,9.477,0,50.236136,0.0001178,1.30738636363636
"FALSE POSITIVE",11924426,"K05944.01",64.713,0,-1,0,50.281657,-0.01574,-44.07
"FALSE POSITIVE",11968514,"K05947.01",1.03657,1283,34.78,6,50.226444,0.0007186,3.53395061728395
"FALSE POSITIVE",12253490,"K05961.01",19.1598,73,820.6,0,50.90137,0.005486,9.94497936726273
"FALSE POSITIVE",12257851,"K05962.01",1.30798,1034,10.84,0,50.916757,-0.0002873,0.913818924438393
"FALSE POSITIVE",12265150,"K05963.01",1.686,790,39.53,0,0,-0.04655,2.71475606105956
"CANDIDATE",12300524,"K05964.01",32.0331,45,7.626,0,51.015639,0.0001678,1.53834355828221
"CANDIDATE",12349560,"K05965.01",43.397,31,8.634,0,51.123782,0.0008839,0.740291262135922
"CANDIDATE",12554212,"K05974.01",4.76817,282,9.997,0,51.534657,-0.000126,1.33418097054461
"FALSE POSITIVE",12645761,"K05976.01",2.70958,495,570.5,0,51.714578,-0.000135,2.15764331210191
"FALSE POSITIVE",12736658,"K05980.01",0.855293,1572,958.1,0,51.916459,0.02533,3.69067941276886
