"koi_disposition","kepid","kepoi_name","tce_depth","tce_ldm_coeff1","tce_chisq1","tce_chisqgofdof","tce_smet","tce_steff_prov","tcet_model_dof","wst_robstat","tce_fwm_prao","tce_time0_sn"
"CANDIDATE",6521045,"K00041.03",97.09,0.5155576,239.7,421,0.1,0,3158,3.407,-6.725e-06,490483972.796509
"CANDIDATE",8866102,"K00042.01",323.9,0.3786636,533.7,692,0,0,5402,2.213,0.0002523,5169303980.71234
"FALSE POSITIVE",9025922,"K00043.01",2673,0.4997976,3205,687,0,14,4704,25.23,0.09774,1937570538.97698
"FALSE POSITIVE",8845026,"K00044.01",12800,0.5448482,28670,584,0.18,13,4974,10.18,0.004064,6521060055.09057
"FALSE POSITIVE",3742855,"K00045.01",19450,0.4997976,8722,1985,0,14,15220,44.43,0.04568,9790039958.20738
"CANDIDATE",10905239,"K00046.01",1292,0.6367176,5446,2881,0.3,15,21670,1.851,-0.0001073,13067734809.5707
"CANDIDATE",10905239,"K00046.02",48.02,0.6367176,1126,1389,0.3,15,10610,2.861,5.168e-05,304839116.241356
"FALSE POSITIVE",7837302,"K00048.01",29540,0.2542876,284600,534,-0.4,13,4076,4.408,4.268e-05,31868661102.9113
"CANDIDATE",9527334,"K00049.01",816.5,0.4993818,822.5,999,0.07,4,7518,2.967,0.0001002,5040281684.35748
"FALSE POSITIVE",6056992,"K00051.01",29000,0.4997976,7321,664,0,14,4864,1.822,0.01613,12116906128.6135
"FALSE POSITIVE",3558981,"K00052.01",43180,0.6305096,65560,1605,0.07,13,11180,54.51,0,137803536345.776
"FALSE POSITIVE",2445975,"K00053.01",11140,0.4997976,9172,1764,0,14,12500,8.28,0.004894,26019548365.3522
"FALSE POSITIVE",8248939,"K00061.01",176.9,0.3113968,4599,3708,-0.24,13,25940,2.635,0.003007,7489779605.5843
"CANDIDATE",11554435,"K00063.01",4056,0.565812,2364,738,0.04,16,5671,3.259,2.272e-05,38839729969.6081
"CANDIDATE",7051180,"K00064.01",1128,0.6035072,4191,2459,0,17,16520,12.48,2.265e-05,29326731253.9571
"FALSE POSITIVE",10620329,"K00066.01",204.5,0.4630136,8548,7926,-0.38,18,25710,18.03,0,24954334534.4765
"FALSE POSITIVE",8669092,"K00068.01",1874,0.0989604,16600,6051,-0.82,5,32150,2.746,-3.973e-06,-2454960
"CANDIDATE",3544595,"K00069.01",270.7,0.4604184,2063,1835,-0.2,0,13560,2.125,-2.044e-05,13613310708.8989
"CANDIDATE",6850504,"K00070.01",1035,0.583273,982.7,900,0.02,19,6815,0.07119,-2.59e-05,7491676660.77701
"CANDIDATE",6850504,"K00070.02",377.5,0.583273,2601,1874,0.02,19,13610,0.9156,2.398e-05,7866048055.57247
"CANDIDATE",6850504,"K00070.03",834.7,0.583273,109.5,245,0.02,19,1584,3.552,4.252e-05,1674750492.87464
"CANDIDATE",6850504,"K00070.04",72.35,0.583273,1010,1194,0.02,19,9034,2.799,-9.707e-06,985096966.024774
"CANDIDATE",6850504,"K00070.05",93.1,0.583273,331,379,0.02,19,3024,1.541,3.076e-05,494003469.133964
"CANDIDATE",11904151,"K00072.01",489.2,0.4767788,320,405,-0.12,0,3069,3.334,-1.762e-05,2573775475.97081
"CANDIDATE",11904151,"K00072.02",41.08,0.4767788,7766,4424,-0.12,0,25050,1.111,5.24e-06,4153339390.03284
"FALSE POSITIVE",6889235,"K00074.01",1240,0.584105,9950,2679,0.07,8,20640,368.7,9.049e-05,34131173751.3468
"CANDIDATE",7199397,"K00075.01",1588,0.3719862,2093,425,-0.14,0,3277,2.197,0.0007389,2534031510.88761
"FALSE POSITIVE",9955262,"K00076.01",1296,0.408916,318.3,344,0.07,5,2879,3.67,-0.001127,5066661438.31856
"FALSE POSITIVE",9552608,"K00080.01",1030,0.460372,3998,800,-0.08,8,5941,29.6,-1.973e-05,10695079767.5371
"FALSE POSITIVE",8823868,"K00081.01",5217,0.6177428,33670,1045,0.21,8,8344,472.2,0.000319,29685525617.3224
"CANDIDATE",10187017,"K00082.01",944.5,0.6592448,522.9,627,0.08,20,4722,0.7334,2.264e-05,7495794060.08311
"CANDIDATE",10187017,"K00082.02",270.6,0.6592448,654.3,785,0.08,20,5834,2.21,7.556e-05,3053456667.12687
"CANDIDATE",10187017,"K00082.03",139.7,0.6592448,227.2,347,0.08,20,2578,2.166,9.302e-06,858513692.618121
"CANDIDATE",10187017,"K00082.04",64.48,0.6592448,1147,974,0.08,20,6976,2.533,3.283e-05,1037024990.28437
"CANDIDATE",10187017,"K00082.05",41.04,0.6592448,1363,1211,0.08,20,8709,1.778,-3.96e-05,848126498.490282
"CANDIDATE",10187017,"K00082.06",58.33,0.6592448,276.3,211,0.08,20,1510,3.182,-4.164e-05,478639444.110835
"CANDIDATE",2571238,"K00084.01",688.4,0.5097446,1435,937,-0.14,21,6946,3.753,1.629e-05,7716731209.29414
"CANDIDATE",5866724,"K00085.01",319.3,0.455556,1825,2185,0.14,0,16660,2.167,8.754e-06,7540621563.6768
"CANDIDATE",5866724,"K00085.02",84.43,0.455556,3240,3586,0.14,0,26920,0.7599,5.765e-06,4784984904.21142
"CANDIDATE",5866724,"K00085.03",106.6,0.455556,788.8,1068,0.14,0,8739,2.525,7.786e-06,1825514384.9317
"CANDIDATE",10593626,"K00087.01",519.3,0.4698376,18.32,46,-0.26,22,477,2.688,-0.0002333,1029911858.60459
"FALSE POSITIVE",7700871,"K00088.01",77.13,0.3496936,3286,3352,-0.4,5,24840,1.364,-0.002118,3023872254.30892
"CANDIDATE",8056665,"K00089.01",348.7,0.2899972,164.2,380,-0.2,15,2927,1.011,0.0001747,1243852884.6982
"CANDIDATE",8056665,"K00089.02",491.7,0.2899972,81.52,92,-0.2,15,745,2.913,-0.0001914,1304319183.97705
"FALSE POSITIVE",9210823,"K00090.01",62.43,0.3967344,9180,10440,-0.1,5,32230,1.493,-0.01176,3777192769.21207
"CANDIDATE",7941200,"K00092.01",647.8,0.4481212,174.7,131,-0.04,23,966,3.508,-9.543e-05,2954961266.06291
"CANDIDATE",6462863,"K00094.01",5649,0.3955016,3389,355,-0.02,23,2622,1.793,0.001372,15946126765.1376
"CANDIDATE",6462863,"K00094.02",1956,0.3955016,584,191,-0.02,23,1562,0.3916,0.0003053,3394738479.62112
"CANDIDATE",6462863,"K00094.03",781.3,0.3955016,491.9,588,-0.02,23,4427,2.069,0.0001439,4391010391.88682
"CANDIDATE",6462863,"K00094.04",123.5,0.3955016,898.5,1114,-0.02,23,8461,1.941,6.143e-05,1786998012.79672
"CANDIDATE",5780885,"K00097.01",7471,0.449964,33960,2582,0.1,17,19690,10.54,0.0002854,75505709900.7495
"CANDIDATE",10264660,"K00098.01",2237,0.388034,3384,2151,0.04,0,18950,3.462,0.0001601,26524645532.4064
"CANDIDATE",4055765,"K00100.01",1630,0.3072792,2344,991,-0.16,4,7525,3.049,2.603e-05,4589775612.38264
"CANDIDATE",8456679,"K00102.01",934.1,0.5764746,7790,3505,0.21,23,24700,2.224,0.00014,30830980679.7745
"FALSE POSITIVE",8456679,"K00102.02",80.07,0.5764746,1440,1709,0.21,23,12830,1.955,4.147e-06,1370067974.06047
"CANDIDATE",2444412,"K00103.01",864.1,0.52176,1035,593,-0.04,23,4350,2.834,4.489e-05,3452506015.59061
"CANDIDATE",10318874,"K00104.01",1476,0.7221502,4874,1923,0.34,20,12870,2.183,0.0001626,41073684245.7491
"CANDIDATE",8711794,"K00105.01",1057,0.3593476,1442,545,-0.4,23,3648,2.954,4.585e-06,10326888939.3672
"FALSE POSITIVE",10489525,"K00106.01",99.92,0.3385814,3846,3682,-0.1,5,25750,3.213,0.008739,3006819651.57068
"CANDIDATE",11250587,"K00107.01",462.3,0.5419512,1151,1892,0.22,0,14900,2.2,2.221e-05,4278195921.11294
"CANDIDATE",4914423,"K00108.01",479.9,0.4872696,716,793,0.08,0,6058,3.094,-6.412e-05,3239084657.56461
"CANDIDATE",4914423,"K00108.02",1272,0.4872696,121.2,168,0.08,0,1402,3.81,-0.0001103,1692971265.83413
"FALSE POSITIVE",4752451,"K00109.01",152.5,0.2441468,982.1,1090,-0.46,5,8171,7.991,-0.001033,1103987444.51889
"CANDIDATE",9450647,"K00110.01",521.4,0.432645,1029,1015,0.08,23,7662,3.404,8.768e-06,4835454656.47171
"CANDIDATE",6678383,"K00111.01",492.6,0.3214452,1738,1077,-0.34,23,8392,-0.1895,-8.112e-05,3879185977.24288
"CANDIDATE",6678383,"K00111.02",599.5,0.3214452,258.6,366,-0.34,23,2898,1.887,-8.607e-05,1700727398.68375
"CANDIDATE",6678383,"K00111.03",448.6,0.3214452,391,637,-0.34,23,5053,2.321,-0.0001372,2256675889.5824
"CANDIDATE",10984090,"K00112.01",741.5,0.469192,204.1,364,-0.04,23,2776,2.757,1.936e-05,2081717968.28627
"CANDIDATE",10984090,"K00112.02",126.4,0.469192,2038,1922,-0.04,23,14130,2.878,-4.609e-05,2474842989.2033
"FALSE POSITIVE",6721123,"K00114.01",230.7,0.3753544,1171,1356,0,4,10300,5.604,0.003032,1123653773.09697
"CANDIDATE",9579641,"K00115.01",600.4,0.470906,2062,1341,-0.06,23,9779,2.784,-5.213e-05,7769064504.59346
"CANDIDATE",9579641,"K00115.02",184.9,0.470906,1126,1118,-0.06,23,8301,3.526,-6.863e-05,2067665563.33224
"CANDIDATE",9579641,"K00115.03",24.62,0.470906,2443,1857,-0.06,23,13630,1.897,1.221e-05,471884562.746998
"CANDIDATE",8395660,"K00116.01",517.9,0.4371692,675.1,648,-0.12,20,4816,2.824,-4.392e-05,2652759768.32642
"CANDIDATE",8395660,"K00116.02",613.4,0.4371692,253.4,348,-0.12,20,2741,2.093,0.0002044,1342318648.81268
"CANDIDATE",8395660,"K00116.03",55.13,0.4371692,1070,1520,-0.12,20,11540,2.311,1.223e-05,545903119.35745
"CANDIDATE",8395660,"K00116.04",94.4,0.4371692,298.5,510,-0.12,20,4068,3.25,-6.593e-05,339145594.801291
"CANDIDATE",10875245,"K00117.01",426.9,0.5622816,420.8,834,0.26,17,6759,3.027,2.118e-05,1860008940.27442
"CANDIDATE",10875245,"K00117.02",119.3,0.5622816,1804,2371,0.26,17,17920,2.138,1.114e-05,2160684738.60236
"CANDIDATE",10875245,"K00117.03",136.4,0.5622816,1047,1604,0.26,17,12680,1.492,-5.649e-05,1551225830.91116
"CANDIDATE",10875245,"K00117.04",49.56,0.5622816,535.7,873,0.26,17,7506,1.016,-1.163e-05,371226635.496353
"CANDIDATE",3531558,"K00118.01",265.2,0.4983504,352.3,648,0,0,5264,2.835,-4.674e-05,1196256718.36703
"CANDIDATE",9471974,"K00119.01",1655,0.63789,846.8,545,0.36,0,4624,1.311,0.0002428,3871184943.98146
"CANDIDATE",9471974,"K00119.02",1143,0.63789,151.7,220,0.36,0,1554,2.792,0.000293,1142775354.79727
"CANDIDATE",11869052,"K00120.01",175.8,0.5120112,716.6,311,0,5,2125,2.341,0.0002035,885366214.300913
"FALSE POSITIVE",3247396,"K00121.01",394.8,0.34086,850.8,911,-0.12,4,6869,6.467,-9.548e-05,1538876700.30715
"CANDIDATE",8349582,"K00122.01",504.5,0.6194376,846,876,0.3,0,6568,1.361,-1.2e-05,3970345644.03128
"CANDIDATE",5094751,"K00123.01",290,0.4190724,1438,1594,-0.08,17,11830,2.333,2.933e-05,3957082458.22447
"CANDIDATE",5094751,"K00123.02",367.1,0.4190724,376.7,754,-0.08,17,5708,2.721,3.454e-05,2061337072.61369
"CANDIDATE",11086270,"K00124.01",250.5,0.3939796,678.3,816,-0.16,23,5953,4.825,-4.903e-05,1684809761.72175
"CANDIDATE",11086270,"K00124.02",352,0.3939796,324.8,454,-0.16,23,3241,3.59,5.365e-05,1445202536.04206
"CANDIDATE",11449844,"K00125.01",23550,0.613404,9090,320,0.16,4,2487,3.337,5.863e-05,29411947937.4329
"FALSE POSITIVE",5897826,"K00126.01",13230,0.5153984,198800,946,0.16,4,7624,3.867,0.003046,6057077862.15847
"CANDIDATE",5897826,"K00126.02",374.7,0.5153984,228.9,66,0.16,4,835,2.167,0.0006563,59706432.3702571
"CANDIDATE",8359498,"K00127.01",11390,0.6213028,20250,2016,0.2,24,14790,3.436,-0.000137,98082278253.4349
"CANDIDATE",11359879,"K00128.01",11130,0.6714416,57760,1498,0.36,25,10840,2.881,0.001817,77636102019.1958
"CANDIDATE",11974540,"K00129.01",7410,0.7315076,3188,506,0.56,26,5224,2.98,0.0018,13639025311.6736
"CANDIDATE",5297298,"K00130.01",13750,0.352164,9495,350,-0.14,4,2856,3.879,-2.357e-05,26133234264.3757
"CANDIDATE",7778437,"K00131.01",6561,0.431168,4304,2486,0.16,5,19190,1.98,-0.002294,39483444092.0466
"FALSE POSITIVE",8892910,"K00132.01",6150,0.3953506,15190,836,0,5,6132,15.84,-0.0001769,18320808364.2415
"FALSE POSITIVE",11673674,"K00133.01",4248,0.329155,6018,2931,-0.3,5,22840,14.02,-0.01947,13824430403.9824
"FALSE POSITIVE",9032900,"K00134.01",5145,0.536572,990.4,64,0.34,4,496,61.78,0.0001761,2074505297.66632
"CANDIDATE",9818381,"K00135.01",7775,0.5411668,8050,2396,0.34,27,17840,4.024,-0.0001734,87348072981.8969
"FALSE POSITIVE",7601633,"K00136.01",5117,0.5015368,1843,153,0.24,4,996,2.759,0,12698616319.669
"CANDIDATE",8644288,"K00137.01",3260,0.6504888,3241,698,0.2,28,5014,-1.7,0,10826813671.4443
"CANDIDATE",8644288,"K00137.02",2258,0.6504888,2131,1133,0.2,28,8263,2.223,0,12009793849.7363
"CANDIDATE",8644288,"K00137.03",284.7,0.6504888,2206,1578,0.2,28,11240,1.993,0,3733766283.14614
"FALSE POSITIVE",8506766,"K00138.01",7232,0.290052,7015,244,-0.24,5,1852,2.699,-0.0001232,6888301528.91298
"CANDIDATE",8559644,"K00139.01",3480,0.5327502,979.5,147,0.18,23,1180,2.952,0.0001498,2509488601.92236
"CANDIDATE",8559644,"K00139.02",156.4,0.5327502,2499,2599,0.18,23,19080,3.115,2.957e-05,2201115364.95925
"FALSE POSITIVE",5130369,"K00140.01",705.5,0.5893252,737.2,1213,0.07,8,9787,10.79,-0.01005,929360191.098475
"CANDIDATE",12105051,"K00141.01",2596,0.68545,18210,3295,0.36,23,24430,1.983,0.0001489,37160368247.8559
"CANDIDATE",4649305,"K00143.01",2270,0.343122,1838,375,-0.1,5,2814,24.52,8.489e-05,3965660674.21901
"CANDIDATE",4180280,"K00144.01",1355,0.6875536,1587,1885,0.26,23,14450,2.096,0.0006774,9703055215.20889
"CANDIDATE",9904059,"K00145.01",1911,0.6635436,204.2,234,0.07,4,1912,3.02,-0.000121,367820724.49741
"FALSE POSITIVE",9048161,"K00146.01",2299,0.2250978,11870,994,-0.44,5,7412,10.09,0.03337,6102488254.7416
"FALSE POSITIVE",1996679,"K00147.01",2869,0.306734,152.1,76,-0.3,5,558,8.674,-0.01371,1255436005.48203
"CANDIDATE",5735762,"K00148.01",951.3,0.660278,999,927,0.18,20,6720,2.214,-0.0002655,5437111452.18052
"CANDIDATE",5735762,"K00148.02",456.8,0.660278,1713,1773,0.18,20,13050,2.214,-4.422e-05,4850674459.45439
"CANDIDATE",5735762,"K00148.03",555.6,0.660278,154.8,313,0.18,20,2651,2.938,-6.385e-05,1142419715.85859
"CANDIDATE",3835670,"K00149.01",959.8,0.5355816,713.4,1383,0.14,23,11190,2.124,-1.314e-05,3098274795.86557
"CANDIDATE",7626506,"K00150.01",790.4,0.3897572,1188,1206,-0.42,15,9034,2.064,-0.0001594,4572132558.0789
"CANDIDATE",7626506,"K00150.02",830.3,0.3897572,289.5,422,-0.42,15,3196,2.424,-0.0002247,2164961727.04505
"CANDIDATE",2307199,"K00151.01",1457,0.2918792,828.9,461,-0.32,5,3220,8.23,8.82e-05,3307131907.00582
"CANDIDATE",8394721,"K00152.01",2894,0.3889038,746.4,402,-0.04,15,3168,2.107,0.0003244,3168771660.35276
"CANDIDATE",8394721,"K00152.02",657.6,0.3889038,597.5,994,-0.04,15,7682,2.871,0.0001088,1683377218.24515
"CANDIDATE",8394721,"K00152.03",741.8,0.3889038,333.2,725,-0.04,15,5542,2.153,-2.709e-05,1143463315.57179
"CANDIDATE",8394721,"K00152.04",395.8,0.3889038,80.54,110,-0.04,15,811,3.256,-4.183e-05,505850839.14571
"CANDIDATE",12252424,"K00153.01",739.6,0.6669184,2531,1548,0.04,20,11140,1.568,-0.0001466,6302600399.98254
"CANDIDATE",12252424,"K00153.02",961.4,0.6669184,744.7,720,0.04,20,5455,2.379,-0.0001333,4877359240.27496
"CANDIDATE",8030148,"K00155.01",733.4,0.4667928,1805,2211,-0.08,23,16960,1.921,-4.061e-05,5529164283.04377
"CANDIDATE",10925104,"K00156.01",1429,0.6451488,771,735,-0.2,29,5537,2.443,0.0006336,5358603739.48461
"CANDIDATE",10925104,"K00156.02",591.6,0.6451488,901.3,858,-0.2,29,6261,2.185,0.0001799,2697066807.87531
"CANDIDATE",10925104,"K00156.03",335.7,0.6451488,1313,1301,-0.2,29,9445,3.306,0.0003111,2158253331.92672
"CANDIDATE",6541920,"K00157.01",1356,0.5258736,547.7,380,0,30,2930,2.573,-0.0002271,2825386924.21718
"CANDIDATE",6541920,"K00157.02",760.4,0.5258736,1292,900,0,30,7111,1.137,-0.0001343,2615217449.19971
"CANDIDATE",6541920,"K00157.03",959.6,0.5258736,629.1,555,0,30,4312,3.089,0.0001353,2217787614.61674
"CANDIDATE",6541920,"K00157.04",1104,0.5258736,70.82,182,0,30,1498,4.927,-6.545e-05,986232911.656831
"CANDIDATE",6541920,"K00157.05",562.7,0.5258736,161.8,314,0,30,2537,2.882,-0.000213,799864460.677306
"CANDIDATE",6541920,"K00157.06",297.9,0.5258736,792.5,1072,0,30,8226,2.931,3.354e-06,1129615143.92991
"FALSE POSITIVE",10555375,"K00158.01",218.2,0.3155,1076,1347,-0.24,5,10210,2.27,0.003224,884201882.246161
"CANDIDATE",8972058,"K00159.01",465.4,0.4917268,932.2,1076,0.07,23,8122,3.839,6.127e-06,2726550821.08499
"CANDIDATE",8972058,"K00159.02",69.58,0.4917268,2882,1843,0.07,23,12500,2.341,5.904e-05,1471742792.56866
"CANDIDATE",6631721,"K00160.01",659.6,0.2470984,650.9,564,-0.44,5,4076,3.268,-0.001227,2034601072.42605
"CANDIDATE",5084942,"K00161.01",894,0.6923792,2491,1550,0.3,23,10420,2.46,-1.297e-05,15858979328.1654
"CANDIDATE",8107380,"K00162.01",713.4,0.48998,595.8,897,0,31,6878,2.76,-0.0001673,2529142031.79843
"CANDIDATE",6851425,"K00163.01",628.9,0.6325306,697.9,904,0,31,6711,2.818,-1.631e-06,3064980885.77157
"FALSE POSITIVE",5652237,"K00164.01",190.3,0.332216,1836,1964,-0.18,5,14460,2.898,-0.007128,989532193.442808
"CANDIDATE",9527915,"K00165.01",881.4,0.6193336,642.7,553,0,31,3991,3.253,0.0001255,3176470283.78971
"CANDIDATE",2441495,"K00166.01",701.2,0.6196226,753.6,591,0,31,4281,2.938,0.000255,2992190956.52555
"CANDIDATE",11666881,"K00167.01",375.1,0.4423788,1868,1996,0.12,23,15160,4.086,4.078e-05,3599129747.64734
"CANDIDATE",11512246,"K00168.01",395.1,0.5040364,887.7,1539,0.06,0,12120,3.054,-4.612e-06,1413184510.61772
"CANDIDATE",11512246,"K00168.02",200.9,0.5040364,540.9,1031,0.06,0,7909,2.486,1.32e-05,723848977.606109
"CANDIDATE",11512246,"K00168.03",105.8,0.5040364,1227,1529,0.06,0,11770,3.048,-1.461e-06,607405739.6214
"FALSE POSITIVE",6185711,"K00169.01",640.4,0.3034312,642.3,327,-0.52,5,2151,2.948,-0.02987,1820883677.11741
"FALSE POSITIVE",11044770,"K00170.01",298.7,0.43044,464,757,-0.14,8,5767,11.07,-0.003724,751581241.848874
"CANDIDATE",7831264,"K00171.01",500.8,0.411975,1269,1685,0.02,15,12510,2.17,8.767e-05,3751270175.73884
"CANDIDATE",7831264,"K00171.02",242,0.411975,469.5,592,0.02,15,4571,2.349,-0.0001113,1073412386.09931
"CANDIDATE",8692861,"K00172.01",561.2,0.4167778,702.1,985,-0.3,32,7766,1.655,8.908e-05,2121877646.97748
"CANDIDATE",8692861,"K00172.02",336,0.4167778,90.3,127,-0.3,32,1064,3.081,0.0001001,223366815.882374
"CANDIDATE",11402995,"K00173.01",455.3,0.5093904,765.9,1233,0,31,9435,2.381,-0.0001198,1949920969.65076
"CANDIDATE",10810838,"K00174.01",1036,0.6157084,85.87,125,-0.22,23,950,3.078,-0.0001845,1799535268.97957
"FALSE POSITIVE",8323753,"K00175.01",264,0.34842,1124,1300,-0.12,5,9606,2.623,-0.003715,1660817091.40356
"CANDIDATE",6442377,"K00176.01",434.6,0.4405812,290.8,536,0.16,23,4242,2.826,-0.0001025,1239020278.79559
"CANDIDATE",6803202,"K00177.01",300.3,0.5148528,331.1,668,0,31,5246,1.498,-8.963e-05,1151588783.29315
"FALSE POSITIVE",11455491,"K00178.01",111.2,0.324958,1292,2275,-0.14,5,17570,9.451,0.01245,572798838.989062
"CANDIDATE",9663113,"K00179.01",1026,0.3922136,423.2,1068,0,31,8587,2.954,0.0001853,2007391841.17354
"CANDIDATE",9663113,"K00179.02",1263,0.3922136,569.4,94,0,31,792,3.376,-3.568e-05,334438073.910005
"CANDIDATE",9573539,"K00180.01",672.7,0.5254048,732.9,829,-0.04,23,6104,2.496,-0.0001111,4488177028.29689
"FALSE POSITIVE",12504988,"K00181.01",25100,0.394674,37440,1662,-0.08,5,12480,50.43,0,63702909870.3092
"CANDIDATE",5376836,"K00182.01",19490,0.359859,19680,2000,-0.3,5,14730,31.73,-0.0007776,101045868387.692
"CANDIDATE",9651668,"K00183.01",18120,0.5109264,22840,2766,-0.1,33,20030,3.313,0.001694,171538273416.483
"FALSE POSITIVE",7972785,"K00184.01",13060,0.3564128,16560,1955,-0.1,5,14970,23.73,-0.0004379,33860207356.651
"FALSE POSITIVE",4178389,"K00185.01",28560,0.3220184,28340,203,-0.42,5,1522,2.789,0.01859,35780788615.303
"CANDIDATE",12019440,"K00186.01",16470,0.5222252,29980,2244,0.1,26,16510,2.479,-0.001763,82003721110.4542
"FALSE POSITIVE",7023960,"K00187.01",24070,0.4710776,8333,403,0.07,5,3034,14.47,-0.0002169,25002138693.2381
"CANDIDATE",5357901,"K00188.01",14410,0.6731282,19560,1605,0.24,34,11340,2.04,0.000323,91106690764.1551
"CANDIDATE",11391018,"K00189.01",21150,0.6279658,6632,371,-0.06,5,2883,3.35,0.0004704,20738832195.7153
"FALSE POSITIVE",5771719,"K00190.01",11350,0.6673476,8432,614,0.3,26,4699,7.541,0.0007134,15588100831.7988
"CANDIDATE",5972334,"K00191.01",14640,0.591528,2200,532,0.02,15,4012,1.168,0.001427,18746668702.9896
"CANDIDATE",5972334,"K00191.02",632.7,0.591528,2539,1893,0.02,15,13580,1.404,0.0002529,4234166954.12211
"CANDIDATE",5972334,"K00191.03",138.1,0.591528,7989,4477,0.02,15,21690,1.563,9.406e-05,2160352702.02487
"CANDIDATE",5972334,"K00191.04",532.6,0.591528,80.67,156,0.02,15,1540,2.221,-3.766e-05,298696684.770971
"CANDIDATE",7950644,"K00192.01",9675,0.4066656,23410,927,-0.18,34,7153,2.272,1.316e-05,31727427694.8288
"FALSE POSITIVE",10799735,"K00193.01",19970,0.3884428,7357,263,-0.12,5,1968,9.262,0.001137,21860218692.1214
