"koi_disposition","kepid","kepoi_name","tce_ingress","tce_model_chisq","tce_minmesd","tce_fwm_srao","tce_fwm_prao","tce_impact_sn","tce_depth_sn","tce_eqt_sn","tce_smet_sn","tce_fwm_sdeco_sn"
"CANDIDATE",6678383,"K00111.03",0.2999,2491,15.92,0.1603,-0.0001372,6.21805111821086,96.6393795777682,19.1954022988506,-2.26666666666667,-5.04033613445378
"CANDIDATE",10984090,"K00112.01",0.4982,1541,5.292,-0.0316,1.936e-05,15.0745712155108,100.55600759425,18.6988847583643,-0.266666666666667,-0.458760330578512
"CANDIDATE",10984090,"K00112.02",0.1691,7452,-0.8021,0.3592,-4.609e-05,5.94393139841689,41.1592315206773,18.7596899224806,-0.266666666666667,1.58456140350877
"FALSE POSITIVE",6721123,"K00114.01",2.493,6648,1.853,-13.45,0.003032,32.296511627907,7.14684014869888,11.9642857142857,0,108.513513513514
"CANDIDATE",9579641,"K00115.01",0.3385,5971,1.026,0.006651,-5.213e-05,39.2942743009321,151.082033215903,16.7434715821813,-0.4,-2.56764705882353
"CANDIDATE",9579641,"K00115.02",0.2137,3921,-0.651,0.291,-6.863e-05,7.33986928104575,43.1404573028465,16.7845117845118,-0.4,-2.9292
"CANDIDATE",9579641,"K00115.03",0.08873,8622,1.823,-0.5762,1.221e-05,2.2526395173454,8.34576271186441,16.776750330251,-0.4,-0.24
"CANDIDATE",8395660,"K00116.01",0.3989,2902,-2.525,0.6116,-4.392e-05,27.0641373080397,72.8308254816481,18.8249400479616,-0.8,-0.0163417721518987
"CANDIDATE",8395660,"K00116.02",0.6727,1629,26.5,0.1938,0.0002044,26.1672683513839,63.8027876014146,18.8297872340426,-0.8,0.0594475138121547
"CANDIDATE",8395660,"K00116.03",0.1,5561,2.712,0.305,1.223e-05,1.28488285330548,12.481322164365,18.7845303867403,-0.8,-0.353409090909091
"CANDIDATE",8395660,"K00116.04",0.2529,1745,16.4,1.225,-6.593e-05,2.2758707723372,12.3060878633816,18.8115942028986,-0.8,1.31724845995893
"CANDIDATE",10875245,"K00117.01",0.6488,3594,1.955,-0.2086,2.118e-05,45.017667844523,68.4353959602437,59.8630136986301,2.6,-0.520973451327434
"CANDIDATE",10875245,"K00117.02",0.2506,9028,2.349,-0.2523,1.114e-05,9.72889315828797,36.7869256860931,59.8360655737705,2.6,0.173273542600897
"CANDIDATE",10875245,"K00117.03",0.2788,5956,0.613,0.255,-5.649e-05,8.34476367006488,36.2476747276109,59.7156398104265,2.6,1.30789473684211
"CANDIDATE",10875245,"K00117.04",0.1679,3494,2.23,0.07569,-1.163e-05,1.93185763888889,10.4955527318933,59.4444444444444,2.6,0.757254901960784
"CANDIDATE",3531558,"K00118.01",0.35,2668,-0.8105,0.4167,-4.674e-05,7.04817275747508,50.4950495049505,54.8461538461538,0,-0.648763250883392
"CANDIDATE",9471974,"K00119.01",0.7249,2615,22.7,0.3906,0.0002428,16.4808630875931,257.107348143545,40.5454545454545,2.4,-15.4428571428571
"CANDIDATE",9471974,"K00119.02",1.18,918.6,119.3,0.2811,0.000293,22.7471230451461,93.7653814602133,40.5714285714286,2.4,-6.91237113402062
"CANDIDATE",11869052,"K00120.01",0.1899,2401,-1.079,-1.182,0.0002035,2.21868211440985,15.3805774278215,8.82282996432818,0,0.998955613577023
"FALSE POSITIVE",3247396,"K00121.01",2.44,3464,-0.8378,0.356,-9.548e-05,57.1288837744534,43.5665416022953,10,-0.8,-14.0148514851485
"CANDIDATE",8349582,"K00122.01",0.2602,3961,7.043,-0.0304,-1.2e-05,9.9305724725944,116.890639481001,44.8309178743961,2,-5.79768786127168
"CANDIDATE",5094751,"K00123.01",0.3738,6474,4.826,-0.06479,2.933e-05,35.8254344391785,97.4462365591398,52.9953917050691,-0.8,2.41744186046512
"CANDIDATE",5094751,"K00123.02",0.3112,3252,13.26,-0.05773,3.454e-05,6.33903830480848,85.5312208760485,52.8082191780822,-0.8,2.60526315789474
"CANDIDATE",11086270,"K00124.01",0.3112,3118,-1.478,0.2569,-4.903e-05,11.3823004335629,53.44570087476,10.7446808510638,-1.06666666666667,0.8705
"CANDIDATE",11086270,"K00124.02",0.2805,1637,-3.569,-0.09121,5.365e-05,4.69077448747153,54.5821057528299,10.7215007215007,-1.06666666666667,-0.994634146341463
"CANDIDATE",11449844,"K00125.01",0.6104,1659,17.95,0.03944,5.863e-05,0.00756105197244834,766.6015625,19.3227091633466,1.06666666666667,-16.9667738478028
"FALSE POSITIVE",5897826,"K00126.01",2.236,25070,14.25,-0.02856,0.003046,231.598746081505,466.337680648572,11.4791987673344,1.06666666666667,-3.74422442244224
"CANDIDATE",5897826,"K00126.02",10.89,548.6,188.5,-1.552,0.0006563,21.9010074463425,0.33485254691689,11.4953271028037,1.06666666666667,-0.9125
"CANDIDATE",8359498,"K00127.01",0.2974,9068,0.651,0.01191,-0.000137,12.9518950437318,1498.28992370429,34.2261904761905,1.33333333333333,20.5305466237942
"CANDIDATE",11359879,"K00128.01",0.5166,7345,3.229,-0.005861,0.001817,162.607838304166,1713.88974437943,19.3116634799235,2.4,-36.8965517241379
"CANDIDATE",11974540,"K00129.01",0.4985,3438,11.28,0.1265,0.0018,0.0111422254974208,426.352128883774,6.05691056910569,3.73333333333333,16.6893939393939
"CANDIDATE",5297298,"K00130.01",0.9227,2020,3.099,0.05464,-2.357e-05,193.936705116829,1128.89983579639,12.6666666666667,-0.933333333333333,-19.1437980241493
"CANDIDATE",7778437,"K00131.01",0.3463,10280,-1.144,0.04932,-0.002294,4.12941544232573,738.435565559932,9.77611940298507,0.457142857142857,-4.01359223300971
"FALSE POSITIVE",8892910,"K00132.01",2.24,4126,5.675,-0.01446,-0.0001769,251.119304714248,525.192143467122,10.501066098081,0,-15.3012820512821
"FALSE POSITIVE",11673674,"K00133.01",0.8261,27540,2.105,5.701,-0.01947,135.796358493901,416.879293424926,10.7339449541284,-1,195.304347826087
"FALSE POSITIVE",9032900,"K00134.01",1.161,386,67.02,0.01132,0.0001761,12.5695309256953,88.5999655588083,12.2813688212928,2.26666666666667,-3.09308885754584
"CANDIDATE",9818381,"K00135.01",0.3859,10170,0.7656,0.03082,-0.0001734,103.152446675031,1197.44340058525,28.988326848249,2.26666666666667,5.27361111111111
"FALSE POSITIVE",7601633,"K00136.01",1.235,751.3,5.903,-0.0669,0,48.0394088669951,265.680166147456,11.2526539278132,1.6,-0.527228915662651
"CANDIDATE",8644288,"K00137.01",0.3714,3280,7.101,-0.07823,0,21.072705601907,346.919229541343,29.0322580645161,1.33333333333333,-3.8693009118541
"CANDIDATE",8644288,"K00137.02",0.3815,5505,4.223,-0.1209,0,31.0679611650485,343.788063337393,29,1.33333333333333,-3.51884057971014
"CANDIDATE",8644288,"K00137.03",0.1887,5978,1.017,-0.1829,0,7.31836734693878,49.2475350285418,29.1044776119403,1.33333333333333,1.54255319148936
"FALSE POSITIVE",8506766,"K00138.01",3.289,1280,6.866,0.1112,-0.0001232,74.3963553530752,354.683668464934,9.93498049414824,-0.685714285714286,-2.47824074074074
"CANDIDATE",8559644,"K00139.01",0.9941,753.6,82.52,-0.005988,0.0001498,18.8024298524732,140.776699029126,17.1282051282051,1.2,0.00228571428571429
"CANDIDATE",8559644,"K00139.02",0.2157,9587,0.748,-0.1522,2.957e-05,6.95919938414165,36.5164604249358,17.1284634760705,1.2,-1.73089700996678
"FALSE POSITIVE",5130369,"K00140.01",2.001,5782,2.241,14.75,-0.01005,171.68044077135,70.2689243027888,8.03571428571429,0.116666666666667,97.3333333333333
"CANDIDATE",12105051,"K00141.01",0.3506,6561,1.019,-0.2986,0.0001489,137.102473498233,234.507678410117,20.4585537918871,2.4,-2.51160949868074
"CANDIDATE",4649305,"K00143.01",1.12,3350,0.6688,-0.03565,8.489e-05,306.074612083196,107.024988213107,8.60301507537688,-0.285714285714286,-2.30700179533214
"CANDIDATE",4180280,"K00144.01",0.3049,7762,1.887,0.8608,0.0006774,12.603169362826,215.558383709831,30.7368421052632,1.73333333333333,1.33620414673046
"CANDIDATE",9904059,"K00145.01",4.656,1148,65.36,-0.1641,-0.000121,128.109005394937,38.174190970835,18.9761904761905,0.28,0.86
"FALSE POSITIVE",9048161,"K00146.01",2.432,8925,4.149,-15.68,0.03337,93.1098696461825,8.40585009140768,5.28455284552845,-1.46666666666667,870.754716981132
"FALSE POSITIVE",1996679,"K00147.01",2.713,362.9,-15.92,4.409,-0.01371,16.9958634953464,53.7567922053588,10.5434782608696,-1,19.9347826086957
"CANDIDATE",5735762,"K00148.01",0.3044,4015,5.781,0.305,-0.0002655,13.7685560053981,131.923450284288,29.0157480314961,1.2,-4.45745992601726
"CANDIDATE",5735762,"K00148.02",0.3773,6312,0.5375,0.123,-4.422e-05,35.9936783879889,86.9267364414843,29.0342679127726,1.2,-3.7390625
"CANDIDATE",5735762,"K00148.03",0.464,1309,-6.477,0.1411,-6.385e-05,8.91392136025505,46.6107382550336,28.9032258064516,1.2,-0.384502164502164
"CANDIDATE",3835670,"K00149.01",0.4103,6124,2.106,-0.06583,-1.314e-05,6.64519326065411,169.157560803666,13.2779456193353,0.933333333333333,0.479732739420935
"CANDIDATE",7626506,"K00150.01",0.239,4937,-1.09,0.1266,-0.0001594,6.37871287128713,128.395061728395,26.0128617363344,-2.8,3.83987603305785
"CANDIDATE",7626506,"K00150.02",0.2695,1816,21.13,0.1954,-0.0002247,2.63378176382661,87.4368155012637,25.9903381642512,-2.8,1.22080536912752
"CANDIDATE",2307199,"K00151.01",1.563,2072,-1.113,0.09145,8.82e-05,101.477677635716,45.9766487851057,10.0593119810202,-1.06666666666667,-5.14895104895105
"CANDIDATE",8394721,"K00152.01",0.6337,2209,35.46,0.651,0.0003244,8.95071295722257,140.758754863813,15.9139784946237,-0.266666666666667,1.41077441077441
"CANDIDATE",8394721,"K00152.02",0.6092,4143,1.928,0.5975,0.0001088,31.663082437276,60.5524861878453,15.934819897084,-0.266666666666667,-1.39415204678363
"CANDIDATE",8394721,"K00152.03",0.7476,2687,16.8,0.7993,-2.709e-05,26.2139167426314,54.5441176470588,15.9565217391304,-0.266666666666667,-0.639130434782609
"CANDIDATE",8394721,"K00152.04",0.2844,485.3,-16.58,0.8684,-4.183e-05,2.18332919871,12.8423101881895,15.9190031152648,-0.266666666666667,-0.80618932038835
"CANDIDATE",12252424,"K00153.01",0.3874,6095,1.234,0.06534,-0.0001466,39.6913580246914,117.062361506806,33.8427947598253,0.266666666666667,-0.338878504672897
"CANDIDATE",12252424,"K00153.02",0.2678,3073,5.576,0.005817,-0.0001333,9.86268939393939,116.802332644879,33.8172043010753,0.266666666666667,-0.540353982300885
"CANDIDATE",8030148,"K00155.01",0.3274,9380,2.173,0.04238,-4.061e-05,12.8550512445095,176.978764478764,14.1235813366961,-0.533333333333333,3.92784992784993
"CANDIDATE",10925104,"K00156.01",0.4438,3030,2.739,0.4817,0.0006336,47.9017117614578,123.830155979203,38.7826086956522,-1.33333333333333,9.61228406909789
"CANDIDATE",10925104,"K00156.02",0.6683,3379,3.234,0.6204,0.0001799,126.979432719452,59.6431091843936,39,-1.33333333333333,4.36306306306306
"CANDIDATE",10925104,"K00156.03",0.681,4699,-0.8281,-0.002254,0.0003111,125.12045839302,38.8451747280722,39.1333333333333,-1.33333333333333,2.21875
"CANDIDATE",6541920,"K00157.01",0.5032,1555,0.8923,0.09797,-0.0002271,22.7550463720676,97.9768786127168,32.1546961325967,0,3.11331133113311
