"koi_disposition","kepid","kepoi_name","tce_mesmad","tce_rminmes","tce_fwm_prao"
"CANDIDATE",6521045,"K00041.03",0.7161,0.1959,-6.725e-06
"CANDIDATE",8866102,"K00042.01",0.7508,0.02262,0.0002523
"FALSE POSITIVE",9025922,"K00043.01",0.7715,0.01863,0.09774
"FALSE POSITIVE",8845026,"K00044.01",0.727,0.02518,0.004064
"FALSE POSITIVE",3742855,"K00045.01",1.183,0.02589,0.04568
"CANDIDATE",10905239,"K00046.01",0.8529,0.0101,-0.0001073
"CANDIDATE",10905239,"K00046.02",0.7184,0.3734,5.168e-05
"FALSE POSITIVE",7837302,"K00048.01",0.8036,0.001023,4.268e-05
"CANDIDATE",9527334,"K00049.01",0.5991,0.03878,0.0001002
"FALSE POSITIVE",6056992,"K00051.01",0.63,0.005624,0.01613
"FALSE POSITIVE",3558981,"K00052.01",1.447,0.01337,0
"FALSE POSITIVE",2445975,"K00053.01",1.778,0.0171,0.004894
"FALSE POSITIVE",8248939,"K00061.01",1.559,0.0558,0.003007
"CANDIDATE",11554435,"K00063.01",0.6654,0.004245,2.272e-05
"CANDIDATE",7051180,"K00064.01",0.7434,0.01573,2.265e-05
"FALSE POSITIVE",10620329,"K00066.01",28.81,0.7257,0
"FALSE POSITIVE",8669092,"K00068.01",1.836,0.088,-3.973e-06
"CANDIDATE",3544595,"K00069.01",0.8174,0.01478,-2.044e-05
"CANDIDATE",6850504,"K00070.01",0.8999,0.01833,-2.59e-05
"CANDIDATE",6850504,"K00070.02",0.9522,0.04243,2.398e-05
"CANDIDATE",6850504,"K00070.03",0.6882,0.04728,4.252e-05
"CANDIDATE",6850504,"K00070.04",0.8063,0.1326,-9.707e-06
"CANDIDATE",6850504,"K00070.05",0.6649,0.2664,3.076e-05
"CANDIDATE",11904151,"K00072.01",0.658,0.02761,-1.762e-05
"CANDIDATE",11904151,"K00072.02",0.7347,0.09753,5.24e-06
"FALSE POSITIVE",6889235,"K00074.01",8.784,0.08167,9.049e-05
"CANDIDATE",7199397,"K00075.01",0.6966,0.04109,0.0007389
"FALSE POSITIVE",9955262,"K00076.01",0.6693,0.07245,-0.001127
"FALSE POSITIVE",9552608,"K00080.01",0.6378,0.01488,-1.973e-05
"FALSE POSITIVE",8823868,"K00081.01",1.165,0.1007,0.000319
"CANDIDATE",10187017,"K00082.01",0.7432,0.01378,2.264e-05
"CANDIDATE",10187017,"K00082.02",0.5996,0.04431,7.556e-05
"CANDIDATE",10187017,"K00082.03",0.7254,0.1475,9.302e-06
"CANDIDATE",10187017,"K00082.04",0.6036,0.133,3.283e-05
"CANDIDATE",10187017,"K00082.05",0.5469,0.2609,-3.96e-05
"CANDIDATE",10187017,"K00082.06",0.684,0.4289,-4.164e-05
"CANDIDATE",2571238,"K00084.01",0.712,0.01444,1.629e-05
"CANDIDATE",5866724,"K00085.01",0.7817,0.01658,8.754e-06
"CANDIDATE",5866724,"K00085.02",0.6893,0.05409,5.765e-06
"CANDIDATE",5866724,"K00085.03",0.7026,0.0541,7.786e-06
"CANDIDATE",10593626,"K00087.01",0.6555,0.09854,-0.0002333
"FALSE POSITIVE",7700871,"K00088.01",0.6241,0.04596,-0.002118
"CANDIDATE",8056665,"K00089.01",0.6969,0.04343,0.0001747
"CANDIDATE",8056665,"K00089.02",0.6509,0.08479,-0.0001914
"FALSE POSITIVE",9210823,"K00090.01",1.108,0.0765,-0.01176
"CANDIDATE",7941200,"K00092.01",0.6311,0.04208,-9.543e-05
"CANDIDATE",6462863,"K00094.01",1.786,0.01154,0.001372
"CANDIDATE",6462863,"K00094.02",1.294,0.04274,0.0003053
"CANDIDATE",6462863,"K00094.03",0.6912,0.02679,0.0001439
"CANDIDATE",6462863,"K00094.04",0.6479,0.06425,6.143e-05
"CANDIDATE",5780885,"K00097.01",0.8883,0.003058,0.0002854
"CANDIDATE",10264660,"K00098.01",0.6385,0.005924,0.0001601
"CANDIDATE",4055765,"K00100.01",0.6208,0.01475,2.603e-05
"CANDIDATE",8456679,"K00102.01",0.5841,0.005424,0.00014
"FALSE POSITIVE",8456679,"K00102.02",0.7292,0.1251,4.147e-06
"CANDIDATE",2444412,"K00103.01",0.709,0.03299,4.489e-05
"CANDIDATE",10318874,"K00104.01",0.6432,0.00652,0.0001626
"CANDIDATE",8711794,"K00105.01",0.6835,0.01644,4.585e-06
"FALSE POSITIVE",10489525,"K00106.01",0.9809,0.1055,0.008739
"CANDIDATE",11250587,"K00107.01",0.604,0.02236,2.221e-05
"CANDIDATE",4914423,"K00108.01",1.031,0.04627,-6.412e-05
"CANDIDATE",4914423,"K00108.02",0.6862,0.02622,-0.0001103
"FALSE POSITIVE",4752451,"K00109.01",0.6217,0.0554,-0.001033
"CANDIDATE",9450647,"K00110.01",0.631,0.0167,8.768e-06
"CANDIDATE",6678383,"K00111.01",1.624,0.03574,-8.112e-05
"CANDIDATE",6678383,"K00111.02",1.042,0.03613,-8.607e-05
"CANDIDATE",6678383,"K00111.03",0.6243,0.03055,-0.0001372
"CANDIDATE",10984090,"K00112.01",0.5824,0.02737,1.936e-05
"CANDIDATE",10984090,"K00112.02",0.8169,0.06813,-4.609e-05
"FALSE POSITIVE",6721123,"K00114.01",0.6944,0.05861,0.003032
"CANDIDATE",9579641,"K00115.01",0.6568,0.01543,-5.213e-05
"CANDIDATE",9579641,"K00115.02",0.5634,0.06033,-6.863e-05
"CANDIDATE",9579641,"K00115.03",0.5295,0.2701,1.221e-05
"CANDIDATE",8395660,"K00116.01",0.9288,0.0461,-4.392e-05
"CANDIDATE",8395660,"K00116.02",0.6758,0.04062,0.0002044
"CANDIDATE",8395660,"K00116.03",0.598,0.1859,1.223e-05
"CANDIDATE",8395660,"K00116.04",0.656,0.2322,-6.593e-05
"CANDIDATE",10875245,"K00117.01",0.7575,0.03578,2.118e-05
"CANDIDATE",10875245,"K00117.02",0.7782,0.09224,1.114e-05
"CANDIDATE",10875245,"K00117.03",0.5302,0.06045,-5.649e-05
"CANDIDATE",10875245,"K00117.04",0.598,0.3201,-1.163e-05
"CANDIDATE",3531558,"K00118.01",0.6346,0.04865,-4.674e-05
"CANDIDATE",9471974,"K00119.01",0.8962,0.01715,0.0002428
"CANDIDATE",9471974,"K00119.02",0.6144,0.03848,0.000293
"CANDIDATE",11869052,"K00120.01",0.6594,0.03367,0.0002035
"FALSE POSITIVE",3247396,"K00121.01",0.6747,0.05341,-9.548e-05
"CANDIDATE",8349582,"K00122.01",0.6277,0.02719,-1.2e-05
"CANDIDATE",5094751,"K00123.01",0.7027,0.02083,2.933e-05
"CANDIDATE",5094751,"K00123.02",0.7051,0.03088,3.454e-05
"CANDIDATE",11086270,"K00124.01",0.7697,0.06998,-4.903e-05
"CANDIDATE",11086270,"K00124.02",0.6872,0.06241,5.365e-05
"CANDIDATE",11449844,"K00125.01",0.6728,0.002721,5.863e-05
"FALSE POSITIVE",5897826,"K00126.01",0.7593,0.002912,0.003046
"CANDIDATE",5897826,"K00126.02",0.6796,0.3483,0.0006563
"CANDIDATE",8359498,"K00127.01",0.6817,0.001421,-0.000137
"CANDIDATE",11359879,"K00128.01",0.7829,0.001448,0.001817
"CANDIDATE",11974540,"K00129.01",0.6444,0.008129,0.0018
"CANDIDATE",5297298,"K00130.01",0.6572,0.003565,-2.357e-05
"CANDIDATE",7778437,"K00131.01",0.6417,0.003795,-0.002294
"FALSE POSITIVE",8892910,"K00132.01",0.7551,0.004812,-0.0001769
"FALSE POSITIVE",11673674,"K00133.01",1.098,0.0111,-0.01947
"FALSE POSITIVE",9032900,"K00134.01",0.6951,0.4378,0.0001761
"CANDIDATE",9818381,"K00135.01",0.683,0.001707,-0.0001734
"FALSE POSITIVE",7601633,"K00136.01",0.6484,0.0107,0
"CANDIDATE",8644288,"K00137.01",3.576,0.02178,0
"CANDIDATE",8644288,"K00137.02",0.6485,0.00589,0
"CANDIDATE",8644288,"K00137.03",0.6984,0.04531,0
"FALSE POSITIVE",8506766,"K00138.01",0.6457,0.007603,-0.0001232
"CANDIDATE",8559644,"K00139.01",0.6542,0.02429,0.0001498
"CANDIDATE",8559644,"K00139.02",0.5997,0.0479,2.957e-05
"FALSE POSITIVE",5130369,"K00140.01",0.8427,0.02769,-0.01005
"CANDIDATE",12105051,"K00141.01",0.6663,0.009252,0.0001489
"CANDIDATE",4649305,"K00143.01",0.7237,0.1028,8.489e-05
"CANDIDATE",4180280,"K00144.01",0.6971,0.01003,0.0006774
"CANDIDATE",9904059,"K00145.01",0.7038,0.08838,-0.000121
"FALSE POSITIVE",9048161,"K00146.01",0.6887,0.006841,0.03337
"FALSE POSITIVE",1996679,"K00147.01",0.6548,0.08576,-0.01371
"CANDIDATE",5735762,"K00148.01",0.741,0.02559,-0.0002655
"CANDIDATE",5735762,"K00148.02",0.7489,0.02803,-4.422e-05
"CANDIDATE",5735762,"K00148.03",0.6883,0.07164,-6.385e-05
"CANDIDATE",3835670,"K00149.01",0.8434,0.01875,-1.314e-05
"CANDIDATE",7626506,"K00150.01",0.7812,0.01583,-0.0001594
"CANDIDATE",7626506,"K00150.02",0.723,0.03975,-0.0002247
"CANDIDATE",2307199,"K00151.01",0.7908,0.0373,8.82e-05
"CANDIDATE",8394721,"K00152.01",0.7887,0.02364,0.0003244
"CANDIDATE",8394721,"K00152.02",0.9614,0.04842,0.0001088
"CANDIDATE",8394721,"K00152.03",0.8218,0.0819,-2.709e-05
"CANDIDATE",8394721,"K00152.04",0.6821,0.335,-4.183e-05
"CANDIDATE",12252424,"K00153.01",0.8661,0.02239,-0.0001466
"CANDIDATE",12252424,"K00153.02",0.7555,0.02928,-0.0001333
"CANDIDATE",8030148,"K00155.01",0.6698,0.01676,-4.061e-05
"CANDIDATE",10925104,"K00156.01",0.7351,0.01656,0.0006336
"CANDIDATE",10925104,"K00156.02",0.6426,0.04388,0.0001799
"CANDIDATE",10925104,"K00156.03",0.6394,0.06534,0.0003111
"CANDIDATE",6541920,"K00157.01",1.103,0.04181,-0.0002271
"CANDIDATE",6541920,"K00157.02",1.02,0.0294,-0.0001343
"CANDIDATE",6541920,"K00157.03",0.8366,0.03383,0.0001353
"CANDIDATE",6541920,"K00157.04",0.6894,0.06903,-6.545e-05
"CANDIDATE",6541920,"K00157.05",0.7499,0.07953,-0.000213
"CANDIDATE",6541920,"K00157.06",0.8186,0.06554,3.354e-06
"FALSE POSITIVE",10555375,"K00158.01",0.753,0.09584,0.003224
"CANDIDATE",8972058,"K00159.01",0.632,0.05872,6.127e-06
"CANDIDATE",8972058,"K00159.02",0.5403,0.1452,5.904e-05
"CANDIDATE",6631721,"K00160.01",0.6566,0.05363,-0.001227
"CANDIDATE",5084942,"K00161.01",0.6046,0.01343,-1.297e-05
"CANDIDATE",8107380,"K00162.01",0.6627,0.02997,-0.0001673
"CANDIDATE",6851425,"K00163.01",0.6245,0.03142,-1.631e-06
"FALSE POSITIVE",5652237,"K00164.01",0.6979,0.06214,-0.007128
"CANDIDATE",9527915,"K00165.01",0.6388,0.03574,0.0001255
"CANDIDATE",2441495,"K00166.01",0.7515,0.04258,0.000255
"CANDIDATE",11666881,"K00167.01",1.568,0.05107,4.078e-05
"CANDIDATE",11512246,"K00168.01",0.6551,0.05825,-4.612e-06
"CANDIDATE",11512246,"K00168.02",0.7791,0.1071,1.32e-05
"CANDIDATE",11512246,"K00168.03",0.7432,0.1678,-1.461e-06
"FALSE POSITIVE",6185711,"K00169.01",0.62,0.04493,-0.02987
"FALSE POSITIVE",11044770,"K00170.01",0.603,0.06791,-0.003724
"CANDIDATE",7831264,"K00171.01",0.7048,0.02397,8.767e-05
"CANDIDATE",7831264,"K00171.02",0.6683,0.1139,-0.0001113
"CANDIDATE",8692861,"K00172.01",0.8013,0.04308,8.908e-05
"CANDIDATE",8692861,"K00172.02",0.6568,0.2674,0.0001001
"CANDIDATE",11402995,"K00173.01",0.7657,0.04609,-0.0001198
"CANDIDATE",10810838,"K00174.01",0.6587,0.05907,-0.0001845
"FALSE POSITIVE",8323753,"K00175.01",0.6692,0.0563,-0.003715
"CANDIDATE",6442377,"K00176.01",0.6323,0.05202,-0.0001025
"CANDIDATE",6803202,"K00177.01",0.6188,0.07676,-8.963e-05
"FALSE POSITIVE",11455491,"K00178.01",0.8903,0.1302,0.01245
"CANDIDATE",9663113,"K00179.01",0.8427,0.03069,0.0001853
"CANDIDATE",9663113,"K00179.02",0.6893,0.1587,-3.568e-05
"CANDIDATE",9573539,"K00180.01",0.6811,0.03238,-0.0001111
"FALSE POSITIVE",12504988,"K00181.01",0.7547,0.01031,0
"CANDIDATE",5376836,"K00182.01",0.995,0.01332,-0.0007776
"CANDIDATE",9651668,"K00183.01",0.9268,0.001181,0.001694
"FALSE POSITIVE",7972785,"K00184.01",0.9984,0.005729,-0.0004379
"FALSE POSITIVE",4178389,"K00185.01",0.6699,0.003242,0.01859
"CANDIDATE",12019440,"K00186.01",0.5686,0.001338,-0.001763
"FALSE POSITIVE",7023960,"K00187.01",0.6929,0.003661,-0.0002169
"CANDIDATE",5357901,"K00188.01",0.6141,0.001979,0.000323
"CANDIDATE",11391018,"K00189.01",0.7262,0.003204,0.0004704
"FALSE POSITIVE",5771719,"K00190.01",0.6963,0.005509,0.0007134
"CANDIDATE",5972334,"K00191.01",0.6332,0.003743,0.001427
"CANDIDATE",5972334,"K00191.02",0.633,0.05312,0.0002529
"CANDIDATE",5972334,"K00191.03",0.6587,0.1077,9.406e-05
"CANDIDATE",5972334,"K00191.04",0.7252,0.2914,-3.766e-05
"CANDIDATE",7950644,"K00192.01",0.6548,0.002509,1.316e-05
"FALSE POSITIVE",10799735,"K00193.01",0.5952,0.004354,0.001137
"CANDIDATE",10904857,"K00194.01",0.8329,0.006185,9.224e-05
"CANDIDATE",11502867,"K00195.01",0.6651,0.002232,0.0009451
"CANDIDATE",9410930,"K00196.01",1.688,0.00224,-0.0004327
"CANDIDATE",2987027,"K00197.01",0.6581,0.00301,0.0001316
"FALSE POSITIVE",10666242,"K00198.01",0.655,0.005668,-0.0002927
"CANDIDATE",10019708,"K00199.01",0.5303,0.001212,0.0004907
"FALSE POSITIVE",10019708,"K00199.02",0.8415,0.1451,-0.0009013
"CANDIDATE",6046540,"K00200.01",0.6745,0.003426,-0.0002521
"CANDIDATE",6849046,"K00201.01",0.552,0.001747,0.0001861
"CANDIDATE",7877496,"K00202.01",0.9495,0.001389,-0.001587
"CANDIDATE",10619192,"K00203.01",0.7804,0.001263,0.000807
"CANDIDATE",9305831,"K00204.01",0.8075,0.00312,0.001239
"CANDIDATE",7046804,"K00205.01",0.6533,0.003512,0.002979
"CANDIDATE",5728139,"K00206.01",0.5896,0.0039,7.626e-06
"CANDIDATE",3762468,"K00208.01",0.7762,0.004191,-0.0008451
"CANDIDATE",10723750,"K00209.01",1.477,0.01779,-0.000125
"CANDIDATE",10723750,"K00209.02",0.5011,0.01167,-0.0001188
"FALSE POSITIVE",10602291,"K00210.01",0.6393,0.0149,0.0005884
"CANDIDATE",10656508,"K00211.01",0.6634,0.01843,0.0007906
"CANDIDATE",6300348,"K00212.01",0.6049,0.007944,-0.0008977
"FALSE POSITIVE",9164836,"K00213.01",0.8019,0.01309,-0.008019
"CANDIDATE",11046458,"K00214.01",0.6947,0.005964,0.0002351
"FALSE POSITIVE",12508335,"K00215.01",0.6945,0.01122,0.0009722
"CANDIDATE",6152974,"K00216.01",0.6503,0.01215,0.001078
"CANDIDATE",6152974,"K00216.02",0.6858,0.2345,0.0004392
"CANDIDATE",9595827,"K00217.01",0.6722,0.00128,0.001912
"FALSE POSITIVE",9838975,"K00218.01",0.7303,0.003363,0.001143
"CANDIDATE",6305192,"K00219.01",0.7023,0.007304,-0.0002373
"CANDIDATE",7132798,"K00220.01",0.9133,0.008808,-5.631e-06
"CANDIDATE",7132798,"K00220.02",0.7453,0.181,2.054e-05
"CANDIDATE",3937519,"K00221.01",0.6933,0.005826,-0.0002326
"CANDIDATE",3937519,"K00221.02",0.6991,0.2401,-7.155e-05
"CANDIDATE",4249725,"K00222.01",0.7234,0.03011,0.0002262
"CANDIDATE",4249725,"K00222.02",0.5538,0.0593,-7.528e-05
"CANDIDATE",4545187,"K00223.01",0.7002,0.02589,0.0001163
"CANDIDATE",4545187,"K00223.02",0.6381,0.1061,0.0004907
"FALSE POSITIVE",5547480,"K00224.01",0.6108,0.04317,0.004861
"FALSE POSITIVE",5801571,"K00225.01",0.7864,0.01354,-0.000935
"CANDIDATE",5959753,"K00226.01",0.5515,0.04384,0.0003117
"CANDIDATE",3847907,"K00229.01",0.4946,0.00924,-0.0008899
"FALSE POSITIVE",3862246,"K00230.01",0.8555,0.02381,0.003877
"FALSE POSITIVE",4043443,"K00231.01",0.6791,0.08069,-0.0008265
"CANDIDATE",4833421,"K00232.01",0.6899,0.009926,0
"CANDIDATE",4833421,"K00232.02",0.676,0.04821,0
"CANDIDATE",4833421,"K00232.03",0.6985,0.1237,0
"CANDIDATE",4833421,"K00232.04",0.6316,0.1276,0
"CANDIDATE",4833421,"K00232.05",0.6484,0.1321,0
"FALSE POSITIVE",5023956,"K00233.01",0.5105,0.003768,0.06048
"CANDIDATE",8491277,"K00234.01",0.6536,0.02571,-0.0001339
"CANDIDATE",8107225,"K00235.01",0.7693,0.04739,-0.0005645
"FALSE POSITIVE",8453211,"K00236.01",0.7213,0.007747,0.02224
"CANDIDATE",8041216,"K00237.01",0.559,0.04223,-0.00017
"CANDIDATE",7219825,"K00238.01",0.6266,0.05242,-1.12e-05
"CANDIDATE",7219825,"K00238.02",0.6376,0.3288,-0.0002463
"CANDIDATE",7219825,"K00238.03",0.6024,0.3034,8.615e-05
"CANDIDATE",6383785,"K00239.01",0.6136,0.01958,-0.001668
"CANDIDATE",6383785,"K00239.02",0.5937,0.09264,-0.00037
"CANDIDATE",8026752,"K00240.01",1.042,0.03909,-0.0001599
"CANDIDATE",11288051,"K00241.01",0.685,0.03408,0.0001222
"CANDIDATE",11288051,"K00241.02",0.6568,0.1099,-0.000423
"CANDIDATE",11288051,"K00241.03",0.5958,0.137,0.0001142
"FALSE POSITIVE",3642741,"K00242.01",0.9075,0.01299,0.001466
"FALSE POSITIVE",9592579,"K00243.01",0.8585,0.004794,0.03197
"CANDIDATE",4349452,"K00244.01",1.009,0.01073,-0.0008787
"CANDIDATE",4349452,"K00244.02",0.7881,0.01636,-0.0002248
"CANDIDATE",8478994,"K00245.01",0.7511,0.01907,-0.0008098
"CANDIDATE",8478994,"K00245.02",0.7039,0.1748,-5.604e-05
"CANDIDATE",11295426,"K00246.01",0.8502,0.01437,-4.282e-05
"CANDIDATE",11295426,"K00246.02",0.7673,0.1421,5.118e-05
"CANDIDATE",11852982,"K00247.01",0.6979,0.08216,0.0005753
"CANDIDATE",5364071,"K00248.01",0.6595,0.03136,0.000292
"CANDIDATE",5364071,"K00248.02",0.7449,0.05618,0.0003273
"CANDIDATE",5364071,"K00248.03",0.6449,0.05731,-3.725e-06
"CANDIDATE",5364071,"K00248.04",0.6391,0.151,0.0001609
"CANDIDATE",9390653,"K00249.01",0.6334,0.0273,0.0005224
"CANDIDATE",9757613,"K00250.01",0.6784,0.03246,0.001444
"CANDIDATE",9757613,"K00250.02",0.6517,0.04952,0.001046
"CANDIDATE",9757613,"K00250.03",0.6804,0.1486,0.0003642
"CANDIDATE",9757613,"K00250.04",0.5293,0.1025,0.000243
"CANDIDATE",10489206,"K00251.01",0.8253,0.02269,-0.002341
"CANDIDATE",10489206,"K00251.02",0.5476,0.2812,-0.0003091
"CANDIDATE",11187837,"K00252.01",0.7042,0.03866,0.0001334
"CANDIDATE",11752906,"K00253.01",0.6099,0.04452,0.0001267
"CANDIDATE",11752906,"K00253.02",0.7658,0.3492,-0.000606
"CANDIDATE",5794240,"K00254.01",0.6024,0.001836,0.0003089
"CANDIDATE",7021681,"K00255.01",0.6579,0.03828,0.0003092
"CANDIDATE",7021681,"K00255.02",0.7283,0.3849,0.0005235
"FALSE POSITIVE",7021681,"K00255.03",0.6241,0.4405,-0.0001288
"FALSE POSITIVE",11548140,"K00256.01",1.876,0.05029,-0.0008784
"CANDIDATE",5514383,"K00257.01",0.5605,0.01157,0.0001405
"FALSE POSITIVE",11231334,"K00258.01",1.269,0.07377,-0.0007727
"FALSE POSITIVE",5790807,"K00259.01",0.748,0.01466,-0.00258
"CANDIDATE",8292840,"K00260.01",0.7646,0.08641,6.138e-05
"CANDIDATE",8292840,"K00260.02",0.8265,0.06592,1.493e-05
"CANDIDATE",8292840,"K00260.03",0.7227,0.09271,-4.144e-05
"CANDIDATE",5383248,"K00261.01",0.7198,0.01578,-0.0001819
"CANDIDATE",11807274,"K00262.01",0.7759,0.09957,-8.77e-06
"CANDIDATE",11807274,"K00262.02",0.6344,0.07396,-3.192e-06
"FALSE POSITIVE",10514430,"K00263.01",0.8266,0.4986,5.173e-05
"FALSE POSITIVE",3097346,"K00264.01",0.7276,0.04667,-0.004655
"CANDIDATE",12024120,"K00265.01",0.7962,0.08287,4.349e-05
"CANDIDATE",7375348,"K00266.01",0.6915,0.08554,-1.537e-05
"CANDIDATE",7375348,"K00266.02",0.6323,0.2075,-0.0001124
"CANDIDATE",3425851,"K00268.01",0.6578,0.1411,0.000119
"CANDIDATE",7670943,"K00269.01",0.7165,0.08418,0
"CANDIDATE",6528464,"K00270.01",0.6813,0.06964,-3.269e-05
"CANDIDATE",6528464,"K00270.02",0.7293,0.08589,-6.429e-05
"CANDIDATE",9451706,"K00271.01",0.7406,0.05183,-0.0002136
"CANDIDATE",9451706,"K00271.02",0.7148,0.07147,-0.000242
"CANDIDATE",9451706,"K00271.03",0.6502,0.1068,-7.829e-05
"FALSE POSITIVE",5716763,"K00272.01",0.4327,0.03939,2.496e-06
"CANDIDATE",3102384,"K00273.01",0.6645,0.03681,9.328e-05
"CANDIDATE",8077137,"K00274.01",0.4869,0.1578,7.527e-07
"CANDIDATE",8077137,"K00274.02",0.6653,0.2851,-1.107e-05
"CANDIDATE",10586004,"K00275.01",0.8831,0.06028,-1.299e-05
"CANDIDATE",10586004,"K00275.02",0.6588,0.1219,-3.616e-05
"CANDIDATE",11133306,"K00276.01",0.6853,0.03121,0.0002025
"CANDIDATE",11401755,"K00277.01",0.6621,0.02049,-8.509e-06
"CANDIDATE",11401755,"K00277.02",0.6805,0.1449,-2.489e-05
"CANDIDATE",12314973,"K00279.01",0.7546,0.01862,3.175e-05
"CANDIDATE",12314973,"K00279.02",0.7523,0.0691,-3.356e-05
"CANDIDATE",12314973,"K00279.03",0.6802,0.322,-7.683e-06
"CANDIDATE",4141376,"K00280.01",0.6137,0.0233,5.744e-06
"CANDIDATE",4143755,"K00281.01",0.6553,0.03554,1.187e-05
"CANDIDATE",5088536,"K00282.01",0.6772,0.02358,2.016e-05
"CANDIDATE",5088536,"K00282.02",0.6958,0.08373,-2.189e-05
"CANDIDATE",5088536,"K00282.03",0.6878,0.3634,-2.686e-05
"CANDIDATE",5695396,"K00283.01",0.6528,0.02572,4.58e-05
"CANDIDATE",5695396,"K00283.02",0.5946,0.3616,1.704e-05
"CANDIDATE",6021275,"K00284.01",0.671,0.06804,-0.0001089
"CANDIDATE",6021275,"K00284.02",0.6401,0.09528,-1.598e-05
"CANDIDATE",6021275,"K00284.03",0.6953,0.08194,6.599e-05
"CANDIDATE",6021275,"K00284.04",0.6584,0.3559,-5.894e-05
"CANDIDATE",6196457,"K00285.01",0.7238,0.02568,-4.106e-07
"CANDIDATE",6196457,"K00285.02",0.6889,0.09343,-5.984e-05
"CANDIDATE",6196457,"K00285.03",0.6931,0.1603,-1.481e-05
"FALSE POSITIVE",8258171,"K00286.01",0.6238,0.209,0.001145
"FALSE POSITIVE",8703887,"K00287.01",2.694,0.04494,-0.001949
"CANDIDATE",9592705,"K00288.01",0.6962,0.04465,4.905e-05
"CANDIDATE",10386922,"K00289.01",0.7812,0.03067,-0.0002362
"CANDIDATE",10386922,"K00289.02",0.6749,0.04529,-1.643e-05
"FALSE POSITIVE",10488450,"K00290.01",0.8254,0.08712,0.002038
"CANDIDATE",10933561,"K00291.01",0.6859,0.06934,-0.0001865
"CANDIDATE",10933561,"K00291.02",0.754,0.1994,-5.756e-05
"CANDIDATE",11075737,"K00292.01",0.9353,0.06169,5.944e-05
"FALSE POSITIVE",11200415,"K00293.01",0.628,0.09604,0.002338
"CANDIDATE",11259686,"K00294.01",0.6933,0.05636,0.0001423
"CANDIDATE",11547513,"K00295.01",0.7129,0.04879,7.602e-06
"CANDIDATE",11547513,"K00295.02",0.6744,0.1351,0.0001061
"CANDIDATE",11802615,"K00296.01",0.7192,0.05707,-0.0001265
"CANDIDATE",11905011,"K00297.01",0.7878,0.07045,1.076e-05
"CANDIDATE",12785320,"K00298.01",0.6524,0.1033,-0.0001458
"CANDIDATE",12785320,"K00298.02",0.6562,0.1903,-1.679e-05
"CANDIDATE",2692377,"K00299.01",1.871,0.169,5.064e-05
"FALSE POSITIVE",3438975,"K00300.01",0.7791,0.09517,-0.0004526
"CANDIDATE",3642289,"K00301.01",0.6637,0.03857,-3.939e-05
"CANDIDATE",3642289,"K00301.02",0.609,0.1388,-0.0001436
"CANDIDATE",3662838,"K00302.01",0.6294,0.04693,0.0001101
"CANDIDATE",5966322,"K00303.01",0.6536,0.04994,-0.0001004
