"koi_disposition","kepid","kepoi_name","tce_slogg","tce_minmes","tce_rmesmad","tce_rsnrmes","tce_ptemp","tce_rb_tcount1","tce_fwm_prao"
"CANDIDATE",11086270,"K00124.02",4.02,-3.133,73.05,1.065,2956.99,0,5.365e-05
"CANDIDATE",11449844,"K00125.01",4.54,-2.762,1509,0.8149,1479.26,0,5.863e-05
"FALSE POSITIVE",5897826,"K00126.01",4,-3.429,1551,0.5487,1357.55,0,0.003046
"CANDIDATE",5897826,"K00126.02",4,-5.815,24.57,0.6828,2810.24,0,0.0006563
"CANDIDATE",8359498,"K00127.01",4.42,-2.446,2525,0.9753,1236.72,43,-0.000137
"CANDIDATE",11359879,"K00128.01",4.46,-2.791,2462,0.9717,1133.26,0,0.001817
"CANDIDATE",11974540,"K00129.01",2.94,-3.51,670.1,1.054,1655.65,2,0.0018
"CANDIDATE",5297298,"K00130.01",3.99,-4.68,1997,0.9929,1478.63,0,-2.357e-05
"CANDIDATE",7778437,"K00131.01",4.32,-2.969,1219,0.977,1569.71,0,-0.002294
"FALSE POSITIVE",8892910,"K00132.01",4.27,-3.534,972.6,0.9926,2100.99,0,-0.0001769
"FALSE POSITIVE",11673674,"K00133.01",4.38,-8.283,680.2,0.6782,2310.33,0,-0.01947
"FALSE POSITIVE",9032900,"K00134.01",4.08,-45.7,150.2,0.9961,5562.92,0,0.0001761
"CANDIDATE",9818381,"K00135.01",4.26,-2.371,2034,0.9697,1471.15,0,-0.0001734
"FALSE POSITIVE",7601633,"K00136.01",3.9,-3.127,450.8,0.9788,1566.7,3,0
"CANDIDATE",8644288,"K00137.01",4.34,-8.699,111.7,0.9284,0,0,0
"CANDIDATE",8644288,"K00137.02",4.34,-2.157,564.8,0.9824,1516.47,2,0
"CANDIDATE",8644288,"K00137.03",4.34,-2.301,72.72,1.13,2220.2,18,0
"FALSE POSITIVE",8506766,"K00138.01",4.09,-2.753,560.7,1.001,1698.96,0,-0.0001232
"CANDIDATE",8559644,"K00139.01",4.29,-3.721,234.2,0.9594,2344.42,0,0.0001498
"CANDIDATE",8559644,"K00139.02",4.29,-1.719,59.83,1.095,3035.98,0,2.957e-05
"FALSE POSITIVE",5130369,"K00140.01",4.23,-3.561,152.6,0.5494,5682.93,0,-0.01005
"CANDIDATE",12105051,"K00141.01",4.51,-2.304,373.8,1.447,1327.2,70,0.0001489
"CANDIDATE",4649305,"K00143.01",4.31,-18.73,251.7,0.9982,4128.71,0,8.489e-05
"CANDIDATE",4180280,"K00144.01",4.59,-2.188,312.8,1.011,1556.88,6,0.0006774
"CANDIDATE",9904059,"K00145.01",3.07,-3.489,56.09,1.087,2363.84,0,-0.000121
"FALSE POSITIVE",9048161,"K00146.01",3.92,-2.598,551.4,0.5952,1938.38,1,0.03337
"FALSE POSITIVE",1996679,"K00147.01",4.35,-4.224,75.23,1.26,2810.11,0,-0.01371
"CANDIDATE",5735762,"K00148.01",4.49,-3.431,181,0.9889,1862.83,9,-0.0002655
"CANDIDATE",5735762,"K00148.02",4.49,-2.352,112,1.114,1939.49,14,-4.422e-05
"CANDIDATE",5735762,"K00148.03",4.49,-3.158,64.03,1.037,2566.87,0,-6.385e-05
"CANDIDATE",3835670,"K00149.01",4.16,-3.189,201.7,0.9831,1985.39,6,-1.314e-05
"CANDIDATE",7626506,"K00150.01",4.51,-2.102,170,1.005,1987.16,0,-0.0001594
"CANDIDATE",7626506,"K00150.02",4.51,-3.463,120.5,0.9936,2370.47,0,-0.0002247
"CANDIDATE",2307199,"K00151.01",4.41,-3.768,127.7,1.018,3003.26,1,8.82e-05
"CANDIDATE",8394721,"K00152.01",4.24,-3.39,181.8,1.018,2286.16,0,0.0003244
"CANDIDATE",8394721,"K00152.02",4.24,-2.848,61.17,1.056,2839.78,0,0.0001088
"CANDIDATE",8394721,"K00152.03",4.24,-4.083,60.65,1.096,2741.69,0,-2.709e-05
"CANDIDATE",8394721,"K00152.04",4.24,-4.278,18.72,1.099,4230.53,0,-4.183e-05
"CANDIDATE",12252424,"K00153.01",4.63,-2.904,149.7,1.019,1479.22,4,-0.0001466
"CANDIDATE",12252424,"K00153.02",4.63,-3.575,161.6,1,1744.85,3,-0.0001333
"CANDIDATE",8030148,"K00155.01",4.27,-2.994,266.7,1.024,1847.82,0,-4.061e-05
"CANDIDATE",10925104,"K00156.01",4.72,-2.285,187.6,0.9709,1431.42,0,0.0006336
"CANDIDATE",10925104,"K00156.02",4.72,-2.611,92.57,1.119,1592.19,0,0.0001799
"CANDIDATE",10925104,"K00156.03",4.72,-2.757,65.99,1.111,1891.89,0,0.0003111
"CANDIDATE",6541920,"K00157.01",4.36,-4.277,92.75,1.011,2201.97,0,-0.0002271
"CANDIDATE",6541920,"K00157.02",4.36,-2.791,93.1,1.02,1864.31,0,-0.0001343
"CANDIDATE",6541920,"K00157.03",4.36,-3.178,112.3,1.055,2430.07,0,0.0001353
"CANDIDATE",6541920,"K00157.04",4.36,-3.968,83.38,1.071,3275.83,0,-6.545e-05
"CANDIDATE",6541920,"K00157.05",4.36,-3.217,53.95,1.073,2787.47,0,-0.000213
"CANDIDATE",6541920,"K00157.06",4.36,-2.686,50.06,1.075,2726.51,0,3.354e-06
"FALSE POSITIVE",10555375,"K00158.01",3.86,-2.76,38.25,0.9205,2955.78,12,0.003224
"CANDIDATE",8972058,"K00159.01",4.32,-4.236,114.1,1.121,2751.61,0,6.127e-06
"CANDIDATE",8972058,"K00159.02",4.32,-2.194,27.96,1.059,3555.46,4,5.904e-05
"CANDIDATE",6631721,"K00160.01",4.29,-3.408,96.78,1.03,2882.67,5,-0.001227
"CANDIDATE",5084942,"K00161.01",4.58,-2.387,293.8,1,1689.74,40,-1.297e-05
"CANDIDATE",8107380,"K00162.01",4.32,-2.867,144.4,1.005,2436.64,9,-0.0001673
"CANDIDATE",6851425,"K00163.01",4.58,-2.751,140.2,1.039,2085.67,0,-1.631e-06
"FALSE POSITIVE",5652237,"K00164.01",3.91,-2.151,49.59,0.9567,2893.2,9,-0.007128
