"koi_disposition","kepid","kepoi_name","tce_ror","tce_duration","tce_fwm_prao","tce_dicco_mra"
"FALSE POSITIVE",9048161,"K00146.01",0.081297612,4.865,0.03337,-0.86302
"FALSE POSITIVE",1996679,"K00147.01",0.081508532,5.425,-0.01371,3.5815
"CANDIDATE",5735762,"K00148.01",0.031953088,3.462,-0.0002655,0.20286
"CANDIDATE",5735762,"K00148.02",0.024099683,2.99,-4.422e-05,0.13927
"CANDIDATE",5735762,"K00148.03",0.024779481,5.986,-6.385e-05,-0.30167
"CANDIDATE",3835670,"K00149.01",0.030039999,7.907,-1.314e-05,-0.078837
"CANDIDATE",7626506,"K00150.01",0.028259564,3.629,-0.0001594,0.014202
"CANDIDATE",7626506,"K00150.02",0.02823234,5.066,-0.0002247,0.022105
"CANDIDATE",2307199,"K00151.01",0.048068984,3.125,8.82e-05,0.04166
"CANDIDATE",8394721,"K00152.01",0.051318943,8.846,0.0003244,0.047842
"CANDIDATE",8394721,"K00152.02",0.027263521,5.454,0.0001088,-0.25099
"CANDIDATE",8394721,"K00152.03",0.028539777,7.383,-2.709e-05,-0.077352
"CANDIDATE",8394721,"K00152.04",0.021105533,3.301,-4.183e-05,0.11963
"CANDIDATE",12252424,"K00153.01",0.030673161,2.727,-0.0001466,-0.010089
"CANDIDATE",12252424,"K00153.02",0.032756149,2.746,-0.0001333,-0.11412
"CANDIDATE",8030148,"K00155.01",0.027420995,4.781,-4.061e-05,0.20345
"CANDIDATE",10925104,"K00156.01",0.040174057,3.121,0.0006336,-0.24479
"CANDIDATE",10925104,"K00156.02",0.028250282,3.048,0.0001799,-0.22372
"CANDIDATE",10925104,"K00156.03",0.022019046,2.861,0.0003111,-0.31447
"CANDIDATE",6541920,"K00157.01",0.038248142,4.46,-0.0002271,-0.057454
"CANDIDATE",6541920,"K00157.02",0.028266399,4.795,-0.0001343,-0.10553
"CANDIDATE",6541920,"K00157.03",0.030519662,5.625,0.0001353,-0.11119
"CANDIDATE",6541920,"K00157.04",0.031139882,9.7,-6.545e-05,0.013053
"CANDIDATE",6541920,"K00157.05",0.02606647,7.276,-0.000213,-0.035312
"CANDIDATE",6541920,"K00157.06",0.019357395,4.61,3.354e-06,0.11904
"FALSE POSITIVE",10555375,"K00158.01",0.017424165,4.027,0.003224,-5.2008
"CANDIDATE",8972058,"K00159.01",0.02276173,4.321,6.127e-06,-0.019303
"CANDIDATE",8972058,"K00159.02",0.0090909778,1.605,5.904e-05,0.38879
"CANDIDATE",6631721,"K00160.01",0.029439352,3.361,-0.001227,1.9883
"CANDIDATE",5084942,"K00161.01",0.032207579,1.799,-1.297e-05,-0.025322
"CANDIDATE",8107380,"K00162.01",0.026202325,4.744,-0.0001673,0.15795
"CANDIDATE",6851425,"K00163.01",0.02622887,3.432,-1.631e-06,-0.19627
"FALSE POSITIVE",5652237,"K00164.01",0.01748591,3.825,-0.007128,8.7454
"CANDIDATE",9527915,"K00165.01",0.031828232,2.953,0.0001255,0.025655
"CANDIDATE",2441495,"K00166.01",0.028464205,2.401,0.000255,-0.17344
"CANDIDATE",11666881,"K00167.01",0.020876753,4.434,4.078e-05,-0.074491
"CANDIDATE",11512246,"K00168.01",0.022281762,6.758,-4.612e-06,-0.10513
"CANDIDATE",11512246,"K00168.02",0.014651955,6.26,1.32e-05,-0.32593
"CANDIDATE",11512246,"K00168.03",0.011319118,5.63,-1.461e-06,-0.018478
"FALSE POSITIVE",6185711,"K00169.01",0.03841057,2.637,-0.02987,8.9251
"FALSE POSITIVE",11044770,"K00170.01",0.021849113,6.066,-0.003724,6.6068
"CANDIDATE",7831264,"K00171.01",0.022857141,3.792,8.767e-05,0.022942
"CANDIDATE",7831264,"K00171.02",0.016739535,3.17,-0.0001113,0.091483
"CANDIDATE",8692861,"K00172.01",0.023629141,5.244,8.908e-05,0.038507
"CANDIDATE",8692861,"K00172.02",0.019295468,13.58,0.0001001,0.081083
"CANDIDATE",11402995,"K00173.01",0.02321566,4.806,-0.0001198,-0.033587
"CANDIDATE",10810838,"K00174.01",0.034821651,3.467,-0.0001845,0.1004
"FALSE POSITIVE",8323753,"K00175.01",0.018646716,3.189,-0.003715,6.3516
"CANDIDATE",6442377,"K00176.01",0.021101001,6.665,-0.0001025,-0.13573
"CANDIDATE",6803202,"K00177.01",0.017047019,5.337,-8.963e-05,0.35083
"FALSE POSITIVE",11455491,"K00178.01",0.012889135,5.66,0.01245,-7.811
"CANDIDATE",9663113,"K00179.01",0.030474605,10.46,0.0001853,0.10317
"CANDIDATE",9663113,"K00179.02",0.035700301,24.21,-3.568e-05,-0.06726
"CANDIDATE",9573539,"K00180.01",0.027138073,3.386,-0.0001111,-0.048606
"FALSE POSITIVE",12504988,"K00181.01",0.15379449,3.963,0,-0.088231
"CANDIDATE",5376836,"K00182.01",0.13549507,3.485,-0.0007776,0.027601
"CANDIDATE",9651668,"K00183.01",0.12329977,2.726,0.001694,-0.0077429
"FALSE POSITIVE",7972785,"K00184.01",0.10826147,5.826,-0.0004379,-0.0050476
"FALSE POSITIVE",4178389,"K00185.01",0.23525895,3.1,0.01859,-0.15274
"CANDIDATE",12019440,"K00186.01",0.11748588,3.066,-0.001763,0.020264
"FALSE POSITIVE",7023960,"K00187.01",0.1426541,5.395,-0.0002169,-0.0049849
"CANDIDATE",5357901,"K00188.01",0.1142657,2.364,0.000323,-0.00068522
"CANDIDATE",11391018,"K00189.01",0.13237587,6.043,0.0004704,0.0013326
"FALSE POSITIVE",5771719,"K00190.01",0.11142515,4.775,0.0007134,-0.042299
"CANDIDATE",5972334,"K00191.01",0.11430012,4.176,0.001427,-0.14796
"CANDIDATE",5972334,"K00191.02",0.0278732,2.237,0.0002529,-0.33149
"CANDIDATE",5972334,"K00191.03",0.012983271,1.639,9.406e-05,0.38396
"CANDIDATE",5972334,"K00191.04",0.024376968,5.857,-3.766e-05,-0.084037
"CANDIDATE",7950644,"K00192.01",0.090104708,4.308,1.316e-05,-0.0040283
"FALSE POSITIVE",10799735,"K00193.01",0.13285834,4.435,0.001137,-0.10686
"CANDIDATE",10904857,"K00194.01",0.13152545,2.224,9.224e-05,-0.014866
"CANDIDATE",11502867,"K00195.01",0.11869968,2.197,0.0009451,-0.0018042
"CANDIDATE",9410930,"K00196.01",0.10079657,2.452,-0.0004327,0.0026833
"CANDIDATE",2987027,"K00197.01",0.091298931,3.962,0.0001316,0.0033058
"FALSE POSITIVE",10666242,"K00198.01",0.18039537,4.157,-0.0002927,0.013664
"CANDIDATE",10019708,"K00199.01",0.094221973,3.553,0.0004907,-0.0080425
"FALSE POSITIVE",10019708,"K00199.02",0.018467216,9.345,-0.0009013,1.1558
"CANDIDATE",6046540,"K00200.01",0.090066251,3.092,-0.0002521,-0.017549
"CANDIDATE",6849046,"K00201.01",0.08039187,2.873,0.0001861,-0.0063274
"CANDIDATE",7877496,"K00202.01",0.099724242,2.031,-0.001587,0.060757
"CANDIDATE",10619192,"K00203.01",0.13004003,2.285,0.000807,-0.010573
"CANDIDATE",9305831,"K00204.01",0.081063753,3.157,0.001239,0.010869
"CANDIDATE",7046804,"K00205.01",0.09705502,3.091,0.002979,-0.017029
"CANDIDATE",5728139,"K00206.01",0.063629319,6.266,7.626e-06,-0.013354
"CANDIDATE",3762468,"K00208.01",0.085985744,3.304,-0.0008451,0.010908
"CANDIDATE",10723750,"K00209.01",0.069625598,10.89,-0.000125,0.00089406
"CANDIDATE",10723750,"K00209.02",0.04818813,7.514,-0.0001188,-0.015049
"FALSE POSITIVE",10602291,"K00210.01",0.1256958,3.409,0.0005884,-0.006656
"CANDIDATE",10656508,"K00211.01",0.080585114,4.877,0.0007906,-0.031225
"CANDIDATE",6300348,"K00212.01",0.065806465,3.621,-0.0008977,0.13192
"FALSE POSITIVE",9164836,"K00213.01",0.36564357,5.281,-0.008019,0.061682
"CANDIDATE",11046458,"K00214.01",0.095118021,1.467,0.0002351,-0.0025848
"FALSE POSITIVE",12508335,"K00215.01",0.1383637,3.734,0.0009722,-0.050789
"CANDIDATE",6152974,"K00216.01",0.070599594,3.272,0.001078,-0.065616
"CANDIDATE",6152974,"K00216.02",0.018332279,2.802,0.0004392,0.3534
"CANDIDATE",9595827,"K00217.01",0.13267647,2.857,0.001912,-0.011075
"FALSE POSITIVE",9838975,"K00218.01",0.20487119,3.907,0.001143,-0.0026372
"CANDIDATE",6305192,"K00219.01",0.054649661,5.538,-0.0002373,0.0036646
"CANDIDATE",7132798,"K00220.01",0.042882624,2.672,-5.631e-06,0.0074942
"CANDIDATE",7132798,"K00220.02",0.011469747,3.002,2.054e-05,0.88887
"CANDIDATE",3937519,"K00221.01",0.058507917,2.676,-0.0002326,0.00043172
"CANDIDATE",3937519,"K00221.02",0.012987705,3.295,-7.155e-05,-0.39643
"CANDIDATE",4249725,"K00222.01",0.037083616,2.91,0.0002262,-0.1153
"CANDIDATE",4249725,"K00222.02",0.028866237,3.568,-7.528e-05,-0.14568
"CANDIDATE",4545187,"K00223.01",0.037183013,1.629,0.0001163,0.0069468
"CANDIDATE",4545187,"K00223.02",0.031472729,4.064,0.0004907,-0.19846
"FALSE POSITIVE",5547480,"K00224.01",0.040543953,2.251,0.004861,-2.866
"FALSE POSITIVE",5801571,"K00225.01",0.051382399,1.478,-0.000935,0.051701
"CANDIDATE",5959753,"K00226.01",0.032504094,3.719,0.0003117,-0.033606
"CANDIDATE",3847907,"K00229.01",0.053330169,3.004,-0.0008899,0.38851
"FALSE POSITIVE",3862246,"K00230.01",0.096003458,2.312,0.003877,-0.5708
"FALSE POSITIVE",4043443,"K00231.01",0.11230008,3.611,-0.0008265,-0.047019
"CANDIDATE",4833421,"K00232.01",0.045902018,5.151,0,0.034032
"CANDIDATE",4833421,"K00232.02",0.019368412,3.925,0,-0.052012
"CANDIDATE",4833421,"K00232.03",0.021496149,8.148,0,0.19628
"CANDIDATE",4833421,"K00232.04",0.017547639,4.897,0,0.24858
"CANDIDATE",4833421,"K00232.05",0.018006504,8.461,0,-0.075776
"FALSE POSITIVE",5023956,"K00233.01",0.10701929,3.826,0.06048,-2.4965
"CANDIDATE",8491277,"K00234.01",0.028931568,4.783,-0.0001339,0.02546
"CANDIDATE",8107225,"K00235.01",0.02636737,2.235,-0.0005645,0.22303
"FALSE POSITIVE",8453211,"K00236.01",0.066140181,6.766,0.02224,0
"CANDIDATE",8041216,"K00237.01",0.027653305,3.772,-0.00017,0.012907
"CANDIDATE",7219825,"K00238.01",0.022318391,4.587,-1.12e-05,0.32958
"CANDIDATE",7219825,"K00238.02",0.018424055,16.37,-0.0002463,-0.70419
"CANDIDATE",7219825,"K00238.03",0.011347777,4.651,8.615e-05,-0.38805
"CANDIDATE",6383785,"K00239.01",0.039225003,3.041,-0.001668,0.27704
"CANDIDATE",6383785,"K00239.02",0.014154263,2.847,-0.00037,0.39692
"CANDIDATE",8026752,"K00240.01",0.031941757,4.279,-0.0001599,0.088608
"CANDIDATE",11288051,"K00241.01",0.030441084,3.919,0.0001222,0.027615
"CANDIDATE",11288051,"K00241.02",0.021677322,5.586,-0.000423,0.41199
"CANDIDATE",11288051,"K00241.03",0.012908172,2.38,0.0001142,0.11504
"FALSE POSITIVE",3642741,"K00242.01",0.056650788,5.798,0.001466,-0.10886
"FALSE POSITIVE",9592579,"K00243.01",0.11378801,5.705,0.03197,-1.4016
"CANDIDATE",4349452,"K00244.01",0.036420429,2.882,-0.0008787,0.55429
"CANDIDATE",4349452,"K00244.02",0.021447683,3.797,-0.0002248,0.77564
"CANDIDATE",8478994,"K00245.01",0.024780324,4.602,-0.0008098,2.1115
"CANDIDATE",8478994,"K00245.02",0.010444274,3.934,-5.604e-05,-1.2964
"CANDIDATE",11295426,"K00246.01",0.019077309,3.53,-4.282e-05,-1.2465
"CANDIDATE",11295426,"K00246.02",0.0080288647,3.043,5.118e-05,-0.21396
"CANDIDATE",11852982,"K00247.01",0.036067278,2.467,0.0005753,-0.050116
