"koi_disposition","kepid","kepoi_name","tce_ror","tce_duration","tce_fwm_prao","tce_dicco_mra"
"CANDIDATE",6345732,"K02857.02",0.0098229598,4.764,3.622e-05,-0.31869
"FALSE POSITIVE",6185496,"K02858.01",0.018328886,1.4,0.0008152,-2.3443
"CANDIDATE",10397751,"K02859.01",0.009987583,2.151,4.119e-05,0.20572
"CANDIDATE",10397751,"K02859.02",0.0079657536,1.889,1.783e-05,-0.24204
"CANDIDATE",10397751,"K02859.03",0.0095994346,2.612,-2.853e-06,-0.50389
"CANDIDATE",10397751,"K02859.04",0.0067293469,2.277,7.022e-05,0.35695
"CANDIDATE",10397751,"K02859.05",0.0078059427,2.712,-8.63e-05,-0.0072185
"CANDIDATE",6606438,"K02860.01",0.030924167,5.206,-0.001552,-0.079534
"FALSE POSITIVE",7815931,"K02861.01",0.015898255,1.506,-7.555e-05,-0.48026
"CANDIDATE",6679295,"K02862.01",0.033044829,2.281,-0.0003351,-3.5484
"FALSE POSITIVE",3241557,"K02863.01",0.0069685866,2.162,-4.062e-05,4.266
"FALSE POSITIVE",3957082,"K02864.01",0.01280291,8.518,-0.002497,0
"CANDIDATE",8681833,"K02865.01",0.013026092,2.039,1.026e-05,-0.012196
"CANDIDATE",4138951,"K02866.01",0.0083070796,1.927,2.855e-05,-0.049038
"FALSE POSITIVE",9899181,"K02867.01",0.0050785299,3.502,-1.003e-06,-1.4441
"FALSE POSITIVE",9899181,"K02867.02",0.0058681834,32.94,2.212e-06,0.24927
"CANDIDATE",8884274,"K02868.01",0.02768255,2.854,9.76e-05,0.38184
"CANDIDATE",7767162,"K02869.01",0.010080491,4.626,5.882e-05,-0.022966
"FALSE POSITIVE",4861791,"K02870.01",0.015423025,4.586,-0.00215,0
"CANDIDATE",10793172,"K02871.01",0.013888287,3.596,-0.0001462,0.15884
"CANDIDATE",10793172,"K02871.02",0.010357875,2.904,0.0001971,-0.25001
"FALSE POSITIVE",7136729,"K02872.01",0.016052864,3.015,-0.0007574,1.6164
"FALSE POSITIVE",6364276,"K02873.01",0.023867402,14.67,0.0003524,-1.8292
"CANDIDATE",9149789,"K02874.01",0.011672825,1.035,2.011e-05,0.37005
"FALSE POSITIVE",12170648,"K02875.01",0.017346235,0.7751,0,0.17393
"FALSE POSITIVE",4367854,"K02876.01",0.016606539,2.145,0.0003169,-3.5014
"FALSE POSITIVE",4367854,"K02876.02",0.0092249417,3.403,5.367e-05,-6.3693
"CANDIDATE",7019524,"K02877.01",0.013624617,3.734,6.53e-06,-0.21983
"CANDIDATE",5106313,"K02878.01",0.014763503,1.741,-5.835e-05,-0.0061102
"FALSE POSITIVE",7051984,"K02879.01",0.0060331557,0.991,-7.693e-05,0.11528
"CANDIDATE",9825174,"K02880.01",0.013237459,1.181,-0.0001053,1.3345
"FALSE POSITIVE",7812455,"K02881.01",0.017498342,0.8073,0.001124,-3.4257
"FALSE POSITIVE",5642620,"K02882.01",0.015976585,0.9714,6.741e-05,0.86549
"FALSE POSITIVE",5642620,"K02882.02",0.018955818,0.9943,-3.107e-05,0.6276
"CANDIDATE",5209845,"K02883.01",0.031505323,2.831,0.0001793,0.22964
"FALSE POSITIVE",9652649,"K02884.01",0.0070817525,4.553,0.0002864,-5.0929
"FALSE POSITIVE",11100670,"K02885.01",0.013363371,4.584,-0.001498,5.3564
"CANDIDATE",6129524,"K02886.01",0.015019139,1.137,-0.0001242,0.27332
"FALSE POSITIVE",3859363,"K02887.01",0.014980663,2.315,0.003817,-4.0518
"FALSE POSITIVE",12023078,"K02888.01",0.0088098296,0.9613,-0.006631,9.7836
"FALSE POSITIVE",6364162,"K02889.01",0.020737521,15.02,0.0001931,-1.2309
"CANDIDATE",7463685,"K02890.01",0.013699041,4.901,0.0001414,0.7467
"FALSE POSITIVE",10068024,"K02891.01",0.0083679428,1.442,-0.0005536,4.4677
"FALSE POSITIVE",9636563,"K02892.01",0.01818418,3.723,0.02825,0
"FALSE POSITIVE",9520443,"K02893.01",0.017698782,0.9608,0.01147,-6.9743
"CANDIDATE",6937402,"K02894.01",0.014678154,5.701,0.0002956,-0.28079
"FALSE POSITIVE",5475641,"K02895.01",0.0094621456,4.298,0.02091,0
"FALSE POSITIVE",2853828,"K02896.01",0.0068594627,1.598,4.941e-05,-0.58523
"FALSE POSITIVE",5817986,"K02897.01",0.015452906,1.172,0.02588,-6.849
"CANDIDATE",11129258,"K02898.01",0.023674301,3.664,-0.0002476,0.1034
"CANDIDATE",4939533,"K02899.01",0.019813274,2.787,-0.0001314,-1.5764
"CANDIDATE",4846856,"K02900.01",0.025846781,5.419,0.0004495,-0.46246
"FALSE POSITIVE",9366886,"K02901.01",0.013931716,1.646,0.0003435,-1.1437
"FALSE POSITIVE",3657176,"K02903.01",0.019958956,2.632,-0.0003038,0.45133
"CANDIDATE",3969687,"K02904.01",0.011374315,9.786,6.345e-06,0.031957
"FALSE POSITIVE",9369366,"K02905.01",0.01004755,4.01,-0.0002254,-0.33234
"CANDIDATE",6716545,"K02906.01",0.010417051,7.231,-0.0001767,-0.70948
"CANDIDATE",6716545,"K02906.02",0.0088239111,8.565,0.000145,0.74352
"CANDIDATE",6716545,"K02906.03",0.013000383,8.465,0.0003555,-0.40914
"FALSE POSITIVE",2708885,"K02907.01",0.014416696,1.979,-0.00261,6.1219
"FALSE POSITIVE",6612284,"K02908.01",0.013610059,1.831,0.0007647,-12.435
"FALSE POSITIVE",7461307,"K02909.01",0.0082401978,1.878,-0.0002861,4.9768
"CANDIDATE",4483138,"K02910.01",0.023607909,3.949,0.0007889,-0.69565
"FALSE POSITIVE",5471202,"K02911.01",0.019334706,24.48,0.000198,-1.0884
"FALSE POSITIVE",9640439,"K02912.01",0.015502039,0.9042,0.0001744,-0.70058
"CANDIDATE",9693006,"K02913.01",0.0062659041,3.191,-6.158e-05,-0.36481
"CANDIDATE",6837283,"K02914.01",0.011039735,9.815,5.878e-05,-1.2639
"CANDIDATE",5613821,"K02915.01",0.0089958368,2.677,-9.807e-05,-0.8938
"FALSE POSITIVE",7269881,"K02916.01",0.010973175,0.5683,-0.000138,-0.11927
"FALSE POSITIVE",3228945,"K02917.01",0.0083845411,3.474,0.0001841,-4.118
"FALSE POSITIVE",7008149,"K02918.01",0.027050925,0.9851,0.004104,-5.2035
"CANDIDATE",10332213,"K02919.01",0.014980292,1.004,-9.987e-05,0.19613
"CANDIDATE",7090524,"K02920.01",0.0126773,4.404,0.0001664,-0.4942
"CANDIDATE",6842807,"K02921.01",0.023202186,3.588,-0.0005738,-1.3442
"FALSE POSITIVE",4381282,"K02922.01",0.012079283,1.55,-0.0009808,3.485
"CANDIDATE",9815053,"K02923.01",0.013602515,1.152,0.0002619,-0.35561
"CANDIDATE",7609553,"K02924.01",0.010856792,1.637,0.0001008,0.014325
"CANDIDATE",7609553,"K02924.02",0.020400984,0.5931,0.0008125,-0.2952
"CANDIDATE",6974658,"K02925.01",0.0093500893,0.8153,1.616e-06,-0.4263
"CANDIDATE",10122538,"K02926.01",0.03445159,2.293,8.637e-06,-0.30343
"CANDIDATE",10122538,"K02926.02",0.043222121,3.22,-0.0003504,-0.11723
"CANDIDATE",10122538,"K02926.03",0.046478808,3.834,-0.0001236,0.12398
"CANDIDATE",10122538,"K02926.04",0.05073303,5.405,0.001127,0.19475
"CANDIDATE",10122538,"K02926.05",0.057753722,4.691,2.619e-05,-0.29881
"CANDIDATE",5787131,"K02927.01",0.023597828,6.615,-0.0006206,-0.49777
"FALSE POSITIVE",3230753,"K02928.01",0.016291984,5.767,-0.001864,5.5428
"FALSE POSITIVE",8358012,"K02929.01",0.027182472,3.768,0.003186,-0.054098
"FALSE POSITIVE",4664046,"K02930.01",0.011654076,3.142,-0.001022,0
"CANDIDATE",8611257,"K02931.01",0.027637561,7.005,0.001271,0.49764
"FALSE POSITIVE",3861611,"K02932.01",0.025025398,2.394,0.0008922,0
"FALSE POSITIVE",12416987,"K02933.01",0.081370609,2.581,-0.0004887,-0.087416
"FALSE POSITIVE",10964265,"K02934.01",0.011455961,1.691,0.0008063,-0.35741
"CANDIDATE",8259713,"K02935.01",0.015964874,7.337,0.0002067,0.15864
"CANDIDATE",10880507,"K02936.01",0.012500646,3.433,0.0001282,0.67655
"FALSE POSITIVE",9837578,"K02937.01",0.5,3.5,0.1395,0.026737
"FALSE POSITIVE",7821010,"K02938.01",0.44629598,2.5,0,-0.16794
"FALSE POSITIVE",5473556,"K02939.01",0.55533834,8.963,0.0159,-0.012236
"FALSE POSITIVE",9532424,"K02941.01",0.01303389,1.567,0.001278,-2.0151
"CANDIDATE",4385148,"K02942.01",0.026294959,4.235,-0.0004917,0.6907
"CANDIDATE",4385148,"K02942.02",0.02651056,4.788,-0.0007773,0.66097
"CANDIDATE",9838468,"K02943.01",0.014391594,9.511,-0.0001568,0.91462
"FALSE POSITIVE",6781548,"K02944.01",0.040693239,4.163,0.03669,-3.3239
"CANDIDATE",8617363,"K02945.01",0.030032445,1.715,0.001058,-0.35619
"CANDIDATE",9642292,"K02946.01",0.022334674,4.502,0.0003105,-0.15999
"CANDIDATE",6356692,"K02948.01",0.007609189,5.101,2.404e-06,0.074367
"CANDIDATE",6026737,"K02949.01",0.0079063258,5.499,-5.228e-05,-0.23783
"CANDIDATE",6026737,"K02949.02",0.0065239151,2.941,-8.148e-05,-0.60023
"FALSE POSITIVE",6028860,"K02950.01",0.017065821,1.019,0.0001769,-0.22971
"CANDIDATE",4991208,"K02951.01",0.007985511,1.795,9.95e-06,-0.57159
"FALSE POSITIVE",8243283,"K02952.01",0.0146473,3.043,0.0007757,-9.9348
"FALSE POSITIVE",6778019,"K02953.01",0.01102288,1.893,-0.0003765,5.4762
"FALSE POSITIVE",4571536,"K02954.01",0.013359113,1.104,0.0003136,0
"FALSE POSITIVE",5108946,"K02955.01",0.011033241,1.262,-0.0001027,0.48318
"CANDIDATE",8801316,"K02956.01",0.0049024529,5.018,-2.001e-05,0.30436
"CANDIDATE",10904004,"K02957.01",0.011692541,2.442,-0.0001761,0.74972
"CANDIDATE",10597693,"K02958.01",0.018519976,3.618,-0.0002442,0.076551
"CANDIDATE",7466270,"K02959.01",0.035504861,3.748,-0.001139,3.5218
"FALSE POSITIVE",10876237,"K02960.01",0.0086649105,1.649,-0.0008291,5.009
"CANDIDATE",10471515,"K02961.01",0.0061660685,2.998,9.946e-06,-0.073923
"CANDIDATE",4935172,"K02962.01",0.0094300902,2.093,-3.626e-05,0.67534
"CANDIDATE",8760040,"K02963.01",0.014805166,5.435,-4.034e-05,0.1461
"CANDIDATE",8760040,"K02963.02",0.011210331,2.83,-0.0001499,-0.78592
"CANDIDATE",10098844,"K02964.01",0.015588558,11.07,9.819e-05,0.23447
"FALSE POSITIVE",10098844,"K02964.02",0.0092436428,13.61,-0.0001417,0.56009
"FALSE POSITIVE",8429415,"K02965.01",0.0063120483,3.075,-0.0001712,9.9748
"FALSE POSITIVE",5014903,"K02966.01",0.022445185,2.284,0.0005631,-0.0077468
"CANDIDATE",5980783,"K02967.01",0.023777391,6.973,0.001055,-0.19594
"CANDIDATE",8873090,"K02968.01",0.0064164748,5.912,2.61e-05,-0.36314
"FALSE POSITIVE",8560804,"K02969.01",0.019831221,12.06,-0.0001236,2.3764
"CANDIDATE",5450893,"K02970.01",0.0070855634,3.47,-3.338e-06,0.081427
"CANDIDATE",4770174,"K02971.01",0.0098836998,6.026,2.194e-05,-0.47715
"CANDIDATE",4770174,"K02971.02",0.010229548,8.415,-6.083e-05,-1.0542
"CANDIDATE",8949925,"K02972.01",0.0172758,5.589,-0.0001051,2.5948
"FALSE POSITIVE",8949925,"K02972.02",0.018416143,8.653,-0.0001987,5.2527
"FALSE POSITIVE",5091016,"K02973.01",0.016064042,2.82,-0.01078,0
"FALSE POSITIVE",6948480,"K02975.01",0.048491829,6.104,0.0006775,0.58782
"CANDIDATE",6438099,"K02976.01",0.029769271,1.546,-0.001193,0.35513
"CANDIDATE",11090556,"K02977.01",0.0085920294,3.459,3.744e-05,0.58774
"CANDIDATE",11090556,"K02977.02",0.0085270016,3.573,3.626e-05,-0.4709
"FALSE POSITIVE",10686814,"K02978.01",0.021647388,4.629,-0.0002248,-0.37145
"FALSE POSITIVE",2720514,"K02979.01",0.0082561257,1.31,-0.0007771,8.947
"CANDIDATE",9468551,"K02980.01",0.012546659,2.036,0.0002029,0.204
"CANDIDATE",9076971,"K02981.01",0.02162431,3.357,-0.0007531,2.6469
"CANDIDATE",8360640,"K02982.01",0.015746904,1.062,-0.0001352,0.31302
"FALSE POSITIVE",5695904,"K02983.01",0.014176002,0.8497,0.001313,-2.4417
"CANDIDATE",7918652,"K02984.01",0.0082399183,4.977,0.0001259,-0.58096
"FALSE POSITIVE",8847111,"K02985.01",0.010293763,1.282,-0.0006398,3.4306
"FALSE POSITIVE",4568298,"K02986.01",0.012510522,1.678,4.57e-05,-3.4284
"FALSE POSITIVE",4374339,"K02987.01",0.008004993,0.9045,0.0007126,-7.2391
"CANDIDATE",6636320,"K02989.01",0.020982199,3.207,0.0002649,-0.066334
"CANDIDATE",5520547,"K02990.01",0.015688299,4.164,-0.0001042,0.049473
"FALSE POSITIVE",4848424,"K02991.01",0.0085701664,3.173,-0.0003459,2.8026
"CANDIDATE",8509442,"K02992.01",0.036286888,3.515,-0.0008268,0.0123
"FALSE POSITIVE",11304987,"K02993.01",0.025558353,0.6043,0.003531,-2.0505
"CANDIDATE",11244137,"K02994.01",0.0090403761,3.138,1.689e-06,0.0043388
"CANDIDATE",3848275,"K02995.01",0.016790605,3.186,0.0003614,0.07389
"CANDIDATE",12021625,"K02996.01",0.024576171,2.737,-0.0006592,-0.13928
"FALSE POSITIVE",9777256,"K02997.01",0.011494651,4.121,-0.0003196,2.7002
"CANDIDATE",4175630,"K02998.01",0.031904195,5.894,-0.0005242,-0.18817
"FALSE POSITIVE",7433585,"K02999.01",0.0049598297,3.135,0.0007992,0
"FALSE POSITIVE",5702939,"K03000.01",0.015632312,5.092,0.001225,-4.7922
"FALSE POSITIVE",11709423,"K03001.01",0.022328176,0.7319,0.003453,-4.1452
"CANDIDATE",3852655,"K03002.01",0.010003161,2.859,1.09e-05,0.59239
"FALSE POSITIVE",11255231,"K03003.01",0.014497992,4.302,0.0005418,-2.2519
"CANDIDATE",6103377,"K03004.01",0.020479052,6.621,-0.0001942,-0.03946
"CANDIDATE",6103377,"K03004.02",0.016987914,3.062,-0.0001434,0.39934
"FALSE POSITIVE",3747262,"K03005.01",0.006259665,1.479,0.0002687,-3.3552
"CANDIDATE",8758136,"K03006.01",0.0088835755,2.659,-0.0003437,1.9725
"CANDIDATE",10190075,"K03007.01",0.014000716,2.141,-0.0001395,-0.25007
"CANDIDATE",9070666,"K03008.01",0.0071873783,4.432,2.057e-07,-0.55297
"CANDIDATE",12405333,"K03009.01",0.012856183,1.259,-8.589e-05,-0.34604
"CANDIDATE",3642335,"K03010.01",0.02774719,4.565,-0.000963,-0.24867
"FALSE POSITIVE",3328052,"K03011.01",0.015930176,3.639,0.0005658,0.32884
"FALSE POSITIVE",7109851,"K03012.01",0.0081111299,0.618,-0.0002221,2.8433
"CANDIDATE",11565544,"K03013.01",0.016220897,0.9879,-0.0002284,0.41818
"CANDIDATE",7347246,"K03014.01",0.028735006,6.079,-0.0004359,0.16699
"CANDIDATE",11403530,"K03015.01",0.0070399363,3.341,-7.189e-05,0.32802
"FALSE POSITIVE",10617638,"K03016.01",0.010236013,1.242,0.001161,-2.7168
"CANDIDATE",12072872,"K03017.01",0.0071566765,1.699,5.669e-05,0.62269
"FALSE POSITIVE",7906671,"K03018.01",0.024570979,3.64,-0.001191,1.6938
"CANDIDATE",8709688,"K03019.01",0.01357353,2.573,-0.000147,0.37543
"CANDIDATE",8709688,"K03019.02",0.0085136976,2.135,1.283e-05,0.31054
"CANDIDATE",8241079,"K03020.01",0.010504488,4.75,-0.000155,0.33958
"FALSE POSITIVE",3348285,"K03021.01",0.0076365409,1.374,-0.00059,6.8621
"CANDIDATE",11618601,"K03022.01",0.01317705,1.788,-7.994e-05,1.0008
"CANDIDATE",11618601,"K03022.02",0.016159471,3.284,-0.0001045,-0.29161
"FALSE POSITIVE",7732285,"K03023.01",0.011034748,3.113,-0.0001137,1.9214
"CANDIDATE",9716391,"K03025.01",0.023710551,3.691,-0.0005586,0.35696
"CANDIDATE",6929841,"K03026.01",0.01402502,1.287,-0.0004535,-0.33666
"CANDIDATE",11137180,"K03027.01",0.020243284,1.505,0.0001855,-0.56043
"FALSE POSITIVE",9838804,"K03028.01",0.011871148,2.971,-1.503e-05,0.032912
"CANDIDATE",5903749,"K03029.01",0.023119117,2.575,-0.0005862,0.46851
"CANDIDATE",5903749,"K03029.02",0.013220726,3.347,0.0001093,-1.2594
"FALSE POSITIVE",5524881,"K03030.01",0.014195625,4.109,0.0001253,-1.7494
"CANDIDATE",6949898,"K03031.01",0.014798068,2.382,-0.0002932,-0.94646
"CANDIDATE",10585738,"K03032.01",0.01082482,1.279,0.0001234,0.27162
"FALSE POSITIVE",7186665,"K03033.01",0.01360678,4.669,0.0003604,-0.69702
"CANDIDATE",2973386,"K03034.01",0.029518058,1.813,-0.0003211,0.26334
"FALSE POSITIVE",6388770,"K03035.01",0.024063298,38.05,4.863e-05,-0.68715
"FALSE POSITIVE",5217891,"K03036.01",0.038737224,24.77,-0.001302,-0.47527
"CANDIDATE",6593150,"K03037.01",0.018102417,3.899,0.0001384,0.26195
"CANDIDATE",8051946,"K03038.01",0.0072369941,2.742,-2.159e-05,0.069951
"CANDIDATE",5445681,"K03039.01",0.010014808,7.302,4.869e-06,0.0079915
"CANDIDATE",6357290,"K03040.01",0.018571687,2.092,-0.0001708,-0.040096
"CANDIDATE",4072955,"K03041.01",0.010623278,2.533,-3.338e-05,0.13787
"CANDIDATE",8695311,"K03042.01",0.019730973,5.612,0.0002818,-0.84245
"CANDIDATE",9834731,"K03043.01",0.0095322918,3.099,6.983e-05,0.17495
"FALSE POSITIVE",9153554,"K03044.01",0.017183481,0.7239,-0.001768,4.1963
"CANDIDATE",5092266,"K03045.01",0.024925607,4.279,0.0005104,-0.27196
"FALSE POSITIVE",9301506,"K03047.01",0.017373265,0.9423,-0.0004891,0.86134
"CANDIDATE",9714550,"K03048.01",0.01101059,1.689,5.117e-05,0.019673
"CANDIDATE",6263593,"K03049.01",0.026113561,3.976,-1.537e-05,-0.065357
"CANDIDATE",5475042,"K03050.01",0.012809294,1.718,-5.881e-05,0.2828
"CANDIDATE",8827575,"K03052.01",0.009090179,3.453,3.406e-05,0.19238
"CANDIDATE",8827575,"K03052.02",0.011176069,3.859,-0.0001814,-0.25841
"CANDIDATE",2716801,"K03053.01",0.024957,5.815,0.0005187,-0.42256
"CANDIDATE",2716801,"K03053.02",0.01699715,4.742,-0.0004789,0.78645
"FALSE POSITIVE",6461850,"K03054.01",0.014243647,1.031,0.001767,-0.79907
"FALSE POSITIVE",7281454,"K03055.01",0.0026207103,4.252,-5.314e-05,-0.52904
"CANDIDATE",7216284,"K03056.01",0.017025617,2.758,-0.0002745,0.083874
"CANDIDATE",3234843,"K03057.01",0.037400442,3.739,0.002132,-0.14826
"CANDIDATE",3234843,"K03057.02",0.025579132,3.809,-0.0001893,-0.41203
"FALSE POSITIVE",8192911,"K03058.01",0.023691623,4.031,-0.0004881,0.57176
"FALSE POSITIVE",10554967,"K03059.01",0.017982316,0.8597,0.001451,-2.6428
"CANDIDATE",11019987,"K03060.01",0.0069566361,5.031,-9.593e-06,-0.69485
"CANDIDATE",4857058,"K03061.01",0.017222507,1.078,-0.0002875,0.54154
"FALSE POSITIVE",4857058,"K03061.02",0.014687515,6.649,0.000276,-0.011505
"FALSE POSITIVE",7613246,"K03062.01",0.01150227,0.7963,0.0003805,-2.4292
"CANDIDATE",10924562,"K03063.01",0.015223311,7.39,0.0005388,-0.94829
"FALSE POSITIVE",9899505,"K03064.01",0.010394354,2.969,0.0009121,-3.3681
"CANDIDATE",5040077,"K03065.01",0.011226497,0.9757,0.0001647,0.3883
"CANDIDATE",4067925,"K03066.01",0.030113418,3.871,0.0002641,0.67632
"FALSE POSITIVE",4847782,"K03067.01",0.015467055,10.04,-0.001138,6.4419
"CANDIDATE",3230805,"K03068.01",0.013377526,2.067,0.0003363,0.50636
"CANDIDATE",3230805,"K03068.02",0.012965922,2.439,0.000163,-0.053418
"CANDIDATE",4676964,"K03069.01",0.017091319,7.251,0.0001661,-0.70648
"FALSE POSITIVE",6072593,"K03070.01",0.012031214,1.656,-0.002811,6.3036
"CANDIDATE",5865654,"K03071.01",0.015231492,3.265,-0.0002993,0.71623
"FALSE POSITIVE",3219643,"K03072.01",0.043810582,4.646,8.123e-05,-0.23919
"CANDIDATE",8546542,"K03073.01",0.015298876,1.14,0.0003517,0.03296
"FALSE POSITIVE",8197560,"K03074.01",0.036825711,2.065,0.002164,-2.4469
"CANDIDATE",3328080,"K03075.01",0.010583195,2.756,4.926e-05,-0.11002
"CANDIDATE",2715695,"K03077.01",0.020383168,1.676,-0.0007769,-0.41422
"CANDIDATE",2715695,"K03077.02",0.021026755,2.704,0.00131,1.1104
"CANDIDATE",8430964,"K03078.01",0.012546913,3.326,-4.383e-05,0.45753
"FALSE POSITIVE",3654719,"K03081.01",0.018477766,6.899,0.00558,-4.9761
"FALSE POSITIVE",10619142,"K03082.01",0.012803026,3.838,-0.0001273,0.81639
"CANDIDATE",7106173,"K03083.01",0.0077931143,3.099,0.0001045,-0.23474
"CANDIDATE",7106173,"K03083.02",0.0073391222,4.04,-7.952e-05,-0.14363
"CANDIDATE",7106173,"K03083.03",0.0064795209,2.282,-9.081e-05,0.59956
"FALSE POSITIVE",3324986,"K03084.01",0.011756271,1.68,4.101e-05,2.6833
"FALSE POSITIVE",11912932,"K03085.01",0.010318388,3.738,-0.0001001,1.037
"CANDIDATE",10749059,"K03086.01",0.039538109,10.45,-0.0007383,-0.5305
"FALSE POSITIVE",9119568,"K03087.01",0.0088597035,4.672,0.001246,-5.7859
"FALSE POSITIVE",9119568,"K03087.02",0.016301559,1.45,-0.0004981,-2.0432
"CANDIDATE",9020114,"K03088.01",0.012959341,1.573,-0.0001598,0.30163
"CANDIDATE",7668416,"K03089.01",0.016968393,0.6099,-0.0004119,0.069249
"CANDIDATE",6609270,"K03090.01",0.017711967,1.938,-0.0001711,0
"FALSE POSITIVE",6609270,"K03090.02",0.022370071,2.397,-0.0002321,0
"CANDIDATE",12406807,"K03091.01",0.01682228,5.941,-0.0002251,-0.046733
"CANDIDATE",12406807,"K03091.02",0.011514582,4.949,-4.843e-05,0.66941
"FALSE POSITIVE",8046689,"K03092.01",0.018785903,2.536,0.03287,0
"CANDIDATE",5096590,"K03093.01",0.013715699,7.577,0.0001261,-0.30218
"CANDIDATE",12352520,"K03094.01",0.025122352,0.8248,-0.001467,0.68753
"CANDIDATE",9650989,"K03095.01",0.013585736,1.873,0.0002244,-0.13433
"CANDIDATE",7455981,"K03096.01",0.01098435,8.644,7.253e-05,-0.53237
"CANDIDATE",7582689,"K03097.01",0.0074060119,5.012,3.224e-05,-0.14019
"CANDIDATE",7582689,"K03097.02",0.0057813636,4.587,-5.104e-05,0.5698
"CANDIDATE",7582689,"K03097.03",0.0062129873,4.834,-4.614e-05,0.040876
"FALSE POSITIVE",9959589,"K03098.01",0.01316474,3.899,-0.0009051,1.5286
"FALSE POSITIVE",5124254,"K03099.01",0.022834761,2.947,-0.0003052,1.9162
"FALSE POSITIVE",7107561,"K03100.01",0.0070999456,1.033,-0.000641,1.7963
"CANDIDATE",11508644,"K03101.01",0.014736116,4.795,-7.646e-05,0.65688
"CANDIDATE",11518201,"K03104.01",0.014532916,1.063,-0.0001188,0.026929
"CANDIDATE",12168993,"K03105.01",0.010315835,7.194,0.0002825,-0.053238
"CANDIDATE",8895758,"K03106.01",0.011750062,1.766,7.976e-05,0.083685
"FALSE POSITIVE",10031500,"K03107.01",0.013754877,7.34,-0.0005927,0
"CANDIDATE",3756264,"K03108.01",0.019606568,1.423,-0.0004958,0.14038
"CANDIDATE",11572193,"K03109.01",0.012575291,4.749,1.236e-05,0.31391
"CANDIDATE",11285870,"K03110.01",0.01148368,2.903,-4.027e-05,-0.74156
"CANDIDATE",8581240,"K03111.01",0.0087590732,3.625,5.707e-05,-1.5637
"CANDIDATE",8581240,"K03111.02",0.0067372047,2.971,5.892e-05,0.89533
"CANDIDATE",7022573,"K03112.01",0.016852905,1.008,-4.369e-05,-0.34398
"CANDIDATE",7676423,"K03113.01",0.020080545,2.023,0.0001903,-0.093069
"CANDIDATE",9288237,"K03114.01",0.0064981362,6.422,8.568e-07,-0.5675
"CANDIDATE",11714231,"K03115.01",0.014443622,3.969,5.168e-05,-0.28938
"CANDIDATE",11720424,"K03116.01",0.021529139,6.239,0.0002472,0.20769
"CANDIDATE",6523351,"K03117.01",0.0090161334,1.878,-2.257e-05,-0.68891
"CANDIDATE",5551672,"K03119.01",0.041005756,1.133,0.0001184,0.20541
"CANDIDATE",11499192,"K03120.01",0.013700701,2.306,0.0002278,-0.095338
"FALSE POSITIVE",10934313,"K03121.01",0.010932435,1.653,-0.000803,4.4307
"CANDIDATE",12416661,"K03122.01",0.0064386813,5.699,2.033e-06,-0.11062
"CANDIDATE",8197793,"K03123.01",0.017256647,4.129,-1.866e-05,0.73809
"FALSE POSITIVE",4076976,"K03124.01",0.017964938,12.17,0.002633,-10.212
"CANDIDATE",8751796,"K03125.01",0.0071338422,3.869,2.695e-05,-0.76499
"FALSE POSITIVE",7097534,"K03126.01",0.0094307144,4.432,6.121e-05,0.42238
"CANDIDATE",9907129,"K03127.01",0.012983942,7.362,-0.0001309,-0.14183
"CANDIDATE",7609674,"K03128.01",0.010762239,4.307,-6.947e-05,-0.34374
"FALSE POSITIVE",6964159,"K03129.01",0.015414108,3.589,0.0003893,-0.99166
"CANDIDATE",10252275,"K03130.01",0.015844547,2.169,-1.56e-06,-0.45938
"CANDIDATE",10252275,"K03130.02",0.011926296,2.162,-0.0001317,-0.55936
"CANDIDATE",11455181,"K03131.01",0.014828473,5.978,-1.142e-05,0.2026
"FALSE POSITIVE",9541295,"K03132.01",0.0034173633,4.087,1.657e-05,-4.6294
"FALSE POSITIVE",6115516,"K03134.01",0.012806414,0.6603,0.0003222,1.3706
"FALSE POSITIVE",9899352,"K03135.01",0.013135314,4.106,-0.0005505,0.76721
"CANDIDATE",6945786,"K03136.01",0.013501161,1.994,-0.0003001,-0.39637
"CANDIDATE",9758032,"K03137.01",0.0098135154,1.289,1.334e-05,-0.049192
"CANDIDATE",6444896,"K03138.01",0.038982151,1.26,-0.001399,0.35339
"FALSE POSITIVE",6444896,"K03138.02",0.037262007,1.23,-0.001512,0.16832
"CANDIDATE",5978170,"K03140.01",0.016976318,2.75,-0.0001288,-0.14038
"CANDIDATE",5440317,"K03141.01",0.010516143,1.609,5.157e-05,-0.40935
"CANDIDATE",3752110,"K03142.01",0.018854374,5.619,-0.001039,1.3427
"CANDIDATE",5688790,"K03144.01",0.035455257,2.426,0.001515,-0.45421
"CANDIDATE",1717722,"K03145.01",0.025744,21.98,0.005408,-4.711
"CANDIDATE",1717722,"K03145.02",0.024265742,1.866,1.815e-05,1.3664
"CANDIDATE",10908248,"K03146.01",0.01323861,8.385,-8.818e-05,-0.58355
"CANDIDATE",7534267,"K03147.01",0.014778777,6.844,-0.0003381,-0.0096731
"FALSE POSITIVE",10611420,"K03148.01",0.016035388,2.308,-0.001324,2.5818
"FALSE POSITIVE",6504534,"K03152.01",0.26125584,3.196,0.0006254,-0.021729
"FALSE POSITIVE",6307062,"K03153.01",0.5,4.5,0.8138,-0.066685
"FALSE POSITIVE",5217733,"K03155.01",0.28781732,24.22,0.05474,-2.6345
