"koi_disposition","kepid","kepoi_name","tce_dor","tce_sradius_prov","tce_fwm_prao","tce_incl_sn"
"CANDIDATE",11449844,"K00125.01",66.459158,0,5.863e-05,108.933543154582
"FALSE POSITIVE",5897826,"K00126.01",19.982292,0,0.003046,4463.17927882174
"CANDIDATE",5897826,"K00126.02",26.436789,0,0.0006563,64.4860499265786
"CANDIDATE",8359498,"K00127.01",9.6621609,0,-0.000137,473.035522066738
"CANDIDATE",11359879,"K00128.01",10.050962,0,0.001817,2130.96120583148
"CANDIDATE",11974540,"K00129.01",29.000865,0,0.0018,33.5458612975391
"CANDIDATE",5297298,"K00130.01",43.092217,0,-2.357e-05,11400.6139677667
"CANDIDATE",7778437,"K00131.01",8.6602385,0,-0.002294,194.084011436112
"FALSE POSITIVE",8892910,"K00132.01",10.219229,0,-0.0001769,1504.88888888889
"FALSE POSITIVE",11673674,"K00133.01",4.5038557,0,-0.01947,466.705471478463
"FALSE POSITIVE",9032900,"K00134.01",230.49441,0,0.0001761,4766.57824933687
"CANDIDATE",9818381,"K00135.01",6.9001951,0,-0.0001734,916.115747263466
"FALSE POSITIVE",7601633,"K00136.01",25.213422,0,0,792.238267148015
"CANDIDATE",8644288,"K00137.01",24.319192,0,0,564.769820971867
"CANDIDATE",8644288,"K00137.02",11.522149,0,0,292.135593220339
"CANDIDATE",8644288,"K00137.03",6.0705671,0,0,14.3050193050193
"FALSE POSITIVE",8506766,"K00138.01",31.349699,0,-0.0001232,1748.81046788263
"CANDIDATE",8559644,"K00139.01",129.6812,0,0.0001498,3408.43465045593
"CANDIDATE",8559644,"K00139.02",3.9245681,0,2.957e-05,7.70730726706202
"FALSE POSITIVE",5130369,"K00140.01",6.3946589,0,-0.01005,218.505623995715
"CANDIDATE",12105051,"K00141.01",7.4875631,0,0.0001489,357.788296041308
"CANDIDATE",4649305,"K00143.01",23.269086,0,8.489e-05,1770.33299697275
"CANDIDATE",4180280,"K00144.01",6.1059333,0,0.0006774,62.2706766917293
"CANDIDATE",9904059,"K00145.01",24.254299,0,-0.000121,832.322274881517
"FALSE POSITIVE",9048161,"K00146.01",5.6928399,0,0.03337,187.864534336783
"FALSE POSITIVE",1996679,"K00147.01",91.051574,0,-0.01371,834.547152194211
"CANDIDATE",5735762,"K00148.01",13.508573,0,-0.0002655,117.009194159005
