"koi_disposition","kepid","kepoi_name","tce_time0bk","tce_ldm_coeff2","tce_ldm_coeff3","tce_robstat","tce_dof1","tce_sma","tce_smet_prov","tcet_period","tcet_time0bk","tcet_time0","tce_maxmes","boot_fap","boot_messtd","tce_rb_tcount0","tce_fwm_prao","tce_time0bk_sn","tce_sma_sn","tce_fwm_sra_sn"
"FALSE POSITIVE",11913073,"K00011.01",134.189,-0.1496812,0.748464,96.8,3159,0.04598,5,3.74786,134.183,2454970,16.17,0,1.0473,342,-0.0007874,143288.844657675,5.09812617806852,6600051.02040816
"CANDIDATE",5812701,"K00012.01",146.596,0.7265728,-0.6756732,384,423,0.1491,7,17.855,146.606,2454980,3.37,0,1.0637,72,0.0004751,2439607.25578299,6.13075657894737,188859495.238095
"CANDIDATE",9941662,"K00013.01",132.912,0.0837158,-0.0165732,5800,6561,0.03861,5,1.76359,132.91,2454970,27.16,-1,-1,721,0,21971758.3423979,2.52848722986248,394462020.618557
"FALSE POSITIVE",7684873,"K00014.01",133.216,0.3095424,-0.0216084,270.5,3969,0.04921,5,2.94737,133.216,2454970,57.96,0,1.0922,331,0.0005353,1363981.69289525,4.33568281938326,17417346.4285714
"FALSE POSITIVE",3964562,"K00015.01",132.247,0.1312594,0.001674,303.1,3132,0.05197,5,3.01246,132.251,2454970,44.87,0,1.0358,319,0.092,729517.872903795,4.16426282051282,9336927.61904762
"FALSE POSITIVE",9110357,"K00016.01",131.618,0.3341996,-0.088232,48.59,13180,0.02311,5,0.895276,131.622,2454960,1.563,0,1.0455,1413,0.04832,254541.375689208,2.14577530176416,2792464.18539326
"CANDIDATE",10874614,"K00017.01",134.425,-0.3018144,0.868388,2784,2925,0.04347,8,3.23468,134.428,2454970,3.54,0,1.0424,314,0.00086,7198241.4710812,15.4532527550658,172079573.913043
"CANDIDATE",8191672,"K00018.01",133.547,0.648858,-0.4474408,2161,3339,0.04994,9,3.54844,133.553,2454970,6.195,0,1.0541,361,0.0004054,4550618.461853,14.2441528807758,122456865.030675
"FALSE POSITIVE",7255336,"K00019.01",131.521,0.8271856,-0.6230132,1368,9765,0.02249,4,1.2032,131.523,2454960,1.784,0,1.1179,895,0.0004573,6954845.66938294,5.79788605310647,67131146.953405
"CANDIDATE",11804465,"K00020.01",135.506,0.2897618,0.0944154,3167,2070,0.05445,10,4.43796,135.505,2454970,4.484,0,1.0254,221,-4.892e-05,6138020.06658664,5.42330677290837,192756515.151515
"FALSE POSITIVE",10125352,"K00021.01",134.839,1.1922724,-1.1044488,516.2,2790,0.0534,5,4.2885,134.841,2454970,38.85,0,1.0127,299,-0.006036,1761479.94675285,3.00675675675676,31585059.9001664
"CANDIDATE",9631995,"K00022.01",137.793,0.115426,0.3042392,1803,1485,0.08123,11,7.89143,137.795,2454970,2.423,0,1.0263,142,0.001755,3032543.1741204,6.96655231560892,81215400.862069
"FALSE POSITIVE",9071386,"K00023.01",132.17,0.50658,-0.294806,2140,2295,0.06001,4,4.69334,132.164,2454970,58.14,0,1.1055,271,-0.000133,8369003.59657565,6.55274077309456,286895987.841945
"FALSE POSITIVE",4743513,"K00024.01",133.419,1.294645,-1.1712978,401.2,5661,0.03042,5,2.08609,133.41,2454970,17.05,0,1.0341,612,0.02495,1778827.50096995,3.29613175858706,48107955.3349876
"FALSE POSITIVE",10593759,"K00025.01",132.877,0.639212,-0.4112272,1293,3771,0.04303,5,3.1326,132.879,2454970,2.616,0,1.069,411,-4.409e-05,2774536.6619616,3.63122362869198,142845288.888889
"FALSE POSITIVE",5021737,"K00026.01",144.137,0.807628,-0.6864264,1058,657,0.1279,5,15.0394,144.139,2454980,1140,0,1.0443,70,0.04122,487201.154650884,3.8887199756765,81192830.5785124
"FALSE POSITIVE",3832716,"K00027.01",131.517,0.942288,-0.7493904,6957,10150,0.02116,5,1.14187,131.521,2454960,3595,-1,-1,1122,0,-131.517,-0.02116,0
"FALSE POSITIVE",4247791,"K00028.01",133.289,0.2915156,0.100604,9203,5526,0.03253,12,2.05043,133.29,2454970,18.91,-1,-1,624,0.02208,7879323.49272595,3.40165220119209,3506286080.58608
"FALSE POSITIVE",6956014,"K00031.01",131.751,-1.0436516,1.643365,88.55,12840,0,4,0.92558,131.749,2454960,2.964,0,1.0347,1378,-1.231e-05,821959.08640019,0,19800122.2222222
"FALSE POSITIVE",5725087,"K00033.01",131.727,-0.46262,1.2053776,8.249,16110,0,12,0.7324,131.724,2454960,4.724,-1,-1,1735,3.992e-05,146470.093757227,0,1185497.60479042
"CANDIDATE",6521045,"K00041.01",135.763,0.0920976,0.376838,67.04,900,0.1089,0,12.8157,135.773,2454970,2.859,0,1.0429,100,0.0001068,119103.932904629,20.2003338898164,5630645.79710145
"CANDIDATE",6521045,"K00041.02",133.179,0.0920976,0.376838,28.46,1629,0.07201,0,6.887,133.186,2454970,3.062,9.1261e-152,1.0499,179,-3.921e-06,65072.6563797872,20.2048260381594,2326436.16766467
"CANDIDATE",6521045,"K00041.03",153.985,0.0920976,0.376838,16.87,306,0.2142,0,35.3339,153.96,2454990,3.015,1.953e-66,1.0519,34,-6.725e-06,30764.7585330574,20.2075471698113,1517636.09375
"CANDIDATE",8866102,"K00042.01",145.563,0.6973316,-0.526438,112.9,648,0.1423,0,17.8336,145.57,2454980,3.151,0,1.0685,71,0.0002523,306503.269006033,22.9886914378029,5185912.08791209
"FALSE POSITIVE",9025922,"K00043.01",131.805,0.1043987,0.3852545,156.2,1044,0.09869,13,11.3203,131.804,2454960,26.56,0,1.0222,114,0.09774,104026.73969835,1011375.28182005,7607034.63035019
"FALSE POSITIVE",8845026,"K00044.01",160.475,0.0160132,0.4576956,274.3,189,0.3277,12,66.4696,160.455,2454990,13.35,0,1.075,20,0.004064,426261.252526755,4.06021558666832,52520060.3674541
"FALSE POSITIVE",3742855,"K00045.01",135.982,0.1043987,0.3852545,547.2,1881,0.06746,13,6.39719,135.982,2454970,47.93,0,1.0343,203,0.04568,542275.145356952,4717482.51748252,52159412.3989218
"CANDIDATE",10905239,"K00046.01",132.568,-0.3266162,0.906213,313.3,3438,0.04612,14,3.48767,132.572,2454970,1.919,0,1.0363,364,-0.0001073,705655.65698773,4.55731225296443,12934039.7260274
"CANDIDATE",10905239,"K00046.02",132.481,-0.3266162,0.906213,8.378,1656,0.06643,14,6.02981,132.473,2454970,2.972,5.6114e-19,1.0343,188,5.168e-05,16450.4621069794,4.5562414266118,379953.038229376
"FALSE POSITIVE",7837302,"K00048.01",149.94,0.9693132,-0.7747384,2481,504,0.1661,12,23.837,149.933,2454980,3.596,0,1.0351,55,4.268e-05,1946405.69200992,1.99184554502938,209209068.783069
"CANDIDATE",9527334,"K00049.01",134.423,0.155537,0.2887904,78.42,1368,0.08204,4,8.31378,134.423,2454970,2.93,0,1.1013,129,0.0001002,275982.918266368,7.12771503040834,8507979.03930131
"FALSE POSITIVE",6056992,"K00051.01",133.936,0.1043987,0.3852545,468.9,1071,0.09345,13,10.4311,133.937,2454970,2.515,0,1.0003,114,0.01613,661063.043231478,6271812.08053691,35738954.7101449
"FALSE POSITIVE",3558981,"K00052.01",132.157,-0.4596336,1.1393316,1974,3150,0.03862,12,2.98785,132.159,2454970,67.21,0,1.1882,340,0,7418299.18607915,7.83367139959432,166654016.949153
"FALSE POSITIVE",2445975,"K00053.01",131.593,0.1043987,0.3852545,435.5,3447,0.04416,13,3.38888,131.594,2454960,6.896,0,1.052,368,0.004894,1394723.50997238,9839572.19251337,47952504.9261084
"FALSE POSITIVE",8248939,"K00061.01",132.866,0.8330132,-0.640794,54.31,7227,0.02735,12,1.63346,132.854,2454970,3.574,0,1.0468,783,0.003007,405356.096846627,3.80866174627489,8569390.04329004
"CANDIDATE",11554435,"K00063.01",140.106,-0.1585964,0.7395484,518.5,1188,0.08573,15,9.43415,140.107,2454970,3.754,0,1.1571,122,2.272e-05,2216597.02852659,8.25915221579961,98376275.5102041
"CANDIDATE",7051180,"K00064.01",132.178,-0.3385896,0.987228,230.8,6093,0.033,16,1.95108,132.179,2454970,12.53,0,1.0525,649,2.265e-05,1578980.0623574,10.78079059131,26391676.9025367
"FALSE POSITIVE",10620329,"K00066.01",132.313,0.2654974,-0.0669396,19.76,10810,0.02169,17,0.87256,132.314,2454970,63.17,-1,-1,1061,0,1344938.17246654,4.05193349523632,6843284.87972509
"FALSE POSITIVE",8669092,"K00068.01",131.872,1.453192,-1.4007524,8.491,11840,0.02154,5,1.00071,131.945,2454960,4.147,-1,-1,1178,-3.973e-06,-131.872,-0.02154,3212456.41025641
"CANDIDATE",3544595,"K00069.01",134.926,0.1704928,0.3457088,229.2,2502,0.05252,0,4.72675,134.926,2454970,2.12,0,1.0626,270,-2.044e-05,748192.263330672,26.5386558868115,11703540.9638554
"CANDIDATE",6850504,"K00070.01",138.608,-0.2500176,0.8696446,181.4,1080,0.09187,18,10.8541,138.606,2454970,3.743,0,1.0677,118,-2.59e-05,422981.26600202,10.2293731210333,19896127.593361
"CANDIDATE",6850504,"K00070.02",134.502,-0.2500176,0.8696446,106.6,3024,0.0448,18,3.6961,134.505,2454970,10.22,0,1.0676,328,2.398e-05,430962.168812901,10.2306462662708,10423839.1304348
"CANDIDATE",6850504,"K00070.03",164.727,-0.2500176,0.8696446,67.85,144,0.341,18,77.6101,164.743,2455000,3.668,0,1.1882,14,4.252e-05,112373.370443894,10.2310231023102,7733816.53225806
"CANDIDATE",6850504,"K00070.04",135.93,-0.2500176,0.8696446,16.15,1620,0.06256,18,6.09858,135.926,2454970,3.021,1.5678e-55,1.0686,187,-9.707e-06,54544.1413099743,10.2305805396566,1682444.64912281
"CANDIDATE",6850504,"K00070.05",135.213,-0.2500176,0.8696446,11.98,477,0.1361,18,19.5775,135.21,2454970,2.785,2.7984e-31,1.0739,57,3.076e-05,27208.3532882319,10.2253944402705,1287238.79194631
"CANDIDATE",11904151,"K00072.01",138.678,0.1488548,0.3499012,88.1,234,0.2387,0,45.2935,138.689,2454970,2.805,0,1.3197,23,-1.762e-05,145389.163801057,23.2198443579767,6065378.66242038
"CANDIDATE",11904151,"K00072.02",131.579,0.1488548,0.3499012,30.14,10980,0.01669,0,0.83749,131.576,2454960,1.45,1.9193e-175,1.0819,1122,5.24e-06,222607.392218664,23.2160244818473,2161780.24971623
"FALSE POSITIVE",6889235,"K00074.01",133.666,0.0527086,-0.0146846,897.1,2286,0.07634,5,5.18864,133.668,2454970,386.9,0,1.0865,243,9.049e-05,1858343.47085607,3.11083944580277,31172851.0971787
"CANDIDATE",7199397,"K00075.01",156.989,0.5876786,-0.2732718,179.6,126,0.4784,0,105.88,156.992,2454990,3.342,0,1.0948,13,0.0007389,162043.459591581,9.77523498161013,18161807.4766355
"FALSE POSITIVE",9955262,"K00076.01",154.704,0.7725484,-0.7525852,44.2,144,0.421,5,77.4818,154.69,2454990,4.732,0,1.2366,16,-0.001127,319281.459864861,3.29678935003915,8153956.66666667
"FALSE POSITIVE",9552608,"K00080.01",135.408,0.3130504,-0.0890872,319.7,1278,0.1096,5,9.25058,135.407,2454970,31.13,0,1.0399,138,-1.973e-05,589905.115403717,2.23354391685347,13723173.2876712
"FALSE POSITIVE",8823868,"K00081.01",155.009,-0.0180476,0.0240412,1491,513,0.2236,5,23.8758,155.019,2454990,534.1,0,1.3705,55,0.000319,1874355.34988555,3.3067139899438,111282471.590909
"CANDIDATE",10187017,"K00082.01",134.755,-0.6361384,1.3521084,181.2,747,0.1161,19,16.1456,134.756,2454970,2.905,0,1.0889,80,2.264e-05,411449.31651568,17.4586466165414,11236825.748503
"CANDIDATE",10187017,"K00082.02",134.081,-0.6361384,1.3521084,60.96,1089,0.08613,19,10.3117,134.085,2454970,2.294,0,1.0734,119,7.556e-05,166768.035204111,17.463503649635,3806387.8296146
"CANDIDATE",10187017,"K00082.03",145.023,-0.6361384,1.3521084,20.57,423,0.1654,19,27.454,145.017,2454980,3.16,3.7665e-84,1.1166,45,9.302e-06,50714.9676349941,17.458306945324,1303159.58333333
"CANDIDATE",10187017,"K00082.04",132.918,-0.6361384,1.3521084,18.31,1584,0.06697,19,7.07135,132.912,2454970,3.039,1.5148e-78,1.0629,171,3.283e-05,56147.0354662657,17.4628422425033,1091016.56976744
"CANDIDATE",10187017,"K00082.05",135.848,-0.6361384,1.3521084,13.18,1962,0.05517,19,5.28687,135.864,2454970,2.5,7.574e-40,1.0607,213,-3.96e-05,46931.8519439781,17.4643874643875,785168.451882845
"CANDIDATE",10187017,"K00082.06",147.38,-0.6361384,1.3521084,7.773,414,0.1445,19,22.4101,147.372,2454980,2.859,4.5506e-16,1.0791,48,-4.164e-05,28734.1979458304,17.4622356495468,471495.452261307
"CANDIDATE",2571238,"K00084.01",135.994,-0.0083686,0.5788826,206.6,1269,0.08348,20,9.28694,135.997,2454970,3.579,0,1.0367,138,1.629e-05,427471.270148616,8.84978267783314,15489116
"CANDIDATE",5866724,"K00085.01",132.04,0.4249932,-0.1424216,137,2052,0.06812,0,5.85998,132.035,2454970,2.237,0,1.0664,222,8.754e-06,405570.606267239,21.2013694366636,14691535.8778626
"CANDIDATE",5866724,"K00085.02",133.501,0.4249932,-0.1424216,61.87,4923,0.03497,0,2.1549,133.501,2454970,2.295,0,1.0508,551,5.765e-06,260206.955562442,21.2067919951486,5958486.37770898
"CANDIDATE",5866724,"K00085.03",137.991,0.4249932,-0.1424216,38.91,1044,0.08475,0,8.13117,137.996,2454970,3.023,0,1.0692,126,7.786e-06,102610.034131216,21.1980990495248,4112374.14529915
"CANDIDATE",10593626,"K00087.01",133.691,0.0977464,0.4681824,31.71,27,0.7958,21,289.864,133.697,2454970,3.5,1.1375e-171,1.3126,3,-0.0002333,56086.2032076588,9.59835966710891,2553796.68874172
"FALSE POSITIVE",7700871,"K00088.01",133.883,0.5677568,-0.1729248,47.21,4581,0.03505,5,2.58984,133.881,2454970,2.159,0,1.0377,496,-0.002118,164908.365081301,6.46678966789668,3768445.05703422
"CANDIDATE",8056665,"K00089.01",150.573,1.0037549,-0.95424,64.16,162,0.417,14,84.6849,150.592,2454980,6.581,0,1.108,16,0.0001747,76290.0962157178,4.89551537919699,3014789.44193062
"CANDIDATE",8056665,"K00089.02",289.863,1.0037549,-0.95424,44.22,54,0.7581,14,207.578,289.898,2455120,3.393,0,1.1908,6,-0.0001914,153994.049832652,4.89412524209167,2357084.55188679
"FALSE POSITIVE",9210823,"K00090.01",131.587,0.50019,-0.1546132,19.13,14260,0.01978,5,0.8282,131.586,2454960,2.004,4.4485e-55,1.1226,1518,-0.01176,202459.292584119,2.50474863872357,0
"CANDIDATE",7941200,"K00092.01",137.442,0.3219856,0.0778538,73.21,180,0.3191,22,65.7048,137.44,2454970,3.826,0,1.0561,18,-9.543e-05,165434.113789667,7.31545162769372,4894211.91709844
"CANDIDATE",6462863,"K00094.01",132.742,0.58124,-0.3218076,621.4,261,0.1607,22,22.3427,132.749,2454970,17.3,0,1.1684,27,0.001372,862218.584772075,6.10330421572351,57790690.9620991
"CANDIDATE",6462863,"K00094.02",161.237,0.58124,-0.3218076,148.9,99,0.2905,22,54.3184,161.263,2454990,10.57,0,1.4424,9,0.0003053,222957.098904138,6.1016593152699,13214806
"CANDIDATE",6462863,"K00094.03",138.009,0.58124,-0.3218076,123,504,0.09664,22,10.4236,138.015,2454970,2.515,0,1.1424,51,0.0001439,246845.76722889,6.1010101010101,10891323.6263736
"CANDIDATE",6462863,"K00094.04",131.621,0.58124,-0.3218076,32.02,1332,0.04882,22,3.74315,131.623,2454960,2.231,9.5202e-187,1.083,126,6.143e-05,95808.6752706018,6.10097475631092,2707950.95628415
"CANDIDATE",5780885,"K00097.01",134.277,0.4079968,-0.0922552,2039,2439,0.06047,16,4.88546,134.281,2454970,13.53,0,1.0791,264,0.0002854,4129859.10554628,22.404594294183,216652792.792793
"CANDIDATE",10264660,"K00098.01",138.088,0.6977852,-0.5454492,491.9,1575,0.07687,0,6.79019,138.081,2454970,2.78,0,1.0327,191,0.0001601,1491967.41804541,19.6046926804387,71837400.7490637
"CANDIDATE",4055765,"K00100.01",141.153,0.9971152,-0.9783736,148.9,1179,0.1059,4,9.96639,141.154,2454970,2.831,-1,-1,130,2.603e-05,263897.561686964,4.42355889724311,27495552.407932
"CANDIDATE",8456679,"K00102.01",131.592,-0.111776,0.6337624,407.1,6840,0.02854,22,1.73513,131.592,2454960,2.427,0,1.0568,723,0.00014,1652617.7247747,6.9643728648121,19980318
"FALSE POSITIVE",8456679,"K00102.02",132.28,-0.111776,0.6337624,22.92,2394,0.05037,22,4.06844,132.279,2454970,1.932,4.955e-102,1.062,270,4.147e-06,73822.7316866273,6.96391538780589,1168439.76608187
"CANDIDATE",2444412,"K00103.01",141.329,-0.00438,0.54212,102,819,0.1158,22,14.9109,141.339,2454970,2.227,0,1.0427,89,4.489e-05,198755.676312707,8.55875831485588,9674403.48258707
"CANDIDATE",10318874,"K00104.01",132.491,-0.7874564,1.4642293,269.8,4770,0.03403,19,2.50806,132.491,2454970,2.766,0,1.0335,516,0.0001626,2216684.31769168,19.4568324757004,13584281.884058
"CANDIDATE",8711794,"K00105.01",136.65,0.5049692,-0.068156,176.7,1350,0.07802,22,8.98098,136.652,2454970,3.147,0,1.0266,133,4.585e-06,574821.433078418,6.37418300653595,8740844.73684211
"FALSE POSITIVE",10489525,"K00106.01",131.868,0.9184864,-0.8991794,33.75,5895,0.03077,5,1.61224,131.856,2454960,3.702,7.923e-204,1.0489,533,0.008739,161511.101530502,3.14139867279224,2517453.79746835
"CANDIDATE",11250587,"K00107.01",134.024,0.0455984,0.4112264,121.3,1620,0.07648,0,7.25704,134.017,2454970,2.085,0,1.0206,176,2.221e-05,233559.241103248,23.1057401812689,9877225.6281407
"CANDIDATE",4914423,"K00108.01",142.177,0.2094444,0.2127868,114.3,747,0.1269,0,15.9655,142.173,2454980,11.77,0,1.0342,80,-6.412e-05,187587.409819454,20.4413659793814,10193460.8465608
"CANDIDATE",4914423,"K00108.02",295.334,0.2094444,0.2127868,112.1,63,0.6369,0,179.604,295.346,2455130,4.029,0,1.3519,7,-0.0001103,203651.935263655,20.4331087584216,10823393.258427
"FALSE POSITIVE",4752451,"K00109.01",132.866,0.9990184,-0.8177528,34.55,1494,0.06589,5,6.41496,132.865,2454970,8.118,0,1.0404,161,-0.001033,59749.1601948078,5.06456571867794,2524358.96774194
"CANDIDATE",9450647,"K00110.01",135.216,0.488855,-0.220715,135,1206,0.09528,22,9.9406,135.22,2454970,3.583,0,1.0467,130,8.768e-06,266329.460983018,6.75265768958186,9880408.33333333
"CANDIDATE",6678383,"K00111.01",137.613,0.726744,-0.43426,138.2,1017,0.09633,22,11.4277,137.605,2454970,5.987,0,1.0401,110,-8.112e-05,217447.227414724,8.0275,10038556.0209424
"CANDIDATE",6678383,"K00111.02",167.578,0.726744,-0.43426,96.43,225,0.2637,22,51.7548,167.585,2455000,5.014,0,1.0907,24,-8.607e-05,116091.444405958,8.02984165651644,7023311.72161172
"CANDIDATE",6678383,"K00111.03",132.713,0.726744,-0.43426,94.98,459,0.1565,22,23.6686,132.707,2454970,2.705,0,1.0556,49,-0.0001372,121993.436715784,8.02975885069266,6896994.60431655
"CANDIDATE",10984090,"K00112.01",134.101,0.2253092,0.2189754,97.9,261,0.267,22,51.0789,134.106,2454970,2.873,0,1.0739,27,1.936e-05,113712.371745951,7.81844802342606,6257115.23809524
"CANDIDATE",10984090,"K00112.02",133.988,0.2253092,0.2189754,43.53,3087,0.04647,22,3.70919,133.987,2454970,2.409,0,1.0237,337,-4.609e-05,135072.633244957,7.81928319030792,2586604.19947507
"FALSE POSITIVE",6721123,"K00114.01",132.249,0.6762576,-0.4618024,44.9,1611,0.08195,4,7.36174,132.255,2454970,6.252,0,1.0454,175,0.003032,60531.1216993697,4.63518099547511,3132697.01257862
"CANDIDATE",9579641,"K00115.01",133.145,0.2059698,0.2536784,149.4,2160,0.05912,22,5.41218,133.146,2454970,2.871,0,1.0326,224,-5.213e-05,421354.270505992,7.15392061955469,10208770.212766
"CANDIDATE",9579641,"K00115.02",131.879,0.2059698,0.2536784,40.36,1530,0.07103,22,7.12599,131.875,2454960,3.205,0,1.0313,168,-6.863e-05,111073.771803489,7.15523320237735,2773482.08092486
"CANDIDATE",9579641,"K00115.03",132.662,0.2059698,0.2536784,8.507,3006,0.04367,22,3.43587,132.671,2454970,1.75,7.9141e-14,1.0319,326,1.221e-05,25499.7616521351,7.1543250327654,572909.641791045
"CANDIDATE",8395660,"K00116.01",136.279,0.3320008,0.0797924,72.93,891,0.1095,19,13.5708,136.277,2454970,4.862,0,1.0151,95,-4.392e-05,147258.60131397,7.57261410788382,4127081.06995885
"CANDIDATE",8395660,"K00116.02",151.935,0.3320008,0.0797924,59.68,252,0.2394,19,43.8438,151.946,2454980,2.512,0,1.0154,28,0.0002044,83074.0714414597,7.57594936708861,3470173.52941176
"CANDIDATE",8395660,"K00116.03",135.646,0.3320008,0.0797924,12.45,1809,0.06473,19,6.16477,135.654,2454970,2.709,1.9375e-30,1.0146,197,1.223e-05,30163.1280742171,7.57696359592649,668586.866666667
"CANDIDATE",8395660,"K00116.04",147.539,0.3320008,0.0797924,11.67,459,0.1601,19,23.9801,147.541,2454980,2.944,1.6179e-27,1.012,54,-6.593e-05,20381.9183502056,7.5769048745859,655478.104575163
"CANDIDATE",10875245,"K00117.01",138.779,-0.0245476,0.5030886,62.68,603,0.122,16,14.7491,138.78,2454970,2.837,0,1.0755,69,2.118e-05,105145.961344678,29.7053810567324,6556913.24503311
"CANDIDATE",10875245,"K00117.02",133.501,-0.0245476,0.5030886,36.49,2817,0.04387,16,3.18004,133.496,2454970,2.593,2.739e-243,1.0639,304,1.114e-05,117497.799683154,29.7020988490183,3367665.98639456
"CANDIDATE",10875245,"K00117.03",133.704,-0.0245476,0.5030886,33.72,1539,0.05853,16,4.9014,133.71,2454970,1.656,1.5483e-219,1.0635,182,-5.649e-05,84483.7608997852,29.7106598984772,3273039.66942149
"CANDIDATE",10875245,"K00117.04",137.814,-0.0245476,0.5030886,9.671,792,0.08086,16,7.95818,137.811,2454970,1.838,2.0096e-23,1.0622,103,-1.163e-05,20839.4512129657,29.7060984570169,970680.637254902
"CANDIDATE",3531558,"K00118.01",138.681,0.1019646,0.3947236,47.99,468,0.1651,0,24.9934,138.677,2454970,2.397,0,1.0356,48,-4.674e-05,67576.41761808,28.4018579046964,3439412.92639138
"CANDIDATE",9471974,"K00119.01",141.912,-0.2998172,0.8594006,231,234,0.2827,0,49.1833,141.921,2454970,8.398,0,1.0765,27,0.0002428,223777.723463137,18.4289439374185,20286454.5454546
"CANDIDATE",9471974,"K00119.02",312.675,-0.2998172,0.8594006,91.79,63,0.6969,0,190.325,312.666,2455150,2.95,0,1.2182,7,0.000293,145537.862884645,18.4316318434277,7327345.52238806
"CANDIDATE",11869052,"K00120.01",137.902,0.0435396,0.4749368,23.42,603,0.1437,5,20.5457,137.906,2454970,2.901,0,1.0594,57,0.0002035,49733.3049627997,3.94997251236943,1943243.56435644
"FALSE POSITIVE",3247396,"K00121.01",136.456,0.78896,-0.61824,62.59,1080,0.09183,4,8.81112,136.455,2454970,6.996,0,1.0245,117,-9.548e-05,85536.2627718924,3.91766211604096,4421336.48648649
"CANDIDATE",8349582,"K00122.01",131.97,-0.2569052,0.8140364,111.5,1044,0.1016,0,11.523,131.972,2454960,2.479,0,1.038,105,-1.2e-05,213431.793040542,20.0315457413249,9981840
"CANDIDATE",5094751,"K00123.01",135.942,0.4365396,-0.0843408,93.69,1899,0.06827,3,6.48156,135.949,2454970,2.801,0,1.0291,204,2.933e-05,219120.275822495,25.6172607879925,8566156.19469026
"CANDIDATE",5094751,"K00123.02",137.573,0.4365396,-0.0843408,75.88,549,0.1505,3,21.2222,137.588,2454970,2.929,0,1.0641,60,3.454e-05,115514.374958017,25.6126616746086,7591965.88235294
"CANDIDATE",11086270,"K00124.01",137.126,0.4813536,-0.1130024,50.07,972,0.1072,22,12.6911,137.124,2454970,8.155,0,1.0234,104,-4.903e-05,94107.5546283079,4.27773343974461,3190950.32679739
"CANDIDATE",11086270,"K00124.02",142.819,0.4813536,-0.1130024,50.17,387,0.1974,22,31.7197,142.822,2454980,3.367,0,1.0374,42,5.365e-05,84074.9745395035,4.27735644637053,3129584.29487179
"CANDIDATE",11449844,"K00125.01",151.853,-0.3073714,0.9138638,848.6,306,0.2212,4,38.4783,151.861,2454980,4.205,0,1.2892,33,5.863e-05,1819278.58073915,8.12637766348273,90423239.4366197
"FALSE POSITIVE",5897826,"K00126.01",134.679,0.1302648,0.3054246,1068,351,0.2159,4,33.8049,134.627,2454970,3.666,-1,-1,40,0.003046,332289.677428906,4.60537542662116,81612032.9218107
"CANDIDATE",5897826,"K00126.02",397.049,0.1302648,0.3054246,12.96,27,0.8823,4,279.361,396.911,2455230,7.088,-1,-1,5,0.0006563,9655.46171486101,4.60490605427975,563400.198863636
"CANDIDATE",8359498,"K00127.01",134.03,-0.3191882,0.9193822,1588,3240,0.04502,23,3.57876,134.035,2454970,2.78,0,1.0637,305,-0.000137,5354838.45191912,18.1385979049154,112907590.643275
"CANDIDATE",11359879,"K00128.01",136.329,-0.4568256,1.069751,1791,2412,0.05687,24,4.94279,136.329,2454970,2.478,0,1.039,262,0.001817,4311275.55618804,8.07124609707636,117539916.666667
