"koi_disposition","kepid","kepoi_name","tce_time0","tce_full_conv","tce_fwm_prao","tce_steff_sn","tce_fwm_prao_sn"
"FALSE POSITIVE",4367854,"K02876.01",2454970,1,0.0003169,33.4039735099338,1.18246268656716
"FALSE POSITIVE",4367854,"K02876.02",2454960,1,5.367e-05,33.4039735099338,0.755915492957746
"CANDIDATE",7019524,"K02877.01",2454970,1,6.53e-06,30.6424870466321,0.0640196078431373
"CANDIDATE",5106313,"K02878.01",2454960,1,-5.835e-05,60.4578313253012,-0.312032085561497
"FALSE POSITIVE",7051984,"K02879.01",2454960,1,-7.693e-05,33.4497041420118,-3.44977578475336
"CANDIDATE",9825174,"K02880.01",2454960,1,-0.0001053,33.2426035502959,-1.0125
"FALSE POSITIVE",7812455,"K02881.01",2454960,1,0.001124,33.4455958549223,13.3491686460808
"FALSE POSITIVE",5642620,"K02882.01",2454960,1,6.741e-05,26.1637426900585,0.803456495828367
"FALSE POSITIVE",5642620,"K02882.02",2454970,1,-3.107e-05,26.1637426900585,-0.360440835266821
"CANDIDATE",5209845,"K02883.01",2454970,1,0.0001793,25.343023255814,0.305972696245734
"FALSE POSITIVE",9652649,"K02884.01",2454970,1,0.0002864,36.9407894736842,6.33628318584071
"FALSE POSITIVE",11100670,"K02885.01",2454970,1,-0.001498,26.3238095238095,-6.59911894273128
"CANDIDATE",6129524,"K02886.01",2454960,1,-0.0001242,28.6304347826087,-0.856551724137931
"FALSE POSITIVE",3859363,"K02887.01",2454960,1,0.003817,25.9253112033195,22.7202380952381
"FALSE POSITIVE",12023078,"K02888.01",2454960,1,-0.006631,30.4237288135593,-186.788732394366
"FALSE POSITIVE",6364162,"K02889.01",2454970,1,0.0001931,25.8208333333333,2.30980861244019
"CANDIDATE",7463685,"K02890.01",2454970,1,0.0001414,31.8297872340426,0.924183006535948
"FALSE POSITIVE",10068024,"K02891.01",2454970,1,-0.0005536,26.2355371900826,-15.3777777777778
"FALSE POSITIVE",9636563,"K02892.01",2454970,1,0.02825,37.2214765100671,181.089743589744
"FALSE POSITIVE",9520443,"K02893.01",2454970,1,0.01147,33.1503267973856,60.3684210526316
"CANDIDATE",6937402,"K02894.01",2454970,1,0.0002956,33.7751479289941,1.478
"FALSE POSITIVE",5475641,"K02895.01",2454970,1,0.02091,33.1059602649007,205
"FALSE POSITIVE",2853828,"K02896.01",2454960,1,4.941e-05,33.4867724867725,3.52928571428571
"FALSE POSITIVE",5817986,"K02897.01",2454970,1,0.02588,33.4277456647399,197.557251908397
"CANDIDATE",11129258,"K02898.01",2454970,1,-0.0002476,28.6775700934579,-0.450181818181818
"CANDIDATE",4939533,"K02899.01",2454970,1,-0.0001314,33.6807228915663,-0.556779661016949
"CANDIDATE",4846856,"K02900.01",2454980,1,0.0004495,30.9761904761905,0.663958641063516
"FALSE POSITIVE",9366886,"K02901.01",2454960,1,0.0003435,33.5658914728682,3.82516703786192
"FALSE POSITIVE",3657176,"K02903.01",2454970,1,-0.0003038,28.1800947867299,-0.834615384615385
"CANDIDATE",3969687,"K02904.01",2454970,1,6.345e-06,45.4296296296296,0.102836304700162
"FALSE POSITIVE",9369366,"K02905.01",2454980,1,-0.0002254,28.650406504065,-1.83252032520325
"CANDIDATE",6716545,"K02906.01",2454980,1,-0.0001767,73.8048780487805,-1.93326039387309
"CANDIDATE",6716545,"K02906.02",2454980,1,0.000145,73.8048780487805,1.3302752293578
"CANDIDATE",6716545,"K02906.03",2455030,1,0.0003555,73.8048780487805,1.28804347826087
"FALSE POSITIVE",2708885,"K02907.01",2454970,1,-0.00261,28.0984455958549,-14.4198895027624
"FALSE POSITIVE",6612284,"K02908.01",2454970,1,0.0007647,28.4857142857143,5.70671641791045
"FALSE POSITIVE",7461307,"K02909.01",2454970,1,-0.0002861,33.2196531791908,-5.699203187251
"CANDIDATE",4483138,"K02910.01",2454980,1,0.0007889,26.0989583333333,2.65622895622896
"FALSE POSITIVE",5471202,"K02911.01",2454970,1,0.000198,30.0242718446602,1.60975609756098
"FALSE POSITIVE",9640439,"K02912.01",2454970,1,0.0001744,25.7764227642276,1.31127819548872
"CANDIDATE",9693006,"K02913.01",2454970,1,-6.158e-05,50.4070796460177,-1.73954802259887
"CANDIDATE",6837283,"K02914.01",2454970,1,5.878e-05,36.92,1.13694390715667
"CANDIDATE",5613821,"K02915.01",2454970,1,-9.807e-05,50.3303571428571,-1.32706359945873
"FALSE POSITIVE",7269881,"K02916.01",2454960,1,-0.000138,33.2549019607843,-2.39583333333333
"FALSE POSITIVE",3228945,"K02917.01",2454970,1,0.0001841,23.9027237354086,2.71134020618557
"FALSE POSITIVE",7008149,"K02918.01",2454960,1,0.004104,28.7954545454545,21.9465240641711
"CANDIDATE",10332213,"K02919.01",2454960,1,-9.987e-05,33.6807228915663,-0.6658
"CANDIDATE",7090524,"K02920.01",2454970,1,0.0001664,67.2073170731707,1.23259259259259
"CANDIDATE",6842807,"K02921.01",2454970,1,-0.0005738,33.3018867924528,-1.39610705596107
"FALSE POSITIVE",4381282,"K02922.01",2454970,1,-0.0009808,30.2931034482759,-5.18941798941799
"CANDIDATE",9815053,"K02923.01",2454970,1,0.0002619,33.4113924050633,1.2125
"CANDIDATE",7609553,"K02924.01",2454970,1,0.0001008,33.2251655629139,1.01002004008016
"CANDIDATE",7609553,"K02924.02",2454970,1,0.0008125,33.2251655629139,2.34826589595376
"CANDIDATE",6974658,"K02925.01",2454960,1,1.616e-06,37.261744966443,0.0321272365805169
"CANDIDATE",10122538,"K02926.01",2454960,1,8.637e-06,45.2441860465116,0.0120125173852573
"CANDIDATE",10122538,"K02926.02",2454960,1,-0.0003504,45.2441860465116,-0.370793650793651
"CANDIDATE",10122538,"K02926.03",2454970,1,-0.0001236,45.2441860465116,-0.103
"CANDIDATE",10122538,"K02926.04",2454990,1,0.001127,45.2441860465116,0.788111888111888
"CANDIDATE",10122538,"K02926.05",2455030,1,2.619e-05,45.2441860465116,0.0104342629482072
"CANDIDATE",5787131,"K02927.01",2454970,1,-0.0006206,23.9266409266409,-1.48114558472554
"FALSE POSITIVE",3230753,"K02928.01",2454980,1,-0.001864,33.5534591194969,-8.62962962962963
"FALSE POSITIVE",8358012,"K02929.01",2454970,1,0.003186,33.361963190184,14.8878504672897
"FALSE POSITIVE",4664046,"K02930.01",2454970,1,-0.001022,33.5375,-8.11111111111111
"CANDIDATE",8611257,"K02931.01",2454980,1,0.001271,50.1,2.9696261682243
"FALSE POSITIVE",3861611,"K02932.01",2454970,1,0.0008922,28.4952380952381,5.5416149068323
"FALSE POSITIVE",12416987,"K02933.01",2455000,1,-0.0004887,25.9529411764706,-0.177065217391304
"FALSE POSITIVE",10964265,"K02934.01",2454960,1,0.0008063,30.4088669950739,5.48503401360544
"CANDIDATE",8259713,"K02935.01",2454970,1,0.0002067,30.7846889952153,0.898695652173913
"CANDIDATE",10880507,"K02936.01",2454970,1,0.0001282,67.0243902439024,0.860402684563758
"FALSE POSITIVE",9837578,"K02937.01",2454970,0,0.1395,47.6271186440678,1.1625
"FALSE POSITIVE",7821010,"K02938.01",2454970,0,0,77.7951807228916,0
"FALSE POSITIVE",5473556,"K02939.01",2454970,1,0.0159,33.0691489361702,0.480362537764351
