"koi_disposition","kepid","kepoi_name","tce_bin_oedp_stat","tce_albedo","tce_rb_tcount3","tce_fwm_prao","tce_duration_sn","tce_insol_sn","tce_fwm_srao_sn"
"CANDIDATE",6521045,"K00041.03",0.1771,156.4,0,-6.725e-06,13.7756497948016,11.7290640394089,0.7994140625
"CANDIDATE",8866102,"K00042.01",1.853,9.228,0,0.0002523,88.6234148134534,12.7370936902486,1.87898550724638
"FALSE POSITIVE",9025922,"K00043.01",1.035,124.4,0,0.09774,43.6054421768707,0,-385.348360655738
"FALSE POSITIVE",8845026,"K00044.01",1.601,171.2,0,0.004064,877.669039145908,2.55707762557078,49.1379310344828
"FALSE POSITIVE",3742855,"K00045.01",1.504,15.35,0,0.04568,371.882951653944,0,174.358974358974
"CANDIDATE",10905239,"K00046.01",0.02895,0.2432,0,-0.0001073,79.6651200322776,2.85675190048376,-1.04961832061069
"CANDIDATE",10905239,"K00046.02",0.1167,24.95,0,5.168e-05,5.50013590649633,2.85671676035333,-0.682022471910112
"FALSE POSITIVE",7837302,"K00048.01",10.98,0.2603,0,4.268e-05,1005.58375634518,1.1665629107007,-1.38459459459459
"CANDIDATE",9527334,"K00049.01",1.751,12.25,0,0.0001002,33.3226427196921,4.42761760242792,1.57342657342657
"FALSE POSITIVE",6056992,"K00051.01",0.4969,0.7755,0,0.01613,250,0,-36.2633928571429
"FALSE POSITIVE",3558981,"K00052.01",0.4657,2.923,0,0,1175.78994214508,4.17548209366391,95.1106639839034
"FALSE POSITIVE",2445975,"K00053.01",8.481e-05,1.586,0,0.004894,192.622352081812,0,-25.5664739884393
"FALSE POSITIVE",8248939,"K00061.01",0.1402,1.387,0,0.003007,22.3263393766551,2.50259102379236,-190.279329608939
"CANDIDATE",11554435,"K00063.01",0.05511,2.623,0,2.272e-05,271.710526315789,4.97049356223176,24.7230320699708
"CANDIDATE",7051180,"K00064.01",0.00238,0.3659,0,2.265e-05,67.4180327868852,7.20301883951593,-8.19127516778524
"FALSE POSITIVE",10620329,"K00066.01",5.927e-16,0.2612,2,0,35.4498594189316,2.51621880295353,3.5752380952381
"FALSE POSITIVE",8669092,"K00068.01",0,0,0,-3.973e-06,-2,-30451.16,-0.280401785714286
"CANDIDATE",3544595,"K00069.01",1.1,1.265,0,-2.044e-05,77.3970851444643,13.0088626292467,-5.05865522174535
"CANDIDATE",6850504,"K00070.01",0.9982,0.1772,0,-2.59e-05,69.3870277975766,5.90451895043732,-0.637662337662338
"CANDIDATE",6850504,"K00070.02",0.1845,0.8166,0,2.398e-05,32.4337893811974,5.90450606585788,-1.53877551020408
"CANDIDATE",6850504,"K00070.03",6.312,398.7,0,4.252e-05,48.5938521909745,5.88,-1.01619433198381
"CANDIDATE",6850504,"K00070.04",0.2716,29.75,0,-9.707e-06,9.6953642384106,5.90337837837838,0.185956043956044
"CANDIDATE",6850504,"K00070.05",0.09648,118,0,3.076e-05,6.24508050089445,5.904,-0.638487394957983
"CANDIDATE",11904151,"K00072.01",0.007187,96.75,0,-1.762e-05,58.9588581024349,11.9395973154362,-1.26481481481481
"CANDIDATE",11904151,"K00072.02",0.009287,0.3672,1,5.24e-06,22.0912703850898,11.9236718775604,-0.9875
"FALSE POSITIVE",6889235,"K00074.01",0.03933,30.1,0,9.049e-05,361.869978086194,2.13113639312286,-6.66141732283465
"CANDIDATE",7199397,"K00075.01",6.202,28.54,0,0.0007389,292.620457819753,6.44034707158351,-13.4859154929577
"FALSE POSITIVE",9955262,"K00076.01",2.428,91.61,0,-0.001127,197.950898898125,2.03399765533411,12.9166666666667
"FALSE POSITIVE",9552608,"K00080.01",0.02755,1.535,0,-1.973e-05,335.52014995314,1.37441737617302,-3.25729927007299
"FALSE POSITIVE",8823868,"K00081.01",2.265,131.2,0,0.000319,1298.41185106099,2.23690003537875,-3.53640416047548
"CANDIDATE",10187017,"K00082.01",0.4583,4.353,0,2.264e-05,86.2403976502485,8.47983870967742,-10.3960720130933
"CANDIDATE",10187017,"K00082.02",0.004395,17.04,0,7.556e-05,27.3073736536868,8.47671840354767,-4.91933701657459
"CANDIDATE",10187017,"K00082.03",0.02391,201,0,9.302e-06,11.8990086741016,8.49180327868852,-1.2812854442344
"CANDIDATE",10187017,"K00082.04",1.566,43.37,0,3.283e-05,13.1395348837209,8.47587131367292,-1.77777777777778
"CANDIDATE",10187017,"K00082.05",1.704,28.15,0,-3.96e-05,12.1085409252669,8.47770700636943,0.402275312855518
"CANDIDATE",10187017,"K00082.06",0.1606,711,0,-4.164e-05,16.6348448687351,8.4875,0.0702739726027397
"CANDIDATE",2571238,"K00084.01",0.3146,8.022,0,1.629e-05,85.2466682253916,5.15772462831286,5.98311444652908
"CANDIDATE",5866724,"K00085.01",1.353,1.444,0,8.754e-06,83.2189766712409,11.7477384868421,-0.948217636022514
"CANDIDATE",5866724,"K00085.02",0.4615,0.3189,0,5.765e-06,30.5887939221273,11.7464796360485,-0.697786259541985
"CANDIDATE",5866724,"K00085.03",6.462,9.059,0,7.786e-06,23.5423365487674,11.7467387846007,-0.506263157894737
"CANDIDATE",10593626,"K00087.01",0.7387,2805,0,-0.0002333,26.7327459618209,5.42105263157895,-0.131721611721612
"FALSE POSITIVE",7700871,"K00088.01",1.092,1.906,0,-0.002118,16.7077464788732,3.93903609122444,133.285024154589
"CANDIDATE",8056665,"K00089.01",0.8346,41.89,0,0.0001747,61.1176470588235,3.11603773584906,-3.45271317829457
"CANDIDATE",8056665,"K00089.02",0.0432,490.6,0,-0.0001914,25.4289996253278,3.11214953271028,-0.00258640483383686
"FALSE POSITIVE",9210823,"K00090.01",24.39,0.06203,0,-0.01176,13.8965517241379,1.55817821110601,846.188340807175
"CANDIDATE",7941200,"K00092.01",0.01161,237,0,-9.543e-05,30.1125541125541,4.39700374531835,1.03973509933775
"CANDIDATE",6462863,"K00094.01",7.369,2.34,0,0.001372,383.6,3.76352201257862,9.78260869565217
"CANDIDATE",6462863,"K00094.02",0.749,6.195,0,0.0003053,132.688499619193,3.76164383561644,3.66003316749585
"CANDIDATE",6462863,"K00094.03",0.3027,4.198,0,0.0001439,58.3870615233308,3.76247535264675,2.62978142076503
"CANDIDATE",6462863,"K00094.04",1.791,3.257,0,6.143e-05,14.4943820224719,3.76273811367508,-0.410884353741497
"CANDIDATE",5780885,"K00097.01",1.218,0.2652,0,0.0002854,1082.10961737332,13.644682320442,-3.42105263157895
"CANDIDATE",10264660,"K00098.01",0.4193,0.4879,0,0.0001601,416.120218579235,12.4704049844237,-7.0174358974359
"CANDIDATE",4055765,"K00100.01",2.191,0.6282,0,2.603e-05,174.653739612188,2.83185943009075,-2.53932203389831
"CANDIDATE",8456679,"K00102.01",7.664e-17,0.1513,0,0.00014,146.290971822887,4.37030587043253,1.09585492227979
"FALSE POSITIVE",8456679,"K00102.02",0.07022,6.728,0,4.147e-06,7.86832164058284,4.37015484761811,0.21322188449848
"CANDIDATE",2444412,"K00103.01",5.974,16.03,0,4.489e-05,82.4921465968586,5.03571428571429,-3.17386231038506
"CANDIDATE",10318874,"K00104.01",0.05626,0.458,0,0.0001626,58.8910133843212,8.58773861967695,-5.00597609561753
"CANDIDATE",8711794,"K00105.01",0.1013,5.352,0,4.585e-06,30.8478365000798,3.64491264131552,-4.16819221967963
"FALSE POSITIVE",10489525,"K00106.01",50.18,0.5777,2,0.008739,13.2253086419753,1.91975805727355,-304.494773519164
"CANDIDATE",11250587,"K00107.01",0.5579,1.913,0,2.221e-05,52.2684703433923,13.1301577669903,0.468465909090909
"CANDIDATE",4914423,"K00108.01",0.7513,9.385,0,-6.412e-05,46.0294117647059,11.8431542461005,1.96934865900383
"CANDIDATE",4914423,"K00108.02",0.165,310.7,0,-0.0001103,110.38961038961,11.7826086956522,1.45986394557823
"FALSE POSITIVE",4752451,"K00109.01",0.9004,10.3,0,-0.001033,22.4124293785311,2.94912985274431,21.1869158878505
"CANDIDATE",9450647,"K00110.01",0.4725,6.831,0,8.768e-06,45.1373504652193,4.26241782322863,1.5
"CANDIDATE",6678383,"K00111.01",0.1186,0,0,-8.112e-05,47.4684183931278,4.8041634541249,0.251764705882353
"CANDIDATE",6678383,"K00111.02",0.00392,64.25,0,-8.607e-05,52.5993031358885,4.80635838150289,-0.0169357798165138
"CANDIDATE",6678383,"K00111.03",5.196,26.6,0,-0.0001372,40.3455425017277,4.80162767039675,1.44414414414414
"CANDIDATE",10984090,"K00112.01",2.043,94.95,0,1.936e-05,54.3205858421481,4.67692307692308,-0.279646017699115
"CANDIDATE",10984090,"K00112.02",0.2676,5.494,0,-4.609e-05,12.4030658250676,4.6746808312366,1.31575091575092
"FALSE POSITIVE",6721123,"K00114.01",0.1272,2.628,0,0.003032,47.7224880382775,2.99559797428905,-52.7450980392157
"CANDIDATE",9579641,"K00115.01",1.463,2.289,0,-5.213e-05,52.9280439635926,4.20059694067902,0.0948787446504993
"CANDIDATE",9579641,"K00115.02",0.07889,13.99,0,-6.863e-05,13.2888295505118,4.20064608758076,1.12790697674419
"CANDIDATE",9579641,"K00115.03",5.184,16.42,0,1.221e-05,10.5833598979917,4.20071927800774,-0.46096
"CANDIDATE",8395660,"K00116.01",0.1881,17.91,0,-4.392e-05,29.9826689774697,4.70508119434259,3.2531914893617
"CANDIDATE",8395660,"K00116.02",0.001964,79.01,0,0.0002044,44.4336569579288,4.7,0.869058295964126
"CANDIDATE",8395660,"K00116.03",0.2319,39.07,0,1.223e-05,8.88830897703549,4.7037307973665,0.262931034482759
"CANDIDATE",8395660,"K00116.04",1.293e-05,287.7,0,-6.593e-05,5.19951499118166,4.70246085011186,1.03813559322034
"CANDIDATE",10875245,"K00117.01",0.07265,13.68,0,2.118e-05,58.8198198198198,14.9491891891892,-1.91376146788991
"CANDIDATE",10875245,"K00117.02",1.61,2.171,0,1.114e-05,15.8570820927265,14.953026702083,-1.19009433962264
"CANDIDATE",10875245,"K00117.03",3.969,2.886,0,-5.649e-05,16.2075332348597,14.9514683922349,1.1697247706422
"CANDIDATE",10875245,"K00117.04",4.696,14.02,0,-1.163e-05,7.87495843032923,14.9548693586698,0.103119891008174
"CANDIDATE",3531558,"K00118.01",1.434,38.94,0,-4.674e-05,24.8997134670487,13.6726457399103,1.7731914893617
"CANDIDATE",9471974,"K00119.01",6.384,5.606,0,0.0002428,183.541304691202,10.1085106382979,10.7603305785124
"CANDIDATE",9471974,"K00119.02",0.7656,157.2,0,0.000293,95.5373978629793,10.1558441558442,2.811
"CANDIDATE",11869052,"K00120.01",0.401,50.28,0,0.0002035,2.59019537336689,2.20418204182042,-3.36752136752137
"FALSE POSITIVE",3247396,"K00121.01",1.137,2.646,0,-9.548e-05,39.9018806214227,2.49110330056565,1.8936170212766
"CANDIDATE",8349582,"K00122.01",1.351,2.911,0,-1.2e-05,41.3555486989612,11.2085732565579,-0.414733969986357
"CANDIDATE",5094751,"K00123.01",2.267,2.765,0,2.933e-05,42.6245629370629,13.2122687439143,-0.696666666666667
"CANDIDATE",5094751,"K00123.02",0.1617,22.28,0,3.454e-05,45.5729877216917,13.205047318612,-0.549809523809524
"CANDIDATE",11086270,"K00124.01",5.14,17.54,0,-4.903e-05,19.8412698412698,2.68267543859649,1.17305936073059
"CANDIDATE",11086270,"K00124.02",0.2288,43.87,0,5.365e-05,20.5016583747927,2.68240981777612,-0.409013452914798
"CANDIDATE",11449844,"K00125.01",26.25,15.2,0,5.863e-05,556.05876505026,4.82962962962963,5.25866666666667
"FALSE POSITIVE",5897826,"K00126.01",645.9,1.929,0,0.003046,464.885825075398,2.86929133858268,-2.88484848484848
"CANDIDATE",5897826,"K00126.02",0.005208,591.8,0,0.0006563,0.89372178908494,2.86842105263158,-1.08531468531469
"CANDIDATE",8359498,"K00127.01",1.461,0.2381,1,-0.000137,433.426511696337,8.51203684320703,1.8018154311649
"CANDIDATE",11359879,"K00128.01",0.3741,0.2788,0,0.001817,694.925871789518,4.82315872390705,-0.986700336700337
"CANDIDATE",11974540,"K00129.01",9.605,0.2697,0,0.0018,323.037857802401,1.51016933614469,9.96062992125984
"CANDIDATE",5297298,"K00130.01",3.751,2.276,0,-2.357e-05,757.35294117647,3.16648451730419,5.35686274509804
"CANDIDATE",7778437,"K00131.01",1.293,0.3629,0,-0.002294,352.824427480916,2.44899041691715,4.3646017699115
"FALSE POSITIVE",8892910,"K00132.01",5.032,3.618,0,-0.0001769,440.944881889764,2.62536803674479,-1.05547445255474
"FALSE POSITIVE",11673674,"K00133.01",5.717,2.661,0,-0.01947,333.239118145845,2.68357955921531,243.632478632479
"FALSE POSITIVE",9032900,"K00134.01",0.01427,15310,0,0.0001761,102.867072111208,3.08333333333333,0.190572390572391
"CANDIDATE",9818381,"K00135.01",1.404,0.1668,0,-0.0001734,517.688888888889,7.24760004986909,4.55917159763314
"FALSE POSITIVE",7601633,"K00136.01",2.678,0.8331,0,0,126.782965623397,2.81608654750706,-1.70663265306122
"CANDIDATE",8644288,"K00137.01",1.663,0,0,0,108.372781065089,7.249430523918,-2.14917582417582
"CANDIDATE",8644288,"K00137.02",0.002369,1.417,0,0,108.345797188154,7.25211267605634,-3.1484375
"CANDIDATE",8644288,"K00137.03",0.2574,2.303,0,0,11.5702036441586,7.25,-0.708914728682171
"FALSE POSITIVE",8506766,"K00138.01",0.2806,4.283,0,-0.0001232,243.719896257873,2.48441838938599,5.56
"CANDIDATE",8559644,"K00139.01",0.1341,427.2,0,0.0001498,134.143377885784,4.2463768115942,-0.102358974358974
"CANDIDATE",8559644,"K00139.02",1.131,4.392,0,2.957e-05,12.0651747153514,4.26903390914907,-0.532167832167832
"FALSE POSITIVE",5130369,"K00140.01",15.56,54.67,0,-0.01005,69.3181818181818,2.01497640005103,109.259259259259
"CANDIDATE",12105051,"K00141.01",0.3585,0.295,0,0.0001489,94.4925742574257,5.14000708298902,-8.65507246376811
"CANDIDATE",4649305,"K00143.01",0.1267,94.86,0,8.489e-05,105.406943653956,2.15080576759966,-0.656537753222836
"CANDIDATE",4180280,"K00144.01",0.00336,1.743,1,0.0006774,59.8933074684772,7.69128996692393,11.7917808219178
"CANDIDATE",9904059,"K00145.01",0.118,13.52,0,-0.000121,47.562776957164,4.74627606752731,-1.92605633802817
"FALSE POSITIVE",9048161,"K00146.01",0.04774,0.8568,0,0.03337,21.8553459119497,1.32366812227074,-504.180064308682
"FALSE POSITIVE",1996679,"K00147.01",0.4908,483.6,0,-0.01371,35.2960312296682,2.63054187192118,28.2628205128205
"CANDIDATE",5735762,"K00148.01",6.429,7.159,0,-0.0002655,42.5098231827112,7.253125,3.41545352743561
"CANDIDATE",5735762,"K00148.02",0.002378,3.284,0,-4.422e-05,32.3873483535529,7.24959349593496,0.872340425531915
"CANDIDATE",5735762,"K00148.03",2.57,188,0,-6.385e-05,25.5484421681605,7.24242424242424,0.559920634920635
"CANDIDATE",3835670,"K00149.01",0.3175,4.554,0,-1.314e-05,79.4753241531812,3.32071478956031,-0.927183098591549
"CANDIDATE",7626506,"K00150.01",0.01639,6.36,0,-0.0001594,34.1392285983067,6.49743918053777,1.48941176470588
"CANDIDATE",7626506,"K00150.02",3.5,65.79,0,-0.0002247,26.140350877193,6.49346405228758,1.50307692307692
"CANDIDATE",2307199,"K00151.01",0.6137,27.47,0,8.82e-05,58.7185268695979,2.51652638062,0.63951048951049
"CANDIDATE",8394721,"K00152.01",0.9822,38.83,0,0.0003244,119.49209779819,3.98358413132695,10.0308166409861
"CANDIDATE",8394721,"K00152.02",0.9123,15.25,0,0.0001088,40.9459459459459,3.98397291196388,3.1951871657754
"CANDIDATE",8394721,"K00152.03",0.6839,34.11,0,-2.709e-05,43.9988081048868,3.98431144683324,3.9965
"CANDIDATE",8394721,"K00152.04",2.427,821.2,0,-4.183e-05,3.92089321772182,3.98765432098765,0.959558011049724
"CANDIDATE",12252424,"K00153.01",1.177,2.318,0,-0.0001466,37.1981994270904,8.45796241345203,0.588648648648649
"CANDIDATE",12252424,"K00153.02",0.1087,10.39,0,-0.0001333,25.3554939981533,8.46788990825688,0.0501465517241379
"CANDIDATE",8030148,"K00155.01",0.1197,1.319,0,-4.061e-05,58.8358355894659,3.51551541934864,0.613314037626628
"CANDIDATE",10925104,"K00156.01",0.9827,18.51,0,0.0006336,57.9142698088699,9.78125,8.06867671691792
"CANDIDATE",10925104,"K00156.02",0.4373,17.03,0,0.0001799,40.0210084033613,9.7625,4.92380952380952
"CANDIDATE",10925104,"K00156.03",1.653,18.93,0,0.0003111,26.1517367458867,9.7595818815331,-0.0123846153846154
"CANDIDATE",6541920,"K00157.01",0.09378,35.76,0,-0.0002271,46.3087945177032,8.05029585798817,0.985613682092555
"CANDIDATE",6541920,"K00157.02",0.5208,5.543,0,-0.0001343,35.7568978374347,8.06076854334227,1.00093457943925
"CANDIDATE",6541920,"K00157.03",6.76,33.54,0,0.0001353,33.8040865384615,8.05992509363296,-2.04077669902913
"CANDIDATE",6541920,"K00157.04",0.4143,1002,0,-6.545e-05,35.2983988355167,8.06779661016949,-0.0613939393939394
"CANDIDATE",6541920,"K00157.05",0.5439,152,0,-0.000213,32.4531668153434,8.05882352941176,1.36167400881057
"CANDIDATE",6541920,"K00157.06",0.1812,18.55,0,3.354e-06,21.0310218978102,8.06344015696534,-0.33297520661157
"FALSE POSITIVE",10555375,"K00158.01",1.72,2.696,0,0.003224,17.0707927087749,1.15824010752263,-41.1716621253406
"CANDIDATE",8972058,"K00159.01",0.8297,11.82,0,6.127e-06,27.4698029243484,4.47425897035881,0.783870967741935
"CANDIDATE",8972058,"K00159.02",0.4933,5.675,0,5.904e-05,6.06346807706838,4.47447412866575,-0.861037394451146
"CANDIDATE",6631721,"K00160.01",0.937,17.45,0,-0.001227,43.3397807865893,2.76099780886567,10.8676470588235
"CANDIDATE",5084942,"K00161.01",0.07641,1.546,0,-1.297e-05,33.9882864160212,7.18774703557312,-2.05227655986509
"CANDIDATE",8107380,"K00162.01",4.15,14.56,1,-0.0001673,28.1376037959668,4.19105351170569,0.983783783783784
"CANDIDATE",6851425,"K00163.01",0.2962,18.6,0,-1.631e-06,23.3946830265849,8.16085271317829,-3.26470588235294
"FALSE POSITIVE",5652237,"K00164.01",15.63,1.862,0,-0.007128,22.7543129089828,1.3266571820451,85.7787810383747
"CANDIDATE",9527915,"K00165.01",1.043,26.58,0,0.0001255,24.6083333333333,7.67829457364341,0.506492537313433
"CANDIDATE",2441495,"K00166.01",0.7102,25.82,0,0.000255,14.4204204204204,7.43033509700176,-0.367142857142857
"CANDIDATE",11666881,"K00167.01",0.5932,3.373,0,4.078e-05,44.0755467196819,4.28670774110901,-0.227706422018349
"CANDIDATE",11512246,"K00168.01",0.01015,6.467,0,-4.612e-06,53.6775218427323,12.9496822033898,0.729559748427673
"CANDIDATE",11512246,"K00168.02",0.0003442,22.59,0,1.32e-05,15.5566600397614,12.9475021168501,0.105231607629428
"CANDIDATE",11512246,"K00168.03",0.6746,13.11,0,-1.461e-06,11.2667600560336,12.9499236641221,0.234791252485089
"FALSE POSITIVE",6185711,"K00169.01",0.1299,18.87,0,-0.02987,22.7720207253886,3.31744368779466,189.644268774704
"FALSE POSITIVE",11044770,"K00170.01",0.0186,31.27,0,-0.003724,28.9408396946565,1.97611841969819,24.5562130177515
"CANDIDATE",7831264,"K00171.01",0.1457,2.458,0,8.767e-05,28.0473372781065,3.35996528782181,-1.22136752136752
"CANDIDATE",7831264,"K00171.02",1.014,21.88,0,-0.0001113,8.5169263836647,3.35982230997039,1.24217171717172
"CANDIDATE",8692861,"K00172.01",0.7188,11.21,0,8.908e-05,29.6271186440678,4.2906432748538,0.150942028985507
"CANDIDATE",8692861,"K00172.02",4.132,4906,0,0.0001001,15.8811834873114,4.2972972972973,-0.196185737976783
"CANDIDATE",11402995,"K00173.01",2.269,7.558,0,-0.0001198,35.2087912087912,3.66532258064516,0.608439716312057
"CANDIDATE",10810838,"K00174.01",0.09496,328.1,0,-0.0001845,14.1973791973792,8.46511627906977,1.12539682539683
"FALSE POSITIVE",8323753,"K00175.01",2.418,1.782,0,-0.003715,19.2688821752266,1.8657000893843,40.6916426512968
"CANDIDATE",6442377,"K00176.01",0.4174,44.48,0,-0.0001025,30.1856884057971,4.1313672922252,1.57692307692308
"CANDIDATE",6803202,"K00177.01",1.377,35.59,0,-8.963e-05,18.4479778776357,4.76807228915663,0.879402985074627
"FALSE POSITIVE",11455491,"K00178.01",0.3942,19.23,0,0.01245,22.9987809833401,2.93988809541338,-255.936073059361
"CANDIDATE",9663113,"K00179.01",2.779,19.06,0,0.0001853,73.249299719888,4.4042259990813,-1.2441113490364
"CANDIDATE",9663113,"K00179.02",0,1637,0,-3.568e-05,42.5109745390694,4.39393939393939,0.510497237569061
"CANDIDATE",9573539,"K00180.01",2.581,14.47,0,-0.0001111,36.9691014302871,4.79460093896714,1.40973111395647
"FALSE POSITIVE",12504988,"K00181.01",0.4167,5.052,0,0,1089.3347993403,2.29839739867611,53.0922242314647
"CANDIDATE",5376836,"K00182.01",0.1158,2.83,0,-0.0007776,1133.70201691607,2.74416269143861,26.4
"CANDIDATE",9651668,"K00183.01",0.008349,0.09735,0,0.001694,740.157480314961,5.10662848479744,8.46555819477435
"FALSE POSITIVE",7972785,"K00184.01",2.765,4.681,0,-0.0004379,801.596037424326,2.38165018407565,-11.8172715894869
"FALSE POSITIVE",4178389,"K00185.01",6.159,2.115,0,0.01859,532.554543892802,2.83238095238095,5.04961832061069
"CANDIDATE",12019440,"K00186.01",0.09035,0.1687,0,-0.001763,430.920590302178,4.32282259298944,9.99195402298851
"FALSE POSITIVE",7023960,"K00187.01",0.6029,27.22,0,-0.0002169,589.102424110068,2.52727272727273,9.06442307692308
"CANDIDATE",5357901,"K00188.01",2.491,0.223,0,0.000323,408.925791385573,8.17397769516729,-3.63868613138686
"CANDIDATE",11391018,"K00189.01",3.154,9.336,0,0.0004704,545.889792231256,5.67027027027027,-12.7076923076923
"FALSE POSITIVE",5771719,"K00190.01",2.263,1.299,0,0.0007134,528.091130280911,2.38211321319076,-7.34016393442623
"CANDIDATE",5972334,"K00191.01",0.08335,1.583,0,0.001427,283.503054989817,6.34122562674095,-0.1239
"CANDIDATE",5972334,"K00191.02",1.683,1.285,0,0.0002529,15.3957329662767,6.33763313609467,-1.2285140562249
"CANDIDATE",5972334,"K00191.03",0.0001898,0.8122,0,9.406e-05,4.02702702702703,6.33787083103003,-0.841977077363897
"CANDIDATE",5972334,"K00191.04",0.09487,341.2,0,-3.766e-05,7.1209726443769,6.33333333333333,0.240762463343108
"CANDIDATE",7950644,"K00192.01",2.723,0.5007,0,1.316e-05,336.03744149766,2.88121990369181,7.04582484725051
"FALSE POSITIVE",10799735,"K00193.01",2.496,29.97,0,0.001137,406.507791017415,2.33943275388838,-2.65401459854015
"CANDIDATE",10904857,"K00194.01",10.33,1.528,0,9.224e-05,583.267768161553,2.47833030852995,-3.67837837837838
"CANDIDATE",11502867,"K00195.01",6.334,0.04863,0,0.0009451,417.283950617284,5.11410720157843,13.4036697247706
"CANDIDATE",9410930,"K00196.01",0.5746,0.2097,0,-0.0004327,590.132370637786,8.39741774260725,3.61730449251248
"CANDIDATE",2987027,"K00197.01",7.499,6.331,0,0.0001316,197.803295057414,8.5042735042735,13.5031847133758
"FALSE POSITIVE",10666242,"K00198.01",0.05832,24.42,0,-0.0002927,197.858162779629,4.95495495495495,-2.19695652173913
"CANDIDATE",10019708,"K00199.01",0.8149,0.08102,0,0.0004907,407.87510044771,3.08825297583263,-12.3830250272035
"FALSE POSITIVE",10019708,"K00199.02",1.712,26.14,0,-0.0009013,19.1535150645624,3.08828154249345,7.64944649446494
"CANDIDATE",6046540,"K00200.01",0.1704,0.4765,0,-0.0002521,290.056285178236,6.83452188006483,-3.70764331210191
