"koi_disposition","kepid","kepoi_name","boot_mesthresh","tce_fwm_prao","tce_ror_sn","tce_dicco_mdec_sn"
"FALSE POSITIVE",3247396,"K00121.01",7.3324,-9.548e-05,3.02744053804019,-38.5628342245989
"CANDIDATE",8349582,"K00122.01",7.3228,-1.2e-05,21.2634054421464,-0.208648648648649
"CANDIDATE",5094751,"K00123.01",7.28,2.933e-05,38.4492487391332,-0.101104972375691
"CANDIDATE",5094751,"K00123.02",7.474,3.454e-05,19.8426374544799,-0.454364705882353
"CANDIDATE",11086270,"K00124.01",7.2304,-4.903e-05,14.4709279286303,0.133290476190476
"CANDIDATE",11086270,"K00124.02",7.2151,5.365e-05,10.7476483799554,-0.719766355140187
"CANDIDATE",11449844,"K00125.01",8.1438,5.863e-05,487.243961535175,-0.207462686567164
"FALSE POSITIVE",5897826,"K00126.01",-1,0.003046,557.466430843128,0.0256340579710145
"CANDIDATE",5897826,"K00126.02",-1,0.0006563,0.436051553658606,0.0768374384236453
"CANDIDATE",8359498,"K00127.01",7.4543,-0.000137,339.745146644546,-0.00418577844311377
"CANDIDATE",11359879,"K00128.01",7.3823,0.001817,744.32145151971,-0.266279761904762
"CANDIDATE",11974540,"K00129.01",7.2246,0.0018,163.150039704328,1.76125
"CANDIDATE",5297298,"K00130.01",7.1569,-2.357e-05,995.619155813949,-0.061741456166419
"CANDIDATE",7778437,"K00131.01",7.2824,-0.002294,268.117690112327,0.567793103448276
"FALSE POSITIVE",8892910,"K00132.01",7.2304,-0.0001769,50.6141369447285,-2.16017316017316
"FALSE POSITIVE",11673674,"K00133.01",7.3926,-0.01947,382.511276603196,9.87761194029851
"FALSE POSITIVE",9032900,"K00134.01",8.0143,0.0001761,79.3744593442504,-0.308285714285714
"CANDIDATE",9818381,"K00135.01",7.2964,-0.0001734,558.050796476388,0.1308355754858
"FALSE POSITIVE",7601633,"K00136.01",7.2421,0,8.43320970655088,-0.114882179675994
"CANDIDATE",8644288,"K00137.01",7.1495,0,77.8589295272971,-0.274714285714286
"CANDIDATE",8644288,"K00137.02",7.1458,0,81.7040655021379,-0.335562913907285
"CANDIDATE",8644288,"K00137.03",7.2435,0,7.69390975227431,0.0876903225806452
"FALSE POSITIVE",8506766,"K00138.01",7.2466,-0.0001232,14.7556830915134,2.14149085794655
"CANDIDATE",8559644,"K00139.01",8.0162,0.0001498,100.55719919711,-0.715689393939394
"CANDIDATE",8559644,"K00139.02",7.2589,2.957e-05,7.64573682777184,-0.196509345794393
"FALSE POSITIVE",5130369,"K00140.01",7.3563,-0.01005,103.739082509729,57.3385490753912
"CANDIDATE",12105051,"K00141.01",7.3009,0.0001489,122.144643021342,-4.03937677053824
"CANDIDATE",4649305,"K00143.01",7.1258,8.489e-05,143.873078976403,-1.70365058670143
"CANDIDATE",4180280,"K00144.01",7.2626,0.0006774,31.3762763962829,-0.350543735224586
"CANDIDATE",9904059,"K00145.01",7.2513,-0.000121,49.5661347499482,0.0521958762886598
"FALSE POSITIVE",9048161,"K00146.01",7.272,0.03337,6.74306756213032,2.38969072164948
"FALSE POSITIVE",1996679,"K00147.01",7.2268,-0.01371,2.23238277013153,40.6508108108108
"CANDIDATE",5735762,"K00148.01",7.3307,-0.0002655,26.0676340373035,1.21331168831169
"CANDIDATE",5735762,"K00148.02",7.3039,-4.422e-05,30.2330003937869,-0.48356333676622
"CANDIDATE",5735762,"K00148.03",7.4842,-6.385e-05,14.3715149216336,0.385751773049645
"CANDIDATE",3835670,"K00149.01",7.3678,-1.314e-05,35.1536491864633,0.168561904761905
"CANDIDATE",7626506,"K00150.01",7.355,-0.0001594,19.2061655325158,-0.913399558498896
"CANDIDATE",7626506,"K00150.02",7.2878,-0.0002247,11.8029410842505,-0.779934959349594
"CANDIDATE",2307199,"K00151.01",7.0799,8.82e-05,11.7656476263118,-2.33019801980198
"CANDIDATE",8394721,"K00152.01",7.3004,0.0003244,81.0250092662816,0.287997465145754
"CANDIDATE",8394721,"K00152.02",7.1856,0.0001088,41.6924001664789,-1.05907894736842
"CANDIDATE",8394721,"K00152.03",7.2485,-2.709e-05,41.0848337908268,0.495859259259259
"CANDIDATE",8394721,"K00152.04",7.077,-4.183e-05,3.30322081328705,-0.290207006369427
"CANDIDATE",12252424,"K00153.01",7.1946,-0.0001466,34.8005133698314,0.78032183908046
"CANDIDATE",12252424,"K00153.02",7.2018,-0.0001333,15.3351838528308,-0.178495327102804
"CANDIDATE",8030148,"K00155.01",7.2662,-4.061e-05,35.0724497357895,0.082851282051282
"CANDIDATE",10925104,"K00156.01",7.2873,0.0006336,63.9570583743048,0.905084112149533
"CANDIDATE",10925104,"K00156.02",7.2575,0.0001799,54.9400105802708,1.72533333333333
"CANDIDATE",10925104,"K00156.03",7.2372,0.0003111,37.5780283456078,0.786674603174603
"CANDIDATE",6541920,"K00157.01",7.2336,-0.0002271,41.508452453909,-1.01460317460317
"CANDIDATE",6541920,"K00157.02",7.2472,-0.0001343,22.7752443211955,0.886412213740458
"CANDIDATE",6541920,"K00157.03",7.2116,0.0001353,16.6371544699492,-1.15201380897583
"CANDIDATE",6541920,"K00157.04",7.4576,-6.545e-05,12.1249626593345,-1.52467213114754
"CANDIDATE",6541920,"K00157.05",7.2916,-0.000213,32.8212755996864,-0.0176738888888889
"CANDIDATE",6541920,"K00157.06",7.2454,3.354e-06,20.9690965349538,-0.637486301369863
"FALSE POSITIVE",10555375,"K00158.01",7.0935,0.003224,26.0078622885986,-51.587982832618
"CANDIDATE",8972058,"K00159.01",7.3528,6.127e-06,20.3394627072663,1.22190082644628
"CANDIDATE",8972058,"K00159.02",7.2235,5.904e-05,2.36412091492509,0.288065015479876
"CANDIDATE",6631721,"K00160.01",7.3087,-0.001227,64.583762310728,31.3169469598965
"CANDIDATE",5084942,"K00161.01",7.2512,-1.297e-05,24.1959929595712,0.500374331550802
"CANDIDATE",8107380,"K00162.01",7.291,-0.0001673,11.8744165284462,-1.71190476190476
"CANDIDATE",6851425,"K00163.01",7.2955,-1.631e-06,12.4370940670324,-3.17335456475584
"FALSE POSITIVE",5652237,"K00164.01",7.3331,-0.007128,11.3841019410365,52.2125
"CANDIDATE",9527915,"K00165.01",7.1557,0.0001255,19.8627961830359,-0.0881848739495798
"CANDIDATE",2441495,"K00166.01",7.1533,0.000255,10.6780485751675,0.937880794701987
"CANDIDATE",11666881,"K00167.01",7.2089,4.078e-05,43.2279276132675,-0.0776701791359326
"CANDIDATE",11512246,"K00168.01",7.1791,-4.612e-06,58.5506855643243,0.988629032258065
"CANDIDATE",11512246,"K00168.02",7.1051,1.32e-05,6.08431839769489,-0.245890909090909
