"koi_disposition","kepid","kepoi_name","tce_dof2","tce_chisq2","tce_chisqgof","tce_eqt","tce_hap_stat","tce_fwm_prao"
"FALSE POSITIVE",4136659,"K07683.01",1449,1546,5822,1970,14.36,0.0003435
"FALSE POSITIVE",4141587,"K07684.01",136.5,126.4,502.3,2360,1.637,4.365e-05
"CANDIDATE",4141593,"K07685.01",24.84,33.91,682.8,518,1.376,-9.032e-05
"CANDIDATE",4141593,"K07685.02",40.67,37.43,829.7,645,6.723,-9.931e-05
"FALSE POSITIVE",4144873,"K07686.01",7.087,8.228,34.36,1030,1.52,1.17e-05
"CANDIDATE",4252671,"K07687.01",61.41,76.59,909.2,1160,2.194,6.545e-05
"FALSE POSITIVE",4281068,"K07689.01",486800,425100,815000,2320,0,0
"FALSE POSITIVE",4284980,"K07690.01",463.7,466.3,3603,1340,10.09,-1.559e-05
"FALSE POSITIVE",4355503,"K07691.01",7.78,27.71,122.3,100,-0.5962,-0.001498
"FALSE POSITIVE",4373195,"K07692.01",1878,2159,9675,5130,0,0
"CANDIDATE",4384909,"K07693.01",139.3,136.4,674.1,887,-0.7542,9.035e-07
"FALSE POSITIVE",4386607,"K07694.01",139.7,134.2,1021,953,3.932,0.0002982
"FALSE POSITIVE",4390912,"K07695.01",1657,1879,5152,0,4.774,-8.444e-05
"FALSE POSITIVE",4472143,"K07696.01",7.71,1.515,21.22,268,-1.381,0.0007089
"FALSE POSITIVE",4574319,"K07697.01",649.8,612.9,6786,1490,6.682,-0.0005041
"FALSE POSITIVE",4651399,"K07698.01",6.47,1.192,29.64,595,1.204,0.000444
"FALSE POSITIVE",4670267,"K07699.01",5180000,9551000,18940000,1710,547.4,0
"CANDIDATE",4670361,"K07700.01",6.708,0.8827,78.09,237,0.3635,0.0004474
"FALSE POSITIVE",4730442,"K07702.01",774.6,794.5,2855,2000,4.131,0.0002567
"CANDIDATE",4742188,"K07703.01",6.204,0.3451,57.76,254,0.3291,4.541e-05
"CANDIDATE",4742452,"K07704.01",213,224.7,1675,1110,-0.7481,2.142e-05
"CANDIDATE",4762283,"K07706.01",29.07,22.19,105.7,303,-0.6631,-0.0009282
"FALSE POSITIVE",4774646,"K07707.01",2363,2769,10590,2760,22.35,0.0004894
"CANDIDATE",4813793,"K07708.01",157.5,143.9,595.8,1370,-0.4928,-5.782e-05
"FALSE POSITIVE",4840156,"K07709.01",394.2,431.2,2752,1440,23.08,-0.0008173
"FALSE POSITIVE",4851283,"K07710.01",361.4,405.4,3698,1700,8.964,-0.0002909
"CANDIDATE",4940203,"K07711.01",9.449,1.536,138.4,246,3.81,0.000413
"FALSE POSITIVE",5009688,"K07713.01",964.1,991.3,4040,1730,7.039,-5.327e-06
"FALSE POSITIVE",5024429,"K07714.01",559.4,675.7,2821,1700,9.975,-0.0003212
"CANDIDATE",5091479,"K07715.01",54.75,52.66,715.6,613,2.199,9.275e-05
"CANDIDATE",5097856,"K07716.01",6.557,2.427,73.7,202,-1.446,0.0006008
"FALSE POSITIVE",5120225,"K07717.01",30880,190900,213400,1860,172.1,-0.01169
"FALSE POSITIVE",5126932,"K07718.01",2420,2793,9796,2230,2.841,-1.021e-05
"FALSE POSITIVE",5168498,"K07719.01",8.831,7.485,133.7,427,0.922,-0.00062
"FALSE POSITIVE",5185765,"K07720.01",31.78,28.97,98.13,669,0.4372,-0.0002335
"FALSE POSITIVE",5201593,"K07721.01",2095,1294,4357,2450,4.566,-0.0001252
"FALSE POSITIVE",5273713,"K07722.01",983.4,1145,4270,2320,37.97,0.002525
"FALSE POSITIVE",5276332,"K07723.01",6.892,4.041,75.43,306,4.282,-0.0002151
"FALSE POSITIVE",5301093,"K07724.01",6.69,0.5835,49.2,188,-0.08583,-0.0007941
"FALSE POSITIVE",5305399,"K07725.01",22.75,67.8,202.5,259,17.35,-0.001503
"FALSE POSITIVE",5389632,"K07726.01",1180,1314,4861,1750,13.94,-0.0009771
"FALSE POSITIVE",5444491,"K07727.01",1740,1946,10850,2060,18.09,0.0001374
"FALSE POSITIVE",5456319,"K07728.01",1127,1239,6753,1590,18.69,0.00035
"FALSE POSITIVE",5460434,"K07729.01",513.7,637.1,7912,2210,3.503,1.479e-05
"FALSE POSITIVE",5512513,"K07730.01",1314,1793,8539,1350,5.149,5.802e-05
"FALSE POSITIVE",5513861,"K07731.01",6962000,2581000,13150000,2410,853.8,0
"FALSE POSITIVE",5529552,"K07732.01",1741,1940,11130,1740,13.9,1.739e-05
"FALSE POSITIVE",5617259,"K07733.01",1271,997.6,9073,3870,8.403,-6.132e-05
"FALSE POSITIVE",5653795,"K07734.01",410.2,464.8,7369,2610,3.659,-1.559e-05
"CANDIDATE",5687986,"K07735.01",7.113,6.134,118.1,400,0.6913,-0.0003043
"FALSE POSITIVE",5709103,"K07736.01",1982,1376,4913,2340,7.844,-3.047e-05
"FALSE POSITIVE",5716508,"K07737.01",6.39,12.87,118.6,0,2.669,0
"FALSE POSITIVE",5730380,"K07738.01",1388,940,2747,2330,4.381,3.982e-07
"FALSE POSITIVE",5736801,"K07739.01",169.1,211.1,868.4,890,16.08,-0.001558
"FALSE POSITIVE",5774375,"K07740.01",1101000,2171000,4634000,2140,307.6,-0.01934
