"koi_disposition","kepid","kepoi_name","tce_impact","tcet_model_chisq","boot_mesmean","tce_fwm_sra","tce_fwm_prao","tce_slogg_sn","tce_albedo_sn"
"CANDIDATE",6850504,"K00070.04",0.8987,61660,-0.19666,19.179869,-9.707e-06,49.4444444444444,1.47204354280059
"CANDIDATE",6850504,"K00070.05",0.8842,57380,-0.18461,19.179858,3.076e-05,49.4444444444444,0.909791827293755
"CANDIDATE",11904151,"K00072.01",0.7383,77580,-0.89784,19.045289,-1.762e-05,145,3.3477508650519
"CANDIDATE",11904151,"K00072.02",0.9012,54430,-0.15836,19.045284,5.24e-06,145,1.14714151827554
"FALSE POSITIVE",6889235,"K00074.01",0.6997,276200,-0.12469,19.888279,9.049e-05,19.1363636363636,2.29595728451564
"CANDIDATE",7199397,"K00075.01",0.6085,69980,-0.29385,19.433134,0.0007389,47,2.35478547854785
"FALSE POSITIVE",9955262,"K00076.01",0.4736,90470,-0.82583,19.569496,-0.001127,13.3214285714286,1.86085720089376
"FALSE POSITIVE",9552608,"K00080.01",0.9999,67450,-0.0578,20.035833,-1.973e-05,9.04878048780488,1.3453111305872
"FALSE POSITIVE",8823868,"K00081.01",0.0003194,353100,-0.28801,19.585715,0.000319,19.2857142857143,2.40733944954128
"CANDIDATE",10187017,"K00082.01",0.835,87350,-0.10793,18.765499,2.264e-05,92,0.810312732688012
"CANDIDATE",10187017,"K00082.02",0.8995,84850,-0.074449,18.765492,7.556e-05,92,2.29124647035095
"CANDIDATE",10187017,"K00082.03",0.879,78280,-0.285,18.765498,9.302e-06,92,1.56055900621118
"CANDIDATE",10187017,"K00082.04",0.8989,79650,-0.080058,18.765485,3.283e-05,92,1.53794326241135
"CANDIDATE",10187017,"K00082.05",0.8988,76030,-0.082611,18.765526,-3.96e-05,92,1.13052208835341
"CANDIDATE",10187017,"K00082.06",0.6404,64400,-0.16205,18.765519,-4.164e-05,92,1.01687643020595
"CANDIDATE",2571238,"K00084.01",0.8823,69310,-0.046776,19.361395,1.629e-05,45.8,3.24121212121212
"CANDIDATE",5866724,"K00085.01",0.8883,71670,-0.26542,19.245912,8.754e-06,140.666666666667,2.26296818680458
"CANDIDATE",5866724,"K00085.02",0.9001,63210,-0.27612,19.245911,5.765e-06,140.666666666667,0.803476946334089
"CANDIDATE",5866724,"K00085.03",0.9004,49730,-0.25531,19.245911,7.786e-06,140.666666666667,2.49490498485266
"CANDIDATE",10593626,"K00087.01",0.8255,70040,-0.99242,19.281165,-0.0002333,44.5,2.36708860759494
"FALSE POSITIVE",7700871,"K00088.01",0.9097,72000,0.036421,19.822021,-0.002118,35,1.30191256830601
"CANDIDATE",8056665,"K00089.01",0.8228,72520,-0.1808,19.988054,0.0001747,23.8823529411765,1.03508771929825
"CANDIDATE",8056665,"K00089.02",0.7152,66070,-0.39541,19.988077,-0.0001914,23.8823529411765,2.09300341296928
"FALSE POSITIVE",9210823,"K00090.01",0.9006,85010,-0.62075,0,-0.01176,9.72972972972973,0.982108929702343
"CANDIDATE",7941200,"K00092.01",0.8621,71820,-0.18794,18.891658,-9.543e-05,36.6666666666667,2.84309021113244
"CANDIDATE",6462863,"K00094.01",0.298,61990,-0.32323,19.822207,0.001372,30.2142857142857,1.68466522678186
"CANDIDATE",6462863,"K00094.02",0.642,51570,-1.2911,19.822209,0.0003053,30.2142857142857,0.375227135069655
"CANDIDATE",6462863,"K00094.03",0.7082,30850,-0.15868,19.822209,0.0001439,30.2142857142857,1.8009438009438
"CANDIDATE",6462863,"K00094.04",0.9085,28310,-0.014919,19.822201,6.143e-05,30.2142857142857,1.73244680851064
"CANDIDATE",5780885,"K00097.01",0.517,104100,0.11835,19.238768,0.0002854,198.5,9.5361380798274
"CANDIDATE",10264660,"K00098.01",0.5798,78530,-0.04126,19.180586,0.0001601,197.5,3.55871626549964
"CANDIDATE",4055765,"K00100.01",0.9672,67480,-1,19.41186,2.603e-05,18.3,2.18504347826087
"CANDIDATE",8456679,"K00102.01",0.9,70820,-0.24205,19.980318,0.00014,36.5833333333333,2.10431154381085
"FALSE POSITIVE",8456679,"K00102.02",0.9316,55490,-0.26241,19.98032,4.147e-06,36.5833333333333,1.54702230397793
"CANDIDATE",2444412,"K00103.01",0.9326,78690,-0.0020424,19.445551,4.489e-05,45,2.62959317585302
"CANDIDATE",10318874,"K00104.01",0.8999,71670,0.07835,18.746309,0.0001626,92,2.27408142999007
"CANDIDATE",8711794,"K00105.01",0.7789,67720,-0.04428,19.929126,4.585e-06,27.25,2.41952983725136
"FALSE POSITIVE",10489525,"K00106.01",0.9006,55830,0.2092,19.887885,0.008739,13.0689655172414,1.58360745614035
"CANDIDATE",11250587,"K00107.01",0.8071,68970,-0.01168,19.655679,2.221e-05,205.5,2.27143196390406
"CANDIDATE",4914423,"K00108.01",0.8289,67170,-0.089746,19.265641,-6.412e-05,138.333333333333,3.07805837979665
"CANDIDATE",4914423,"K00108.02",0.7222,65620,-1.3879,19.26564,-0.0001103,138.333333333333,4.09246575342466
"FALSE POSITIVE",4752451,"K00109.01",0.9966,55780,-0.050991,19.563782,-0.001033,22.4210526315789,0.731014904187367
"CANDIDATE",9450647,"K00110.01",0.8135,67930,-0.09362,18.970384,8.768e-06,35.8333333333333,2.81923235658275
"CANDIDATE",6678383,"K00111.01",0.8,71400,-0.052622,19.173642,-8.112e-05,39.9090909090909,0
"CANDIDATE",6678383,"K00111.02",0.7803,73530,-0.25972,19.173641,-8.607e-05,39.9090909090909,1.88250805742748
"CANDIDATE",6678383,"K00111.03",0.7785,63100,-0.099823,19.173645,-0.0001372,39.9090909090909,2.18211648892535
"CANDIDATE",10984090,"K00112.01",0.8086,67370,-0.23819,19.709913,1.936e-05,40.0909090909091,2.64263846367938
"CANDIDATE",10984090,"K00112.02",0.9011,65160,-0.11854,19.709924,-4.609e-05,40.0909090909091,2.06774557771923
"FALSE POSITIVE",6721123,"K00114.01",0.9999,68800,-0.097761,19.923953,0.003032,22.1666666666667,0.691033394688404
"CANDIDATE",9579641,"K00115.01",0.8853,68710,-0.050142,19.192488,-5.213e-05,33.3846153846154,2.44290288153682
"CANDIDATE",9579641,"K00115.02",0.8984,63000,-0.12937,19.192496,-6.863e-05,33.3846153846154,2.36998136540742
"CANDIDATE",9579641,"K00115.03",0.8961,59920,-0.18295,19.192473,1.221e-05,33.3846153846154,1.10349462365591
"CANDIDATE",8395660,"K00116.01",0.8988,70080,-0.044114,20.057614,-4.392e-05,40.0909090909091,2.62110346846188
"CANDIDATE",8395660,"K00116.02",0.8698,65190,-0.074077,20.057603,0.0002044,40.0909090909091,1.90248013484228
"CANDIDATE",8395660,"K00116.03",0.861,63380,-0.020572,20.057606,1.223e-05,40.0909090909091,0.996937994386323
"CANDIDATE",8395660,"K00116.04",0.9017,59050,-0.057731,20.05763,-6.593e-05,40.0909090909091,1.19875
"CANDIDATE",10875245,"K00117.01",0.8918,53980,-0.35969,19.801878,2.118e-05,209.5,3.1542540926908
"CANDIDATE",10875245,"K00117.02",0.9115,50370,-0.44512,19.801876,1.114e-05,209.5,2.04618284637135
"CANDIDATE",10875245,"K00117.03",0.9004,42580,-0.42588,19.80189,-5.649e-05,209.5,1.50078003120125
"CANDIDATE",10875245,"K00117.04",0.8902,37470,-0.35069,19.801885,-1.163e-05,209.5,0.81322505800464
"CANDIDATE",3531558,"K00118.01",0.8486,67240,-0.071511,19.15753,-4.674e-05,209,2.63821138211382
"CANDIDATE",9471974,"K00119.01",0.6416,74690,-0.2691,19.637288,0.0002428,97.75,1.34630163304515
"CANDIDATE",9471974,"K00119.02",0.7709,65490,-0.73503,19.637286,0.000293,97.75,2.79864696457184
"CANDIDATE",11869052,"K00120.01",0.9192,83530,-0.076754,19.62676,0.0002035,17.5416666666667,0.874891247607447
"FALSE POSITIVE",3247396,"K00121.01",0.9929,53720,0.052633,19.630734,-9.548e-05,16.5217391304348,1.27949709864603
"CANDIDATE",8349582,"K00122.01",0.8153,68220,-0.049965,18.965496,-1.2e-05,138.666666666667,1.45841683366733
"CANDIDATE",5094751,"K00123.01",0.9071,70310,-0.034651,19.359513,2.933e-05,140.333333333333,2.41907261592301
"CANDIDATE",5094751,"K00123.02",0.7778,62350,-0.096036,19.359513,3.454e-05,140.333333333333,2.69929731039496
"CANDIDATE",11086270,"K00124.01",0.8926,69470,-0.041836,19.528616,-4.903e-05,19.1428571428571,2.21436687286959
"CANDIDATE",11086270,"K00124.02",0.8237,65210,-0.15613,19.528606,5.365e-05,19.1428571428571,2.06349952963311
"CANDIDATE",11449844,"K00125.01",0.007245,128600,-1.0632,19.26015,5.863e-05,41.2727272727273,3.06451612903226
"FALSE POSITIVE",5897826,"K00126.01",0.7388,2820000,-1,19.831724,0.003046,20,2.41517465882058
"CANDIDATE",5897826,"K00126.02",1,68780,-1,19.831687,0.0006563,20,0.21551347414421
"CANDIDATE",8359498,"K00127.01",0.3554,96710,-0.10621,19.307198,-0.000137,88.4,3.5284528749259
"CANDIDATE",11359879,"K00128.01",0.6597,76390,-0.0026471,19.746706,0.001817,40.5454545454545,2.63018867924528
"CANDIDATE",11974540,"K00129.01",0.01512,70140,-0.13154,19.800632,0.0018,16.3333333333333,1.97582417582418
"CANDIDATE",5297298,"K00130.01",0.6557,71980,-0.031405,19.824022,-2.357e-05,23.4705882352941,2.69860090111454
"CANDIDATE",7778437,"K00131.01",0.2642,80970,-0.059184,19.939837,-0.002294,21.6,1.63394867176947
"FALSE POSITIVE",8892910,"K00132.01",0.9535,70680,-0.026841,19.627497,-0.0001769,22.4736842105263,2.78307692307692
"FALSE POSITIVE",11673674,"K00133.01",0.7682,267200,-0.1396,19.820835,-0.01947,23.0526315789474,2.78405524168236
"FALSE POSITIVE",9032900,"K00134.01",0.6056,345400,-0.91362,19.705772,0.0001761,22.6666666666667,2.87781954887218
"CANDIDATE",9818381,"K00135.01",0.6577,79690,-0.11211,19.016058,-0.0001734,71,4.02121504339441
"FALSE POSITIVE",7601633,"K00136.01",0.9752,35400,-0.062287,19.324896,0,19.5,1.84354945784466
"CANDIDATE",8644288,"K00137.01",0.7072,71740,-0.1224,19.871961,0,62,0
"CANDIDATE",8644288,"K00137.02",0.768,68870,-0.14399,19.87196,0,62,2.36245415138379
"CANDIDATE",8644288,"K00137.03",0.8965,60530,-0.11705,19.871959,0,62,1.84387510008006
"FALSE POSITIVE",8506766,"K00138.01",0.9798,69680,-0.054848,19.729397,-0.0001232,20.45,1.95749542961609
"CANDIDATE",8559644,"K00139.01",0.65,72500,-1.1344,19.443545,0.0001498,35.75,2.34983498349835
"CANDIDATE",8559644,"K00139.02",0.904,68480,0.0042229,19.443541,2.957e-05,35.75,2.20260782347041
"FALSE POSITIVE",5130369,"K00140.01",0.9348,81680,0.053435,19.943926,-0.01005,18.3913043478261,2.14897798742138
"CANDIDATE",12105051,"K00141.01",0.8924,68060,-0.018511,19.202545,0.0001489,45.1,2.00953678474114
"CANDIDATE",4649305,"K00143.01",0.9271,70810,-0.0048655,19.34022,8.489e-05,18.7391304347826,2.26720841300191
"CANDIDATE",4180280,"K00144.01",0.7635,55230,-0.053248,19.768307,0.0006774,76.5,2.12121212121212
"CANDIDATE",9904059,"K00145.01",0.9261,53030,-0.048658,19.787844,-0.000121,102.333333333333,2.88950630476598
"FALSE POSITIVE",9048161,"K00146.01",1,160200,-0.044105,19.959568,0.03337,8.90909090909091,1.23994211287988
"FALSE POSITIVE",1996679,"K00147.01",0.9861,68700,-0.13698,19.099484,-0.01371,22.8947368421053,1.02566277836691
"CANDIDATE",5735762,"K00148.01",0.8162,74550,-0.068328,19.942621,-0.0002655,64.1428571428571,2.21093267449043
"CANDIDATE",5735762,"K00148.02",0.911,66100,-0.09174,19.942617,-4.422e-05,64.1428571428571,2.30942334739803
"CANDIDATE",5735762,"K00148.03",0.8388,59560,-0.26841,19.942617,-6.385e-05,64.1428571428571,2.74532710280374
"CANDIDATE",3835670,"K00149.01",0.6705,69130,-0.16644,19.108671,-1.314e-05,24.4705882352941,1.84223300970874
"CANDIDATE",7626506,"K00150.01",0.7731,68330,-0.015599,19.798737,-0.0001594,56.375,2.0976253298153
"CANDIDATE",7626506,"K00150.02",0.7048,63780,-0.1058,19.798739,-0.0002247,56.375,2.31981664315938
"CANDIDATE",2307199,"K00151.01",0.9683,67970,-0.033661,19.491653,8.82e-05,22.05,2.34987168520103
"CANDIDATE",8394721,"K00152.01",0.5775,75630,-0.13612,20.034492,0.0003244,32.6153846153846,1.87222757955641
"CANDIDATE",8394721,"K00152.02",0.8834,69910,0.040511,20.034491,0.0001088,32.6153846153846,2.39779874213836
"CANDIDATE",8394721,"K00152.03",0.8627,63690,-0.11181,20.034496,-2.709e-05,32.6153846153846,1.96599423631124
"CANDIDATE",8394721,"K00152.04",0.8801,60740,0.025232,20.034498,-4.183e-05,32.6153846153846,1.43041282006619
"CANDIDATE",12252424,"K00153.01",0.9002,67740,-0.047736,19.199861,-0.0001466,92.6,1.61871508379888
"CANDIDATE",12252424,"K00153.02",0.8332,62160,-0.042041,19.199859,-0.0001333,92.6,2.39787675975075
"CANDIDATE",8030148,"K00155.01",0.7902,68290,-0.20235,19.488102,-4.061e-05,26.6875,1.75305688463583
"CANDIDATE",10925104,"K00156.01",0.8675,75370,-0.1143,19.608108,0.0006336,157.333333333333,2.52042483660131
"CANDIDATE",10925104,"K00156.02",0.9446,70510,-0.093324,19.608112,0.0001799,157.333333333333,2.34121528732472
"CANDIDATE",10925104,"K00156.03",0.9608,66900,-0.099903,19.608095,0.0003111,157.333333333333,3.54030297363007
"CANDIDATE",6541920,"K00157.01",0.8342,89030,-0.14457,19.807677,-0.0002271,72.6666666666667,2.33420365535248
"CANDIDATE",6541920,"K00157.02",0.812,71720,-0.13051,19.807677,-0.0001343,72.6666666666667,1.22877410773664
"CANDIDATE",6541920,"K00157.03",0.7213,67780,-0.1563,19.807669,0.0001353,72.6666666666667,2.76504534212696
"CANDIDATE",6541920,"K00157.04",0.5166,64270,-0.30079,19.807674,-6.545e-05,72.6666666666667,3.23121573685908
"CANDIDATE",6541920,"K00157.05",0.905,61620,-0.12562,19.807682,-0.000213,72.6666666666667,2.68219516499029
"CANDIDATE",6541920,"K00157.06",0.9226,59580,-0.1337,19.807673,3.354e-06,72.6666666666667,2.86707882534776
"FALSE POSITIVE",10555375,"K00158.01",0.9644,54250,-0.052353,19.917808,0.003224,7.56862745098039,1.0486192143135
"CANDIDATE",8972058,"K00159.01",0.8635,67400,0.023849,19.847459,6.127e-06,36,3.05584281282316
"CANDIDATE",8972058,"K00159.02",0.8997,63050,-0.0079587,19.847437,5.904e-05,36,1.04492726937949
"CANDIDATE",6631721,"K00160.01",0.9552,67650,-0.0066013,19.878964,-0.001227,23.8333333333333,2.32511658894071
"CANDIDATE",5084942,"K00161.01",0.8578,71320,-0.049883,19.136778,-1.297e-05,76.3333333333333,2.49314626673117
"CANDIDATE",8107380,"K00162.01",0.7079,67740,0.012473,19.677592,-0.0001673,33.2307692307692,2.23724646588814
"CANDIDATE",6851425,"K00163.01",0.8294,66790,-0.039533,19.204498,-1.631e-06,91.6,2.6541095890411
"FALSE POSITIVE",5652237,"K00164.01",0.9837,68210,0.00516,19.970515,-0.007128,8.88636363636364,1.21223958333333
"CANDIDATE",9527915,"K00165.01",0.8642,68040,-0.028914,19.499131,0.0001255,76,3.18094782192437
"CANDIDATE",2441495,"K00166.01",0.8666,66800,-0.049635,19.401454,0.000255,76,2.60439782126286
"CANDIDATE",11666881,"K00167.01",0.8996,66830,-0.07999,19.630925,4.078e-05,35.4166666666667,3.12314814814815
"CANDIDATE",11512246,"K00168.01",0.925,67800,-0.16535,19.614599,-4.612e-06,204.5,3.16234718826406
"CANDIDATE",11512246,"K00168.02",0.83,62490,-0.22334,19.614596,1.32e-05,204.5,1.93573264781491
"CANDIDATE",11512246,"K00168.03",0.9095,59000,-0.27475,19.614599,-1.461e-06,204.5,2.30040357957536
"FALSE POSITIVE",6185711,"K00169.01",0.9883,53970,-0.03417,18.964981,-0.02987,30.6666666666667,0.925907752698724
"FALSE POSITIVE",11044770,"K00170.01",0.9837,53890,-0.042028,19.86563,-0.003724,14.5925925925926,1.82226107226107
"CANDIDATE",7831264,"K00171.01",0.8138,68020,-0.093426,19.649467,8.767e-05,24.5294117647059,1.91284046692607
"CANDIDATE",7831264,"K00171.02",0.8957,62110,-0.068776,19.649483,-0.0001113,24.5294117647059,1.72012578616352
"CANDIDATE",8692861,"K00172.01",0.7556,67720,-0.093719,19.55073,8.908e-05,33.8461538461538,1.57134847210541
"CANDIDATE",8692861,"K00172.02",0.8596,64130,-0.13932,19.550726,0.0001001,33.8461538461538,2.34736842105263
"CANDIDATE",11402995,"K00173.01",0.8966,67870,-0.1027,19.460472,-0.0001198,26.875,2.10236439499305
"CANDIDATE",10810838,"K00174.01",0.8655,53910,-0.029564,19.788201,-0.0001845,91.6,2.5355486862442
"FALSE POSITIVE",8323753,"K00175.01",0.9513,69440,0.03866,19.938907,-0.003715,12.4666666666667,1.54821894005213
"CANDIDATE",6442377,"K00176.01",0.7967,68410,-0.063348,19.443125,-0.0001025,34.9166666666667,2.3862660944206
"CANDIDATE",6803202,"K00177.01",0.7174,67540,0.013134,19.878489,-8.963e-05,39.8181818181818,1.30749448934607
"FALSE POSITIVE",11455491,"K00178.01",0.9816,68100,-0.077129,19.465577,0.01245,21.7368421052632,2.92827775239836
"CANDIDATE",9663113,"K00179.01",0.5621,54780,-0.15221,19.803025,0.0001853,35.5,2.54133333333333
"CANDIDATE",9663113,"K00179.02",0.7771,53100,-3.4313,19.80303,-3.568e-05,35.5,2.4683353437877
"CANDIDATE",9573539,"K00180.01",0.8451,88440,0.024852,18.959623,-0.0001111,41.3636363636364,2.37915159487011
"FALSE POSITIVE",12504988,"K00181.01",0.6472,85470,0.0092896,19.216865,0,20.2272727272727,2.43235435724603
"CANDIDATE",5376836,"K00182.01",0.6531,90900,-0.10832,19.711423,-0.0007776,23.7894736842105,2.89188636828122
"CANDIDATE",9651668,"K00183.01",0.3145,98660,-0.044387,19.523717,0.001694,40.0909090909091,2.96437271619976
"FALSE POSITIVE",7972785,"K00184.01",0.5093,79450,0.077119,19.736508,-0.0004379,20.9047619047619,2.520732364028
"FALSE POSITIVE",4178389,"K00185.01",0.9488,57910,-0.071838,19.745684,0.01859,24.0526315789474,2.05739299610895
"CANDIDATE",12019440,"K00186.01",0.266,77820,0.01884,19.666423,-0.001763,34.1538461538462,2.29993183367416
"FALSE POSITIVE",7023960,"K00187.01",0.2697,78230,-0.059199,19.248636,-0.0002169,22.45,2.63759689922481
"CANDIDATE",5357901,"K00188.01",0.6044,82390,-0.059452,19.357201,0.000323,75.5,2.19056974459725
"CANDIDATE",11391018,"K00189.01",0.4038,60210,-0.15483,18.991993,0.0004704,64.8571428571428,3.08017156054108
"FALSE POSITIVE",5771719,"K00190.01",0.8265,67860,-0.14905,18.97659,0.0007134,16.5652173913043,2.31509534842274
"CANDIDATE",5972334,"K00191.01",0.5667,58290,-0.4504,19.685815,0.001427,56,1.22428460943542
"CANDIDATE",5972334,"K00191.02",0.9034,52840,-0.87677,19.685808,0.0002529,56,1.4721044793218
"CANDIDATE",5972334,"K00191.03",0.9,46280,-1.2302,19.685801,9.406e-05,56,0.85431787104239
"CANDIDATE",5972334,"K00191.04",0.8531,31950,-0.62603,19.685819,-3.766e-05,56,1.64513018322083
"CANDIDATE",7950644,"K00192.01",0.2442,85140,-0.018307,19.216974,1.316e-05,20.65,1.85857461024499
"FALSE POSITIVE",10799735,"K00193.01",0.4683,73850,-0.059083,19.525076,0.001137,20.2727272727273,2.40529695024077
"CANDIDATE",10904857,"K00194.01",0.8091,86200,-0.073325,18.86441,9.224e-05,21.2857142857143,2.59952364749915
"CANDIDATE",11502867,"K00195.01",0.7265,71130,-0.12574,19.295646,0.0009451,40.6363636363636,0.636268480962973
"CANDIDATE",9410930,"K00196.01",0.6955,74970,-0.30906,19.634216,-0.0004327,88.8,7.2360248447205
"CANDIDATE",2987027,"K00197.01",0.2196,74690,-0.036014,19.388881,0.0001316,92,3.24002047082907
"FALSE POSITIVE",10666242,"K00198.01",0.9434,83490,-0.5683,19.473215,-0.0002927,45,2.93122074180771
"CANDIDATE",10019708,"K00199.01",0.4787,78540,-0.18444,19.668375,0.0004907,22.5,2.12038733315886
"FALSE POSITIVE",10019708,"K00199.02",0.9808,58560,-0.11275,0,-0.0009013,22.5,2.72917101691376
"CANDIDATE",6046540,"K00200.01",0.6929,77220,-0.032099,19.539501,-0.0002521,69.8333333333333,2.67997750281215
"CANDIDATE",6849046,"K00201.01",0.4524,88630,-0.07279,19.142039,0.0001861,36.6666666666667,2.46298031865042
"CANDIDATE",7877496,"K00202.01",0.7277,74080,-0.27987,19.074021,-0.001587,71.6666666666667,6.45458960660515
"CANDIDATE",10619192,"K00203.01",0.08986,127600,0.14515,19.893021,0.000807,88.6,6.50124069478908
"CANDIDATE",9305831,"K00204.01",0.6641,69150,-0.17789,20.00684,0.001239,69.1666666666667,1.51301482701812
"CANDIDATE",7046804,"K00205.01",0.7071,69260,-0.021594,19.699781,0.002979,57,3.3212927756654
"CANDIDATE",5728139,"K00206.01",0.3188,71650,0.038055,19.839575,7.626e-06,22.3333333333333,1.92885906040268
"CANDIDATE",3762468,"K00208.01",0.487,69210,-0.017919,19.687171,-0.0008451,20,2.06047819971871
