"koi_disposition","kepid","kepoi_name","tce_model_dof","tce_nkoi","tcet_ingress","tcet_depth","tce_max_sngle_ev","tce_cap_stat","tce_rb_tcount4","tce_fwm_sdeco","tce_fwm_prao","tce_dicco_msky","tce_dikco_mdec","tce_period_sn","tce_dor_sn","tce_fwm_sdec_sn"
"FALSE POSITIVE",9110357,"K00016.01",31460,1,1.182,852.9,49.07,-337.2,0,-397.6,0.04832,9.7538,-7.9903,428828.919448396,15.9635937129658,532934.929411765
"CANDIDATE",10874614,"K00017.01",11450,1,0.7118,10120,237.9,1599,0,0.1457,0.00086,0.069382,0.17454,32279857.8955772,126.484085856367,41230756.4102564
"CANDIDATE",8191672,"K00018.01",16420,1,0.7521,6964,165.8,1196,0,0.05465,0.0004054,0.034869,0.025836,22752955.961938,98.6353208039967,27870295.5696203
"FALSE POSITIVE",7255336,"K00019.01",17330,1,0.7349,2820,72.83,583.2,0,0.109,0.0004573,0.10923,0.16255,14367715.8960642,261.997809454726,17557054.5081967
"CANDIDATE",11804465,"K00020.01",10350,1,0.8109,15710,302.4,1816,0,0.01748,-4.892e-05,0.0017607,-0.072613,30782612.3145431,283.693198475572,50241350.4016064
"FALSE POSITIVE",10125352,"K00021.01",5962,1,0.8598,3422,50.98,270.5,0,0.8743,-0.006036,1.9669,0.85411,8944943.4124405,56.0120372649457,8203456.17391304
"CANDIDATE",9631995,"K00022.01",6794,1,0.7968,9938,204.7,1039,0,-0.09276,0.001755,0.02252,-0.14294,16505131.5461986,156.206553030528,23161667
"FALSE POSITIVE",9071386,"K00023.01",13240,1,0.8955,13790,231.4,1639,0,0.05016,-0.000133,0.010211,-0.031632,42736684.9088045,589.575823186897,74676108.5526316
"FALSE POSITIVE",4743513,"K00024.01",10990,1,0.8051,4791,85.65,-46.94,0,-2.52,0.02495,3.9475,-1.5342,6249011.45513804,124.130781391886,13922646.8531469
"FALSE POSITIVE",10593759,"K00025.01",13490,1,1.327,9744,113.1,459.1,0,0.0619,-4.409e-05,0.012365,0.090436,14452641.2918108,234.52444437291,37355888.28125
"FALSE POSITIVE",5021737,"K00026.01",3010,1,1.972,6422,262.7,55.31,0,1.124,0.04122,3.9415,0.57424,2757906.78185222,48.3980187165405,17012988.1355932
"FALSE POSITIVE",3832716,"K00027.01",-1,1,1.663,305500,562.9,0,0,0,0,0.025063,7.8558e-05,-1.14187,-5.2597108,0
"FALSE POSITIVE",4247791,"K00028.01",41960,1,2.975,108700,1604,1778,0,-0.158,0.02208,0.040968,0.0062289,49256857.8793244,1921.28623930805,577373856.304985
"FALSE POSITIVE",6956014,"K00031.01",29190,1,1.002,399.4,17.21,19.36,0,-0.2884,-1.231e-05,0.18865,0.15062,1025957.78783516,9.55797925889709,3599047.79661017
"FALSE POSITIVE",5725087,"K00033.01",26590,1,0.9467,375.1,5.495,5.037,0,2.787,3.992e-05,1.1882,1.2809,112584.239264105,2.03399552731598,198677.402912621
"CANDIDATE",6521045,"K00041.01",6501,3,1.051,210.5,11.34,42.84,0,0.4325,0.0001068,1.4587,0.91463,703393.504975275,4.00792576144511,969754.965357968
"CANDIDATE",6521045,"K00041.02",7782,3,0.8701,68.68,5.232,18.66,0,0.7017,-3.921e-06,2.0478,1.441,370980.096420588,1.77491223990941,411671.225490196
"CANDIDATE",6521045,"K00041.03",1856,3,1.39,93.07,6.183,12.28,0,0.373,-6.725e-06,0.31842,-0.39735,173418.243392476,1.60813411671033,265761.860759494
"CANDIDATE",8866102,"K00042.01",3367,1,0.8934,311.4,22.8,0,0,0.5845,0.0002523,0.62906,0.50991,1660657.4168917,14.0809731124692,1540614.06143345
"FALSE POSITIVE",9025922,"K00043.01",4257,1,1.738,5770,44.02,-132.5,0,-24.28,0.09774,6.5744,-4.6623,674232.723244331,17.2207190082108,1724104.7148289
"FALSE POSITIVE",8845026,"K00044.01",3786,1,2.933,11900,75.78,242.2,0,-0.1898,0.004064,0.13576,-0.069514,2114829.1562332,215.678116823976,15548123.4482759
"FALSE POSITIVE",3742855,"K00045.01",10630,1,1.496,18580,63.56,160.7,0,3.952,0.04568,5.7996,5.527,3145839.27535234,194.953844155908,10818667.1309192
"CANDIDATE",10905239,"K00046.01",15660,2,0.6962,1234,23.27,188.3,0,0.1938,-0.0001073,0.033736,0.12898,3586376.31711814,10.981179378022,4132930.42735043
"CANDIDATE",10905239,"K00046.02",6996,2,2.364,63.8,2.974,9.15,0,-0.4241,5.168e-05,0.91942,0.51489,92994.8565303557,0.344676410753403,121495.261306533
"FALSE POSITIVE",7837302,"K00048.01",2723,1,2.315,28460,464.4,747.2,0,-0.004111,4.268e-05,0.022834,0.054742,10390615.8050975,379.777531583619,38877838.3928571
"CANDIDATE",9527334,"K00049.01",4901,1,0.436,774,12.27,25.87,0,-0.1191,0.0001002,0.048161,0.015009,1555405.05398412,4.94262722217645,1831936.11111111
"FALSE POSITIVE",6056992,"K00051.01",4302,1,1.434,28830,69.95,210,0,-0.6604,0.01613,1.8999,-1.5791,4182628.88396133,96.0050510747963,6677261.38933764
"FALSE POSITIVE",3558981,"K00052.01",8363,1,0.734,41790,256,292.3,0,-0.4744,0,0.047751,-0.091523,32190388.3592423,659.395987294913,33343294.8275862
"FALSE POSITIVE",2445975,"K00053.01",8579,1,0.6037,11370,56.54,295.4,0,-0.3116,0.004894,1.2923,0.80622,6559791.25614095,78.5323094884376,8469381.39013453
"FALSE POSITIVE",8248939,"K00061.01",17720,1,1.524,326.9,12.44,3.047,0,20.43,0.003007,5.8661,4.4477,955345.132122261,3.71725521386399,1802723.26530612
"CANDIDATE",11554435,"K00063.01",3808,1,0.5806,3859,93.15,87.36,0,0.308,2.272e-05,0.017323,0.21477,11982533.2835446,58.8060180271052,17823124.4604317
"CANDIDATE",7051180,"K00064.01",10970,1,0.493,1138,18.17,127.8,0,-0.1126,2.265e-05,0.059336,-0.1598,4479106.88295171,21.4618491183001,5071204.88676997
"FALSE POSITIVE",10620329,"K00066.01",17760,1,0.7127,623.9,6.816,80.41,4,-0.02395,0,1.1169,0.088029,1196617.33325288,5.37016941615768,2044445
"FALSE POSITIVE",8669092,"K00068.01",-1,1,0.7227,214.8,34.87,-1.906,0,0.15,-3.973e-06,0.69505,-0.25421,-1.00071,-4.0034094,1112344.96277916
"CANDIDATE",3544595,"K00069.01",8217,1,0.5622,262.9,20.67,157,0,0.1577,-2.044e-05,2.8336,3.2463,3854787.14728429,10.3823718380632,1267947.67213115
"CANDIDATE",6850504,"K00070.01",4741,5,0.7038,988.8,29.72,136.2,0,-0.2011,-2.59e-05,0.065013,-0.23087,2381193.70110525,9.65922919125734,3814294.05405405
"CANDIDATE",6850504,"K00070.02",8431,5,0.5124,360,11.91,77.34,0,-0.3318,2.398e-05,0.12169,-0.37887,1970097.70216032,5.27732388599204,1987729.01408451
"CANDIDATE",6850504,"K00070.03",895.2,5,1.194,804,27.55,43.06,0,-0.377,4.252e-05,0.16379,-0.34576,599627.606560923,5.80111697126085,1501369.32624113
"CANDIDATE",6850504,"K00070.04",5135,5,0.6177,68.54,3.486,13.11,0,-0.5958,-9.707e-06,0.95606,0.64956,287713.595576649,0.795056448326162,323195.076335878
"CANDIDATE",6850504,"K00070.05",1485,5,0.9984,99.38,3.157,10.78,0,0.2187,3.076e-05,0.98122,0.70779,161567.853959661,0.513405769441781,246155.703488372
"CANDIDATE",11904151,"K00072.01",1773,2,1.23,458.2,25.64,60.5,0,0.3506,-1.762e-05,1.1346,1.442,851768.064268628,5.39993162263173,1407322.04481793
"CANDIDATE",11904151,"K00072.02",19570,2,0.393,182.3,9.294,16.94,0,1.032,5.24e-06,0.99401,1.3956,307014.733322824,1.86137667869117,505448.561368209
"FALSE POSITIVE",6889235,"K00074.01",11660,1,0.2555,1187,88.64,226.6,0,0.1534,9.049e-05,0.61004,0.098218,9603115.99473635,47.38466568383,5584784.32147563
"CANDIDATE",7199397,"K00075.01",2533,1,2.331,1471,70.94,135.9,0,0.8721,0.0007389,1.8655,1.6028,840777.886302817,37.2052894228729,3502354.26229508
"FALSE POSITIVE",9955262,"K00076.01",1790,1,1.356,1240,16.85,0,0,0.9909,-0.001127,2.2383,2.007,1553894.96568515,18.5955304089449,2675566.57142857
"FALSE POSITIVE",9552608,"K00080.01",3984,1,1.408,1034,41.6,180.9,0,-0.1358,-1.973e-05,0.14064,-0.048267,3456735.54799895,37.2661074189926,4349462.45283019
"FALSE POSITIVE",8823868,"K00081.01",4821,1,0.636,4959,332.1,507.8,0,0.03213,0.000319,0.86381,-0.40446,10216603.4086581,176.179281108361,25724856.5714286
"CANDIDATE",10187017,"K00082.01",3170,6,0.7189,893.8,33.63,95.97,0,-0.3918,2.264e-05,0.092204,-0.4982,2653805.56806564,15.9781747260206,3807090.40322581
"CANDIDATE",10187017,"K00082.02",3838,6,0.7142,270.5,10.43,32.49,0,-0.4829,7.556e-05,0.28421,-0.74455,1021698.85164525,4.52778763944819,1275889.08108108
"CANDIDATE",10187017,"K00082.03",1680,6,1.633,157.3,7.143,11.99,0,-0.6291,9.302e-06,0.59564,-0.46009,307449.552216074,1.15546301166372,441194.906542056
"CANDIDATE",10187017,"K00082.04",4692,6,0.664,69.63,5.118,10.86,0,-0.8273,3.283e-05,0.36877,-0.60795,335698.924731183,0.966108736749461,360364.885496183
"CANDIDATE",10187017,"K00082.05",5597,6,1.212,47.66,4.75,6.299,0,0.2022,-3.96e-05,1.2743,-1.5039,250611.958551777,0.720011177993418,262267.144444444
"CANDIDATE",10187017,"K00082.06",1015,6,0.01076,60.37,3.178,4.401,0,0.1561,-4.164e-05,0.85894,-0.14388,152867.024106741,0.652894993272059,156318.122516556
"CANDIDATE",2571238,"K00084.01",5045,1,0.6541,659,25.73,133.2,0,-0.291,1.629e-05,0.069313,-0.26148,2425689.35299941,18.6696541153894,1951119.53608247
"CANDIDATE",5866724,"K00085.01",9267,3,0.6599,308,14.8,116.3,0,0.08524,8.754e-06,1.7964,1.2611,2154128.35942698,14.136023309676,2555975.40372671
"CANDIDATE",5866724,"K00085.02",16980,3,0.6859,96.77,7.821,51.26,0,0.01948,5.765e-06,1.1955,0.66173,981167.985575478,3.44941334055781,1047103.94402036
"CANDIDATE",5866724,"K00085.03",4978,3,0.8456,108.8,6.505,34.9,0,0.1545,7.786e-06,0.63055,-0.71938,547977.572008141,2.60055680742117,718171.431064573
"CANDIDATE",10593626,"K00087.01",283.4,1,0.8605,493,22.13,21.11,0,-0.6878,-0.0002333,0.36704,-0.61428,232383.594150847,3.76779250582049,808855.89527027
"FALSE POSITIVE",7700871,"K00088.01",14090,1,1.501,112.5,17.29,-29.53,0,3.142,-0.002118,6.7371,0.43408,689805.430888679,1.78788652492938,916143.615221987
"CANDIDATE",8056665,"K00089.01",1734,2,1.998,347.9,32.52,37.37,0,0.3596,0.0001747,0.34224,0.39653,417822.959425324,6.97487381506085,855749.4140625
"CANDIDATE",8056665,"K00089.02",410.6,2,1.935,470.1,22.51,28.62,0,-0.09632,-0.0001914,0.31572,0.35609,420557.453170773,2.18182122908316,679290.589147287
"FALSE POSITIVE",9210823,"K00090.01",25480,1,1.286,158.9,4.767,-152.5,0,121.2,-0.01176,14.954,13.054,240784.049215311,1.44764100524694,0
"CANDIDATE",7941200,"K00092.01",667.2,1,0.7882,623.8,24.89,44.6,0,0.5206,-9.543e-05,0.42235,0.24902,1042983.13565133,5.58446813060221,1233475.07042254
"CANDIDATE",6462863,"K00094.01",1790,4,1.043,5381,174.5,425.3,0,0.08032,0.001372,0.078397,0.18452,5450349.68787887,57.8076891962198,13963714
"CANDIDATE",6462863,"K00094.02",957.3,4,1.81,1893,61.65,109.7,0,0.0522,0.0003053,0.15886,-0.074426,1245664.72662897,18.7122075814678,3378317.25806452
"CANDIDATE",6462863,"K00094.03",2959,4,0.8265,743.3,24.25,89,0,0.198,0.0001439,0.10851,0.11603,1446083.15772388,6.13744147079786,2634665.09433962
"CANDIDATE",6462863,"K00094.04",5446,4,0.7314,123.5,6.25,22.57,0,0.2027,6.143e-05,0.41427,0.23759,494466.387498184,1.98949009124458,636644.012158055
"CANDIDATE",5780885,"K00097.01",13180,1,0.8808,7136,185.9,1366,0,-0.1924,0.0002854,0.039446,-0.21237,22077618.6581227,232.863930964016,43206894.8475289
"CANDIDATE",10264660,"K00098.01",11370,1,0.8994,2131,60.59,410,0,-0.1168,0.0001601,0.12524,-0.13594,7884761.42921839,56.2523290802112,18135255.9386973
"CANDIDATE",4055765,"K00100.01",5520,1,1.738,1579,19.94,106.9,0,0.02998,2.603e-05,0.11477,-0.080346,1538214.59439437,71.802928592958,3975608.31643002
"CANDIDATE",8456679,"K00102.01",18590,2,0.496,919.6,25.64,156.5,0,-1.27,0.00014,2.2665,-0.065273,5610187.46645456,48.0555380350775,2794679.05660377
"FALSE POSITIVE",8456679,"K00102.02",7184,2,0.5568,78.1,4.064,11.09,0,-1.611,4.147e-06,0,-1.8345,372706.785514708,1.10935552684491,154289.243055556
"CANDIDATE",2444412,"K00103.01",3154,1,1.245,847.3,20.15,55.66,0,-0.3266,4.489e-05,0.14556,-0.10058,1156876.740812,32.7323433828613,1209983.94230769
"CANDIDATE",10318874,"K00104.01",7849,1,0.2593,1456,22.65,189.9,0,0.292,0.0001626,0.04706,0.41129,6921058.22325122,19.9482656814979,3861561.8699187
"CANDIDATE",8711794,"K00105.01",3026,1,0.3949,1022,21.91,112,0,-0.09051,4.585e-06,0.089633,-0.13691,3228183.43242058,4.54860886218089,2220687.37623762
"FALSE POSITIVE",10489525,"K00106.01",16330,1,1.816,153.8,5.022,-189.4,2,-344.5,0.008739,11.887,-11.715,476472.22238641,1.67168442444085,512676.422413793
"CANDIDATE",11250587,"K00107.01",9023,1,0.7765,436,13.53,73.29,0,-0.01099,2.221e-05,0.082706,-0.14007,1326513.37760547,6.15425123704611,2354921.00961538
"CANDIDATE",4914423,"K00108.01",3843,2,0.7287,457,18.05,68.56,0,0.212,-6.412e-05,0.045792,-0.034198,1073846.13315038,6.06321206645941,1712161.92307692
"CANDIDATE",4914423,"K00108.02",932,2,2.247,1208,56.45,77.17,0,-0.02888,-0.0001103,0.18338,0.10809,487085.891567049,15.5984264967885,1628639.10569106
"FALSE POSITIVE",4752451,"K00109.01",4648,1,1.598,197.7,13.64,-43.4,0,40.69,-0.001033,7.282,7.3031,354816.175047152,5.44989808907132,365277.366972477
"CANDIDATE",9450647,"K00110.01",5461,1,0.6086,497.5,17.2,94.93,0,0.2438,8.768e-06,0.11154,0.26018,1541084.8579087,5.84936355886609,2437243.28042328
"CANDIDATE",6678383,"K00111.01",5334,4,0.8117,484.6,27.96,90.62,0,-0.7343,-8.112e-05,0.1537,-0.79435,1242025.1326518,5.51791538668622,1841335.19650655
"CANDIDATE",6678383,"K00111.02",1728,4,1.333,578.7,27.93,60.02,0,-0.6343,-8.607e-05,0.12081,-0.80415,586135.548226937,6.12517508947453,1285567.19512195
"CANDIDATE",6678383,"K00111.03",2980,4,0.8738,432.6,17.81,59.93,0,-0.5998,-0.0001372,0.26546,-0.49089,751762.011694866,4.09259271353358,1281659.96960486
"CANDIDATE",10984090,"K00112.01",1888,2,0.9258,701.6,24.09,63.74,0,-0.05551,1.936e-05,0.25399,-0.19759,722921.219189094,8.0931996730525,1443319.79166667
"CANDIDATE",10984090,"K00112.02",9275,2,0.5719,125.8,4.866,26.93,0,0.4516,-4.609e-05,0.28745,-0.13071,655834.488514202,1.46471570788261,613093.362831858
"FALSE POSITIVE",6721123,"K00114.01",7128,1,2.221,242.1,10.96,-22.76,0,24.09,0.003032,8.9301,7.7129,367890.838946969,6.20336487717067,683278.152350081
"CANDIDATE",9579641,"K00115.01",7215,3,0.5615,578.8,46.48,94.55,0,-0.1746,-5.213e-05,0.083728,-0.18161,2160339.28749626,11.2732150448727,2448475.76719577
"CANDIDATE",9579641,"K00115.02",4928,3,0.4681,178.3,6.181,24.94,0,-0.7323,-6.863e-05,0.055025,-0.21218,611942.669689475,1.80880672761915,665842.258992806
"CANDIDATE",9579641,"K00115.03",10280,3,0.04665,23.2,3.894,7.629,0,-0.2904,1.221e-05,0.047235,-0.32149,117386.744106594,0.606687047128975,137726.663690476
"CANDIDATE",8395660,"K00116.01",3258,4,0.6662,510.4,18.77,45.45,0,-0.002582,-4.392e-05,0.25606,0.19244,885862.931073874,6.58921933375702,1009966.9476082
"CANDIDATE",8395660,"K00116.02",1880,4,1.278,596.3,16.55,38.07,0,0.01076,0.0002044,0.22874,-0.026559,450756.874791813,8.59205032210738,879713.353174603
"CANDIDATE",8395660,"K00116.03",6847,4,1.453,58.75,2.695,8.292,0,-0.3421,1.223e-05,0.82348,-0.03581,165005.59400879,0.464814447293285,164823.252788104
"CANDIDATE",8395660,"K00116.04",2188,4,0.0003793,90,4.178,6.013,0,1.283,-6.593e-05,0.63511,-0.45766,118402.121156761,0.53189643000923,164214.466666667
"CANDIDATE",10875245,"K00117.01",4285,4,1.065,419.4,11.16,46.7,0,-0.05887,2.118e-05,0.41661,0.38188,570181.000023195,11.9237373251494,1530431.55555556
"CANDIDATE",10875245,"K00117.02",10990,4,0.7952,115.5,5.308,23.54,0,0.03864,1.114e-05,0.35789,-0.21795,512053.304735819,2.2640471487127,777558.403225806
"CANDIDATE",10875245,"K00117.03",7272,4,0.6812,132.8,5.743,26.76,0,0.2982,-5.649e-05,0.58697,-0.0020466,423601.448461226,2.10578870268746,760389.479495268
"CANDIDATE",10875245,"K00117.04",4283,4,0.7159,50.39,2.978,2.995,0,0.5793,-1.163e-05,0.96404,-0.45906,118273.935142526,0.528005514236484,226332.258215962
"CANDIDATE",3531558,"K00118.01",3162,1,0.7207,248.7,10.75,29.71,0,-0.1836,-4.674e-05,0.45763,0.8013,400684.552676088,2.78760079438262,491724.541984733
"CANDIDATE",9471974,"K00119.01",3278,2,1.811,1541,61.6,93.52,0,-1.081,0.0002428,0.013996,-0.16686,1289995.06913699,23.8359724391073,2374331.44329897
"CANDIDATE",9471974,"K00119.02",1027,2,2.745,1090,45.91,27.89,0,-1.341,0.000293,0.45536,-0.14251,318079.719227877,15.7337124964771,854581.762523191
"CANDIDATE",11869052,"K00120.01",1138,1,0.9425,670.9,41.06,12.29,0,0.3826,0.0002035,0.52561,0.26043,293344.983752234,0.416345752991666,473322.603773585
"FALSE POSITIVE",3247396,"K00121.01",4164,1,1.964,397.8,10.12,33.51,0,-2.831,-9.548e-05,2.9142,-2.7842,510945.97180583,10.1203118798391,682965.729537367
"CANDIDATE",8349582,"K00122.01",4605,1,0.5715,474.6,16.45,79.74,0,-0.4012,-1.2e-05,0.07089,-0.2567,1282417.68637074,5.12701696208264,2312392.13541667
"CANDIDATE",5094751,"K00123.01",7697,2,0.782,287.1,13.49,59.65,0,0.2079,2.933e-05,0.13421,0.1285,1192364.15412974,8.06339801420644,1685561.84100418
"CANDIDATE",5094751,"K00123.02",3896,2,1.054,349.8,14.82,50.16,0,0.2574,3.454e-05,0.089566,0.066205,688258.872976339,4.19925044073669,1470253.32116788
"CANDIDATE",11086270,"K00124.01",3985,2,0.3211,235.1,7.566,35.13,0,0.1741,-4.903e-05,0.029038,0.11013,525986.405835544,2.97055700949945,872582.728904848
"CANDIDATE",11086270,"K00124.02",2067,2,0.5278,337.8,10.34,33.97,0,-0.2039,5.365e-05,0.15555,-0.066507,459374.484071009,2.25326464066999,855682.271126761
"CANDIDATE",11449844,"K00125.01",1540,1,1.049,22470,261.1,222.9,0,-0.1583,5.863e-05,0.014484,-0.34655,9683368.14555704,145.704734012485,19061948.2625483
"FALSE POSITIVE",5897826,"K00126.01",4501,2,3.908,11260,343.9,173.9,0,-0.02269,0.003046,0.041924,-0.085102,2067904.85978564,198.46336655376,24472788.0952381
"CANDIDATE",5897826,"K00126.02",490.6,2,1.872,216.9,16.41,4.494,0,-0.6059,0.0006563,0.19167,0.063799,18045.6116548761,1.71667728573084,223446.315217391
"CANDIDATE",8359498,"K00127.01",10210,1,0.6507,10970,145,992.2,0,0.1277,-0.000137,0.0019719,0.15265,24955754.6807991,91.69614158514,25633210.982659
"CANDIDATE",11359879,"K00128.01",8570,1,0.7272,10730,161.2,1028,0,-0.2461,0.001817,0.10409,-0.1534,22965854.021178,217.450419991789,26562190.2702703
"CANDIDATE",11974540,"K00129.01",3576,2,0.9462,6886,88.02,252.9,0,0.2203,0.0018,0.23258,0.016326,4723321.55815312,49.3152526336535,13762945.6284153
"CANDIDATE",5297298,"K00130.01",1990,1,1.072,13220,267.3,681.5,0,-0.1744,-2.357e-05,0.0077772,-0.092042,8711123.79244283,260.854092483606,15980143.083004
"CANDIDATE",7778437,"K00131.01",12170,1,0.7458,6269,65.98,430.4,0,-0.04134,-0.002294,0.058737,0.055015,11045873.297705,56.0579171082886,15155950.8710801
"FALSE POSITIVE",8892910,"K00132.01",5039,1,1.598,5991,94.32,417.7,0,-0.2387,-0.0001769,0.15004,-0.2088,6168775.21556275,152.600990428269,10446940.7407407
"FALSE POSITIVE",11673674,"K00133.01",14160,1,1.087,4508,79.86,-11.14,0,4.492,-0.01947,2.6951,2.849,4061456.88609064,100.141777195061,7790640.7523511
"FALSE POSITIVE",9032900,"K00134.01",388.8,1,4.069,4924,69.02,54.17,0,-0.2193,0.0001761,0.048023,-0.16067,423490.810086251,21.8579157398164,2302787.76649746
"CANDIDATE",9818381,"K00135.01",12310,1,0.6096,7530,118.4,802.1,0,0.03797,-0.0001734,0.011495,0.0059037,21780173.717644,140.203190942529,23334130.5
"FALSE POSITIVE",7601633,"K00136.01",894,1,0.8974,5063,60.04,146.4,0,-0.02188,0,0.0080958,-0.0045996,4307647.88383797,34.1389288844923,3756855.13043478
"CANDIDATE",8644288,"K00137.01",3529,3,0.8051,3243,85.15,228.9,0,-0.1273,0,0.043326,-0.14122,3575994.30108924,21.565553346412,4895654.81400438
"CANDIDATE",8644288,"K00137.02",6437,3,0.7779,2172,44.18,219.8,0,-0.1214,0,0.033691,-0.16641,3800655.52897408,22.2697989327179,4661071.45833333
"CANDIDATE",8644288,"K00137.03",7280,3,0.1773,272.4,5.868,31.05,0,0.3625,0,0.040658,-0.12685,962911.778443278,1.88878935556607,685243.813169985
"FALSE POSITIVE",8506766,"K00138.01",1495,1,2.365,7054,85.07,214.2,0,-0.05353,-0.0001232,0.17413,0.013687,2346556.25455522,67.4380832858645,7442126.04340568
"CANDIDATE",8559644,"K00139.01",823.9,2,3.279,3401,74.15,74.41,0,0.0001408,0.0001498,0.095693,-0.1302,810493.219538402,25.9499602629902,2613349.12280702
"CANDIDATE",8559644,"K00139.02",11650,2,0.4017,147.9,5.243,20.26,0,-0.521,2.957e-05,0.29171,-0.11185,569285.779993118,1.69517315756189,533908.303464755
"FALSE POSITIVE",5130369,"K00140.01",5848,1,2.5,1131,40.64,-16.41,0,13.14,-0.01005,5.8008,4.1755,300930.716662374,26.046869758908,1074416.26666667
"CANDIDATE",12105051,"K00141.01",7655,1,0.3722,2553,18.87,223.6,0,-0.09519,0.0001489,0.28668,-0.37372,7154299.54798995,37.6950123386881,4823960.38095238
"CANDIDATE",4649305,"K00143.01",1938,1,1.176,2358,30.53,108.8,0,-0.1285,8.489e-05,0.13486,-0.16062,1365887.78002231,53.8553871204145,2566554.4516129
"CANDIDATE",4180280,"K00144.01",9723,1,0.7221,1283,20.03,118.9,0,0.08378,0.0006774,0.058102,0.2112,2755400.28766346,9.53133495718501,2255734.65517241
"CANDIDATE",9904059,"K00145.01",1382,1,4.067,1820,14.38,26.13,0,0.07009,-0.000121,0.055667,0.010937,100297.105896334,24.4120754643297,2069979.15929204
"FALSE POSITIVE",9048161,"K00146.01",5707,1,1.784,2255,75.43,-347.3,0,27.69,0.03337,1.8378,7.8827,2010153.01413259,32.3543323572769,5138746.14512472
"FALSE POSITIVE",1996679,"K00147.01",332.7,1,2.213,2430,31.37,10.52,0,3.668,-0.01371,5.1929,3.7747,394355.703897962,8.75077885871441,733679.04109589
"CANDIDATE",5735762,"K00148.01",4772,3,0.683,908.4,18.6,87.6,0,-0.3615,-0.0002655,0.23178,-0.18759,1714204.20313995,7.11059110992735,1819952
"CANDIDATE",5735762,"K00148.02",7604,3,0.7093,448.7,11.53,54.63,0,-0.4786,-4.422e-05,0.14698,-0.27805,1356868.81451716,7.81355374468679,1153489.77464789
"CANDIDATE",5735762,"K00148.03",1574,3,0.9561,536.5,13.86,28.59,0,-0.08882,-6.385e-05,0.30653,-0.21878,345714.861379755,3.84046800362477,638829.875195008
"CANDIDATE",3835670,"K00149.01",7405,1,1.222,907.8,24.27,92.54,0,0.04308,-1.314e-05,0.080799,0.15216,1017231.86147428,8.30203517990293,1564080.80321285
"CANDIDATE",7626506,"K00150.01",5826,2,0.6345,762.6,16.77,71.45,0,0.3717,-0.0001594,0.083964,-0.13849,1468016.16606,4.38982630711137,1606314.23791822
